,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,2004-01-30T00:00:00,1/30/2004,2004-01-30,4.71,19.1,ETG,XETGX
1,20.28,2004-02-06T00:00:00,2/6/2004,2004-02-06,6.23,19.09,ETG,XETGX
2,20.08,2004-02-13T00:00:00,2/13/2004,2004-02-13,4.69,19.18,ETG,XETGX
3,20.06,2004-02-20T00:00:00,2/20/2004,2004-02-20,4.59,19.18,ETG,XETGX
4,20.03,2004-02-27T00:00:00,2/27/2004,2004-02-27,3.73,19.31,ETG,XETGX
5,20.09,2004-03-05T00:00:00,3/5/2004,2004-03-05,2.45,19.61,ETG,XETGX
6,19.81,2004-03-12T00:00:00,3/12/2004,2004-03-12,3.34,19.17,ETG,XETGX
7,19.65,2004-03-19T00:00:00,3/19/2004,2004-03-19,2.18,19.23,ETG,XETGX
8,19.37,2004-03-26T00:00:00,3/26/2004,2004-03-26,2.11,18.97,ETG,XETGX
9,19.69,2004-04-02T00:00:00,4/2/2004,2004-04-02,2.07,19.29,ETG,XETGX
10,18.7,2004-04-16T00:00:00,4/16/2004,2004-04-16,-1.42,18.97,ETG,XETGX
11,17.85,2004-04-23T00:00:00,4/23/2004,2004-04-23,-4.08,18.61,ETG,XETGX
12,17.25,2004-04-30T00:00:00,4/30/2004,2004-04-30,-5.74,18.3,ETG,XETGX
13,16.7,2004-05-07T00:00:00,5/7/2004,2004-05-07,-6.13,17.79,ETG,XETGX
14,15.9,2004-05-14T00:00:00,5/14/2004,2004-05-14,-10.07,17.68,ETG,XETGX
15,16.99,2004-05-21T00:00:00,5/21/2004,2004-05-21,-5.19,17.92,ETG,XETGX
16,17.2,2004-05-28T00:00:00,5/28/2004,2004-05-28,-6.88,18.47,ETG,XETGX
17,17.65,2004-06-04T00:00:00,6/4/2004,2004-06-04,-5.06,18.59,ETG,XETGX
18,16.97,2004-06-18T00:00:00,6/18/2004,2004-06-18,-9.88,18.83,ETG,XETGX
19,16.88,2004-06-25T00:00:00,6/25/2004,2004-06-25,-10.16,18.79,ETG,XETGX
20,16.98,2004-07-02T00:00:00,7/2/2004,2004-07-02,-9.87,18.84,ETG,XETGX
21,17.1,2004-07-09T00:00:00,7/9/2004,2004-07-09,-9.71,18.94,ETG,XETGX
22,16.95,2004-07-16T00:00:00,7/16/2004,2004-07-16,-10.84,19.01,ETG,XETGX
23,16.73,2004-07-23T00:00:00,7/23/2004,2004-07-23,-9.08,18.4,ETG,XETGX
24,16.85,2004-07-30T00:00:00,7/30/2004,2004-07-30,-10.04,18.73,ETG,XETGX
25,16.89,2004-08-06T00:00:00,8/6/2004,2004-08-06,-9.14,18.59,ETG,XETGX
26,17.0,2004-08-13T00:00:00,8/13/2004,2004-08-13,-8.9,18.66,ETG,XETGX
27,17.25,2004-08-20T00:00:00,8/20/2004,2004-08-20,-9.54,19.07,ETG,XETGX
28,17.67,2004-08-27T00:00:00,8/27/2004,2004-08-27,-7.54,19.11,ETG,XETGX
29,17.89,2004-09-03T00:00:00,9/3/2004,2004-09-03,-7.74,19.39,ETG,XETGX
30,18.18,2004-09-10T00:00:00,9/10/2004,2004-09-10,-7.06,19.56,ETG,XETGX
31,18.43,2004-09-17T00:00:00,9/17/2004,2004-09-17,-5.39,19.48,ETG,XETGX
32,18.2,2004-09-24T00:00:00,9/24/2004,2004-09-24,-6.57,19.48,ETG,XETGX
33,18.55,2004-10-01T00:00:00,10/1/2004,2004-10-01,-6.88,19.92,ETG,XETGX
34,18.61,2004-10-08T00:00:00,10/8/2004,2004-10-08,-7.18,20.05,ETG,XETGX
35,18.66,2004-10-15T00:00:00,10/15/2004,2004-10-15,-7.16,20.1,ETG,XETGX
36,18.33,2004-10-22T00:00:00,10/22/2004,2004-10-22,-7.66,19.85,ETG,XETGX
37,18.33,2004-10-29T00:00:00,10/29/2004,2004-10-29,-9.75,20.31,ETG,XETGX
38,18.73,2004-11-05T00:00:00,11/5/2004,2004-11-05,-10.51,20.93,ETG,XETGX
39,18.97,2004-11-12T00:00:00,11/12/2004,2004-11-12,-11.15,21.35,ETG,XETGX
40,19.31,2004-11-19T00:00:00,11/19/2004,2004-11-19,-8.57,21.12,ETG,XETGX
41,19.21,2004-11-26T00:00:00,11/26/2004,2004-11-26,-10.32,21.42,ETG,XETGX
42,19.48,2004-12-03T00:00:00,12/3/2004,2004-12-03,-9.1,21.43,ETG,XETGX
43,19.52,2004-12-10T00:00:00,12/10/2004,2004-12-10,-8.27,21.28,ETG,XETGX
44,19.29,2004-12-17T00:00:00,12/17/2004,2004-12-17,-9.65,21.35,ETG,XETGX
45,19.7,2005-01-07T00:00:00,1/7/2005,2005-01-07,-6.28,21.02,ETG,XETGX
46,19.64,2005-01-14T00:00:00,1/14/2005,2005-01-14,-6.83,21.08,ETG,XETGX
47,19.53,2005-01-21T00:00:00,1/21/2005,2005-01-21,-7.26,21.06,ETG,XETGX
48,19.75,2005-01-28T00:00:00,1/28/2005,2005-01-28,-6.53,21.13,ETG,XETGX
