,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,2004-04-30T00:00:00,4/30/2004,2004-04-30,4.71,19.1,ETO,XETOX
1,20.0,2004-05-07T00:00:00,5/7/2004,2004-05-07,4.71,19.1,ETO,XETOX
2,20.0,2004-05-14T00:00:00,5/14/2004,2004-05-14,4.71,19.1,ETO,XETOX
3,20.0,2004-05-21T00:00:00,5/21/2004,2004-05-21,4.71,19.1,ETO,XETOX
4,20.0,2004-05-28T00:00:00,5/28/2004,2004-05-28,4.22,19.19,ETO,XETOX
5,20.01,2004-06-04T00:00:00,6/4/2004,2004-06-04,4.22,19.2,ETO,XETOX
6,18.28,2004-06-18T00:00:00,6/18/2004,2004-06-18,-6.11,19.47,ETO,XETOX
7,17.5,2004-06-25T00:00:00,6/25/2004,2004-06-25,-10.07,19.46,ETO,XETOX
8,18.06,2004-07-02T00:00:00,7/2/2004,2004-07-02,-7.19,19.46,ETO,XETOX
9,18.4,2004-07-09T00:00:00,7/9/2004,2004-07-09,-5.88,19.55,ETO,XETOX
10,17.9,2004-07-16T00:00:00,7/16/2004,2004-07-16,-8.91,19.65,ETO,XETOX
11,17.31,2004-07-23T00:00:00,7/23/2004,2004-07-23,-7.97,18.81,ETO,XETOX
12,17.21,2004-07-30T00:00:00,7/30/2004,2004-07-30,-10.55,19.24,ETO,XETOX
13,17.15,2004-08-06T00:00:00,8/6/2004,2004-08-06,-9.45,18.94,ETO,XETOX
14,17.18,2004-08-13T00:00:00,8/13/2004,2004-08-13,-10.1,19.11,ETO,XETOX
15,17.53,2004-08-20T00:00:00,8/20/2004,2004-08-20,-10.52,19.59,ETO,XETOX
16,17.59,2004-08-27T00:00:00,8/27/2004,2004-08-27,-10.16,19.58,ETO,XETOX
17,18.39,2004-09-03T00:00:00,9/3/2004,2004-09-03,-7.87,19.96,ETO,XETOX
18,18.7,2004-09-10T00:00:00,9/10/2004,2004-09-10,-7.15,20.14,ETO,XETOX
19,18.57,2004-09-17T00:00:00,9/17/2004,2004-09-17,-9.06,20.42,ETO,XETOX
20,18.56,2004-09-24T00:00:00,9/24/2004,2004-09-24,-9.11,20.42,ETO,XETOX
21,19.49,2004-10-01T00:00:00,10/1/2004,2004-10-01,-6.97,20.95,ETO,XETOX
22,19.32,2004-10-08T00:00:00,10/8/2004,2004-10-08,-8.74,21.17,ETO,XETOX
23,19.2,2004-10-15T00:00:00,10/15/2004,2004-10-15,-8.4,20.96,ETO,XETOX
24,18.89,2004-10-22T00:00:00,10/22/2004,2004-10-22,-9.14,20.79,ETO,XETOX
25,18.81,2004-10-29T00:00:00,10/29/2004,2004-10-29,-10.98,21.13,ETO,XETOX
26,19.39,2004-11-05T00:00:00,11/5/2004,2004-11-05,-10.81,21.74,ETO,XETOX
27,19.4,2004-11-12T00:00:00,11/12/2004,2004-11-12,-12.85,22.26,ETO,XETOX
28,19.6,2004-11-19T00:00:00,11/19/2004,2004-11-19,-11.47,22.14,ETO,XETOX
29,19.81,2004-11-26T00:00:00,11/26/2004,2004-11-26,-12.5,22.64,ETO,XETOX
30,19.8,2004-12-03T00:00:00,12/3/2004,2004-12-03,-11.05,22.26,ETO,XETOX
31,19.65,2004-12-10T00:00:00,12/10/2004,2004-12-10,-10.6,21.98,ETO,XETOX
32,19.47,2004-12-17T00:00:00,12/17/2004,2004-12-17,-12.53,22.26,ETO,XETOX
33,20.06,2005-01-07T00:00:00,1/7/2005,2005-01-07,-7.73,21.74,ETO,XETOX
34,19.94,2005-01-14T00:00:00,1/14/2005,2005-01-14,-9.94,22.14,ETO,XETOX
35,20.08,2005-01-21T00:00:00,1/21/2005,2005-01-21,-9.1,22.09,ETO,XETOX
36,19.96,2005-01-28T00:00:00,1/28/2005,2005-01-28,-10.09,22.2,ETO,XETOX
37,20.67,2005-02-04T00:00:00,2/4/2005,2005-02-04,-10.6,23.12,ETO,XETOX
38,20.59,2005-02-11T00:00:00,2/11/2005,2005-02-11,-12.12,23.43,ETO,XETOX
39,20.77,2005-02-18T00:00:00,2/18/2005,2005-02-18,-12.58,23.76,ETO,XETOX
40,20.99,2005-02-25T00:00:00,2/25/2005,2005-02-25,-13.55,24.28,ETO,XETOX
41,21.7,2005-03-04T00:00:00,3/4/2005,2005-03-04,-12.75,24.87,ETO,XETOX
42,21.28,2005-03-11T00:00:00,3/11/2005,2005-03-11,-11.88,24.15,ETO,XETOX
43,21.14,2005-03-18T00:00:00,3/18/2005,2005-03-18,-13.0,24.3,ETO,XETOX
44,20.49,2005-04-01T00:00:00,4/1/2005,2005-04-01,-13.43,23.67,ETO,XETOX
45,20.55,2005-04-08T00:00:00,4/8/2005,2005-04-08,-13.07,23.64,ETO,XETOX
