Date,Open,High,Low,Close,Adj Close,Volume
2004-05-26,20.0,20.01,20.0,6.658635,20.0,52600
2004-05-27,20.0,20.01,20.0,6.658635,20.0,15000
2004-05-28,20.0,20.01,20.0,6.658635,20.0,18000
2004-06-01,20.0,20.01,19.959999,6.661965,20.01,104100
2004-06-02,19.860001,20.01,19.860001,6.658635,20.0,118500
2004-06-03,19.959999,20.01,19.959999,6.661965,20.01,121100
2004-06-04,20.0,20.01,20.0,6.661965,20.01,8100
2004-06-07,20.0,20.01,20.0,6.658635,20.0,40400
2004-06-08,19.860001,20.01,19.860001,6.658635,20.0,70800
2004-06-09,19.75,19.98,19.6,6.528793,19.610001,274900
2004-06-10,19.6,19.610001,19.6,6.525458,19.6,62000
2004-06-14,19.6,19.610001,19.6,6.525458,19.6,26000
2004-06-15,19.610001,19.610001,19.1,6.392291,19.200001,145600
2004-06-16,19.209999,19.209999,18.65,6.215838,18.67,51600
2004-06-17,18.620001,18.75,18.5,6.159235,18.5,18800
2004-06-18,18.5,18.59,18.26,6.085998,18.280001,30300
2004-06-21,18.33,18.33,18.25,6.082666,18.27,26400
2004-06-22,18.200001,18.290001,18.059999,6.089321,18.290001,26900
2004-06-23,18.15,18.24,17.809999,5.94949,17.870001,57400
2004-06-24,17.67,17.74,17.440001,5.862445,17.51,58300
2004-06-25,17.42,17.52,17.32,5.859094,17.5,75000
2004-06-28,17.459999,17.549999,17.459999,5.859094,17.5,41000
2004-06-29,17.5,17.65,17.4,5.909315,17.65,11400
2004-06-30,17.639999,17.85,17.52,5.92271,17.690001,32700
2004-07-01,17.639999,18.0,17.57,6.026497,18.0,25300
2004-07-02,18.030001,18.15,17.860001,6.046582,18.059999,14700
2004-07-06,18.16,18.34,18.16,6.14033,18.34,15700
2004-07-07,18.34,18.959999,18.129999,6.244119,18.65,33800
2004-07-08,18.5,18.549999,18.35,6.19055,18.49,14000
2004-07-09,18.440001,18.49,18.299999,6.160418,18.4,15500
2004-07-12,18.35,18.549999,18.17,6.123589,18.290001,40600
2004-07-13,18.290001,18.309999,18.120001,6.113547,18.26,34500
2004-07-14,18.16,18.25,17.870001,6.026497,18.0,26000
2004-07-15,18.049999,18.049999,17.870001,5.993016,17.9,18700
2004-07-16,17.85,18.1,17.790001,5.993016,17.9,24400
2004-07-19,17.879999,18.030001,17.73,5.993016,17.9,35700
2004-07-20,17.91,18.299999,17.91,6.059975,18.1,17800
2004-07-21,18.049999,18.15,17.700001,5.936094,17.73,17300
2004-07-22,17.6,17.799999,17.25,5.922627,17.59,69600
2004-07-23,17.549999,17.75,17.200001,5.828353,17.309999,21800
2004-07-26,17.360001,17.43,16.870001,5.690307,16.9,43600
2004-07-27,16.75,17.1,16.75,5.690307,16.9,50200
2004-07-28,16.950001,17.35,16.950001,5.791318,17.200001,13800
2004-07-29,17.299999,17.450001,16.92,5.727342,17.01,31400
2004-07-30,17.059999,17.4,17.059999,5.794683,17.209999,21600
2004-08-02,17.299999,17.34,17.110001,5.77785,17.16,18600
2004-08-03,17.299999,17.700001,17.25,5.851918,17.379999,43600
2004-08-04,17.35,17.450001,17.200001,5.791318,17.200001,57700
2004-08-05,17.200001,17.309999,17.1,5.774482,17.15,48300
2004-08-06,17.25,17.389999,17.1,5.774482,17.15,35700
2004-08-09,17.049999,17.139999,16.870001,5.680203,16.870001,36400
2004-08-10,16.9,17.110001,16.9,5.761012,17.110001,17800
2004-08-11,17.16,17.299999,17.02,5.798052,17.219999,38500
2004-08-12,17.290001,17.290001,17.01,5.784578,17.18,19900
2004-08-13,17.18,17.25,17.040001,5.784578,17.18,25300
2004-08-16,17.16,17.34,17.120001,5.791318,17.200001,47800
2004-08-17,17.25,17.34,17.15,5.808152,17.25,26900
2004-08-18,17.32,17.379999,17.190001,5.851918,17.379999,45600
2004-08-19,17.4,17.48,17.129999,5.848557,17.370001,33700
2004-08-20,17.309999,17.530001,17.309999,5.902429,17.530001,31800
2004-08-23,17.43,17.51,17.309999,5.888958,17.49,38000
2004-08-24,17.549999,17.6,17.370001,5.922627,17.59,25300
2004-08-25,17.41,17.65,17.35,5.976811,17.65,37800
2004-08-26,17.65,17.799999,17.4,5.973424,17.639999,44100
2004-08-27,17.690001,17.77,17.58,5.956491,17.59,35200
2004-08-30,17.559999,17.700001,17.559999,5.963267,17.610001,38300
2004-08-31,17.700001,17.83,17.620001,6.010674,17.75,34400
2004-09-01,17.75,18.139999,17.75,6.129194,18.1,33400
2004-09-02,18.049999,18.34,18.02,6.210467,18.34,27400
2004-09-03,18.389999,18.43,18.1,6.227396,18.389999,27400
2004-09-07,18.450001,18.719999,18.35,6.339146,18.719999,38000
2004-09-08,18.68,18.799999,18.559999,6.349303,18.75,15500
2004-09-09,18.799999,19.0,18.49,6.400098,18.9,31100
2004-09-10,19.0,19.0,18.700001,6.33237,18.700001,21100
2004-09-13,18.58,18.799999,18.5,6.284964,18.559999,21900
2004-09-14,18.66,18.66,18.35,6.21385,18.35,22600
2004-09-15,18.43,18.59,18.379999,6.288351,18.57,18800
2004-09-16,18.639999,18.639999,18.41,6.247713,18.450001,55700
2004-09-17,18.5,18.610001,18.370001,6.288351,18.57,54900
2004-09-20,18.6,18.700001,18.459999,6.33237,18.700001,51000
2004-09-21,18.6,18.790001,18.42,6.295121,18.59,55500
2004-09-22,18.58,18.639999,18.41,6.30023,18.5,22600
2004-09-23,18.5,18.610001,18.299999,6.232116,18.299999,44800
2004-09-24,18.309999,18.610001,18.309999,6.320663,18.559999,36100
2004-09-27,18.639999,18.700001,18.43,6.330879,18.59,34900
2004-09-28,18.65,19.139999,18.549999,6.487531,19.049999,30100
2004-09-29,19.1,19.450001,19.01,6.572672,19.299999,47000
2004-09-30,19.389999,19.4,19.139999,6.569265,19.290001,32900
2004-10-01,19.24,19.5,19.200001,6.637379,19.49,37700
2004-10-04,19.440001,19.49,19.139999,6.589696,19.35,26100
2004-10-05,19.469999,19.49,19.26,6.589696,19.35,47000
2004-10-06,19.309999,19.49,19.299999,6.637379,19.49,28800
2004-10-07,19.49,19.49,19.26,6.559052,19.26,41000
2004-10-08,19.26,19.35,19.209999,6.579483,19.32,17900
2004-10-11,19.309999,19.450001,19.309999,6.60673,19.4,17000
2004-10-12,19.4,19.48,19.32,6.579483,19.32,16800
2004-10-13,19.4,19.49,19.200001,6.582887,19.33,18000
2004-10-14,19.25,19.290001,19.110001,6.524996,19.16,20600
2004-10-15,19.25,19.299999,19.15,6.53862,19.200001,23600
2004-10-18,19.26,19.33,19.15,6.569265,19.290001,26000
2004-10-19,19.24,19.33,19.15,6.579483,19.32,20600
2004-10-20,19.32,19.32,19.02,6.552243,19.24,20300
2004-10-21,19.200001,19.23,18.85,6.471772,18.9,70800
2004-10-22,18.83,18.950001,18.75,6.468349,18.889999,39700
2004-10-25,18.889999,18.889999,18.59,6.375894,18.620001,49000
2004-10-26,18.68,18.77,18.58,6.410134,18.719999,68400
2004-10-27,18.719999,18.889999,18.629999,6.464921,18.879999,37900
2004-10-28,18.879999,18.940001,18.719999,6.451226,18.84,24100
2004-10-29,18.889999,18.92,18.75,6.440953,18.809999,22500
2004-11-01,18.870001,19.02,18.870001,6.495741,18.969999,35200
2004-11-02,19.049999,19.08,18.9,6.495741,18.969999,33100
