Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.25,9.4375,9.25,2.805269,9.375,57300
2000-01-04,9.4375,9.4375,9.25,2.767866,9.25,86200
2000-01-05,9.25,9.375,9.1875,2.805269,9.375,140800
2000-01-06,9.3125,9.4375,9.3125,2.82397,9.4375,80500
2000-01-07,9.375,9.625,9.375,2.861373,9.5625,87300
2000-01-10,9.5,9.5625,9.375,2.805269,9.375,87900
2000-01-11,9.4375,9.625,9.375,2.842672,9.5,134600
2000-01-12,9.5625,9.625,9.4375,2.861373,9.5625,145100
2000-01-13,9.625,9.6875,9.5,2.880076,9.625,82000
2000-01-14,9.625,9.625,9.5,2.880076,9.625,102500
2000-01-18,9.625,9.625,9.5,2.842672,9.5,112000
2000-01-19,9.5,9.5625,9.4375,2.82397,9.4375,121600
2000-01-20,9.5,9.5625,9.4375,2.82397,9.4375,89000
2000-01-21,9.5,9.625,9.5,2.861373,9.5625,91800
2000-01-24,9.5625,9.625,9.5625,2.861373,9.5625,121000
2000-01-25,9.5625,9.6875,9.5625,2.898777,9.6875,128000
2000-01-26,9.625,9.6875,9.5625,2.880076,9.625,86700
2000-01-27,9.6875,9.6875,9.625,2.880076,9.625,56400
2000-01-28,9.625,9.6875,9.5625,2.880076,9.625,86200
2000-01-31,9.5625,9.625,9.5,2.842672,9.5,99500
2000-02-01,9.5625,9.5625,9.5,2.842672,9.5,154300
2000-02-02,9.625,9.625,9.5,2.842672,9.5,93000
2000-02-03,9.5625,9.625,9.5625,2.861373,9.5625,87600
2000-02-04,9.625,9.6875,9.5625,2.880076,9.625,53100
2000-02-07,9.625,9.6875,9.5625,2.898777,9.6875,86000
2000-02-08,9.625,9.6875,9.5625,2.898777,9.6875,69800
2000-02-09,9.5625,9.6875,9.5,2.902546,9.625,75300
2000-02-10,9.5625,9.625,9.5,2.883698,9.5625,43500
2000-02-11,9.5625,9.625,9.5,2.864851,9.5,69700
2000-02-14,9.5625,9.5625,9.5,2.864851,9.5,80400
2000-02-15,9.5625,9.5625,9.5,2.864851,9.5,77100
2000-02-16,9.5625,9.5625,9.5,2.864851,9.5,79900
2000-02-17,9.5625,9.5625,9.5,2.883698,9.5625,78400
2000-02-18,9.5625,9.5625,9.5,2.883698,9.5625,119300
2000-02-22,9.625,9.625,9.5,2.883698,9.5625,53600
2000-02-23,9.5625,9.625,9.5625,2.902546,9.625,64500
2000-02-24,9.5625,9.75,9.5625,2.921394,9.6875,82100
2000-02-25,9.6875,9.6875,9.625,2.921394,9.6875,126400
2000-02-28,9.6875,9.6875,9.5625,2.902546,9.625,64100
2000-02-29,9.5625,9.6875,9.5625,2.902546,9.625,39100
2000-03-01,9.625,9.6875,9.5625,2.902546,9.625,100900
2000-03-02,9.625,9.6875,9.5625,2.883698,9.5625,73400
2000-03-03,9.5625,9.625,9.5625,2.883698,9.5625,89800
2000-03-06,9.625,9.625,9.5625,2.902546,9.625,72200
2000-03-07,9.5625,9.625,9.5625,2.883698,9.5625,77500
2000-03-08,9.5,9.5625,9.5,2.886891,9.5,40300
2000-03-09,9.5,9.5625,9.4375,2.867897,9.4375,274200
2000-03-10,9.4375,9.5,9.4375,2.886891,9.5,126500
2000-03-13,9.4375,9.5,9.375,2.848905,9.375,54000
2000-03-14,9.375,9.4375,9.3125,2.848905,9.375,94200
2000-03-15,9.375,9.4375,9.3125,2.829912,9.3125,82900
2000-03-16,9.375,9.375,9.25,2.848905,9.375,86400
2000-03-17,9.3125,9.375,9.25,2.829912,9.3125,57200
2000-03-20,9.3125,9.3125,9.25,2.829912,9.3125,73200
2000-03-21,9.3125,9.375,9.1875,2.848905,9.375,133000
2000-03-22,9.375,9.4375,9.3125,2.848905,9.375,104500
2000-03-23,9.4375,9.5,9.375,2.848905,9.375,75800
2000-03-24,9.4375,9.5,9.375,2.867897,9.4375,64200
2000-03-27,9.4375,9.5625,9.4375,2.905882,9.5625,70800
2000-03-28,9.5,9.5625,9.5,2.886891,9.5,62100
2000-03-29,9.5,9.5625,9.5,2.905882,9.5625,54500
2000-03-30,9.5,9.5625,9.5,2.905882,9.5625,57300
2000-03-31,9.5,9.5625,9.4375,2.905882,9.5625,57900
2000-04-03,9.5625,9.5625,9.4375,2.886891,9.5,66200
2000-04-04,9.5,9.5625,9.125,2.791926,9.1875,364900
2000-04-05,9.1875,9.1875,8.9375,2.734949,9.0,167600
2000-04-06,9.0,9.125,9.0,2.734949,9.0,83500
2000-04-07,9.0,9.1875,9.0,2.772932,9.125,66000
2000-04-10,9.0625,9.1875,9.0625,2.772932,9.125,97900
2000-04-11,9.0625,9.125,8.9375,2.738462,8.9375,92100
2000-04-12,9.0625,9.0625,8.875,2.738462,8.9375,95100
2000-04-13,8.8125,8.9375,8.8125,2.700164,8.8125,87600
2000-04-14,8.9375,8.9375,8.375,2.604412,8.5,211400
2000-04-17,8.5625,8.6875,8.3125,2.642712,8.625,123100
2000-04-18,8.625,8.8125,8.4375,2.700164,8.8125,129200
2000-04-19,8.875,9.0,8.75,2.738462,8.9375,113900
2000-04-20,9.0,9.125,9.0,2.757614,9.0,92100
2000-04-24,9.125,9.1875,9.0625,2.776764,9.0625,106200
2000-04-25,9.0625,9.1875,9.0625,2.776764,9.0625,60000
2000-04-26,9.125,9.125,9.0,2.776764,9.0625,134700
2000-04-27,9.125,9.125,9.0,2.776764,9.0625,91600
2000-04-28,9.0625,9.0625,9.0,2.757614,9.0,71800
2000-05-01,9.0,9.1875,9.0,2.815065,9.1875,64200
2000-05-02,9.125,9.1875,9.125,2.795913,9.125,54100
2000-05-03,9.25,9.25,8.9375,2.757614,9.0,149600
2000-05-04,9.0,9.1875,9.0,2.795913,9.125,87700
2000-05-05,9.125,9.1875,9.0625,2.815065,9.1875,117400
2000-05-08,9.125,9.1875,9.0625,2.776764,9.0625,79800
2000-05-09,9.0,9.0625,9.0,2.781245,9.0,75000
2000-05-10,9.0,9.125,8.9375,2.781245,9.0,70000
2000-05-11,8.9375,9.125,8.9375,2.819874,9.125,97800
2000-05-12,9.0625,9.125,9.0625,2.819874,9.125,70600
2000-05-15,9.125,9.125,9.0625,2.800558,9.0625,49800
2000-05-16,9.0625,9.1875,9.0625,2.800558,9.0625,130600
2000-05-17,9.125,9.125,9.0625,2.800558,9.0625,47900
2000-05-18,9.125,9.25,9.125,2.839186,9.1875,103900
2000-05-19,9.25,9.375,9.1875,2.897129,9.375,116300
2000-05-22,9.3125,9.4375,9.3125,2.916445,9.4375,58200
2000-05-23,9.375,9.5625,9.375,2.897129,9.375,166000
2000-05-24,9.4375,9.5,9.375,2.897129,9.375,68100
2000-05-25,9.4375,9.5,9.375,2.935757,9.5,73500
2000-05-26,9.5,9.5,9.3125,2.897129,9.375,66700
2000-05-30,9.3125,9.4375,9.3125,2.897129,9.375,33700
2000-05-31,9.5,9.5,9.375,2.916445,9.4375,68100
2000-06-01,9.4375,9.4375,9.375,2.916445,9.4375,62000
2000-06-02,9.4375,9.5,9.375,2.935757,9.5,31600
2000-06-05,9.5,9.5,9.4375,2.916445,9.4375,71400
2000-06-06,9.4375,9.5,9.375,2.916445,9.4375,54300
2000-06-07,9.4375,9.5,9.3125,2.897129,9.375,112000
2000-06-08,9.3125,9.375,9.25,2.901646,9.3125,32100
2000-06-09,9.3125,9.375,9.25,2.921121,9.375,64100
2000-06-12,9.375,9.375,9.25,2.882174,9.25,91800
2000-06-13,9.3125,9.375,9.25,2.901646,9.3125,90700
2000-06-14,9.375,9.375,9.1875,2.882174,9.25,87900
2000-06-15,9.25,9.375,9.1875,2.882174,9.25,130000
2000-06-16,9.25,9.25,9.1875,2.862697,9.1875,45300
2000-06-19,9.25,9.25,9.125,2.862697,9.1875,78300
2000-06-20,9.1875,9.25,9.125,2.862697,9.1875,63400
2000-06-21,9.25,9.3125,9.1875,2.862697,9.1875,100700
2000-06-22,9.1875,9.3125,9.1875,2.882174,9.25,44700
2000-06-23,9.25,9.3125,9.1875,2.862697,9.1875,67500
2000-06-26,9.1875,9.25,9.125,2.862697,9.1875,84600
2000-06-27,9.0,9.25,9.0,2.882174,9.25,43200
2000-06-28,9.25,9.25,9.125,2.843225,9.125,60700
2000-06-29,9.1875,9.375,9.125,2.862697,9.1875,105000
2000-06-30,9.25,9.3125,9.1875,2.901646,9.3125,38500
2000-07-03,9.25,9.4375,9.25,2.940596,9.4375,23100
2000-07-05,9.4375,9.5,9.3125,2.901646,9.3125,82900
2000-07-06,9.375,9.5,9.3125,2.940596,9.4375,98900
2000-07-07,9.5,9.5,9.3125,2.901646,9.3125,88700
2000-07-10,9.4375,9.4375,9.125,2.886565,9.1875,46500
2000-07-11,9.1875,9.25,9.125,2.866932,9.125,46500
2000-07-12,9.125,9.25,9.125,2.886565,9.1875,63100
2000-07-13,9.1875,9.25,9.125,2.886565,9.1875,86200
2000-07-14,9.25,9.3125,9.1875,2.906203,9.25,54500
2000-07-17,9.1875,9.3125,9.1875,2.925838,9.3125,71700
2000-07-18,9.3125,9.5,9.25,2.965111,9.4375,76400
2000-07-19,9.5,9.5,9.375,2.945474,9.375,66300
2000-07-20,9.375,9.5,9.375,2.965111,9.4375,64800
2000-07-21,9.375,9.4375,9.3125,2.925838,9.3125,55200
2000-07-24,9.3125,9.375,9.3125,2.945474,9.375,52700
2000-07-25,9.375,9.4375,9.3125,2.945474,9.375,58300
2000-07-26,9.375,9.4375,9.3125,2.965111,9.4375,46100
2000-07-27,9.375,9.4375,9.375,2.945474,9.375,33300
2000-07-28,9.375,9.5625,9.375,3.004386,9.5625,51900
2000-07-31,9.5,9.5625,9.5,3.004386,9.5625,77200
2000-08-01,9.5625,9.625,9.5625,3.024021,9.625,60700
2000-08-02,9.625,9.625,9.5625,3.024021,9.625,28000
2000-08-03,9.5625,9.625,9.5625,3.024021,9.625,50400
2000-08-04,9.625,9.625,9.5625,3.004386,9.5625,36800
2000-08-07,9.625,9.6875,9.5625,3.004386,9.5625,45100
2000-08-08,9.5625,9.6875,9.5625,3.043658,9.6875,41200
