,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,1999-01-29T00:00:00,1/29/1999,1999-01-29,0.07,14.99,EVP,XEVPX
1,15.25,1999-02-05T00:00:00,2/5/1999,1999-02-05,2.01,14.95,EVP,XEVPX
2,15.06,1999-02-12T00:00:00,2/12/1999,1999-02-12,0.87,14.93,EVP,XEVPX
3,15.0,1999-02-19T00:00:00,2/19/1999,1999-02-19,0.27,14.96,EVP,XEVPX
4,15.13,1999-02-26T00:00:00,2/26/1999,1999-02-26,1.48,14.91,EVP,XEVPX
5,15.0,1999-03-05T00:00:00,3/5/1999,1999-03-05,1.28,14.81,EVP,XEVPX
6,15.31,1999-03-12T00:00:00,3/12/1999,1999-03-12,2.82,14.89,EVP,XEVPX
7,15.13,1999-03-19T00:00:00,3/19/1999,1999-03-19,0.8,15.01,EVP,XEVPX
8,15.38,1999-03-26T00:00:00,3/26/1999,1999-03-26,2.81,14.96,EVP,XEVPX
9,15.06,1999-04-09T00:00:00,4/9/1999,1999-04-09,0.47,14.99,EVP,XEVPX
10,15.06,1999-04-16T00:00:00,4/16/1999,1999-04-16,1.01,14.91,EVP,XEVPX
11,15.25,1999-04-23T00:00:00,4/23/1999,1999-04-23,2.69,14.85,EVP,XEVPX
12,15.0,1999-04-30T00:00:00,4/30/1999,1999-04-30,1.49,14.78,EVP,XEVPX
13,15.0,1999-05-07T00:00:00,5/7/1999,1999-05-07,3.09,14.55,EVP,XEVPX
14,14.81,1999-05-14T00:00:00,5/14/1999,1999-05-14,3.21,14.35,EVP,XEVPX
15,14.63,1999-05-21T00:00:00,5/21/1999,1999-05-21,1.18,14.46,EVP,XEVPX
16,14.0,1999-05-28T00:00:00,5/28/1999,1999-05-28,-2.57,14.37,EVP,XEVPX
17,14.25,1999-06-04T00:00:00,6/4/1999,1999-06-04,0.71,14.15,EVP,XEVPX
18,13.88,1999-06-11T00:00:00,6/11/1999,1999-06-11,1.02,13.74,EVP,XEVPX
19,13.75,1999-06-18T00:00:00,6/18/1999,1999-06-18,-1.43,13.95,EVP,XEVPX
