,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0566,6/28/2017,7/18/2017,0.0304,7/31/2017,,0.087,FOF
1,,0.0566,6/28/2017,8/15/2017,0.0304,8/31/2017,,0.087,FOF
2,,0.0566,6/28/2017,9/19/2017,0.0304,9/29/2017,,0.087,FOF
3,,0.0555,3/28/2017,4/18/2017,0.0315,4/28/2017,,0.087,FOF
4,,0.0566,3/28/2017,5/16/2017,0.0304,5/31/2017,,0.087,FOF
5,,0.0566,3/28/2017,6/20/2017,0.0304,6/30/2017,,0.087,FOF
6,,0.045,12/21/2016,1/17/2017,0.042,1/31/2017,,0.087,FOF
7,,0.0453,12/21/2016,2/14/2017,0.0417,2/28/2017,,0.087,FOF
8,,0.0398,12/21/2016,3/21/2017,0.0472,3/31/2017,,0.087,FOF
9,,0.01287,9/15/2016,10/18/2016,0.07413,10/31/2016,,0.087,FOF
10,,0.01287,9/15/2016,11/16/2016,0.07413,11/30/2016,,0.087,FOF
11,,0.01287,9/15/2016,12/9/2016,0.07413,12/30/2016,,0.087,FOF
12,,0.03846,9/8/2016,9/20/2016,0.22155,9/30/2016,,0.26,FOF
13,,0.03846,6/8/2016,6/20/2016,0.22155,6/30/2016,,0.26,FOF
14,,0.0894,3/8/2016,3/18/2016,0.1706,3/31/2016,,0.26,FOF
15,,0.079,12/8/2015,12/17/2015,0.181,12/31/2015,,0.26,FOF
16,,0.0711,9/9/2015,9/18/2015,0.1889,9/30/2015,,0.26,FOF
17,,0.0457,6/9/2015,6/18/2015,0.2143,6/30/2015,,0.26,FOF
18,,0.1119,3/9/2015,3/18/2015,0.1481,3/31/2015,,0.26,FOF
19,,,12/9/2014,12/19/2014,0.26,12/31/2014,,0.26,FOF
20,,,9/8/2014,9/17/2014,0.26,9/30/2014,,0.26,FOF
21,,,6/11/2014,6/19/2014,0.26,6/30/2014,,0.26,FOF
22,,0.1074,3/10/2014,3/19/2014,0.1526,3/31/2014,,0.26,FOF
23,,0.04078,12/10/2013,12/19/2013,0.21922,12/31/2013,,0.26,FOF
24,,0.04078,9/9/2013,9/19/2013,0.21922,9/30/2013,,0.26,FOF
25,,0.0965,6/7/2013,6/18/2013,0.1635,6/28/2013,,0.26,FOF
26,,0.0863,3/7/2013,3/18/2013,0.1737,3/28/2013,,0.26,FOF
27,,,12/11/2012,12/19/2012,0.26,12/31/2012,,0.26,FOF
28,,,9/10/2012,9/18/2012,0.26,9/28/2012,,0.26,FOF
29,,,6/11/2012,6/19/2012,0.26,6/29/2012,,0.26,FOF
30,,0.1327,3/9/2012,3/15/2012,0.1273,3/30/2012,,0.26,FOF
31,,0.07084,12/13/2011,12/21/2011,0.18916,12/30/2011,,0.26,FOF
32,,0.07084,9/12/2011,9/20/2011,0.18916,9/30/2011,,0.26,FOF
33,,0.0814,6/14/2011,6/21/2011,0.1786,6/30/2011,,0.26,FOF
34,,0.0961,3/15/2011,3/22/2011,0.1639,3/31/2011,,0.26,FOF
35,,0.01456,12/15/2010,12/22/2010,0.24544,12/31/2010,,0.26,FOF
36,,0.01456,9/15/2010,9/22/2010,0.24544,9/30/2010,,0.26,FOF
37,,0.01288,6/14/2010,6/21/2010,0.21712,6/30/2010,,0.23,FOF
38,,0.0898,3/17/2010,3/22/2010,0.1402,3/31/2010,,0.23,FOF
39,,0.09003,12/15/2009,12/21/2009,0.13997,12/31/2009,,0.23,FOF
40,,0.09003,9/15/2009,9/21/2009,0.13997,9/30/2009,,0.23,FOF
41,,0.10569,6/10/2009,6/18/2009,0.16431,6/30/2009,,0.27,FOF
42,,0.1235,12/17/2008,3/11/2009,0.1465,3/31/2009,,0.27,FOF
43,,0.05641,9/18/2008,10/10/2008,0.06109,10/31/2008,,0.1175,FOF
44,,0.05641,9/18/2008,11/12/2008,0.06109,11/28/2008,,0.1175,FOF
45,,0.05641,9/18/2008,12/11/2008,0.06109,12/31/2008,,0.1175,FOF
46,,,6/12/2008,9/11/2008,,9/30/2008,,0.1175,FOF
47,,,6/12/2008,8/13/2008,,8/29/2008,,0.1175,FOF
48,,,6/12/2008,7/11/2008,,7/31/2008,,0.1175,FOF
49,,,3/12/2008,6/11/2008,,6/30/2008,,0.1175,FOF
50,,,3/12/2008,5/13/2008,,5/30/2008,,0.1175,FOF
51,,,3/12/2008,4/11/2008,,4/30/2008,,0.1175,FOF
52,,,12/13/2007,3/12/2008,,3/31/2008,,0.1175,FOF
53,,,12/13/2007,2/13/2008,,2/29/2008,,0.1175,FOF
54,,,12/13/2007,1/11/2008,,1/31/2008,,0.1175,FOF
55,,,9/26/2007,12/12/2007,,12/31/2007,S,0.26,FOF
56,,,9/26/2007,12/12/2007,,12/31/2007,,0.1175,FOF
57,,,9/26/2007,11/13/2007,,11/30/2007,,0.1175,FOF
58,,,9/26/2007,10/11/2007,,10/31/2007,,0.1175,FOF
59,,,6/13/2007,9/12/2007,,9/28/2007,,0.1175,FOF
60,,,6/13/2007,8/13/2007,,8/31/2007,,0.1175,FOF
61,,,6/13/2007,7/11/2007,,7/31/2007,,0.1175,FOF
62,,,3/7/2007,6/13/2007,,6/29/2007,,0.1175,FOF
63,,,3/7/2007,5/11/2007,,5/31/2007,,0.1175,FOF
