,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2002-12-20T00:00:00,12/20/2002,2002-12-20,4.68,14.33,FPT,XFPTX
1,15.0,2002-12-27T00:00:00,12/27/2002,2002-12-27,4.31,14.38,FPT,XFPTX
2,15.0,2003-01-03T00:00:00,1/3/2003,2003-01-03,4.38,14.37,FPT,XFPTX
3,15.07,2003-01-10T00:00:00,1/10/2003,2003-01-10,5.38,14.3,FPT,XFPTX
4,15.01,2003-01-17T00:00:00,1/17/2003,2003-01-17,5.11,14.28,FPT,XFPTX
5,15.01,2003-01-24T00:00:00,1/24/2003,2003-01-24,4.82,14.32,FPT,XFPTX
6,14.67,2003-01-31T00:00:00,1/31/2003,2003-01-31,2.59,14.3,FPT,XFPTX
7,14.41,2003-02-07T00:00:00,2/7/2003,2003-02-07,0.21,14.38,FPT,XFPTX
8,13.83,2003-02-14T00:00:00,2/14/2003,2003-02-14,-4.22,14.44,FPT,XFPTX
9,13.86,2003-02-21T00:00:00,2/21/2003,2003-02-21,-3.62,14.38,FPT,XFPTX
10,14.04,2003-02-28T00:00:00,2/28/2003,2003-02-28,-3.9,14.61,FPT,XFPTX
11,14.24,2003-03-07T00:00:00,3/7/2003,2003-03-07,-3.52,14.76,FPT,XFPTX
12,13.95,2003-03-14T00:00:00,3/14/2003,2003-03-14,-5.68,14.79,FPT,XFPTX
13,13.42,2003-03-21T00:00:00,3/21/2003,2003-03-21,-5.69,14.23,FPT,XFPTX
14,13.51,2003-03-28T00:00:00,3/28/2003,2003-03-28,-6.18,14.4,FPT,XFPTX
15,13.76,2003-04-04T00:00:00,4/4/2003,2003-04-04,-3.91,14.32,FPT,XFPTX
16,13.56,2003-04-11T00:00:00,4/11/2003,2003-04-11,-5.64,14.37,FPT,XFPTX
17,13.59,2003-04-25T00:00:00,4/25/2003,2003-04-25,-6.21,14.49,FPT,XFPTX
18,13.77,2003-05-02T00:00:00,5/2/2003,2003-05-02,-5.49,14.57,FPT,XFPTX
19,13.85,2003-05-09T00:00:00,5/9/2003,2003-05-09,-5.65,14.68,FPT,XFPTX
20,14.2,2003-05-16T00:00:00,5/16/2003,2003-05-16,-4.7,14.9,FPT,XFPTX
21,14.09,2003-05-23T00:00:00,5/23/2003,2003-05-23,-5.75,14.95,FPT,XFPTX
22,14.38,2003-05-30T00:00:00,5/30/2003,2003-05-30,-3.62,14.92,FPT,XFPTX
23,14.23,2003-06-06T00:00:00,6/6/2003,2003-06-06,-5.32,15.03,FPT,XFPTX
24,14.43,2003-06-13T00:00:00,6/13/2003,2003-06-13,-5.0,15.19,FPT,XFPTX
25,14.25,2003-06-20T00:00:00,6/20/2003,2003-06-20,-4.17,14.87,FPT,XFPTX
26,14.4,2003-06-27T00:00:00,6/27/2003,2003-06-27,-2.44,14.76,FPT,XFPTX
27,14.32,2003-07-11T00:00:00,7/11/2003,2003-07-11,-2.59,14.7,FPT,XFPTX
28,14.21,2003-07-18T00:00:00,7/18/2003,2003-07-18,-1.86,14.48,FPT,XFPTX
29,13.79,2003-07-25T00:00:00,7/25/2003,2003-07-25,-3.63,14.31,FPT,XFPTX
30,13.38,2003-08-01T00:00:00,8/1/2003,2003-08-01,-5.04,14.09,FPT,XFPTX
31,13.64,2003-08-08T00:00:00,8/8/2003,2003-08-08,-4.15,14.23,FPT,XFPTX
32,13.32,2003-08-15T00:00:00,8/15/2003,2003-08-15,-5.87,14.15,FPT,XFPTX
33,13.49,2003-08-22T00:00:00,8/22/2003,2003-08-22,-4.39,14.11,FPT,XFPTX
34,13.23,2003-08-29T00:00:00,8/29/2003,2003-08-29,-6.5,14.15,FPT,XFPTX
35,13.52,2003-09-05T00:00:00,9/5/2003,2003-09-05,-4.79,14.2,FPT,XFPTX
36,13.76,2003-09-12T00:00:00,9/12/2003,2003-09-12,-4.38,14.39,FPT,XFPTX
37,13.43,2003-09-19T00:00:00,9/19/2003,2003-09-19,-6.93,14.43,FPT,XFPTX
38,13.46,2003-09-26T00:00:00,9/26/2003,2003-09-26,-6.79,14.44,FPT,XFPTX
39,13.75,2003-10-03T00:00:00,10/3/2003,2003-10-03,-4.84,14.45,FPT,XFPTX
40,13.73,2003-10-10T00:00:00,10/10/2003,2003-10-10,-4.79,14.42,FPT,XFPTX
41,13.7,2003-10-17T00:00:00,10/17/2003,2003-10-17,-4.6,14.36,FPT,XFPTX
42,13.64,2003-10-24T00:00:00,10/24/2003,2003-10-24,-5.41,14.42,FPT,XFPTX
43,13.82,2003-10-31T00:00:00,10/31/2003,2003-10-31,-4.49,14.47,FPT,XFPTX
44,13.64,2003-11-07T00:00:00,11/7/2003,2003-11-07,-5.93,14.5,FPT,XFPTX
45,13.69,2003-11-14T00:00:00,11/14/2003,2003-11-14,-6.3,14.61,FPT,XFPTX
46,13.66,2003-11-21T00:00:00,11/21/2003,2003-11-21,-6.5,14.61,FPT,XFPTX
47,13.47,2003-11-28T00:00:00,11/28/2003,2003-11-28,-8.05,14.65,FPT,XFPTX
48,13.4,2003-12-05T00:00:00,12/5/2003,2003-12-05,-8.09,14.58,FPT,XFPTX
49,13.56,2003-12-12T00:00:00,12/12/2003,2003-12-12,-7.38,14.64,FPT,XFPTX
50,13.55,2003-12-19T00:00:00,12/19/2003,2003-12-19,-7.82,14.7,FPT,XFPTX
51,13.55,2003-12-26T00:00:00,12/26/2003,2003-12-26,-7.89,14.71,FPT,XFPTX
52,13.49,2004-01-02T00:00:00,1/2/2004,2004-01-02,-8.36,14.72,FPT,XFPTX
53,13.85,2004-01-09T00:00:00,1/9/2004,2004-01-09,-7.11,14.91,FPT,XFPTX
54,14.12,2004-01-16T00:00:00,1/16/2004,2004-01-16,-5.99,15.02,FPT,XFPTX
55,14.13,2004-01-23T00:00:00,1/23/2004,2004-01-23,-5.1,14.89,FPT,XFPTX
56,14.1,2004-01-30T00:00:00,1/30/2004,2004-01-30,-4.41,14.75,FPT,XFPTX
57,14.0,2004-02-06T00:00:00,2/6/2004,2004-02-06,-5.98,14.89,FPT,XFPTX
