,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.15,2010-10-01T00:00:00,10/1/2010,2010-10-01,5.66,19.07,FSD,XFSDX
1,20.02,2010-10-08T00:00:00,10/8/2010,2010-10-08,4.16,19.22,FSD,XFSDX
2,20.02,2010-10-22T00:00:00,10/22/2010,2010-10-22,3.14,19.41,FSD,XFSDX
3,20.01,2010-10-29T00:00:00,10/29/2010,2010-10-29,2.25,19.57,FSD,XFSDX
4,20.06,2010-11-05T00:00:00,11/5/2010,2010-11-05,1.26,19.81,FSD,XFSDX
5,19.61,2010-11-12T00:00:00,11/12/2010,2010-11-12,-0.56,19.72,FSD,XFSDX
6,19.23,2010-11-19T00:00:00,11/19/2010,2010-11-19,-1.49,19.52,FSD,XFSDX
7,19.1,2010-11-26T00:00:00,11/26/2010,2010-11-26,-1.24,19.34,FSD,XFSDX
8,19.1,2010-12-03T00:00:00,12/3/2010,2010-12-03,-0.62,19.22,FSD,XFSDX
9,18.16,2010-12-17T00:00:00,12/17/2010,2010-12-17,-6.15,19.35,FSD,XFSDX
10,18.17,2010-12-31T00:00:00,12/31/2010,2010-12-31,-6.48,19.43,FSD,XFSDX
11,18.79,2011-01-07T00:00:00,1/7/2011,2011-01-07,-4.72,19.72,FSD,XFSDX
12,18.86,2011-01-14T00:00:00,1/14/2011,2011-01-14,-5.04,19.86,FSD,XFSDX
13,19.02,2011-01-21T00:00:00,1/21/2011,2011-01-21,-4.42,19.9,FSD,XFSDX
14,18.96,2011-01-28T00:00:00,1/28/2011,2011-01-28,-5.15,19.99,FSD,XFSDX
15,19.11,2011-02-04T00:00:00,2/4/2011,2011-02-04,-4.88,20.09,FSD,XFSDX
16,19.39,2011-02-11T00:00:00,2/11/2011,2011-02-11,-3.91,20.18,FSD,XFSDX
17,19.45,2011-02-18T00:00:00,2/18/2011,2011-02-18,-3.95,20.25,FSD,XFSDX
18,18.89,2011-02-25T00:00:00,2/25/2011,2011-02-25,-6.16,20.13,FSD,XFSDX
19,18.96,2011-03-04T00:00:00,3/4/2011,2011-03-04,-5.37,20.04,FSD,XFSDX
20,18.7,2011-03-11T00:00:00,3/11/2011,2011-03-11,-6.22,19.94,FSD,XFSDX
21,18.66,2011-03-18T00:00:00,3/18/2011,2011-03-18,-5.71,19.79,FSD,XFSDX
22,18.89,2011-03-25T00:00:00,3/25/2011,2011-03-25,-5.27,19.94,FSD,XFSDX
23,18.92,2011-04-01T00:00:00,4/1/2011,2011-04-01,-4.92,19.9,FSD,XFSDX
24,18.87,2011-04-08T00:00:00,4/8/2011,2011-04-08,-6.03,20.08,FSD,XFSDX
25,18.92,2011-04-15T00:00:00,4/15/2011,2011-04-15,-5.54,20.03,FSD,XFSDX
