,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2003-08-29T00:00:00,8/29/2003,2003-08-29,4.9,14.3,FTF,XFTFX
1,15.03,2003-09-05T00:00:00,9/5/2003,2003-09-05,4.67,14.36,FTF,XFTFX
2,15.01,2003-09-12T00:00:00,9/12/2003,2003-09-12,4.31,14.39,FTF,XFTFX
3,15.0,2003-09-19T00:00:00,9/19/2003,2003-09-19,3.59,14.48,FTF,XFTFX
4,14.95,2003-09-26T00:00:00,9/26/2003,2003-09-26,3.1,14.5,FTF,XFTFX
5,14.96,2003-10-03T00:00:00,10/3/2003,2003-10-03,3.17,14.5,FTF,XFTFX
6,14.96,2003-10-10T00:00:00,10/10/2003,2003-10-10,2.82,14.55,FTF,XFTFX
7,14.8,2003-10-17T00:00:00,10/17/2003,2003-10-17,1.58,14.57,FTF,XFTFX
8,14.81,2003-10-24T00:00:00,10/24/2003,2003-10-24,2.14,14.5,FTF,XFTFX
9,14.7,2003-10-31T00:00:00,10/31/2003,2003-10-31,1.17,14.53,FTF,XFTFX
10,14.74,2003-11-07T00:00:00,11/7/2003,2003-11-07,1.94,14.46,FTF,XFTFX
11,14.89,2003-11-14T00:00:00,11/14/2003,2003-11-14,2.13,14.58,FTF,XFTFX
12,14.45,2003-11-21T00:00:00,11/21/2003,2003-11-21,-1.1,14.61,FTF,XFTFX
13,14.45,2003-11-28T00:00:00,11/28/2003,2003-11-28,-0.48,14.52,FTF,XFTFX
14,14.1,2003-12-05T00:00:00,12/5/2003,2003-12-05,-3.82,14.66,FTF,XFTFX
15,14.28,2003-12-12T00:00:00,12/12/2003,2003-12-12,-2.79,14.69,FTF,XFTFX
16,14.44,2003-12-19T00:00:00,12/19/2003,2003-12-19,-2.1,14.75,FTF,XFTFX
17,14.72,2003-12-26T00:00:00,12/26/2003,2003-12-26,-0.34,14.77,FTF,XFTFX
18,14.7,2004-01-02T00:00:00,1/2/2004,2004-01-02,0.2,14.67,FTF,XFTFX
19,14.98,2004-01-09T00:00:00,1/9/2004,2004-01-09,0.74,14.87,FTF,XFTFX
20,14.9,2004-01-16T00:00:00,1/16/2004,2004-01-16,0.0,14.9,FTF,XFTFX
21,14.85,2004-01-23T00:00:00,1/23/2004,2004-01-23,-0.8,14.97,FTF,XFTFX
22,14.9,2004-01-30T00:00:00,1/30/2004,2004-01-30,0.95,14.76,FTF,XFTFX
