,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,22.25,1994-01-07T00:00:00,1/7/1994,1994-01-07,-9.81,24.67,GAM,XGAMX
1,22.38,1994-01-14T00:00:00,1/14/1994,1994-01-14,-9.61,24.76,GAM,XGAMX
2,22.0,1994-01-21T00:00:00,1/21/1994,1994-01-21,-10.64,24.62,GAM,XGAMX
3,22.13,1994-01-28T00:00:00,1/28/1994,1994-01-28,-10.98,24.86,GAM,XGAMX
4,21.13,1994-02-04T00:00:00,2/4/1994,1994-02-04,-13.08,24.31,GAM,XGAMX
5,21.25,1994-02-11T00:00:00,2/11/1994,1994-02-11,-12.66,24.33,GAM,XGAMX
6,22.25,1994-02-18T00:00:00,2/18/1994,1994-02-18,-9.15,24.49,GAM,XGAMX
7,22.38,1994-02-25T00:00:00,2/25/1994,1994-02-25,-8.91,24.57,GAM,XGAMX
8,22.38,1994-03-04T00:00:00,3/4/1994,1994-03-04,-8.54,24.47,GAM,XGAMX
9,22.38,1994-03-11T00:00:00,3/11/1994,1994-03-11,-8.35,24.42,GAM,XGAMX
10,22.13,1994-03-18T00:00:00,3/18/1994,1994-03-18,-10.59,24.75,GAM,XGAMX
11,22.0,1994-03-25T00:00:00,3/25/1994,1994-03-25,-9.76,24.38,GAM,XGAMX
12,20.5,1994-04-22T00:00:00,4/22/1994,1994-04-22,-11.71,23.22,GAM,XGAMX
13,21.0,1994-04-29T00:00:00,4/29/1994,1994-04-29,-10.29,23.41,GAM,XGAMX
14,21.0,1994-05-06T00:00:00,5/6/1994,1994-05-06,-10.14,23.37,GAM,XGAMX
15,20.63,1994-05-13T00:00:00,5/13/1994,1994-05-13,-9.87,22.89,GAM,XGAMX
16,21.0,1994-05-20T00:00:00,5/20/1994,1994-05-20,-10.83,23.55,GAM,XGAMX
17,21.25,1994-05-27T00:00:00,5/27/1994,1994-05-27,-10.03,23.62,GAM,XGAMX
18,21.25,1994-06-03T00:00:00,6/3/1994,1994-06-03,-10.64,23.78,GAM,XGAMX
19,20.75,1994-06-10T00:00:00,6/10/1994,1994-06-10,-12.08,23.6,GAM,XGAMX
