,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,13.63,1995-11-10T00:00:00,11/10/1995,1995-11-10,-4.01,14.2,GCH,XGCHX
1,13.75,1995-11-17T00:00:00,11/17/1995,1995-11-17,0.51,13.68,GCH,XGCHX
2,14.0,1995-11-24T00:00:00,11/24/1995,1995-11-24,-0.99,14.14,GCH,XGCHX
3,14.13,1995-12-01T00:00:00,12/1/1995,1995-12-01,0.07,14.12,GCH,XGCHX
4,14.38,1995-12-08T00:00:00,12/8/1995,1995-12-08,-0.69,14.48,GCH,XGCHX
5,14.13,1995-12-15T00:00:00,12/15/1995,1995-12-15,-2.75,14.53,GCH,XGCHX
6,13.88,1995-12-22T00:00:00,12/22/1995,1995-12-22,-4.47,14.53,GCH,XGCHX
7,14.13,1995-12-29T00:00:00,12/29/1995,1995-12-29,-2.75,14.53,GCH,XGCHX
8,16.75,1996-01-05T00:00:00,1/5/1996,1996-01-05,7.86,15.53,GCH,XGCHX
9,16.63,1996-01-12T00:00:00,1/12/1996,1996-01-12,7.15,15.52,GCH,XGCHX
10,16.88,1996-01-19T00:00:00,1/19/1996,1996-01-19,5.96,15.93,GCH,XGCHX
11,16.5,1996-01-26T00:00:00,1/26/1996,1996-01-26,1.85,16.2,GCH,XGCHX
12,16.13,1996-02-02T00:00:00,2/2/1996,1996-02-02,-2.54,16.55,GCH,XGCHX
13,16.5,1996-02-09T00:00:00,2/9/1996,1996-02-09,1.1,16.32,GCH,XGCHX
14,16.0,1996-02-16T00:00:00,2/16/1996,1996-02-16,-4.42,16.74,GCH,XGCHX
15,15.75,1996-02-23T00:00:00,2/23/1996,1996-02-23,-4.95,16.57,GCH,XGCHX
16,15.5,1996-03-01T00:00:00,3/1/1996,1996-03-01,-4.97,16.31,GCH,XGCHX
17,14.25,1996-03-08T00:00:00,3/8/1996,1996-03-08,-12.68,16.32,GCH,XGCHX
18,14.38,1996-03-15T00:00:00,3/15/1996,1996-03-15,-6.93,15.45,GCH,XGCHX
