,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,25.0,2013-07-05T00:00:00,7/5/2013,2013-07-05,5.13,23.78,GGM,XGGMX
1,25.06,2013-07-12T00:00:00,7/12/2013,2013-07-12,5.38,23.78,GGM,XGGMX
2,25.0,2013-07-19T00:00:00,7/19/2013,2013-07-19,4.95,23.82,GGM,XGGMX
3,25.0,2013-07-26T00:00:00,7/26/2013,2013-07-26,4.87,23.84,GGM,XGGMX
4,25.02,2013-08-02T00:00:00,8/2/2013,2013-08-02,4.86,23.86,GGM,XGGMX
5,24.93,2013-08-09T00:00:00,8/9/2013,2013-08-09,4.05,23.96,GGM,XGGMX
6,23.95,2013-08-16T00:00:00,8/16/2013,2013-08-16,-0.08,23.97,GGM,XGGMX
7,24.5,2013-08-23T00:00:00,8/23/2013,2013-08-23,2.17,23.98,GGM,XGGMX
8,24.12,2013-08-30T00:00:00,8/30/2013,2013-08-30,0.33,24.04,GGM,XGGMX
9,23.5,2013-09-06T00:00:00,9/6/2013,2013-09-06,-2.21,24.03,GGM,XGGMX
10,23.5,2013-09-13T00:00:00,9/13/2013,2013-09-13,-1.96,23.97,GGM,XGGMX
11,23.74,2013-09-20T00:00:00,9/20/2013,2013-09-20,-1.53,24.11,GGM,XGGMX
12,23.55,2013-09-27T00:00:00,9/27/2013,2013-09-27,-2.28,24.1,GGM,XGGMX
13,23.45,2013-10-04T00:00:00,10/4/2013,2013-10-04,-2.37,24.02,GGM,XGGMX
14,23.04,2013-10-11T00:00:00,10/11/2013,2013-10-11,-3.76,23.94,GGM,XGGMX
15,22.7,2013-10-18T00:00:00,10/18/2013,2013-10-18,-5.73,24.08,GGM,XGGMX
16,23.289,2013-10-25T00:00:00,10/25/2013,2013-10-25,-3.88,24.23,GGM,XGGMX
17,23.01,2013-11-01T00:00:00,11/1/2013,2013-11-01,-5.46,24.34,GGM,XGGMX
18,22.33,2013-11-08T00:00:00,11/8/2013,2013-11-08,-8.18,24.32,GGM,XGGMX
19,22.44,2013-11-15T00:00:00,11/15/2013,2013-11-15,-7.27,24.2,GGM,XGGMX
20,22.09,2013-11-22T00:00:00,11/22/2013,2013-11-22,-8.83,24.23,GGM,XGGMX
21,22.35,2013-11-29T00:00:00,11/29/2013,2013-11-29,-7.99,24.29,GGM,XGGMX
22,22.4,2013-12-06T00:00:00,12/6/2013,2013-12-06,-8.05,24.36,GGM,XGGMX
23,22.87,2013-12-13T00:00:00,12/13/2013,2013-12-13,-5.61,24.23,GGM,XGGMX
24,22.49,2013-12-20T00:00:00,12/20/2013,2013-12-20,-7.33,24.27,GGM,XGGMX
25,22.73,2013-12-27T00:00:00,12/27/2013,2013-12-27,-6.58,24.33,GGM,XGGMX
26,22.58,2014-01-03T00:00:00,1/3/2014,2014-01-03,-7.15,24.32,GGM,XGGMX
27,23.05,2014-01-10T00:00:00,1/10/2014,2014-01-10,-5.76,24.46,GGM,XGGMX
28,23.01,2014-01-17T00:00:00,1/17/2014,2014-01-17,-5.74,24.41,GGM,XGGMX
29,23.12,2014-01-24T00:00:00,1/24/2014,2014-01-24,-5.32,24.42,GGM,XGGMX
30,22.949,2014-01-31T00:00:00,1/31/2014,2014-01-31,-5.99,24.41,GGM,XGGMX
31,22.9299,2014-02-07T00:00:00,2/7/2014,2014-02-07,-6.14,24.43,GGM,XGGMX
32,22.85,2014-02-14T00:00:00,2/14/2014,2014-02-14,-6.39,24.41,GGM,XGGMX
33,22.9901,2014-02-21T00:00:00,2/21/2014,2014-02-21,-6.28,24.53,GGM,XGGMX
34,23.39,2014-02-28T00:00:00,2/28/2014,2014-02-28,-5.11,24.65,GGM,XGGMX
35,23.7,2014-03-07T00:00:00,3/7/2014,2014-03-07,-3.93,24.67,GGM,XGGMX
36,23.45,2014-03-14T00:00:00,3/14/2014,2014-03-14,-4.48,24.55,GGM,XGGMX
37,23.67,2014-03-21T00:00:00,3/21/2014,2014-03-21,-3.82,24.61,GGM,XGGMX
38,24.18,2014-03-28T00:00:00,3/28/2014,2014-03-28,-2.03,24.68,GGM,XGGMX
39,23.62,2014-04-04T00:00:00,4/4/2014,2014-04-04,-4.57,24.75,GGM,XGGMX
40,24.21,2014-04-11T00:00:00,4/11/2014,2014-04-11,-1.51,24.58,GGM,XGGMX
41,24.02,2014-04-25T00:00:00,4/25/2014,2014-04-25,-2.52,24.64,GGM,XGGMX
42,24.06,2014-05-02T00:00:00,5/2/2014,2014-05-02,-2.51,24.68,GGM,XGGMX
43,24.2,2014-05-09T00:00:00,5/9/2014,2014-05-09,-2.14,24.73,GGM,XGGMX
44,24.23,2014-05-16T00:00:00,5/16/2014,2014-05-16,-1.54,24.61,GGM,XGGMX
45,24.35,2014-05-23T00:00:00,5/23/2014,2014-05-23,-1.22,24.65,GGM,XGGMX
46,24.68,2014-05-30T00:00:00,5/30/2014,2014-05-30,-0.12,24.71,GGM,XGGMX
47,24.95,2014-06-06T00:00:00,6/6/2014,2014-06-06,0.77,24.76,GGM,XGGMX
48,24.9,2014-06-13T00:00:00,6/13/2014,2014-06-13,0.97,24.66,GGM,XGGMX
49,24.55,2014-06-20T00:00:00,6/20/2014,2014-06-20,-0.85,24.76,GGM,XGGMX
50,25.0,2014-06-27T00:00:00,6/27/2014,2014-06-27,0.73,24.82,GGM,XGGMX
51,23.88,2014-07-11T00:00:00,7/11/2014,2014-07-11,-3.52,24.75,GGM,XGGMX
52,24.28,2014-07-18T00:00:00,7/18/2014,2014-07-18,-1.7,24.7,GGM,XGGMX
53,24.49,2014-07-25T00:00:00,7/25/2014,2014-07-25,-0.93,24.72,GGM,XGGMX
54,23.97,2014-08-01T00:00:00,8/1/2014,2014-08-01,-2.08,24.48,GGM,XGGMX
55,23.67,2014-08-08T00:00:00,8/8/2014,2014-08-08,-3.43,24.51,GGM,XGGMX
56,23.6625,2014-08-15T00:00:00,8/15/2014,2014-08-15,-3.54,24.53,GGM,XGGMX
57,23.93,2014-08-22T00:00:00,8/22/2014,2014-08-22,-2.6,24.57,GGM,XGGMX
58,24.05,2014-08-29T00:00:00,8/29/2014,2014-08-29,-2.43,24.65,GGM,XGGMX
59,24.75,2014-09-05T00:00:00,9/5/2014,2014-09-05,0.45,24.64,GGM,XGGMX
60,24.73,2014-09-12T00:00:00,9/12/2014,2014-09-12,1.52,24.36,GGM,XGGMX
61,24.86,2014-09-19T00:00:00,9/19/2014,2014-09-19,1.64,24.46,GGM,XGGMX
62,24.23,2014-09-26T00:00:00,9/26/2014,2014-09-26,0.17,24.19,GGM,XGGMX
63,23.8101,2014-10-03T00:00:00,10/3/2014,2014-10-03,-1.53,24.18,GGM,XGGMX
64,24.6499,2014-10-10T00:00:00,10/10/2014,2014-10-10,3.48,23.82,GGM,XGGMX
65,23.55,2014-10-17T00:00:00,10/17/2014,2014-10-17,-0.59,23.69,GGM,XGGMX
66,23.87,2014-10-24T00:00:00,10/24/2014,2014-10-24,-0.21,23.92,GGM,XGGMX
67,24.09,2014-10-31T00:00:00,10/31/2014,2014-10-31,0.92,23.87,GGM,XGGMX
68,24.2,2014-11-07T00:00:00,11/7/2014,2014-11-07,1.3,23.89,GGM,XGGMX
69,23.62,2014-11-14T00:00:00,11/14/2014,2014-11-14,-0.34,23.7,GGM,XGGMX
70,23.08,2014-11-21T00:00:00,11/21/2014,2014-11-21,-2.08,23.57,GGM,XGGMX
71,22.85,2014-11-28T00:00:00,11/28/2014,2014-11-28,-3.05,23.57,GGM,XGGMX
72,22.5,2014-12-05T00:00:00,12/5/2014,2014-12-05,-3.43,23.3,GGM,XGGMX
73,21.38,2014-12-12T00:00:00,12/12/2014,2014-12-12,-6.06,22.76,GGM,XGGMX
74,21.6701,2014-12-19T00:00:00,12/19/2014,2014-12-19,-4.62,22.72,GGM,XGGMX
75,21.95,2014-12-26T00:00:00,12/26/2014,2014-12-26,-3.77,22.81,GGM,XGGMX
76,21.58,2015-01-02T00:00:00,1/2/2015,2015-01-02,-5.64,22.87,GGM,XGGMX
77,21.7,2015-01-09T00:00:00,1/9/2015,2015-01-09,-4.62,22.75,GGM,XGGMX
78,21.55,2015-01-16T00:00:00,1/16/2015,2015-01-16,-4.39,22.54,GGM,XGGMX
79,21.73,2015-01-23T00:00:00,1/23/2015,2015-01-23,-3.81,22.59,GGM,XGGMX
80,22.03,2015-01-30T00:00:00,1/30/2015,2015-01-30,-2.61,22.62,GGM,XGGMX
81,23.08,2015-02-06T00:00:00,2/6/2015,2015-02-06,1.32,22.78,GGM,XGGMX
82,23.55,2015-02-13T00:00:00,2/13/2015,2015-02-13,3.43,22.77,GGM,XGGMX
83,23.4,2015-02-20T00:00:00,2/20/2015,2015-02-20,2.23,22.89,GGM,XGGMX
84,22.4,2015-02-27T00:00:00,2/27/2015,2015-02-27,-3.11,23.12,GGM,XGGMX
85,22.34,2015-03-06T00:00:00,3/6/2015,2015-03-06,-3.29,23.1,GGM,XGGMX
86,22.26,2015-03-13T00:00:00,3/13/2015,2015-03-13,-2.75,22.89,GGM,XGGMX
87,22.69,2015-03-20T00:00:00,3/20/2015,2015-03-20,-0.92,22.9,GGM,XGGMX
88,23.24,2015-03-27T00:00:00,3/27/2015,2015-03-27,1.35,22.93,GGM,XGGMX
89,23.37,2015-04-10T00:00:00,4/10/2015,2015-04-10,0.99,23.14,GGM,XGGMX
90,22.8,2015-04-17T00:00:00,4/17/2015,2015-04-17,-1.26,23.09,GGM,XGGMX
91,22.77,2015-04-24T00:00:00,4/24/2015,2015-04-24,-2.02,23.24,GGM,XGGMX
92,22.79,2015-05-01T00:00:00,5/1/2015,2015-05-01,-2.15,23.29,GGM,XGGMX
93,23.128,2015-05-08T00:00:00,5/8/2015,2015-05-08,-1.25,23.42,GGM,XGGMX
94,23.03,2015-05-15T00:00:00,5/15/2015,2015-05-15,-1.07,23.28,GGM,XGGMX
95,23.0839,2015-05-22T00:00:00,5/22/2015,2015-05-22,-0.97,23.31,GGM,XGGMX
96,23.07,2015-05-29T00:00:00,5/29/2015,2015-05-29,-1.16,23.34,GGM,XGGMX
97,23.16,2015-06-05T00:00:00,6/5/2015,2015-06-05,-0.52,23.28,GGM,XGGMX
98,23.0801,2015-06-12T00:00:00,6/12/2015,2015-06-12,0.04,23.07,GGM,XGGMX
99,22.86,2015-06-19T00:00:00,6/19/2015,2015-06-19,-1.17,23.13,GGM,XGGMX
100,22.06,2015-06-26T00:00:00,6/26/2015,2015-06-26,-4.5,23.1,GGM,XGGMX
101,22.8,2015-07-10T00:00:00,7/10/2015,2015-07-10,-0.83,22.99,GGM,XGGMX
102,22.67,2015-07-17T00:00:00,7/17/2015,2015-07-17,-0.87,22.87,GGM,XGGMX
