,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.02,2005-04-01T00:00:00,4/1/2005,2005-04-01,4.98,19.07,GGN,XGGNX
1,20.02,2005-04-08T00:00:00,4/8/2005,2005-04-08,5.09,19.05,GGN,XGGNX
2,20.01,2005-04-15T00:00:00,4/15/2005,2005-04-15,7.18,18.67,GGN,XGGNX
3,20.01,2005-04-22T00:00:00,4/22/2005,2005-04-22,5.99,18.88,GGN,XGGNX
4,20.0,2005-04-29T00:00:00,4/29/2005,2005-04-29,8.11,18.5,GGN,XGGNX
5,20.0,2005-05-06T00:00:00,5/6/2005,2005-05-06,6.38,18.8,GGN,XGGNX
6,19.79,2005-05-13T00:00:00,5/13/2005,2005-05-13,10.25,17.95,GGN,XGGNX
7,18.1,2005-05-20T00:00:00,5/20/2005,2005-05-20,-0.88,18.26,GGN,XGGNX
8,18.45,2005-05-27T00:00:00,5/27/2005,2005-05-27,-3.0,19.02,GGN,XGGNX
9,19.4,2005-06-03T00:00:00,6/3/2005,2005-06-03,0.78,19.25,GGN,XGGNX
10,19.96,2005-06-10T00:00:00,6/10/2005,2005-06-10,2.67,19.44,GGN,XGGNX
11,19.61,2005-06-17T00:00:00,6/17/2005,2005-06-17,-1.11,19.83,GGN,XGGNX
12,19.65,2005-06-24T00:00:00,6/24/2005,2005-06-24,-0.1,19.67,GGN,XGGNX
13,19.89,2005-07-01T00:00:00,7/1/2005,2005-07-01,0.45,19.8,GGN,XGGNX
14,20.05,2005-07-08T00:00:00,7/8/2005,2005-07-08,0.96,19.86,GGN,XGGNX
15,19.87,2005-07-15T00:00:00,7/15/2005,2005-07-15,1.27,19.62,GGN,XGGNX
16,19.96,2005-07-22T00:00:00,7/22/2005,2005-07-22,-0.89,20.14,GGN,XGGNX
17,19.99,2005-07-29T00:00:00,7/29/2005,2005-07-29,0.1,19.97,GGN,XGGNX
18,20.27,2005-08-05T00:00:00,8/5/2005,2005-08-05,-0.78,20.43,GGN,XGGNX
19,20.5,2005-08-12T00:00:00,8/12/2005,2005-08-12,-1.49,20.81,GGN,XGGNX
20,20.4,2005-08-19T00:00:00,8/19/2005,2005-08-19,-0.2,20.44,GGN,XGGNX
21,20.24,2005-08-26T00:00:00,8/26/2005,2005-08-26,0.1,20.22,GGN,XGGNX
22,20.87,2005-09-02T00:00:00,9/2/2005,2005-09-02,0.38,20.79,GGN,XGGNX
23,21.3,2005-09-09T00:00:00,9/9/2005,2005-09-09,0.71,21.15,GGN,XGGNX
24,21.31,2005-09-16T00:00:00,9/16/2005,2005-09-16,0.0,21.31,GGN,XGGNX
25,21.05,2005-09-23T00:00:00,9/23/2005,2005-09-23,-0.94,21.25,GGN,XGGNX
26,21.88,2005-09-30T00:00:00,9/30/2005,2005-09-30,2.15,21.42,GGN,XGGNX
27,21.7,2005-10-07T00:00:00,10/7/2005,2005-10-07,3.19,21.03,GGN,XGGNX
28,21.17,2005-10-14T00:00:00,10/14/2005,2005-10-14,3.12,20.53,GGN,XGGNX
29,20.22,2005-10-21T00:00:00,10/21/2005,2005-10-21,0.55,20.11,GGN,XGGNX
30,20.79,2005-10-28T00:00:00,10/28/2005,2005-10-28,0.92,20.6,GGN,XGGNX
31,20.89,2005-11-04T00:00:00,11/4/2005,2005-11-04,-0.33,20.96,GGN,XGGNX
32,21.37,2005-11-18T00:00:00,11/18/2005,2005-11-18,-0.14,21.4,GGN,XGGNX
33,21.65,2005-11-25T00:00:00,11/25/2005,2005-11-25,-0.78,21.82,GGN,XGGNX
34,21.13,2005-12-02T00:00:00,12/2/2005,2005-12-02,-3.52,21.9,GGN,XGGNX
35,21.8,2005-12-09T00:00:00,12/9/2005,2005-12-09,-1.76,22.19,GGN,XGGNX
36,21.58,2005-12-16T00:00:00,12/16/2005,2005-12-16,-1.55,21.92,GGN,XGGNX
37,21.48,2005-12-23T00:00:00,12/23/2005,2005-12-23,-3.07,22.16,GGN,XGGNX
38,21.8,2005-12-30T00:00:00,12/30/2005,2005-12-30,-0.86,21.99,GGN,XGGNX
39,22.49,2006-01-06T00:00:00,1/6/2006,2006-01-06,-0.71,22.65,GGN,XGGNX
40,22.8,2006-01-13T00:00:00,1/13/2006,2006-01-13,0.71,22.64,GGN,XGGNX
41,22.85,2006-01-20T00:00:00,1/20/2006,2006-01-20,0.75,22.68,GGN,XGGNX
42,23.25,2006-01-27T00:00:00,1/27/2006,2006-01-27,1.17,22.98,GGN,XGGNX
43,23.28,2006-02-03T00:00:00,2/3/2006,2006-02-03,2.24,22.77,GGN,XGGNX
44,22.61,2006-02-10T00:00:00,2/10/2006,2006-02-10,2.35,22.09,GGN,XGGNX
45,22.39,2006-02-17T00:00:00,2/17/2006,2006-02-17,0.95,22.18,GGN,XGGNX
46,22.6,2006-02-24T00:00:00,2/24/2006,2006-02-24,0.8,22.42,GGN,XGGNX
47,22.7,2006-03-03T00:00:00,3/3/2006,2006-03-03,0.89,22.5,GGN,XGGNX
48,21.45,2006-03-10T00:00:00,3/10/2006,2006-03-10,-1.38,21.75,GGN,XGGNX
49,22.0,2006-03-17T00:00:00,3/17/2006,2006-03-17,-0.81,22.18,GGN,XGGNX
50,22.1,2006-03-24T00:00:00,3/24/2006,2006-03-24,-1.78,22.5,GGN,XGGNX
51,22.63,2006-03-31T00:00:00,3/31/2006,2006-03-31,-1.86,23.06,GGN,XGGNX
52,23.6,2006-04-07T00:00:00,4/7/2006,2006-04-07,1.11,23.34,GGN,XGGNX
53,23.0,2006-04-21T00:00:00,4/21/2006,2006-04-21,-3.81,23.91,GGN,XGGNX
54,23.08,2006-04-28T00:00:00,4/28/2006,2006-04-28,-3.23,23.85,GGN,XGGNX
55,23.8,2006-05-05T00:00:00,5/5/2006,2006-05-05,-2.06,24.3,GGN,XGGNX
56,23.09,2006-05-12T00:00:00,5/12/2006,2006-05-12,-3.59,23.95,GGN,XGGNX
57,21.75,2006-05-19T00:00:00,5/19/2006,2006-05-19,-3.5,22.54,GGN,XGGNX
58,22.49,2006-05-26T00:00:00,5/26/2006,2006-05-26,-2.0,22.95,GGN,XGGNX
59,22.26,2006-06-02T00:00:00,6/2/2006,2006-06-02,-4.13,23.22,GGN,XGGNX
60,21.07,2006-06-09T00:00:00,6/9/2006,2006-06-09,-3.13,21.75,GGN,XGGNX
61,21.52,2006-06-16T00:00:00,6/16/2006,2006-06-16,-0.88,21.71,GGN,XGGNX
62,21.42,2006-06-23T00:00:00,6/23/2006,2006-06-23,-3.51,22.2,GGN,XGGNX
63,22.25,2006-06-30T00:00:00,6/30/2006,2006-06-30,-4.55,23.31,GGN,XGGNX
64,22.32,2006-07-07T00:00:00,7/7/2006,2006-07-07,-4.0,23.25,GGN,XGGNX
65,22.41,2006-07-14T00:00:00,7/14/2006,2006-07-14,-2.9,23.08,GGN,XGGNX
66,21.39,2006-07-21T00:00:00,7/21/2006,2006-07-21,-2.42,21.92,GGN,XGGNX
67,21.88,2006-07-28T00:00:00,7/28/2006,2006-07-28,-5.24,23.09,GGN,XGGNX
68,22.1,2006-08-04T00:00:00,8/4/2006,2006-08-04,-5.03,23.27,GGN,XGGNX
69,22.39,2006-08-11T00:00:00,8/11/2006,2006-08-11,-3.32,23.16,GGN,XGGNX
70,22.04,2006-08-18T00:00:00,8/18/2006,2006-08-18,-4.34,23.04,GGN,XGGNX
71,22.8,2006-08-25T00:00:00,8/25/2006,2006-08-25,-2.56,23.4,GGN,XGGNX
72,22.7,2006-09-01T00:00:00,9/1/2006,2006-09-01,-3.77,23.59,GGN,XGGNX
73,21.98,2006-09-08T00:00:00,9/8/2006,2006-09-08,-3.64,22.81,GGN,XGGNX
74,21.18,2006-09-15T00:00:00,9/15/2006,2006-09-15,-1.12,21.42,GGN,XGGNX
75,21.7,2006-09-22T00:00:00,9/22/2006,2006-09-22,2.02,21.27,GGN,XGGNX
76,22.3,2006-09-29T00:00:00,9/29/2006,2006-09-29,2.15,21.83,GGN,XGGNX
77,21.24,2006-10-06T00:00:00,10/6/2006,2006-10-06,-1.21,21.5,GGN,XGGNX
78,22.0,2006-10-13T00:00:00,10/13/2006,2006-10-13,-0.72,22.16,GGN,XGGNX
79,22.85,2006-10-20T00:00:00,10/20/2006,2006-10-20,1.96,22.41,GGN,XGGNX
80,23.7,2006-10-27T00:00:00,10/27/2006,2006-10-27,3.81,22.83,GGN,XGGNX
81,23.45,2006-11-03T00:00:00,11/3/2006,2006-11-03,0.64,23.3,GGN,XGGNX
82,23.85,2006-11-10T00:00:00,11/10/2006,2006-11-10,1.1,23.59,GGN,XGGNX
83,23.58,2006-11-17T00:00:00,11/17/2006,2006-11-17,2.7,22.96,GGN,XGGNX
84,23.95,2006-11-24T00:00:00,11/24/2006,2006-11-24,0.8,23.76,GGN,XGGNX
85,24.69,2006-12-01T00:00:00,12/1/2006,2006-12-01,1.31,24.37,GGN,XGGNX
86,24.46,2006-12-08T00:00:00,12/8/2006,2006-12-08,0.49,24.34,GGN,XGGNX
87,24.15,2006-12-15T00:00:00,12/15/2006,2006-12-15,-0.86,24.36,GGN,XGGNX
88,24.55,2006-12-22T00:00:00,12/22/2006,2006-12-22,3.06,23.82,GGN,XGGNX
89,24.6,2006-12-29T00:00:00,12/29/2006,2006-12-29,2.16,24.08,GGN,XGGNX
90,23.0,2007-01-05T00:00:00,1/5/2007,2007-01-05,0.39,22.91,GGN,XGGNX
91,23.1,2007-01-12T00:00:00,1/12/2007,2007-01-12,-0.17,23.14,GGN,XGGNX
92,23.09,2007-01-19T00:00:00,1/19/2007,2007-01-19,-0.86,23.29,GGN,XGGNX
