,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,8.06,1994-10-14T00:00:00,10/14/1994,1994-10-14,7.47,7.5,GGT,XGGTX
1,7.95,1994-10-21T00:00:00,10/21/1994,1994-10-21,3.87,7.65,GGT,XGGTX
2,7.95,1994-10-28T00:00:00,10/28/1994,1994-10-28,3.87,7.65,GGT,XGGTX
3,7.95,1994-11-04T00:00:00,11/4/1994,1994-11-04,3.87,7.65,GGT,XGGTX
4,7.35,1994-11-18T00:00:00,11/18/1994,1994-11-18,-2.13,7.51,GGT,XGGTX
5,7.1,1994-11-25T00:00:00,11/25/1994,1994-11-25,-5.33,7.5,GGT,XGGTX
6,6.74,1994-12-02T00:00:00,12/2/1994,1994-12-02,-10.13,7.5,GGT,XGGTX
7,6.86,1994-12-09T00:00:00,12/9/1994,1994-12-09,-8.41,7.49,GGT,XGGTX
8,6.86,1994-12-16T00:00:00,12/16/1994,1994-12-16,-8.78,7.52,GGT,XGGTX
9,6.74,1994-12-23T00:00:00,12/23/1994,1994-12-23,-10.01,7.49,GGT,XGGTX
10,7.1,1994-12-30T00:00:00,12/30/1994,1994-12-30,-5.46,7.51,GGT,XGGTX
11,7.47,1995-01-06T00:00:00,1/6/1995,1995-01-06,-0.4,7.5,GGT,XGGTX
12,7.71,1995-01-13T00:00:00,1/13/1995,1995-01-13,2.53,7.52,GGT,XGGTX
13,7.59,1995-01-20T00:00:00,1/20/1995,1995-01-20,0.93,7.52,GGT,XGGTX
14,7.35,1995-01-27T00:00:00,1/27/1995,1995-01-27,-2.39,7.53,GGT,XGGTX
15,7.35,1995-02-03T00:00:00,2/3/1995,1995-02-03,-3.16,7.59,GGT,XGGTX
16,7.35,1995-02-10T00:00:00,2/10/1995,1995-02-10,-3.67,7.63,GGT,XGGTX
17,7.1,1995-02-17T00:00:00,2/17/1995,1995-02-17,-6.46,7.59,GGT,XGGTX
18,7.23,1995-02-24T00:00:00,2/24/1995,1995-02-24,-5.37,7.64,GGT,XGGTX
19,7.1,1995-03-03T00:00:00,3/3/1995,1995-03-03,-6.7,7.61,GGT,XGGTX
20,6.86,1995-03-10T00:00:00,3/10/1995,1995-03-10,-10.09,7.63,GGT,XGGTX
21,6.74,1995-03-17T00:00:00,3/17/1995,1995-03-17,-11.78,7.64,GGT,XGGTX
22,6.86,1995-03-24T00:00:00,3/24/1995,1995-03-24,-10.56,7.67,GGT,XGGTX
23,6.62,1995-03-31T00:00:00,3/31/1995,1995-03-31,-13.69,7.67,GGT,XGGTX
24,6.86,1995-04-07T00:00:00,4/7/1995,1995-04-07,-11.02,7.71,GGT,XGGTX
25,7.1,1995-04-21T00:00:00,4/21/1995,1995-04-21,-7.67,7.69,GGT,XGGTX
26,6.98,1995-04-28T00:00:00,4/28/1995,1995-04-28,-9.94,7.75,GGT,XGGTX
27,6.74,1995-05-05T00:00:00,5/5/1995,1995-05-05,-13.14,7.76,GGT,XGGTX
28,6.86,1995-05-12T00:00:00,5/12/1995,1995-05-12,-12.16,7.81,GGT,XGGTX
29,6.74,1995-05-19T00:00:00,5/19/1995,1995-05-19,-13.48,7.79,GGT,XGGTX
30,6.74,1995-05-26T00:00:00,5/26/1995,1995-05-26,-13.7,7.81,GGT,XGGTX
31,6.74,1995-06-02T00:00:00,6/2/1995,1995-06-02,-13.92,7.83,GGT,XGGTX
32,6.98,1995-06-09T00:00:00,6/9/1995,1995-06-09,-10.74,7.82,GGT,XGGTX
33,6.86,1995-06-16T00:00:00,6/16/1995,1995-06-16,-13.6,7.94,GGT,XGGTX
34,7.1,1995-06-23T00:00:00,6/23/1995,1995-06-23,-11.03,7.98,GGT,XGGTX
35,7.23,1995-06-30T00:00:00,6/30/1995,1995-06-30,-8.94,7.94,GGT,XGGTX
