,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/1/2017,6/14/2017,0.09,6/30/2017,,0.09,GHY
1,,,6/1/2017,7/12/2017,0.09,7/31/2017,,0.09,GHY
2,,,6/1/2017,8/16/2017,0.09,8/31/2017,,0.09,GHY
3,,,2/28/2017,3/15/2017,0.1,3/31/2017,,0.1,GHY
4,,,2/28/2017,4/12/2017,0.1,4/28/2017,,0.1,GHY
5,,,2/28/2017,5/10/2017,0.1,5/31/2017,,0.1,GHY
6,,,11/28/2016,12/14/2016,0.1,12/30/2016,,0.1,GHY
7,,,11/28/2016,12/28/2016,0.1,1/9/2017,,0.1,GHY
8,,,11/28/2016,2/15/2017,0.1,2/28/2017,,0.1,GHY
9,,,8/31/2016,9/14/2016,0.1,9/30/2016,,0.1,GHY
10,,,8/31/2016,10/12/2016,0.1,10/31/2016,,0.1,GHY
11,,,8/31/2016,11/16/2016,0.1,11/30/2016,,0.1,GHY
12,,,5/26/2016,6/15/2016,0.11,6/30/2016,,0.11,GHY
13,,,5/26/2016,7/13/2016,0.11,7/29/2016,,0.11,GHY
14,,,5/26/2016,8/17/2016,0.11,8/31/2016,,0.11,GHY
15,,,2/25/2016,3/16/2016,0.11,3/31/2016,,0.11,GHY
16,,,2/25/2016,4/13/2016,0.11,4/29/2016,,0.11,GHY
17,,,2/25/2016,5/11/2016,0.11,5/31/2016,,0.11,GHY
18,,,11/24/2015,12/16/2015,0.11,12/31/2015,,0.11,GHY
19,,,11/24/2015,12/28/2015,0.11,1/11/2016,,0.11,GHY
20,,,11/24/2015,2/17/2016,0.11,2/29/2016,,0.11,GHY
21,,,9/2/2015,9/16/2015,0.11,9/30/2015,,0.11,GHY
22,,,9/2/2015,10/14/2015,0.11,10/30/2015,,0.11,GHY
23,,,9/2/2015,11/18/2015,0.11,11/30/2015,,0.11,GHY
24,,,5/28/2015,6/17/2015,0.125,6/30/2015,,0.125,GHY
25,,,5/28/2015,7/15/2015,0.125,7/31/2015,,0.125,GHY
26,,,5/28/2015,8/19/2015,0.125,8/31/2015,,0.125,GHY
27,,,2/26/2015,3/18/2015,0.125,3/31/2015,,0.125,GHY
28,,,2/26/2015,4/15/2015,0.125,4/30/2015,,0.125,GHY
29,,,2/26/2015,5/13/2015,0.125,5/29/2015,,0.125,GHY
30,,,11/25/2014,12/17/2014,0.125,12/31/2014,,0.125,GHY
31,,,11/25/2014,12/26/2014,0.125,1/9/2015,,0.125,GHY
32,,,11/25/2014,12/26/2014,0.254,1/9/2015,S,0.254,GHY
33,,,11/25/2014,2/19/2015,0.125,2/27/2015,,0.125,GHY
34,,,8/28/2014,9/17/2014,0.125,9/30/2014,,0.125,GHY
35,,,8/28/2014,10/15/2014,0.125,10/31/2014,,0.125,GHY
36,,,8/28/2014,11/18/2014,0.125,11/28/2014,,0.125,GHY
37,,,5/28/2014,6/18/2014,0.125,6/30/2014,,0.125,GHY
38,,,5/28/2014,7/16/2014,0.125,7/31/2014,,0.125,GHY
39,,,5/28/2014,8/19/2014,0.125,8/29/2014,,0.125,GHY
40,,,2/27/2014,3/25/2014,0.125,3/31/2014,,0.125,GHY
41,,,2/27/2014,4/15/2014,0.125,4/30/2014,,0.125,GHY
42,,,2/27/2014,5/19/2014,0.125,5/30/2014,,0.125,GHY
43,,,11/26/2013,2/19/2014,0.125,2/28/2014,,0.125,GHY
44,,,11/26/2013,12/18/2013,0.125,12/31/2013,,0.125,GHY
45,,,11/26/2013,12/27/2013,0.125,1/10/2014,,0.125,GHY
46,,,8/28/2013,9/18/2013,0.125,9/30/2013,,0.125,GHY
47,,,8/28/2013,10/16/2013,0.125,10/31/2013,,0.125,GHY
48,,,8/28/2013,11/18/2013,0.125,11/29/2013,,0.125,GHY
49,,,6/3/2013,6/18/2013,0.125,6/28/2013,,0.125,GHY
50,,,6/3/2013,7/17/2013,0.125,7/31/2013,,0.125,GHY
51,,,6/3/2013,8/19/2013,0.125,8/30/2013,,0.125,GHY
52,,0.0147,1/28/2013,3/18/2013,0.1059,3/28/2013,,0.125,GHY
53,,,1/28/2013,4/17/2013,0.125,4/30/2013,,0.125,GHY
54,,,1/28/2013,5/20/2013,0.125,5/31/2013,,0.125,GHY
55,,0.0666,1/28/2013,2/19/2013,0.0584,2/28/2013,,0.125,GHY
