Date,Open,High,Low,Close,Adj Close,Volume
2006-05-02,20.139999,20.25,20.1,7.123282,20.15,129100
2006-05-03,20.15,20.280001,20.15,7.130351,20.17,91700
2006-05-04,20.200001,20.24,20.18,7.151565,20.23,63300
2006-05-05,20.209999,20.280001,20.129999,7.158632,20.25,79200
2006-05-08,20.25,20.299999,20.15,7.151565,20.23,77200
2006-05-09,20.23,20.23,20.049999,7.116212,20.129999,170700
2006-05-10,20.190001,20.25,20.139999,7.151565,20.23,77700
2006-05-11,20.25,20.299999,20.200001,7.176307,20.299999,128400
2006-05-12,20.25,20.35,20.200001,7.179842,20.309999,84200
2006-05-15,20.299999,20.299999,20.15,7.155097,20.24,97600
2006-05-16,20.24,20.25,20.120001,7.148027,20.219999,90700
2006-05-17,20.280001,20.299999,20.1,7.130351,20.17,113900
2006-05-18,20.18,20.23,20.1,7.11268,20.120001,110600
2006-05-19,20.049999,20.1,20.0,7.08086,20.030001,332100
2006-05-22,20.01,20.01,20.0,7.070252,20.0,162300
2006-05-23,20.01,20.15,20.0,7.087931,20.049999,87000
2006-05-24,20.0,20.09,20.0,7.084396,20.040001,69600
2006-05-25,20.0,20.1,20.0,7.070252,20.0,82400
2006-05-26,20.02,20.09,20.0,7.098534,20.08,56300
2006-05-30,20.02,20.15,20.0,7.091462,20.059999,225200
2006-05-31,20.02,20.25,20.0,7.070252,20.0,129100
2006-06-01,20.02,20.299999,20.0,7.158632,20.25,221200
2006-06-02,20.25,20.299999,20.139999,7.158632,20.25,67100
2006-06-05,20.360001,20.360001,20.0,7.073789,20.01,56000
2006-06-06,20.01,20.049999,20.0,7.073789,20.01,62500
2006-06-07,20.01,20.049999,20.0,7.070252,20.0,56200
2006-06-08,20.0,20.01,19.059999,6.787445,19.200001,213700
2006-06-09,19.049999,19.08,18.85,6.670786,18.870001,51900
2006-06-12,18.870001,18.9,18.469999,6.543521,18.51,67300
2006-06-13,18.559999,18.6,17.950001,6.416258,18.15,94400
2006-06-14,18.049999,18.950001,18.0,6.68139,18.9,90600
2006-06-15,19.049999,19.75,18.99,6.964202,19.700001,79300
2006-06-16,19.709999,19.77,19.6,6.988943,19.77,27100
2006-06-19,19.75,19.75,19.25,6.822796,19.299999,31300
2006-06-20,19.200001,19.450001,19.15,6.8334,19.33,69000
2006-06-21,19.299999,19.6,19.049999,6.787445,19.200001,79600
2006-06-22,19.200001,19.200001,19.01,6.720277,19.01,51500
2006-06-23,19.02,19.34,18.9,6.741488,19.07,64700
2006-06-26,19.1,19.1,18.610001,6.628363,18.75,83400
