,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,2004-07-30T00:00:00,7/30/2004,2004-07-30,4.82,19.08,GLV,XGLVX
1,20.0,2004-08-06T00:00:00,8/6/2004,2004-08-06,6.1,18.85,GLV,XGLVX
2,20.01,2004-08-13T00:00:00,8/13/2004,2004-08-13,6.15,18.85,GLV,XGLVX
3,20.01,2004-08-20T00:00:00,8/20/2004,2004-08-20,4.93,19.07,GLV,XGLVX
4,20.2,2004-08-27T00:00:00,8/27/2004,2004-08-27,5.54,19.14,GLV,XGLVX
5,20.1,2004-09-03T00:00:00,9/3/2004,2004-09-03,4.25,19.28,GLV,XGLVX
6,20.18,2004-09-10T00:00:00,9/10/2004,2004-09-10,4.02,19.4,GLV,XGLVX
7,20.11,2004-09-17T00:00:00,9/17/2004,2004-09-17,3.13,19.5,GLV,XGLVX
8,20.2,2004-09-24T00:00:00,9/24/2004,2004-09-24,3.48,19.52,GLV,XGLVX
9,20.75,2004-10-01T00:00:00,10/1/2004,2004-10-01,5.01,19.76,GLV,XGLVX
10,20.85,2004-10-08T00:00:00,10/8/2004,2004-10-08,4.56,19.94,GLV,XGLVX
11,20.9,2004-10-15T00:00:00,10/15/2004,2004-10-15,8.29,19.3,GLV,XGLVX
12,20.8,2004-10-22T00:00:00,10/22/2004,2004-10-22,7.44,19.36,GLV,XGLVX
13,20.55,2004-10-29T00:00:00,10/29/2004,2004-10-29,5.76,19.43,GLV,XGLVX
14,20.65,2004-11-05T00:00:00,11/5/2004,2004-11-05,5.09,19.65,GLV,XGLVX
15,20.15,2004-11-12T00:00:00,11/12/2004,2004-11-12,1.0,19.95,GLV,XGLVX
16,20.74,2004-11-19T00:00:00,11/19/2004,2004-11-19,3.34,20.07,GLV,XGLVX
17,20.96,2004-11-26T00:00:00,11/26/2004,2004-11-26,2.34,20.48,GLV,XGLVX
18,20.8,2004-12-03T00:00:00,12/3/2004,2004-12-03,2.77,20.24,GLV,XGLVX
19,21.29,2004-12-10T00:00:00,12/10/2004,2004-12-10,6.72,19.95,GLV,XGLVX
20,22.2,2004-12-17T00:00:00,12/17/2004,2004-12-17,9.47,20.28,GLV,XGLVX
21,22.1,2005-01-07T00:00:00,1/7/2005,2005-01-07,10.78,19.95,GLV,XGLVX
22,22.14,2005-01-14T00:00:00,1/14/2005,2005-01-14,9.12,20.29,GLV,XGLVX
23,22.15,2005-01-21T00:00:00,1/21/2005,2005-01-21,11.14,19.93,GLV,XGLVX
24,21.3,2005-01-28T00:00:00,1/28/2005,2005-01-28,5.81,20.13,GLV,XGLVX
25,21.4,2005-02-04T00:00:00,2/4/2005,2005-02-04,4.09,20.56,GLV,XGLVX
26,22.2,2005-02-11T00:00:00,2/11/2005,2005-02-11,6.58,20.83,GLV,XGLVX
27,22.5,2005-02-18T00:00:00,2/18/2005,2005-02-18,6.94,21.04,GLV,XGLVX
28,23.4,2005-02-25T00:00:00,2/25/2005,2005-02-25,9.24,21.42,GLV,XGLVX
29,22.88,2005-03-04T00:00:00,3/4/2005,2005-03-04,4.76,21.84,GLV,XGLVX
30,22.95,2005-03-11T00:00:00,3/11/2005,2005-03-11,7.75,21.3,GLV,XGLVX
31,22.35,2005-03-18T00:00:00,3/18/2005,2005-03-18,3.95,21.5,GLV,XGLVX
32,22.09,2005-03-25T00:00:00,3/25/2005,2005-03-25,5.54,20.93,GLV,XGLVX
33,21.3,2005-04-01T00:00:00,4/1/2005,2005-04-01,0.66,21.16,GLV,XGLVX
34,21.63,2005-04-08T00:00:00,4/8/2005,2005-04-08,2.8,21.04,GLV,XGLVX
35,21.55,2005-04-15T00:00:00,4/15/2005,2005-04-15,6.16,20.3,GLV,XGLVX
36,21.4,2005-04-22T00:00:00,4/22/2005,2005-04-22,3.88,20.6,GLV,XGLVX
37,21.51,2005-04-29T00:00:00,4/29/2005,2005-04-29,5.39,20.41,GLV,XGLVX
38,22.25,2005-05-06T00:00:00,5/6/2005,2005-05-06,8.01,20.6,GLV,XGLVX
39,22.3,2005-05-13T00:00:00,5/13/2005,2005-05-13,10.89,20.11,GLV,XGLVX
40,22.8,2005-05-20T00:00:00,5/20/2005,2005-05-20,13.26,20.13,GLV,XGLVX
41,22.65,2005-05-27T00:00:00,5/27/2005,2005-05-27,9.79,20.63,GLV,XGLVX
42,22.42,2005-06-03T00:00:00,6/3/2005,2005-06-03,6.86,20.98,GLV,XGLVX
43,22.47,2005-06-10T00:00:00,6/10/2005,2005-06-10,6.54,21.09,GLV,XGLVX
44,22.96,2005-06-17T00:00:00,6/17/2005,2005-06-17,5.86,21.69,GLV,XGLVX
45,22.53,2005-06-24T00:00:00,6/24/2005,2005-06-24,4.6,21.54,GLV,XGLVX
46,22.95,2005-07-01T00:00:00,7/1/2005,2005-07-01,6.2,21.61,GLV,XGLVX
47,23.58,2005-07-08T00:00:00,7/8/2005,2005-07-08,8.21,21.79,GLV,XGLVX
48,22.85,2005-07-15T00:00:00,7/15/2005,2005-07-15,7.08,21.34,GLV,XGLVX
49,23.85,2005-07-22T00:00:00,7/22/2005,2005-07-22,9.2,21.84,GLV,XGLVX
50,23.15,2005-07-29T00:00:00,7/29/2005,2005-07-29,5.42,21.96,GLV,XGLVX
51,23.6,2005-08-05T00:00:00,8/5/2005,2005-08-05,6.64,22.13,GLV,XGLVX
52,24.2,2005-08-12T00:00:00,8/12/2005,2005-08-12,5.91,22.85,GLV,XGLVX
53,24.38,2005-08-19T00:00:00,8/19/2005,2005-08-19,8.65,22.44,GLV,XGLVX
54,23.11,2005-08-26T00:00:00,8/26/2005,2005-08-26,2.48,22.55,GLV,XGLVX
55,24.35,2005-09-02T00:00:00,9/2/2005,2005-09-02,3.84,23.45,GLV,XGLVX
56,25.97,2005-09-09T00:00:00,9/9/2005,2005-09-09,9.86,23.64,GLV,XGLVX
57,25.9,2005-09-16T00:00:00,9/16/2005,2005-09-16,9.28,23.7,GLV,XGLVX
58,26.02,2005-09-23T00:00:00,9/23/2005,2005-09-23,9.37,23.79,GLV,XGLVX
59,27.34,2005-09-30T00:00:00,9/30/2005,2005-09-30,11.27,24.57,GLV,XGLVX
60,25.8,2005-10-07T00:00:00,10/7/2005,2005-10-07,10.07,23.44,GLV,XGLVX
61,25.89,2005-10-14T00:00:00,10/14/2005,2005-10-14,14.05,22.7,GLV,XGLVX
62,25.15,2005-10-21T00:00:00,10/21/2005,2005-10-21,12.53,22.35,GLV,XGLVX
63,25.5,2005-10-28T00:00:00,10/28/2005,2005-10-28,12.68,22.63,GLV,XGLVX
64,24.95,2005-11-04T00:00:00,11/4/2005,2005-11-04,9.09,22.87,GLV,XGLVX
65,24.85,2005-11-18T00:00:00,11/18/2005,2005-11-18,8.09,22.99,GLV,XGLVX
66,27.6,2005-11-25T00:00:00,11/25/2005,2005-11-25,18.66,23.26,GLV,XGLVX
67,26.9,2005-12-02T00:00:00,12/2/2005,2005-12-02,13.98,23.6,GLV,XGLVX
68,27.2,2005-12-09T00:00:00,12/9/2005,2005-12-09,14.53,23.75,GLV,XGLVX
69,27.8,2005-12-16T00:00:00,12/16/2005,2005-12-16,16.56,23.85,GLV,XGLVX
70,27.1,2005-12-23T00:00:00,12/23/2005,2005-12-23,11.66,24.27,GLV,XGLVX
71,27.1,2005-12-30T00:00:00,12/30/2005,2005-12-30,17.57,23.05,GLV,XGLVX
72,26.25,2006-01-06T00:00:00,1/6/2006,2006-01-06,9.65,23.94,GLV,XGLVX
73,26.1,2006-01-13T00:00:00,1/13/2006,2006-01-13,8.07,24.15,GLV,XGLVX
74,26.55,2006-01-20T00:00:00,1/20/2006,2006-01-20,10.49,24.03,GLV,XGLVX
75,26.95,2006-01-27T00:00:00,1/27/2006,2006-01-27,9.73,24.56,GLV,XGLVX
76,26.8,2006-02-03T00:00:00,2/3/2006,2006-02-03,9.88,24.39,GLV,XGLVX
77,26.06,2006-02-10T00:00:00,2/10/2006,2006-02-10,9.45,23.81,GLV,XGLVX
78,26.4,2006-02-17T00:00:00,2/17/2006,2006-02-17,11.25,23.73,GLV,XGLVX
79,25.75,2006-02-24T00:00:00,2/24/2006,2006-02-24,6.36,24.21,GLV,XGLVX
80,25.92,2006-03-03T00:00:00,3/3/2006,2006-03-03,6.89,24.25,GLV,XGLVX
81,24.9,2006-03-10T00:00:00,3/10/2006,2006-03-10,5.82,23.53,GLV,XGLVX
82,24.39,2006-03-17T00:00:00,3/17/2006,2006-03-17,0.54,24.26,GLV,XGLVX
83,24.5,2006-03-24T00:00:00,3/24/2006,2006-03-24,1.32,24.18,GLV,XGLVX
84,23.99,2006-03-31T00:00:00,3/31/2006,2006-03-31,-1.76,24.42,GLV,XGLVX
85,24.75,2006-04-07T00:00:00,4/7/2006,2006-04-07,-0.6,24.9,GLV,XGLVX
86,24.7,2006-04-14T00:00:00,4/14/2006,2006-04-14,1.23,24.4,GLV,XGLVX
87,26.18,2006-04-21T00:00:00,4/21/2006,2006-04-21,3.81,25.22,GLV,XGLVX
88,26.75,2006-04-28T00:00:00,4/28/2006,2006-04-28,7.39,24.91,GLV,XGLVX
89,26.6,2006-05-05T00:00:00,5/5/2006,2006-05-05,3.87,25.61,GLV,XGLVX
90,26.97,2006-05-12T00:00:00,5/12/2006,2006-05-12,7.92,24.99,GLV,XGLVX
91,25.85,2006-05-19T00:00:00,5/19/2006,2006-05-19,9.72,23.56,GLV,XGLVX
92,26.05,2006-05-26T00:00:00,5/26/2006,2006-05-26,11.8,23.3,GLV,XGLVX
93,25.65,2006-06-02T00:00:00,6/2/2006,2006-06-02,8.64,23.61,GLV,XGLVX
94,24.02,2006-06-09T00:00:00,6/9/2006,2006-06-09,6.85,22.48,GLV,XGLVX
95,23.8,2006-06-16T00:00:00,6/16/2006,2006-06-16,6.44,22.36,GLV,XGLVX
