Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.6875,7.75,7.625,1.616003,7.625,17100
2000-01-04,7.625,7.8125,7.625,1.642495,7.75,12700
2000-01-05,7.75,7.8125,7.625,1.642495,7.75,20100
2000-01-06,7.75,8.1875,7.75,1.695479,8.0,26600
2000-01-07,8.0,8.4375,8.0,1.735217,8.1875,19900
2000-01-10,8.125,8.3125,8.0,1.695479,8.0,16200
2000-01-11,8.0,8.125,8.0,1.695479,8.0,6700
2000-01-12,8.0,8.125,7.9375,1.695479,8.0,14400
2000-01-13,8.0625,8.0625,7.8125,1.65574,7.8125,15400
2000-01-14,7.8125,7.9375,7.6875,1.679737,7.875,15700
2000-01-18,7.875,8.0,7.75,1.679737,7.875,28400
2000-01-19,7.875,7.875,7.75,1.653076,7.75,36900
2000-01-20,7.8125,7.8125,7.625,1.626414,7.625,13700
2000-01-21,7.6875,7.75,7.5625,1.639742,7.6875,11600
2000-01-24,7.6875,8.0,7.625,1.7064,8.0,19100
2000-01-25,8.0,8.375,8.0,1.759725,8.25,16700
2000-01-26,8.25,8.3125,8.0625,1.773056,8.3125,16200
2000-01-27,8.3125,8.4375,8.25,1.759725,8.25,15100
2000-01-28,8.375,8.375,8.1875,1.746393,8.1875,20200
2000-01-31,8.125,8.125,7.8125,1.666406,7.8125,28500
2000-02-01,7.875,8.0,7.6875,1.639742,7.6875,33200
2000-02-02,7.875,7.9375,7.8125,1.666406,7.8125,9100
2000-02-03,7.875,8.0,7.875,1.7064,8.0,9900
2000-02-04,7.9375,8.0625,7.9375,1.719731,8.0625,24400
2000-02-07,8.0,8.0625,8.0,1.7064,8.0,14900
2000-02-08,8.0625,8.125,8.0,1.7064,8.0,16500
2000-02-09,8.0,8.0625,8.0,1.7064,8.0,21600
2000-02-10,8.0,8.0625,7.9375,1.719731,8.0625,13200
2000-02-11,8.0,8.0625,7.9375,1.693068,7.9375,14600
2000-02-14,7.875,7.9375,7.8125,1.676969,7.8125,8800
2000-02-15,7.8125,8.0,7.8125,1.703801,7.9375,21000
2000-02-16,7.9375,8.0,7.875,1.690386,7.875,8500
2000-02-17,7.9375,8.0,7.8125,1.676969,7.8125,17400
2000-02-18,7.8125,7.8125,7.75,1.663555,7.75,10600
2000-02-22,7.875,7.875,7.625,1.636723,7.625,18900
2000-02-23,7.625,7.75,7.625,1.636723,7.625,13500
2000-02-24,7.625,7.6875,7.5,1.636723,7.625,31400
2000-02-25,7.625,7.6875,7.5,1.623306,7.5625,13800
2000-02-28,7.5,7.6875,7.5,1.636723,7.625,20100
2000-02-29,7.75,7.75,7.5,1.623306,7.5625,17900
2000-03-01,7.5625,7.6875,7.5,1.623306,7.5625,11300
2000-03-02,7.5625,7.6875,7.5,1.623306,7.5625,9500
2000-03-03,7.625,7.625,7.5,1.623306,7.5625,20100
2000-03-06,7.5,7.5625,7.4375,1.609891,7.5,15100
2000-03-07,7.5,7.5625,7.375,1.596474,7.4375,25300
2000-03-08,7.375,7.5625,7.3125,1.596474,7.4375,18200
2000-03-09,7.4375,7.5,7.375,1.583059,7.375,11100
2000-03-10,7.5,7.5,7.375,1.596474,7.4375,17300
2000-03-13,7.375,7.5625,7.3125,1.609891,7.5,22800
2000-03-14,7.4375,7.5,7.375,1.596474,7.4375,12800
2000-03-15,7.4375,7.6875,7.375,1.650138,7.6875,20900
2000-03-16,7.625,7.8125,7.5625,1.663555,7.75,15000
2000-03-17,7.75,7.8125,7.625,1.636723,7.625,14500
2000-03-20,7.5625,7.875,7.5625,1.663555,7.75,22600
2000-03-21,7.6875,7.8125,7.5,1.64735,7.625,43300
2000-03-22,7.625,7.6875,7.5,1.633849,7.5625,11800
2000-03-23,7.625,7.625,7.5,1.633849,7.5625,18700
2000-03-24,7.5625,7.625,7.5,1.620344,7.5,20800
2000-03-27,7.5,7.5,7.4375,1.606841,7.4375,5900
2000-03-28,7.4375,7.5,7.375,1.606841,7.4375,16000
2000-03-29,7.4375,7.5,7.375,1.593339,7.375,7600
2000-03-30,7.375,7.5,7.375,1.620344,7.5,9400
2000-03-31,7.4375,7.625,7.4375,1.633849,7.5625,26700
2000-04-03,7.5625,7.875,7.5,1.687859,7.8125,26300
2000-04-04,7.9375,8.125,7.6875,1.674356,7.75,12100
2000-04-05,7.75,8.0,7.625,1.687859,7.8125,13200
2000-04-06,7.9375,8.1875,7.875,1.741871,8.0625,16700
2000-04-07,8.125,8.1875,8.0625,1.755374,8.125,15700
2000-04-10,8.125,8.25,7.9375,1.714864,7.9375,17000
2000-04-11,7.9375,8.0625,7.875,1.701362,7.875,15300
2000-04-12,7.9375,8.0625,7.875,1.701362,7.875,9600
2000-04-13,7.8125,8.0,7.75,1.698644,7.8125,13600
2000-04-14,7.875,7.9375,7.625,1.698644,7.8125,9700
2000-04-17,7.75,8.0625,7.625,1.698644,7.8125,18300
2000-04-18,7.75,7.8125,7.75,1.685053,7.75,6000
2000-04-19,7.75,7.8125,7.6875,1.671465,7.6875,9600
2000-04-20,7.75,7.8125,7.6875,1.685053,7.75,15600
2000-04-24,7.6875,7.9375,7.6875,1.712232,7.875,21900
2000-04-25,7.875,8.0625,7.875,1.72582,7.9375,10200
2000-04-26,8.0,8.0625,7.9375,1.72582,7.9375,3600
2000-04-27,8.0,8.0625,7.9375,1.739412,8.0,10400
2000-04-28,8.0625,8.0625,7.875,1.739412,8.0,7300
2000-05-01,8.0,8.0625,7.9375,1.72582,7.9375,9400
2000-05-02,7.875,8.0,7.8125,1.698644,7.8125,12100
2000-05-03,7.875,7.875,7.8125,1.712232,7.875,3200
2000-05-04,7.8125,7.875,7.75,1.685053,7.75,6000
2000-05-05,7.75,7.875,7.6875,1.685053,7.75,7200
2000-05-08,7.75,7.8125,7.6875,1.671465,7.6875,10500
2000-05-09,7.6875,7.8125,7.6875,1.671465,7.6875,17000
2000-05-10,7.6875,7.8125,7.625,1.671465,7.6875,13400
2000-05-11,7.75,7.875,7.6875,1.671465,7.6875,7200
2000-05-12,7.75,7.875,7.6875,1.685053,7.75,21600
2000-05-15,7.8125,8.0,7.8125,1.72335,7.875,14200
2000-05-16,7.875,7.9375,7.875,1.72335,7.875,7500
2000-05-17,7.9375,8.0,7.8125,1.709676,7.8125,5800
2000-05-18,7.8125,7.875,7.75,1.695997,7.75,10300
2000-05-19,7.75,7.875,7.75,1.72335,7.875,8500
2000-05-22,7.8125,7.875,7.75,1.695997,7.75,16000
2000-05-23,7.875,7.9375,7.75,1.709676,7.8125,11400
2000-05-24,7.8125,7.8125,7.75,1.695997,7.75,6900
2000-05-25,7.875,7.9375,7.75,1.709676,7.8125,13600
2000-05-26,7.875,7.9375,7.75,1.695997,7.75,12000
2000-05-30,7.75,7.875,7.75,1.695997,7.75,12600
2000-05-31,7.6875,7.75,7.6875,1.68232,7.6875,9000
2000-06-01,7.625,7.75,7.625,1.695997,7.75,10900
2000-06-02,7.8125,7.9375,7.75,1.709676,7.8125,20100
2000-06-05,7.8125,7.875,7.75,1.709676,7.8125,5600
2000-06-06,7.875,7.875,7.75,1.72335,7.875,13100
2000-06-07,7.8125,8.0,7.8125,1.750706,8.0,17600
2000-06-08,7.9375,7.9375,7.875,1.72335,7.875,10900
2000-06-09,7.9375,8.0,7.875,1.737029,7.9375,11600
2000-06-12,7.9375,8.0625,7.875,1.737029,7.9375,16100
2000-06-13,8.0,8.0,7.875,1.750706,8.0,8100
2000-06-14,7.9375,8.0625,7.9375,1.764383,8.0625,11800
2000-06-15,8.0,8.125,8.0,1.764383,8.0625,19200
2000-06-16,7.9375,7.9375,7.8125,1.720343,7.8125,8400
2000-06-19,7.875,7.9375,7.75,1.720343,7.8125,11400
2000-06-20,7.875,7.9375,7.8125,1.734105,7.875,6500
2000-06-21,7.8125,7.9375,7.8125,1.734105,7.875,9500
2000-06-22,7.875,7.875,7.75,1.720343,7.8125,11600
2000-06-23,7.875,7.9375,7.75,1.70658,7.75,17600
2000-06-26,7.75,7.9375,7.75,1.720343,7.8125,12200
2000-06-27,7.875,7.9375,7.8125,1.734105,7.875,13100
2000-06-28,7.875,7.875,7.75,1.70658,7.75,6800
2000-06-29,7.875,7.9375,7.75,1.70658,7.75,15600
2000-06-30,7.75,7.9375,7.75,1.747868,7.9375,8200
2000-07-03,7.875,7.9375,7.8125,1.734105,7.875,7400
2000-07-05,7.9375,8.0,7.875,1.734105,7.875,12700
