Date,Open,High,Low,Close,Adj Close,Volume
2011-05-27,20.08,20.200001,20.0,11.794382,20.030001,52000
2011-05-31,20.059999,20.059999,20.0,11.800268,20.040001,30700
2011-06-01,20.059999,20.07,20.0,11.806156,20.049999,52000
2011-06-02,20.030001,20.049999,20.0,11.776717,20.0,20000
2011-06-03,20.030001,20.049999,20.0,11.782604,20.01,17800
2011-06-06,20.0,20.049999,20.0,11.794382,20.030001,43800
2011-06-07,20.01,20.01,20.0,11.782604,20.01,33000
2011-06-08,20.030001,20.040001,20.0,11.788493,20.02,57500
2011-06-09,20.0,20.02,19.51,11.776717,20.0,44700
2011-06-10,20.01,20.01,20.0,11.782604,20.01,23400
2011-06-13,20.049999,20.049999,20.0,11.776717,20.0,33300
2011-06-14,20.0,20.01,20.0,11.776717,20.0,69300
2011-06-15,20.040001,20.040001,20.0,11.782604,20.01,23800
2011-06-16,20.049999,20.049999,20.0,11.782604,20.01,33600
2011-06-17,20.0,20.049999,20.0,11.776717,20.0,15400
2011-06-20,20.0,20.02,20.0,11.776717,20.0,32200
2011-06-21,20.0,20.030001,20.0,11.782604,20.01,32100
2011-06-22,20.0,20.030001,20.0,11.776717,20.0,34100
2011-06-23,20.0,20.01,20.0,11.782604,20.01,15100
2011-06-24,20.0,20.049999,20.0,11.806156,20.049999,174800
2011-06-27,20.030001,20.049999,20.0,11.782604,20.01,83200
2011-06-28,20.049999,20.049999,20.0,11.782604,20.01,35100
2011-06-29,20.0,20.049999,20.0,11.776717,20.0,64600
2011-06-30,20.0,20.02,20.0,11.776717,20.0,121900
2011-07-01,20.0,20.030001,20.0,11.776717,20.0,99200
2011-07-05,20.0,20.049999,20.0,11.776717,20.0,90500
2011-07-06,19.85,20.0,19.74,11.776717,20.0,544000
2011-07-07,20.0,20.09,19.950001,11.829709,20.09,121900
2011-07-08,19.99,20.75,19.99,12.071132,20.5,72800
2011-07-11,20.0,20.200001,19.959999,11.859153,20.139999,108800
2011-07-12,20.02,20.1,19.969999,11.770828,19.99,103200
2011-07-13,20.02,20.23,19.99,11.776717,20.0,77800
2011-07-14,20.0,20.059999,19.809999,11.664835,19.809999,38200
2011-07-15,19.84,19.889999,19.370001,11.411637,19.379999,63100
2011-07-18,19.379999,19.42,19.200001,11.317424,19.219999,26100
2011-07-19,19.23,19.5,19.129999,11.264428,19.129999,34800
2011-07-20,19.15,19.219999,19.139999,11.287983,19.17,17200
2011-07-21,19.200001,19.27,19.190001,11.340979,19.26,7700
2011-07-22,19.26,19.299999,19.200001,11.340979,19.26,17200
2011-07-25,19.26,19.26,19.1,11.246763,19.1,9400
2011-07-26,19.07,19.1,18.43,10.881685,18.48,113000
2011-07-27,18.4,18.450001,17.799999,10.563712,17.940001,85700
2011-07-28,17.950001,18.030001,17.809999,10.487164,17.809999,35200
2011-07-29,17.879999,17.969999,17.620001,10.487164,17.809999,60900
2011-08-01,18.0,18.049999,17.93,10.563712,17.940001,12700
2011-08-02,18.0,18.08,17.700001,10.563712,17.940001,56700
2011-08-03,18.1,18.4,17.559999,10.75214,18.26,65600
2011-08-04,18.219999,18.459999,17.620001,10.534272,17.889999,70100
2011-08-05,17.969999,18.049999,17.32,10.481277,17.799999,79800
2011-08-08,17.049999,17.24,15.37,9.562694,16.24,200000
2011-08-09,15.86,16.299999,15.27,9.474366,16.09,139100
2011-08-10,15.98,15.98,15.23,9.121066,15.49,66900
2011-08-11,15.39,16.200001,15.39,9.509697,16.15,77000
2011-08-12,16.33,16.33,15.84,9.462593,16.07,54900
