,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,11.0,1994-04-01T00:00:00,4/1/1994,1994-04-01,-8.79,12.06,HIO,XHIOX
1,11.38,1994-07-08T00:00:00,7/8/1994,1994-07-08,-1.22,11.52,HIO,XHIOX
2,11.25,1994-07-15T00:00:00,7/15/1994,1994-07-15,-2.34,11.52,HIO,XHIOX
3,10.75,1994-07-22T00:00:00,7/22/1994,1994-07-22,-6.68,11.52,HIO,XHIOX
4,11.25,1994-08-05T00:00:00,8/5/1994,1994-08-05,-2.34,11.52,HIO,XHIOX
5,10.88,1994-08-12T00:00:00,8/12/1994,1994-08-12,-4.31,11.37,HIO,XHIOX
6,10.88,1994-08-19T00:00:00,8/19/1994,1994-08-19,-3.29,11.25,HIO,XHIOX
7,10.88,1994-08-26T00:00:00,8/26/1994,1994-08-26,-3.63,11.29,HIO,XHIOX
8,10.75,1994-09-02T00:00:00,9/2/1994,1994-09-02,-4.87,11.3,HIO,XHIOX
9,10.88,1994-09-09T00:00:00,9/9/1994,1994-09-09,-3.8,11.31,HIO,XHIOX
10,10.81,1994-09-16T00:00:00,9/16/1994,1994-09-16,-3.57,11.21,HIO,XHIOX
11,10.13,1994-09-23T00:00:00,9/23/1994,1994-09-23,-9.63,11.21,HIO,XHIOX
12,10.63,1994-09-30T00:00:00,9/30/1994,1994-09-30,-5.09,11.2,HIO,XHIOX
13,10.5,1994-10-07T00:00:00,10/7/1994,1994-10-07,-5.83,11.15,HIO,XHIOX
14,9.75,1994-12-30T00:00:00,12/30/1994,1994-12-30,-9.64,10.79,HIO,XHIOX
15,9.88,1995-01-06T00:00:00,1/6/1995,1995-01-06,-8.6,10.81,HIO,XHIOX
16,10.13,1995-01-13T00:00:00,1/13/1995,1995-01-13,-5.59,10.73,HIO,XHIOX
17,10.13,1995-01-20T00:00:00,1/20/1995,1995-01-20,-5.68,10.74,HIO,XHIOX
18,10.5,1995-01-27T00:00:00,1/27/1995,1995-01-27,-2.42,10.76,HIO,XHIOX
