,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,1998-05-22T00:00:00,5/22/1998,1998-05-22,0.2,14.97,HIX,XHGIX
1,15.25,1998-06-05T00:00:00,6/5/1998,1998-06-05,1.33,15.05,HIX,XHGIX
2,15.25,1998-06-12T00:00:00,6/12/1998,1998-06-12,1.87,14.97,HIX,XHGIX
3,15.19,1998-06-19T00:00:00,6/19/1998,1998-06-19,1.54,14.96,HIX,XHGIX
4,15.0,1998-06-26T00:00:00,6/26/1998,1998-06-26,0.81,14.88,HIX,XHGIX
5,14.94,1998-07-10T00:00:00,7/10/1998,1998-07-10,-0.4,15.0,HIX,XHGIX
6,15.0,1998-07-17T00:00:00,7/17/1998,1998-07-17,0.0,15.0,HIX,XHGIX
7,14.88,1998-07-24T00:00:00,7/24/1998,1998-07-24,-0.33,14.93,HIX,XHGIX
8,14.88,1998-07-31T00:00:00,7/31/1998,1998-07-31,-0.07,14.89,HIX,XHGIX
9,14.88,1998-08-07T00:00:00,8/7/1998,1998-08-07,1.85,14.61,HIX,XHGIX
10,14.5,1998-08-14T00:00:00,8/14/1998,1998-08-14,1.47,14.29,HIX,XHGIX
11,13.38,1998-08-21T00:00:00,8/21/1998,1998-08-21,-1.83,13.63,HIX,XHGIX
12,13.0,1998-08-28T00:00:00,8/28/1998,1998-08-28,-0.08,13.01,HIX,XHGIX
13,12.5,1998-09-04T00:00:00,9/4/1998,1998-09-04,-2.27,12.79,HIX,XHGIX
14,12.31,1998-09-11T00:00:00,9/11/1998,1998-09-11,-1.36,12.48,HIX,XHGIX
15,12.25,1998-09-18T00:00:00,9/18/1998,1998-09-18,-3.85,12.74,HIX,XHGIX
16,12.69,1998-09-25T00:00:00,9/25/1998,1998-09-25,-2.16,12.97,HIX,XHGIX
17,12.44,1998-10-02T00:00:00,10/2/1998,1998-10-02,-3.04,12.83,HIX,XHGIX
18,11.5,1998-10-09T00:00:00,10/9/1998,1998-10-09,-8.44,12.56,HIX,XHGIX
19,12.38,1998-10-16T00:00:00,10/16/1998,1998-10-16,-1.82,12.61,HIX,XHGIX
20,12.94,1998-10-23T00:00:00,10/23/1998,1998-10-23,1.65,12.73,HIX,XHGIX
21,13.06,1998-10-30T00:00:00,10/30/1998,1998-10-30,2.11,12.79,HIX,XHGIX
22,12.94,1998-11-06T00:00:00,11/6/1998,1998-11-06,-0.99,13.07,HIX,XHGIX
23,13.13,1998-11-13T00:00:00,11/13/1998,1998-11-13,0.54,13.06,HIX,XHGIX
24,13.5,1998-11-20T00:00:00,11/20/1998,1998-11-20,0.52,13.43,HIX,XHGIX
25,13.0,1998-12-04T00:00:00,12/4/1998,1998-12-04,-2.77,13.37,HIX,XHGIX
26,12.63,1998-12-11T00:00:00,12/11/1998,1998-12-11,-3.88,13.14,HIX,XHGIX
27,12.19,1998-12-18T00:00:00,12/18/1998,1998-12-18,-6.52,13.04,HIX,XHGIX
28,12.63,1999-01-08T00:00:00,1/8/1999,1999-01-08,-4.68,13.25,HIX,XHGIX
29,12.44,1999-01-15T00:00:00,1/15/1999,1999-01-15,-4.23,12.99,HIX,XHGIX
30,12.31,1999-01-22T00:00:00,1/22/1999,1999-01-22,-5.74,13.06,HIX,XHGIX
31,12.56,1999-01-29T00:00:00,1/29/1999,1999-01-29,-4.92,13.21,HIX,XHGIX
32,12.63,1999-02-05T00:00:00,2/5/1999,1999-02-05,-4.32,13.2,HIX,XHGIX
33,12.5,1999-02-12T00:00:00,2/12/1999,1999-02-12,-5.16,13.18,HIX,XHGIX
34,12.5,1999-02-19T00:00:00,2/19/1999,1999-02-19,-5.02,13.16,HIX,XHGIX
35,12.75,1999-02-26T00:00:00,2/26/1999,1999-02-26,-2.15,13.03,HIX,XHGIX
36,12.81,1999-03-05T00:00:00,3/5/1999,1999-03-05,-1.69,13.03,HIX,XHGIX
37,13.0,1999-03-12T00:00:00,3/12/1999,1999-03-12,-0.15,13.02,HIX,XHGIX
38,12.69,1999-03-19T00:00:00,3/19/1999,1999-03-19,-2.91,13.07,HIX,XHGIX
39,12.75,1999-03-26T00:00:00,3/26/1999,1999-03-26,-2.67,13.1,HIX,XHGIX
40,12.56,1999-04-02T00:00:00,4/2/1999,1999-04-02,-4.92,13.21,HIX,XHGIX
41,12.63,1999-04-09T00:00:00,4/9/1999,1999-04-09,-4.89,13.28,HIX,XHGIX
42,12.25,1999-04-16T00:00:00,4/16/1999,1999-04-16,-8.72,13.42,HIX,XHGIX
43,12.31,1999-04-23T00:00:00,4/23/1999,1999-04-23,-8.68,13.48,HIX,XHGIX
44,12.63,1999-04-30T00:00:00,4/30/1999,1999-04-30,-6.72,13.54,HIX,XHGIX
45,12.94,1999-05-07T00:00:00,5/7/1999,1999-05-07,-4.99,13.62,HIX,XHGIX
46,12.38,1999-05-14T00:00:00,5/14/1999,1999-05-14,-7.4,13.37,HIX,XHGIX
47,12.5,1999-05-21T00:00:00,5/21/1999,1999-05-21,-5.37,13.21,HIX,XHGIX
48,12.94,1999-05-28T00:00:00,5/28/1999,1999-05-28,-1.75,13.17,HIX,XHGIX
49,13.0,1999-06-04T00:00:00,6/4/1999,1999-06-04,-1.44,13.19,HIX,XHGIX
50,12.63,1999-06-11T00:00:00,6/11/1999,1999-06-11,-3.37,13.07,HIX,XHGIX
51,12.63,1999-06-18T00:00:00,6/18/1999,1999-06-18,-4.32,13.2,HIX,XHGIX
52,12.69,1999-06-25T00:00:00,6/25/1999,1999-06-25,-3.2,13.11,HIX,XHGIX
53,12.81,1999-07-02T00:00:00,7/2/1999,1999-07-02,-2.59,13.15,HIX,XHGIX
54,12.81,1999-07-09T00:00:00,7/9/1999,1999-07-09,-1.91,13.06,HIX,XHGIX
55,12.75,1999-07-16T00:00:00,7/16/1999,1999-07-16,-1.7,12.97,HIX,XHGIX
56,12.69,1999-07-23T00:00:00,7/23/1999,1999-07-23,-1.78,12.92,HIX,XHGIX
57,12.56,1999-07-30T00:00:00,7/30/1999,1999-07-30,-2.48,12.88,HIX,XHGIX
58,12.5,1999-08-06T00:00:00,8/6/1999,1999-08-06,-1.57,12.7,HIX,XHGIX
59,11.63,1999-08-13T00:00:00,8/13/1999,1999-08-13,-7.99,12.64,HIX,XHGIX
60,11.63,1999-08-20T00:00:00,8/20/1999,1999-08-20,-7.7,12.6,HIX,XHGIX
61,11.69,1999-08-27T00:00:00,8/27/1999,1999-08-27,-7.73,12.67,HIX,XHGIX
62,11.81,1999-09-03T00:00:00,9/3/1999,1999-09-03,-6.57,12.64,HIX,XHGIX
63,11.44,1999-09-10T00:00:00,9/10/1999,1999-09-10,-9.35,12.62,HIX,XHGIX
