,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,2010-01-29T00:00:00,1/29/2010,2010-01-29,4.93,19.06,IDE,XIDEX
1,20.01,2010-02-05T00:00:00,2/5/2010,2010-02-05,8.1,18.51,IDE,XIDEX
2,20.0,2010-02-12T00:00:00,2/12/2010,2010-02-12,6.16,18.84,IDE,XIDEX
3,20.01,2010-02-19T00:00:00,2/19/2010,2010-02-19,3.14,19.4,IDE,XIDEX
4,20.0,2010-02-26T00:00:00,2/26/2010,2010-02-26,4.17,19.2,IDE,XIDEX
5,20.0,2010-03-05T00:00:00,3/5/2010,2010-03-05,-0.65,20.13,IDE,XIDEX
6,20.0,2010-03-12T00:00:00,3/12/2010,2010-03-12,-1.91,20.39,IDE,XIDEX
7,19.95,2010-03-19T00:00:00,3/19/2010,2010-03-19,-0.99,20.15,IDE,XIDEX
8,20.0,2010-03-26T00:00:00,3/26/2010,2010-03-26,-1.19,20.24,IDE,XIDEX
9,19.8,2010-04-09T00:00:00,4/9/2010,2010-04-09,-3.84,20.59,IDE,XIDEX
10,19.65,2010-04-16T00:00:00,4/16/2010,2010-04-16,-3.72,20.41,IDE,XIDEX
11,19.41,2010-04-23T00:00:00,4/23/2010,2010-04-23,-6.41,20.74,IDE,XIDEX
12,19.37,2010-04-30T00:00:00,4/30/2010,2010-04-30,-3.44,20.06,IDE,XIDEX
13,16.87,2010-05-07T00:00:00,5/7/2010,2010-05-07,-6.38,18.02,IDE,XIDEX
14,17.82,2010-05-14T00:00:00,5/14/2010,2010-05-14,-4.45,18.65,IDE,XIDEX
15,16.23,2010-05-21T00:00:00,5/21/2010,2010-05-21,-8.1,17.66,IDE,XIDEX
16,16.75,2010-05-28T00:00:00,5/28/2010,2010-05-28,-6.22,17.86,IDE,XIDEX
17,16.14,2010-06-04T00:00:00,6/4/2010,2010-06-04,-6.87,17.33,IDE,XIDEX
18,16.62,2010-06-11T00:00:00,6/11/2010,2010-06-11,-7.72,18.01,IDE,XIDEX
19,17.28,2010-06-18T00:00:00,6/18/2010,2010-06-18,-7.54,18.69,IDE,XIDEX
20,16.98,2010-06-25T00:00:00,6/25/2010,2010-06-25,-7.31,18.32,IDE,XIDEX
21,16.27,2010-07-02T00:00:00,7/2/2010,2010-07-02,-3.56,16.87,IDE,XIDEX
22,16.93,2010-07-09T00:00:00,7/9/2010,2010-07-09,-5.31,17.88,IDE,XIDEX
23,16.52,2010-07-16T00:00:00,7/16/2010,2010-07-16,-6.61,17.69,IDE,XIDEX
24,17.1,2010-07-23T00:00:00,7/23/2010,2010-07-23,-8.9,18.77,IDE,XIDEX
25,17.49,2010-07-30T00:00:00,7/30/2010,2010-07-30,-6.82,18.77,IDE,XIDEX
26,17.78,2010-08-06T00:00:00,8/6/2010,2010-08-06,-7.25,19.17,IDE,XIDEX
27,17.16,2010-08-13T00:00:00,8/13/2010,2010-08-13,-6.38,18.33,IDE,XIDEX
