Date,Open,High,Low,Close,Adj Close,Volume
2009-07-01,20.0,20.049999,20.0,12.374786,20.040001,24700
2009-07-02,20.1,20.1,20.01,12.362432,20.02,33100
2009-07-06,20.030001,20.040001,20.0,12.362432,20.02,27400
2009-07-07,20.02,20.030001,20.0,12.35009,20.0,31700
2009-07-08,20.0,20.059999,20.0,12.35009,20.0,40200
2009-07-09,20.02,20.040001,20.0,12.35009,20.0,24400
2009-07-10,20.049999,20.049999,20.0,12.35009,20.0,12400
2009-07-13,20.01,20.01,19.950001,12.35009,20.0,45600
2009-07-14,20.02,20.02,20.0,12.35009,20.0,38300
2009-07-15,20.01,20.01,20.0,12.35009,20.0,17000
2009-07-16,20.0,20.01,20.0,12.35009,20.0,35200
2009-07-17,20.01,20.01,20.0,12.35009,20.0,9900
2009-07-20,20.0,20.01,20.0,12.35009,20.0,17800
2009-07-21,20.0,20.02,20.0,12.35009,20.0,14600
2009-07-22,20.0,20.02,20.0,12.356258,20.01,26200
2009-07-23,20.0,20.01,20.0,12.35009,20.0,3900
2009-07-24,20.01,20.02,20.0,12.35009,20.0,66100
2009-07-27,20.0,20.02,20.0,12.35009,20.0,101700
2009-07-28,20.0,20.049999,20.0,12.362432,20.02,159000
2009-07-29,20.01,20.030001,20.0,12.368615,20.030001,21400
2009-07-30,20.030001,20.049999,20.0,12.374786,20.040001,12800
2009-07-31,20.040001,20.120001,20.01,12.380956,20.049999,15000
2009-08-03,20.049999,20.15,20.049999,12.442709,20.15,16100
2009-08-04,20.190001,20.870001,20.01,12.430354,20.129999,67100
2009-08-05,20.129999,20.15,20.059999,12.411829,20.1,23200
2009-08-06,20.1,20.110001,20.0,12.356258,20.01,103900
2009-08-07,20.030001,20.08,19.98,12.35009,20.0,18900
2009-08-10,20.0,20.0,19.35,12.127782,19.639999,41900
2009-08-11,19.59,19.65,19.389999,12.103082,19.6,24600
2009-08-12,19.6,19.790001,19.59,12.168273,19.6,27200
2009-08-13,19.58,19.610001,19.35,12.044105,19.4,34100
2009-08-14,19.4,19.59,19.309999,12.155855,19.58,33200
2009-08-17,19.549999,19.549999,19.450001,12.081353,19.459999,10600
2009-08-18,19.5,19.68,19.5,12.21794,19.68,11700
2009-08-19,19.719999,19.780001,19.6,12.230355,19.700001,13000
2009-08-20,19.42,19.540001,19.42,12.062721,19.43,25600
2009-08-21,19.440001,19.440001,19.190001,12.062721,19.43,30600
2009-08-24,19.450001,19.620001,19.4,12.149649,19.57,24500
2009-08-25,19.549999,19.59,19.450001,12.075146,19.450001,20500
2009-08-26,19.450001,19.67,19.450001,12.099979,19.49,22500
2009-08-27,19.9,19.9,19.540001,12.199305,19.65,46200
2009-08-28,19.65,19.799999,19.65,12.261397,19.75,21300
2009-08-31,19.799999,19.799999,19.6,12.267605,19.76,16500
2009-09-01,19.709999,19.780001,19.700001,12.230355,19.700001,12300
2009-09-02,19.74,19.74,19.540001,12.162062,19.59,23800
2009-09-03,19.559999,19.639999,19.4,12.162062,19.59,27200
2009-09-04,19.549999,19.799999,19.5,12.180687,19.620001,21500
2009-09-08,19.67,19.799999,19.459999,12.081353,19.459999,47100
2009-09-09,19.42,19.639999,19.4,12.056519,19.42,33700
2009-09-10,19.360001,19.530001,19.32,12.044105,19.4,25500
2009-09-11,19.4,19.5,19.299999,12.000643,19.33,36000
2009-09-14,19.280001,19.32,19.209999,11.950974,19.25,63700
2009-09-15,19.280001,19.33,19.139999,11.969606,19.280001,64700
2009-09-16,19.110001,19.389999,19.07,12.053874,19.309999,81700
2009-09-17,19.309999,19.4,19.200001,12.072599,19.34,52700
2009-09-18,19.469999,19.700001,19.41,12.297319,19.700001,48400
2009-09-21,19.73,19.85,19.450001,12.203685,19.549999,51100
2009-09-22,19.51,19.959999,19.4,12.153753,19.469999,88700
2009-09-23,19.690001,19.91,19.459999,12.147506,19.459999,60000
2009-09-24,19.459999,19.5,19.360001,12.085087,19.360001,79900
2009-09-25,19.35,19.379999,19.25,12.053874,19.309999,69100
2009-09-28,19.450001,19.450001,19.26,12.066364,19.33,35000
2009-09-29,19.299999,19.43,19.209999,12.035146,19.280001,68800
2009-09-30,19.34,19.360001,19.209999,12.072599,19.34,39400
2009-10-01,19.33,19.58,19.290001,12.203685,19.549999,57900
2009-10-02,19.51,19.870001,19.5,12.247386,19.620001,43300
2009-10-05,19.59,19.799999,19.59,12.359749,19.799999,34300
2009-10-06,19.83,19.950001,19.530001,12.32854,19.75,32000
2009-10-07,19.799999,19.85,19.75,12.359749,19.799999,15800
2009-10-08,19.860001,19.889999,19.6,12.316051,19.73,32900
2009-10-09,19.700001,19.74,19.530001,12.266113,19.65,36700
2009-10-12,19.68,19.700001,19.52,12.209929,19.559999,21500
2009-10-13,19.620001,19.85,19.42,12.390959,19.85,29100
2009-10-14,19.799999,19.799999,19.67,12.316051,19.73,10200
2009-10-15,19.76,19.879999,19.4,12.197449,19.540001,30700
2009-10-16,19.469999,19.549999,19.32,12.116299,19.41,36800
2009-10-19,19.389999,19.41,19.26,12.110059,19.4,25000
2009-10-20,19.43,19.5,19.43,12.172482,19.5,14600
2009-10-21,19.35,19.540001,19.309999,12.131684,19.33,25800
2009-10-22,19.32,19.360001,19.059999,11.993611,19.110001,88400
2009-10-23,19.200001,19.209999,19.02,11.955951,19.049999,40800
2009-10-26,19.08,19.18,18.610001,11.730015,18.690001,96600
2009-10-27,18.68,18.879999,18.57,11.849257,18.879999,76900
2009-10-28,18.879999,18.879999,18.59,11.68608,18.620001,55900
2009-10-29,18.700001,18.99,18.700001,11.918291,18.99,29300
2009-10-30,19.0,19.09,18.85,11.949678,19.040001,36600
2009-11-02,19.299999,19.299999,18.889999,11.899469,18.959999,41500
2009-11-03,18.889999,19.08,18.83,11.893191,18.950001,55600
2009-11-04,18.83,19.059999,18.809999,11.849257,18.879999,69500
