,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,1994-02-25T00:00:00,2/25/1994,1994-02-25,6.38,14.1,IIF,XIIFX
1,10.31,1995-06-30T00:00:00,6/30/1995,1995-06-30,-6.27,11.0,IIF,XIIFX
2,9.06,1995-11-10T00:00:00,11/10/1995,1995-11-10,-3.21,9.36,IIF,XIIFX
3,8.44,1995-11-17T00:00:00,11/17/1995,1995-11-17,-4.74,8.86,IIF,XIIFX
4,8.38,1995-11-24T00:00:00,11/24/1995,1995-11-24,-2.33,8.58,IIF,XIIFX
5,9.06,1995-12-01T00:00:00,12/1/1995,1995-12-01,5.23,8.61,IIF,XIIFX
6,9.56,1995-12-08T00:00:00,12/8/1995,1995-12-08,8.39,8.82,IIF,XIIFX
7,9.18,1995-12-15T00:00:00,12/15/1995,1995-12-15,4.44,8.79,IIF,XIIFX
8,8.94,1995-12-22T00:00:00,12/22/1995,1995-12-22,0.22,8.92,IIF,XIIFX
9,9.13,1995-12-29T00:00:00,12/29/1995,1995-12-29,2.47,8.91,IIF,XIIFX
10,9.93,1996-01-05T00:00:00,1/5/1996,1996-01-05,14.8,8.65,IIF,XIIFX
11,10.06,1996-01-12T00:00:00,1/12/1996,1996-01-12,18.63,8.48,IIF,XIIFX
12,9.81,1996-01-19T00:00:00,1/19/1996,1996-01-19,17.91,8.32,IIF,XIIFX
13,9.31,1996-01-26T00:00:00,1/26/1996,1996-01-26,14.23,8.15,IIF,XIIFX
14,10.56,1996-02-09T00:00:00,2/9/1996,1996-02-09,16.3,9.08,IIF,XIIFX
15,10.56,1996-02-16T00:00:00,2/16/1996,1996-02-16,9.89,9.61,IIF,XIIFX
16,10.31,1996-02-23T00:00:00,2/23/1996,1996-02-23,5.1,9.81,IIF,XIIFX
17,10.93,1996-03-01T00:00:00,3/1/1996,1996-03-01,8.76,10.05,IIF,XIIFX
18,10.0,1996-03-08T00:00:00,3/8/1996,1996-03-08,-1.57,10.16,IIF,XIIFX
19,10.56,1996-03-15T00:00:00,3/15/1996,1996-03-15,5.39,10.02,IIF,XIIFX
20,11.18,1996-03-22T00:00:00,3/22/1996,1996-03-22,13.62,9.84,IIF,XIIFX
21,11.31,1996-03-29T00:00:00,3/29/1996,1996-03-29,9.06,10.37,IIF,XIIFX
22,11.93,1996-04-12T00:00:00,4/12/1996,1996-04-12,11.08,10.74,IIF,XIIFX
23,12.18,1996-04-19T00:00:00,4/19/1996,1996-04-19,8.85,11.19,IIF,XIIFX
24,11.37,1996-05-03T00:00:00,5/3/1996,1996-05-03,0.35,11.33,IIF,XIIFX
25,10.81,1996-05-17T00:00:00,5/17/1996,1996-05-17,-3.14,11.16,IIF,XIIFX
26,11.13,1996-05-24T00:00:00,5/24/1996,1996-05-24,3.15,10.79,IIF,XIIFX
27,10.93,1996-05-31T00:00:00,5/31/1996,1996-05-31,1.39,10.78,IIF,XIIFX
28,11.43,1996-06-07T00:00:00,6/7/1996,1996-06-07,3.16,11.08,IIF,XIIFX
29,11.81,1996-06-14T00:00:00,6/14/1996,1996-06-14,2.43,11.53,IIF,XIIFX
30,11.68,1996-06-21T00:00:00,6/21/1996,1996-06-21,4.1,11.22,IIF,XIIFX
31,11.18,1996-06-28T00:00:00,6/28/1996,1996-06-28,1.08,11.06,IIF,XIIFX
32,10.81,1996-07-05T00:00:00,7/5/1996,1996-07-05,-0.28,10.84,IIF,XIIFX
33,10.5,1996-07-12T00:00:00,7/12/1996,1996-07-12,-2.05,10.72,IIF,XIIFX
34,10.81,1996-07-19T00:00:00,7/19/1996,1996-07-19,1.03,10.7,IIF,XIIFX
35,10.06,1996-07-26T00:00:00,7/26/1996,1996-07-26,-2.33,10.3,IIF,XIIFX
