,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0498,7/7/2017,7/18/2017,0.0319,7/27/2017,,0.0817,INF
1,,0.0498,6/2/2017,6/13/2017,0.0319,6/22/2017,,0.0817,INF
2,,0.0498,5/5/2017,5/16/2017,0.0319,5/25/2017,,0.0817,INF
3,,0.0601,4/7/2017,4/18/2017,0.0216,4/27/2017,,0.0817,INF
4,,0.0601,3/3/2017,3/14/2017,0.0216,3/23/2017,,0.0817,INF
5,,0.0297,2/3/2017,2/14/2017,,2/23/2017,,0.1167,INF
6,,0.0941,1/6/2017,1/17/2017,0.0226,1/26/2017,,0.1167,INF
7,,0.0941,12/2/2016,12/13/2016,0.0226,12/22/2016,,0.1167,INF
8,,0.0941,11/4/2016,11/15/2016,0.0226,11/23/2016,,0.1167,INF
9,,0.0941,10/7/2016,10/18/2016,0.0226,10/27/2016,,0.1167,INF
10,,0.1167,9/9/2016,9/20/2016,,9/29/2016,,0.1167,INF
11,,0.1167,8/5/2016,8/16/2016,,8/25/2016,,0.1167,INF
12,,0.1167,7/8/2016,7/19/2016,,7/28/2016,,0.1167,INF
13,,0.1167,6/3/2016,6/14/2016,,6/23/2016,,0.1167,INF
14,,0.1167,5/6/2016,5/17/2016,,5/26/2016,,0.1167,INF
15,,0.1167,4/1/2016,4/12/2016,,4/21/2016,,0.1167,INF
16,,0.1167,3/4/2016,3/15/2016,,3/24/2016,,0.1167,INF
17,,0.1167,2/5/2016,2/16/2016,,2/25/2016,,0.1167,INF
18,,0.1167,1/8/2016,1/19/2016,,1/28/2016,,0.1167,INF
19,,0.09967,12/4/2015,12/15/2015,0.01703,12/29/2015,,0.1167,INF
20,,0.09967,11/6/2015,11/13/2015,0.01703,11/24/2015,,0.1167,INF
21,,0.09967,10/2/2015,10/13/2015,0.01703,10/29/2015,,0.1167,INF
22,,0.09967,9/4/2015,9/15/2015,0.01703,9/24/2015,,0.1167,INF
23,,0.09967,8/7/2015,8/18/2015,0.01703,8/27/2015,,0.1167,INF
24,,0.09967,7/10/2015,7/21/2015,0.01703,7/30/2015,,0.1167,INF
25,,0.09967,6/5/2015,6/16/2015,0.01703,6/25/2015,,0.1167,INF
26,0.1167,,5/1/2015,5/12/2015,,5/28/2015,,0.1167,INF
27,0.1167,,4/10/2015,4/21/2015,,4/29/2015,,0.1167,INF
28,0.1167,,3/6/2015,3/17/2015,,3/26/2015,,0.1167,INF
29,0.1167,,2/6/2015,2/17/2015,,2/26/2015,,0.1167,INF
30,0.1167,,1/9/2015,1/20/2015,,1/29/2015,,0.1167,INF
31,0.1167,,12/5/2014,12/16/2014,,12/29/2014,,0.1167,INF
32,0.6589,,12/5/2014,12/16/2014,,12/29/2014,S,0.6589,INF
33,0.08692,0.02978,11/7/2014,11/14/2014,,11/25/2014,,0.1167,INF
34,,0.02978,10/3/2014,10/14/2014,0.08692,10/30/2014,,0.1167,INF
35,,0.02978,9/5/2014,9/16/2014,0.08692,9/25/2014,,0.1167,INF
36,,0.02978,8/1/2014,8/12/2014,0.08692,8/28/2014,,0.1167,INF
37,,0.02978,7/11/2014,7/22/2014,0.08692,7/31/2014,,0.1167,INF
38,,0.02978,6/6/2014,6/17/2014,0.08692,6/26/2014,,0.1167,INF
39,,0.02978,5/2/2014,5/13/2014,0.08692,5/29/2014,,0.1167,INF
40,,,4/4/2014,4/15/2014,0.1167,4/24/2014,,0.1167,INF
41,,,3/7/2014,3/18/2014,0.1167,3/27/2014,,0.1167,INF
42,,,2/7/2014,2/18/2014,0.1167,2/27/2014,,0.1167,INF
43,,,1/3/2014,1/14/2014,0.1167,1/30/2014,,0.1167,INF
44,0.62,,12/11/2013,12/23/2013,,12/27/2013,S,0.9513,INF
45,,,12/6/2013,12/17/2013,0.1167,12/27/2013,,0.1167,INF
46,0.1167,,11/1/2013,11/12/2013,,11/29/2013,,0.1167,INF
