,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/1/2017,6/14/2017,0.0925,6/30/2017,,0.0925,ISD
1,,,6/1/2017,7/12/2017,0.0925,7/31/2017,,0.0925,ISD
2,,,6/1/2017,8/16/2017,0.0925,8/31/2017,,0.0925,ISD
3,,,2/28/2017,3/15/2017,0.1025,3/31/2017,,0.1025,ISD
4,,,2/28/2017,4/12/2017,0.1025,4/28/2017,,0.1025,ISD
5,,,2/28/2017,5/10/2017,0.1025,5/31/2017,,0.1025,ISD
6,,,11/28/2016,12/14/2016,0.1025,12/30/2016,,0.1025,ISD
7,,,11/28/2016,12/28/2016,0.1025,1/9/2017,,0.1025,ISD
8,,,11/28/2016,2/15/2017,0.1025,2/28/2017,,0.1025,ISD
9,,,8/31/2016,9/14/2016,0.1025,9/30/2016,,0.1025,ISD
10,,,8/31/2016,10/12/2016,0.1025,10/31/2016,,0.1025,ISD
11,,,8/31/2016,11/16/2016,0.1025,11/30/2016,,0.1025,ISD
12,,,5/26/2016,6/15/2016,0.11,6/30/2016,,0.11,ISD
13,,,5/26/2016,7/13/2016,0.11,7/29/2016,,0.11,ISD
14,,,5/26/2016,8/17/2016,0.11,8/31/2016,,0.11,ISD
15,,,2/25/2016,3/16/2016,0.11,3/31/2016,,0.11,ISD
16,,,2/25/2016,4/13/2016,0.11,4/29/2016,,0.11,ISD
17,,,2/25/2016,5/11/2016,0.11,5/31/2016,,0.11,ISD
18,,,11/24/2015,12/16/2015,0.11,12/31/2015,,0.11,ISD
19,,,11/24/2015,12/28/2015,0.11,1/11/2016,,0.11,ISD
20,,,11/24/2015,2/17/2016,0.11,2/29/2016,,0.11,ISD
21,,,9/2/2015,9/16/2015,0.11,9/30/2015,,0.11,ISD
22,,,9/2/2015,10/14/2015,0.11,10/30/2015,,0.11,ISD
23,,,9/2/2015,11/18/2015,0.11,11/30/2015,,0.11,ISD
24,,,5/28/2015,6/17/2015,0.1225,6/30/2015,,0.1225,ISD
25,,,5/28/2015,7/15/2015,0.1225,7/31/2015,,0.1225,ISD
26,,,5/28/2015,8/19/2015,0.1225,8/31/2015,,0.1225,ISD
27,,,2/26/2015,3/18/2015,0.1225,3/31/2015,,0.1225,ISD
28,,,2/26/2015,4/15/2015,0.1225,4/30/2015,,0.1225,ISD
29,,,2/26/2015,5/13/2015,0.1225,5/29/2015,,0.1225,ISD
30,0.00613,,11/25/2014,12/17/2014,0.11638,12/31/2014,,0.1225,ISD
31,,,11/25/2014,12/26/2014,0.1225,1/9/2015,,0.1225,ISD
32,0.013,,11/25/2014,12/26/2014,0.1026,1/9/2015,S,0.1156,ISD
33,,,11/25/2014,2/19/2015,0.1225,2/27/2015,,0.1225,ISD
34,,,8/28/2014,9/17/2014,0.1225,9/30/2014,,0.1225,ISD
35,,,8/28/2014,10/15/2014,0.1225,10/31/2014,,0.1225,ISD
36,,,8/28/2014,11/18/2014,0.1225,11/28/2014,,0.1225,ISD
37,,,5/28/2014,6/18/2014,0.1225,6/30/2014,,0.1225,ISD
38,,,5/28/2014,7/16/2014,0.1225,7/31/2014,,0.1225,ISD
39,,,5/28/2014,8/19/2014,0.1225,8/29/2014,,0.1225,ISD
40,,,2/27/2014,3/25/2014,0.1225,3/31/2014,,0.1225,ISD
41,,,2/27/2014,4/15/2014,0.1225,4/30/2014,,0.1225,ISD
42,,,2/27/2014,5/19/2014,0.1225,5/30/2014,,0.1225,ISD
43,,,11/26/2013,12/18/2013,0.1225,12/31/2013,,0.1225,ISD
44,,,11/26/2013,12/27/2013,0.1225,1/10/2014,,0.1225,ISD
45,,,11/26/2013,12/27/2013,0.1278,1/10/2014,S,0.1278,ISD
46,,,11/26/2013,2/19/2014,0.1225,2/28/2014,,0.1225,ISD
47,,,8/28/2013,10/16/2013,0.1225,10/31/2013,,0.1225,ISD
48,,,8/28/2013,11/18/2013,0.1225,11/29/2013,,0.1225,ISD
49,,,8/28/2013,9/18/2013,0.1225,9/30/2013,,0.1225,ISD
50,,,6/3/2013,6/18/2013,0.1225,6/28/2013,,0.1225,ISD
51,,,6/3/2013,7/17/2013,0.1225,7/31/2013,,0.1225,ISD
52,,,6/3/2013,8/19/2013,0.1225,8/30/2013,,0.1225,ISD
53,,,3/4/2013,3/18/2013,0.1225,3/28/2013,,0.1225,ISD
54,,,3/4/2013,4/17/2013,0.1225,4/30/2013,,0.1225,ISD
55,,,3/4/2013,5/20/2013,0.1225,5/31/2013,,0.1225,ISD
56,,,12/4/2012,12/17/2012,0.1225,12/31/2012,,0.1225,ISD
57,,,12/4/2012,12/17/2012,0.095,12/13/2012,S,0.095,ISD
58,,,12/4/2012,12/26/2012,0.1225,1/31/2013,,0.1225,ISD
59,,,12/4/2012,2/19/2013,0.1225,2/28/2013,,0.1225,ISD
60,,,9/5/2012,9/19/2012,0.1225,9/28/2012,,0.1225,ISD
61,,,9/5/2012,10/17/2012,0.1225,10/31/2012,,0.1225,ISD
62,,,9/5/2012,11/19/2012,0.1225,11/30/2012,,0.1225,ISD
63,,,6/5/2012,8/20/2012,0.1225,8/31/2012,,0.1225,ISD
64,,0.0213,6/5/2012,6/18/2012,0.1012,6/29/2012,,0.1225,ISD
65,,,6/5/2012,7/18/2012,0.1225,7/31/2012,,0.1225,ISD
