,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,19.95,2012-05-04T00:00:00,5/4/2012,2012-05-04,4.89,19.02,ISD,XISDX
1,20.29,2012-05-11T00:00:00,5/11/2012,2012-05-11,6.79,19.0,ISD,XISDX
2,19.97,2012-05-18T00:00:00,5/18/2012,2012-05-18,6.56,18.74,ISD,XISDX
3,20.0,2012-05-25T00:00:00,5/25/2012,2012-05-25,6.61,18.76,ISD,XISDX
4,20.21,2012-06-01T00:00:00,6/1/2012,2012-06-01,8.25,18.67,ISD,XISDX
5,19.7,2012-06-08T00:00:00,6/8/2012,2012-06-08,5.01,18.76,ISD,XISDX
6,19.77,2012-06-15T00:00:00,6/15/2012,2012-06-15,4.88,18.85,ISD,XISDX
7,19.43,2012-06-22T00:00:00,6/22/2012,2012-06-22,2.91,18.88,ISD,XISDX
8,19.75,2012-06-29T00:00:00,6/29/2012,2012-06-29,4.06,18.98,ISD,XISDX
9,20.05,2012-07-06T00:00:00,7/6/2012,2012-07-06,5.3,19.04,ISD,XISDX
10,20.1,2012-07-13T00:00:00,7/13/2012,2012-07-13,5.46,19.06,ISD,XISDX
11,19.83,2012-07-20T00:00:00,7/20/2012,2012-07-20,4.26,19.02,ISD,XISDX
12,19.97,2012-07-27T00:00:00,7/27/2012,2012-07-27,4.88,19.04,ISD,XISDX
13,20.03,2012-08-03T00:00:00,8/3/2012,2012-08-03,4.54,19.16,ISD,XISDX
14,20.2,2012-08-10T00:00:00,8/10/2012,2012-08-10,5.32,19.18,ISD,XISDX
15,20.2,2012-08-17T00:00:00,8/17/2012,2012-08-17,5.32,19.18,ISD,XISDX
16,20.07,2012-08-24T00:00:00,8/24/2012,2012-08-24,4.91,19.13,ISD,XISDX
17,20.2,2012-08-31T00:00:00,8/31/2012,2012-08-31,5.26,19.19,ISD,XISDX
18,20.1,2012-09-07T00:00:00,9/7/2012,2012-09-07,4.15,19.3,ISD,XISDX
19,20.18,2012-09-14T00:00:00,9/14/2012,2012-09-14,3.7,19.46,ISD,XISDX
20,20.07,2012-09-21T00:00:00,9/21/2012,2012-09-21,3.83,19.33,ISD,XISDX
21,19.95,2012-09-28T00:00:00,9/28/2012,2012-09-28,3.58,19.26,ISD,XISDX
22,20.09,2012-10-05T00:00:00,10/5/2012,2012-10-05,3.93,19.33,ISD,XISDX
23,20.03,2012-10-12T00:00:00,10/12/2012,2012-10-12,3.57,19.34,ISD,XISDX
24,20.15,2012-10-19T00:00:00,10/19/2012,2012-10-19,4.3,19.32,ISD,XISDX
25,19.98,2012-10-26T00:00:00,10/26/2012,2012-10-26,3.63,19.28,ISD,XISDX
26,20.3,2012-11-02T00:00:00,11/2/2012,2012-11-02,5.13,19.31,ISD,XISDX
