,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2004-03-26T00:00:00,3/26/2004,2004-03-26,4.68,14.33,JFR,XJFRX
1,15.23,2004-04-02T00:00:00,4/2/2004,2004-04-02,6.58,14.29,JFR,XJFRX
2,15.1,2004-04-16T00:00:00,4/16/2004,2004-04-16,5.59,14.3,JFR,XJFRX
3,15.19,2004-04-23T00:00:00,4/23/2004,2004-04-23,6.15,14.31,JFR,XJFRX
4,14.96,2004-04-30T00:00:00,4/30/2004,2004-04-30,4.54,14.31,JFR,XJFRX
5,14.86,2004-05-07T00:00:00,5/7/2004,2004-05-07,4.06,14.28,JFR,XJFRX
6,14.85,2004-05-14T00:00:00,5/14/2004,2004-05-14,4.72,14.18,JFR,XJFRX
7,14.84,2004-05-21T00:00:00,5/21/2004,2004-05-21,6.0,14.0,JFR,XJFRX
8,14.93,2004-05-28T00:00:00,5/28/2004,2004-05-28,6.41,14.03,JFR,XJFRX
9,14.84,2004-06-04T00:00:00,6/4/2004,2004-06-04,5.7,14.04,JFR,XJFRX
10,14.91,2004-06-18T00:00:00,6/18/2004,2004-06-18,6.35,14.02,JFR,XJFRX
11,14.67,2004-06-25T00:00:00,6/25/2004,2004-06-25,4.41,14.05,JFR,XJFRX
12,14.99,2004-07-02T00:00:00,7/2/2004,2004-07-02,6.46,14.08,JFR,XJFRX
13,14.91,2004-07-09T00:00:00,7/9/2004,2004-07-09,5.74,14.1,JFR,XJFRX
14,14.91,2004-07-16T00:00:00,7/16/2004,2004-07-16,5.97,14.07,JFR,XJFRX
15,14.61,2004-07-23T00:00:00,7/23/2004,2004-07-23,3.76,14.08,JFR,XJFRX
16,14.85,2004-07-30T00:00:00,7/30/2004,2004-07-30,5.54,14.07,JFR,XJFRX
17,14.85,2004-08-06T00:00:00,8/6/2004,2004-08-06,5.39,14.09,JFR,XJFRX
18,14.83,2004-08-13T00:00:00,8/13/2004,2004-08-13,5.7,14.03,JFR,XJFRX
19,14.8,2004-08-20T00:00:00,8/20/2004,2004-08-20,5.34,14.05,JFR,XJFRX
20,14.81,2004-08-27T00:00:00,8/27/2004,2004-08-27,5.11,14.09,JFR,XJFRX
21,14.74,2004-09-03T00:00:00,9/3/2004,2004-09-03,4.39,14.12,JFR,XJFRX
22,14.88,2004-09-10T00:00:00,9/10/2004,2004-09-10,5.23,14.14,JFR,XJFRX
23,14.75,2004-09-17T00:00:00,9/17/2004,2004-09-17,4.61,14.1,JFR,XJFRX
24,14.65,2004-09-24T00:00:00,9/24/2004,2004-09-24,3.83,14.11,JFR,XJFRX
25,14.7,2004-10-01T00:00:00,10/1/2004,2004-10-01,4.03,14.13,JFR,XJFRX
26,14.74,2004-10-08T00:00:00,10/8/2004,2004-10-08,4.17,14.15,JFR,XJFRX
27,14.64,2004-10-15T00:00:00,10/15/2004,2004-10-15,3.83,14.1,JFR,XJFRX
28,14.55,2004-10-22T00:00:00,10/22/2004,2004-10-22,3.12,14.11,JFR,XJFRX
29,14.5,2004-10-29T00:00:00,10/29/2004,2004-10-29,2.4,14.16,JFR,XJFRX
30,14.34,2004-11-05T00:00:00,11/5/2004,2004-11-05,0.91,14.21,JFR,XJFRX
31,14.63,2004-11-12T00:00:00,11/12/2004,2004-11-12,3.39,14.15,JFR,XJFRX
32,14.4,2004-11-19T00:00:00,11/19/2004,2004-11-19,1.55,14.18,JFR,XJFRX
33,14.48,2004-11-26T00:00:00,11/26/2004,2004-11-26,2.12,14.18,JFR,XJFRX
34,14.24,2004-12-03T00:00:00,12/3/2004,2004-12-03,0.28,14.2,JFR,XJFRX
35,13.89,2004-12-10T00:00:00,12/10/2004,2004-12-10,-2.25,14.21,JFR,XJFRX
36,13.83,2004-12-17T00:00:00,12/17/2004,2004-12-17,-2.26,14.15,JFR,XJFRX
37,14.15,2005-01-07T00:00:00,1/7/2005,2005-01-07,-0.35,14.2,JFR,XJFRX
38,14.19,2005-01-14T00:00:00,1/14/2005,2005-01-14,0.28,14.15,JFR,XJFRX
39,14.16,2005-01-21T00:00:00,1/21/2005,2005-01-21,0.0,14.16,JFR,XJFRX
40,14.42,2005-01-28T00:00:00,1/28/2005,2005-01-28,1.62,14.19,JFR,XJFRX
41,14.54,2005-02-04T00:00:00,2/4/2005,2005-02-04,2.32,14.21,JFR,XJFRX
42,14.5,2005-02-11T00:00:00,2/11/2005,2005-02-11,2.33,14.17,JFR,XJFRX
43,14.3,2005-02-18T00:00:00,2/18/2005,2005-02-18,0.63,14.21,JFR,XJFRX
44,14.3,2005-02-25T00:00:00,2/25/2005,2005-02-25,0.49,14.23,JFR,XJFRX
45,14.7,2005-03-04T00:00:00,3/4/2005,2005-03-04,3.16,14.25,JFR,XJFRX
46,14.76,2005-03-11T00:00:00,3/11/2005,2005-03-11,4.02,14.19,JFR,XJFRX
47,14.69,2005-03-18T00:00:00,3/18/2005,2005-03-18,3.52,14.19,JFR,XJFRX
48,14.78,2005-04-01T00:00:00,4/1/2005,2005-04-01,4.3,14.17,JFR,XJFRX
49,14.79,2005-04-08T00:00:00,4/8/2005,2005-04-08,4.23,14.19,JFR,XJFRX
50,14.1,2005-04-15T00:00:00,4/15/2005,2005-04-15,0.07,14.09,JFR,XJFRX
51,14.3,2005-04-22T00:00:00,4/22/2005,2005-04-22,1.56,14.08,JFR,XJFRX
52,14.46,2005-04-29T00:00:00,4/29/2005,2005-04-29,2.92,14.05,JFR,XJFRX
53,14.26,2005-05-06T00:00:00,5/6/2005,2005-05-06,1.42,14.06,JFR,XJFRX
54,13.95,2005-05-13T00:00:00,5/13/2005,2005-05-13,0.07,13.94,JFR,XJFRX
