Date,Open,High,Low,Close,Adj Close,Volume
2004-03-25,15.96,15.96,15.96,6.049351,15.96,0
2004-03-26,15.0,15.08,15.0,5.685481,15.0,319800
2004-03-29,15.0,15.08,15.0,5.685481,15.0,97100
2004-03-30,15.0,15.08,15.0,5.715802,15.08,102500
2004-03-31,15.08,15.08,15.0,5.715802,15.08,91000
2004-04-01,15.08,15.24,15.08,5.746125,15.16,69600
2004-04-02,15.24,15.4,15.16,5.772659,15.23,84000
2004-04-05,15.3,15.33,15.16,5.765074,15.21,81500
2004-04-06,15.3,15.3,15.11,5.727176,15.11,126700
2004-04-07,15.3,15.43,15.22,5.83709,15.4,144500
2004-04-08,15.15,15.25,15.07,5.780239,15.25,146000
2004-04-12,15.38,15.38,15.12,5.780239,15.25,117100
2004-04-13,15.2,15.28,15.02,5.719595,15.09,172400
2004-04-14,15.03,15.09,14.97,5.693061,15.02,309000
2004-04-15,14.97,15.11,14.95,5.685481,15.0,147500
2004-04-16,15.0,15.1,14.97,5.723386,15.1,68100
2004-04-19,15.09,15.28,15.07,5.734756,15.13,99300
2004-04-20,15.1,15.27,15.1,5.746125,15.16,103800
2004-04-21,15.16,15.25,15.11,5.780239,15.25,154600
2004-04-22,15.25,15.33,15.15,5.791606,15.28,114800
2004-04-23,15.28,15.42,15.08,5.757497,15.19,107400
2004-04-26,15.09,15.2,14.95,5.685481,15.0,284200
2004-04-27,14.97,15.0,14.95,5.685481,15.0,194700
2004-04-28,15.0,15.0,14.95,5.666528,14.95,177700
2004-04-29,14.99,15.0,14.95,5.666528,14.95,101800
2004-04-30,14.96,14.98,14.95,5.670317,14.96,143800
2004-05-03,15.0,15.0,14.95,5.681694,14.99,103200
2004-05-04,14.99,15.07,14.95,5.693061,15.02,114600
2004-05-05,15.02,15.05,14.95,5.670317,14.96,142500
2004-05-06,15.0,15.0,14.95,5.6779,14.98,142400
2004-05-07,14.98,14.98,14.85,5.632419,14.86,161700
2004-05-10,14.8,14.84,14.2,5.514916,14.55,245400
2004-05-11,14.5,14.8,14.4,5.583141,14.73,200700
2004-05-12,14.8,14.84,14.62,5.571769,14.7,316900
2004-05-13,14.68,14.74,14.5,5.609085,14.73,161900
2004-05-14,14.7,14.85,14.66,5.654781,14.85,168000
2004-05-17,14.86,14.93,14.57,5.624321,14.77,173900
2004-05-18,14.77,14.94,14.67,5.670015,14.89,137000
2004-05-19,14.85,14.94,14.78,5.639554,14.81,163500
2004-05-20,14.85,14.92,14.8,5.647172,14.83,121100
2004-05-21,14.85,14.9,14.7,5.650976,14.84,105600
2004-05-24,14.85,14.85,14.1,5.525312,14.51,200100
2004-05-25,14.6,14.9,14.55,5.643358,14.82,151000
2004-05-26,14.88,14.98,14.76,5.666206,14.88,126400
2004-05-27,14.88,14.99,14.76,5.700481,14.97,82400
2004-05-28,14.99,14.99,14.85,5.685247,14.93,69100
2004-06-01,14.94,14.94,14.82,5.650976,14.84,120700
2004-06-02,14.74,14.89,14.69,5.647172,14.83,76600
2004-06-03,14.84,14.87,14.78,5.62813,14.78,102300
2004-06-04,14.73,14.84,14.68,5.650976,14.84,208200
2004-06-07,14.85,14.95,14.65,5.609085,14.73,120700
2004-06-08,14.73,14.85,14.73,5.643358,14.82,135400
2004-06-09,14.85,14.91,14.82,5.673822,14.9,90700
2004-06-10,14.9,15.0,14.86,5.711903,15.0,134300
2004-06-14,14.95,15.0,14.79,5.689054,14.94,117400
2004-06-15,14.91,15.0,14.85,5.681437,14.92,121300
2004-06-16,14.95,14.95,14.67,5.635738,14.8,90700
2004-06-17,14.85,14.87,14.65,5.62813,14.78,45000
2004-06-18,14.84,14.91,14.76,5.677633,14.91,77400
2004-06-21,14.91,14.98,14.82,5.689054,14.94,93800
2004-06-22,14.85,14.91,14.71,5.620511,14.76,71900
2004-06-23,14.85,14.85,14.68,5.635738,14.8,63600
2004-06-24,14.84,14.9,14.78,5.673822,14.9,91500
2004-06-25,14.9,14.94,14.66,5.586238,14.67,153300
2004-06-28,14.73,14.74,14.6,5.612895,14.74,105400
2004-06-29,14.8,14.91,14.55,5.612895,14.74,115200
2004-06-30,14.84,14.94,14.74,5.685247,14.93,78700
2004-07-01,14.95,14.98,14.77,5.647172,14.83,77000
2004-07-02,14.8,14.99,14.8,5.708092,14.99,74700
2004-07-06,14.95,14.99,14.72,5.673822,14.9,51700
2004-07-07,14.82,14.97,14.8,5.692862,14.95,163800
2004-07-08,14.99,14.99,14.83,5.685247,14.93,98700
