,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,18.3,2014-11-28T00:00:00,11/28/2014,2014-11-28,-8.09,19.91,JGH,XJGHX
1,17.96,2014-12-05T00:00:00,12/5/2014,2014-12-05,-8.55,19.64,JGH,XJGHX
2,17.3,2014-12-12T00:00:00,12/12/2014,2014-12-12,-9.94,19.21,JGH,XJGHX
3,17.5,2014-12-19T00:00:00,12/19/2014,2014-12-19,-9.65,19.37,JGH,XJGHX
4,17.81,2014-12-26T00:00:00,12/26/2014,2014-12-26,-8.48,19.46,JGH,XJGHX
5,17.41,2015-01-02T00:00:00,1/2/2015,2015-01-02,-10.63,19.48,JGH,XJGHX
6,17.83,2015-01-09T00:00:00,1/9/2015,2015-01-09,-8.52,19.49,JGH,XJGHX
7,16.83,2015-01-16T00:00:00,1/16/2015,2015-01-16,-12.62,19.26,JGH,XJGHX
8,16.93,2015-01-23T00:00:00,1/23/2015,2015-01-23,-12.82,19.42,JGH,XJGHX
9,16.71,2015-01-30T00:00:00,1/30/2015,2015-01-30,-13.82,19.39,JGH,XJGHX
10,16.82,2015-02-06T00:00:00,2/6/2015,2015-02-06,-14.71,19.72,JGH,XJGHX
11,17.04,2015-02-13T00:00:00,2/13/2015,2015-02-13,-13.5,19.7,JGH,XJGHX
12,16.98,2015-02-20T00:00:00,2/20/2015,2015-02-20,-14.46,19.85,JGH,XJGHX
13,17.12,2015-02-27T00:00:00,2/27/2015,2015-02-27,-14.66,20.06,JGH,XJGHX
14,17.28,2015-03-06T00:00:00,3/6/2015,2015-03-06,-13.73,20.03,JGH,XJGHX
15,17.02,2015-03-13T00:00:00,3/13/2015,2015-03-13,-13.52,19.68,JGH,XJGHX
16,16.94,2015-03-20T00:00:00,3/20/2015,2015-03-20,-13.88,19.67,JGH,XJGHX
17,17.1,2015-03-27T00:00:00,3/27/2015,2015-03-27,-13.37,19.74,JGH,XJGHX
18,17.29,2015-04-10T00:00:00,4/10/2015,2015-04-10,-13.72,20.04,JGH,XJGHX
19,17.23,2015-04-17T00:00:00,4/17/2015,2015-04-17,-13.59,19.94,JGH,XJGHX
20,17.26,2015-04-24T00:00:00,4/24/2015,2015-04-24,-13.79,20.02,JGH,XJGHX
