,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,10.2,2015-11-20T00:00:00,11/20/2015,2015-11-20,4.08,9.8,JHA,
1,10.15,2015-11-27T00:00:00,11/27/2015,2015-11-27,3.68,9.79,JHA,
2,10.05,2015-12-04T00:00:00,12/4/2015,2015-12-04,2.76,9.78,JHA,
3,10.05,2015-12-11T00:00:00,12/11/2015,2015-12-11,4.36,9.63,JHA,
4,10.0,2015-12-18T00:00:00,12/18/2015,2015-12-18,4.71,9.55,JHA,
5,10.01,2016-01-08T00:00:00,1/8/2016,2016-01-08,4.38,9.59,JHA,
6,9.9699,2016-01-15T00:00:00,1/15/2016,2016-01-15,6.63,9.35,JHA,
7,10.0,2016-01-22T00:00:00,1/22/2016,2016-01-22,6.95,9.35,JHA,
8,9.96,2016-01-29T00:00:00,1/29/2016,2016-01-29,5.73,9.42,JHA,
9,10.05,2016-02-05T00:00:00,2/5/2016,2016-02-05,7.6,9.34,JHA,
10,9.9,2016-02-12T00:00:00,2/12/2016,2016-02-12,8.43,9.13,JHA,
11,10.08,2016-02-19T00:00:00,2/19/2016,2016-02-19,8.5,9.29,JHA,
12,10.0,2016-02-26T00:00:00,2/26/2016,2016-02-26,6.04,9.43,JHA,
13,10.0,2016-03-04T00:00:00,3/4/2016,2016-03-04,3.52,9.66,JHA,
14,10.0,2016-03-11T00:00:00,3/11/2016,2016-03-11,3.52,9.66,JHA,
15,10.05,2016-03-18T00:00:00,3/18/2016,2016-03-18,3.29,9.73,JHA,
16,10.09,2016-04-01T00:00:00,4/1/2016,2016-04-01,3.49,9.75,JHA,
17,10.07,2016-04-08T00:00:00,4/8/2016,2016-04-08,2.86,9.79,JHA,
18,10.15,2016-04-15T00:00:00,4/15/2016,2016-04-15,3.15,9.84,JHA,
19,10.15,2016-04-22T00:00:00,4/22/2016,2016-04-22,2.63,9.89,JHA,
20,10.1,2016-04-29T00:00:00,4/29/2016,2016-04-29,1.61,9.94,JHA,
21,10.16,2016-05-06T00:00:00,5/6/2016,2016-05-06,2.42,9.92,JHA,
22,10.24,2016-05-13T00:00:00,5/13/2016,2016-05-13,3.43,9.9,JHA,
23,10.2976,2016-05-20T00:00:00,5/20/2016,2016-05-20,3.91,9.91,JHA,
24,10.28,2016-05-27T00:00:00,5/27/2016,2016-05-27,3.32,9.95,JHA,
25,10.23,2016-06-03T00:00:00,6/3/2016,2016-06-03,2.61,9.97,JHA,
26,10.23,2016-06-10T00:00:00,6/10/2016,2016-06-10,2.1,10.02,JHA,
27,10.249,2016-06-17T00:00:00,6/17/2016,2016-06-17,3.21,9.93,JHA,
28,10.2091,2016-06-24T00:00:00,6/24/2016,2016-06-24,2.91,9.92,JHA,
29,10.27,2016-07-01T00:00:00,7/1/2016,2016-07-01,2.7,10.0,JHA,
30,10.24,2016-07-08T00:00:00,7/8/2016,2016-07-08,1.79,10.06,JHA,
31,10.22,2016-07-15T00:00:00,7/15/2016,2016-07-15,1.49,10.07,JHA,
32,10.24,2016-07-22T00:00:00,7/22/2016,2016-07-22,1.59,10.08,JHA,
33,10.25,2016-07-29T00:00:00,7/29/2016,2016-07-29,1.79,10.07,JHA,
34,10.23,2016-08-05T00:00:00,8/5/2016,2016-08-05,1.39,10.09,JHA,
35,10.28,2016-08-12T00:00:00,8/12/2016,2016-08-12,1.98,10.08,JHA,
36,10.22,2016-08-19T00:00:00,8/19/2016,2016-08-19,1.19,10.1,JHA,
37,10.32,2016-08-26T00:00:00,8/26/2016,2016-08-26,2.08,10.11,JHA,
38,10.38,2016-09-02T00:00:00,9/2/2016,2016-09-02,2.37,10.14,JHA,
39,10.21,2016-09-09T00:00:00,9/9/2016,2016-09-09,0.79,10.13,JHA,
40,10.2001,2016-09-16T00:00:00,9/16/2016,2016-09-16,1.39,10.06,JHA,
41,10.28,2016-09-23T00:00:00,9/23/2016,2016-09-23,1.68,10.11,JHA,
42,10.4,2016-09-30T00:00:00,9/30/2016,2016-09-30,2.67,10.13,JHA,
43,10.3501,2016-10-07T00:00:00,10/7/2016,2016-10-07,1.77,10.17,JHA,
44,10.28,2016-10-14T00:00:00,10/14/2016,2016-10-14,1.48,10.13,JHA,
45,10.32,2016-10-21T00:00:00,10/21/2016,2016-10-21,1.57,10.16,JHA,
46,10.3131,2016-10-28T00:00:00,10/28/2016,2016-10-28,1.91,10.12,JHA,
47,10.1701,2016-11-04T00:00:00,11/4/2016,2016-11-04,0.99,10.07,JHA,
48,10.1,2016-11-11T00:00:00,11/11/2016,2016-11-11,1.0,10.0,JHA,
49,10.28,2016-11-18T00:00:00,11/18/2016,2016-11-18,2.9,9.99,JHA,
50,10.16,2016-11-25T00:00:00,11/25/2016,2016-11-25,1.3,10.03,JHA,
51,10.13,2016-12-02T00:00:00,12/2/2016,2016-12-02,0.9,10.04,JHA,
52,10.11,2016-12-09T00:00:00,12/9/2016,2016-12-09,0.0,10.11,JHA,
53,10.07,2016-12-16T00:00:00,12/16/2016,2016-12-16,0.4,10.03,JHA,
54,10.11,2016-12-23T00:00:00,12/23/2016,2016-12-23,0.4,10.07,JHA,
55,10.06,2016-12-30T00:00:00,12/30/2016,2016-12-30,-0.2,10.08,JHA,
56,10.1,2017-01-06T00:00:00,1/6/2017,2017-01-06,-0.39,10.14,JHA,
57,10.22,2017-01-13T00:00:00,1/13/2017,2017-01-13,1.09,10.11,JHA,
