,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,24.97,2017-02-03T00:00:00,2/3/2017,2017-02-03,1.59,24.58,JPT,XJPTX
1,25.11,2017-02-10T00:00:00,2/10/2017,2017-02-10,1.82,24.66,JPT,XJPTX
2,25.21,2017-02-17T00:00:00,2/17/2017,2017-02-17,1.82,24.76,JPT,XJPTX
3,25.03,2017-02-24T00:00:00,2/24/2017,2017-02-24,0.72,24.85,JPT,XJPTX
4,25.08,2017-03-03T00:00:00,3/3/2017,2017-03-03,0.56,24.94,JPT,XJPTX
5,25.06,2017-03-10T00:00:00,3/10/2017,2017-03-10,1.42,24.71,JPT,XJPTX
6,24.98,2017-03-17T00:00:00,3/17/2017,2017-03-17,0.89,24.76,JPT,XJPTX
7,25.03,2017-03-24T00:00:00,3/24/2017,2017-03-24,0.72,24.85,JPT,XJPTX
8,25.05,2017-03-31T00:00:00,3/31/2017,2017-03-31,0.52,24.92,JPT,XJPTX
9,25.201,2017-04-07T00:00:00,4/7/2017,2017-04-07,0.68,25.03,JPT,XJPTX
10,25.45,2017-04-21T00:00:00,4/21/2017,2017-04-21,1.76,25.01,JPT,XJPTX
11,25.45,2017-04-28T00:00:00,4/28/2017,2017-04-28,1.43,25.09,JPT,XJPTX
12,25.24,2017-05-05T00:00:00,5/5/2017,2017-05-05,0.2,25.19,JPT,XJPTX
13,25.0,2017-05-12T00:00:00,5/12/2017,2017-05-12,-0.48,25.12,JPT,XJPTX
14,25.0411,2017-05-19T00:00:00,5/19/2017,2017-05-19,-0.31,25.12,JPT,XJPTX
15,25.08,2017-05-26T00:00:00,5/26/2017,2017-05-26,-0.67,25.25,JPT,XJPTX
16,25.15,2017-06-02T00:00:00,6/2/2017,2017-06-02,-0.79,25.35,JPT,XJPTX
17,25.27,2017-06-09T00:00:00,6/9/2017,2017-06-09,-0.55,25.41,JPT,XJPTX
18,25.2,2017-06-16T00:00:00,6/16/2017,2017-06-16,-0.63,25.36,JPT,XJPTX
19,25.25,2017-06-23T00:00:00,6/23/2017,2017-06-23,-0.71,25.43,JPT,XJPTX
20,25.39,2017-06-30T00:00:00,6/30/2017,2017-06-30,-0.47,25.51,JPT,XJPTX
21,25.38,2017-07-07T00:00:00,7/7/2017,2017-07-07,-0.7,25.56,JPT,XJPTX
