,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.02972,,7/3/2017,7/12/2017,0.07529,8/1/2017,,0.105,JRI
1,0.02972,,6/1/2017,6/13/2017,0.07529,7/3/2017,,0.105,JRI
2,0.02972,,5/1/2017,5/11/2017,0.07529,6/1/2017,,0.105,JRI
3,0.03113,,4/3/2017,4/11/2017,0.07887,5/1/2017,,0.11,JRI
4,0.03113,,3/1/2017,3/13/2017,0.07887,4/3/2017,,0.11,JRI
5,0.00616,0.01749,2/1/2017,2/13/2017,0.08635,3/1/2017,,0.11,JRI
6,0.00616,0.01749,1/3/2017,1/11/2017,0.08635,2/1/2017,,0.11,JRI
7,,0.01748,12/1/2016,12/13/2016,0.09252,12/30/2016,,0.11,JRI
8,,0.01748,11/1/2016,11/10/2016,0.09252,12/1/2016,,0.11,JRI
9,,0.01748,10/3/2016,10/12/2016,0.09252,11/1/2016,,0.11,JRI
10,,0.01748,9/1/2016,9/13/2016,0.09252,10/3/2016,,0.11,JRI
11,,0.01748,8/1/2016,8/11/2016,0.09252,9/1/2016,,0.11,JRI
12,,0.01748,7/1/2016,7/13/2016,0.09252,8/1/2016,,0.11,JRI
13,,0.01748,6/1/2016,6/13/2016,0.09252,7/1/2016,,0.11,JRI
14,0.01161,,5/2/2016,5/11/2016,0.09839,6/1/2016,,0.11,JRI
15,0.01161,,4/1/2016,4/13/2016,0.09839,5/2/2016,,0.11,JRI
16,0.01161,,3/1/2016,3/11/2016,0.09839,4/1/2016,,0.11,JRI
17,0.01314,,2/1/2016,2/10/2016,0.11136,3/1/2016,,0.1245,JRI
18,0.01314,,1/4/2016,1/13/2016,0.11136,2/1/2016,,0.1245,JRI
19,0.01314,,12/1/2015,12/11/2015,0.11136,12/31/2015,,0.1245,JRI
20,0.01314,,11/2/2015,11/10/2015,0.11136,12/1/2015,,0.1245,JRI
21,0.01314,,10/1/2015,10/13/2015,0.11136,11/2/2015,,0.1245,JRI
22,0.01314,,9/1/2015,9/11/2015,0.11136,10/1/2015,,0.1245,JRI
23,0.0142,,8/3/2015,8/12/2015,0.1203,9/1/2015,,0.1345,JRI
24,0.0142,,7/1/2015,7/13/2015,0.1203,8/3/2015,,0.1345,JRI
25,0.0142,,6/1/2015,6/11/2015,0.1203,7/1/2015,,0.1345,JRI
26,0.0142,,5/1/2015,5/13/2015,0.1203,6/1/2015,,0.1345,JRI
27,0.0142,,4/1/2015,4/13/2015,0.1203,5/1/2015,,0.1345,JRI
28,0.0142,,3/2/2015,3/11/2015,0.1203,4/1/2015,,0.1345,JRI
29,0.0142,,2/2/2015,2/11/2015,0.1203,3/2/2015,,0.1345,JRI
30,0.0142,,1/2/2015,1/13/2015,0.1203,2/2/2015,,0.1345,JRI
31,0.1055,,12/16/2014,12/23/2014,,12/31/2014,S,1.1791,JRI
32,,,12/1/2014,12/11/2014,0.1345,12/31/2014,,0.1345,JRI
33,,,11/3/2014,11/12/2014,0.1345,12/1/2014,,0.1345,JRI
34,,,10/1/2014,10/10/2014,0.1345,11/3/2014,,0.1345,JRI
35,,,9/2/2014,9/11/2014,0.1345,10/1/2014,,0.1345,JRI
36,,,8/1/2014,8/13/2014,0.1345,9/2/2014,,0.1345,JRI
37,,,7/1/2014,7/11/2014,0.1345,8/1/2014,,0.1345,JRI
38,,,6/2/2014,6/11/2014,0.1345,7/1/2014,,0.1345,JRI
39,,,5/1/2014,5/13/2014,0.1345,6/2/2014,,0.1345,JRI
40,,,4/1/2014,4/11/2014,0.1345,5/1/2014,,0.1345,JRI
41,,,3/3/2014,3/12/2014,0.1345,4/1/2014,,0.1345,JRI
42,,,2/3/2014,2/12/2014,0.1345,3/3/2014,,0.1345,JRI
43,,,1/2/2014,1/13/2014,0.1345,2/3/2014,,0.1345,JRI
44,0.26002,,12/16/2013,12/24/2013,,12/31/2013,S,1.5907,JRI
45,,,12/2/2013,12/11/2013,0.1345,12/31/2013,,0.1345,JRI
46,,,11/1/2013,11/13/2013,0.1345,12/2/2013,,0.1345,JRI
47,,,10/1/2013,10/10/2013,0.1345,11/1/2013,,0.1345,JRI
48,0.043,,9/3/2013,9/11/2013,0.1345,10/1/2013,,0.3002,JRI
49,,,7/1/2013,7/11/2013,0.3675,8/1/2013,,0.3675,JRI
50,,,4/1/2013,4/11/2013,0.3675,5/1/2013,,0.3675,JRI
51,,,1/4/2013,1/11/2013,0.3675,2/15/2013,,0.3675,JRI
52,,,12/17/2012,12/26/2012,0.138,12/31/2012,S,0.4447,JRI
53,,,10/1/2012,10/11/2012,0.3675,11/1/2012,,0.3675,JRI
54,,,6/1/2012,7/11/2012,0.3675,8/1/2012,,0.3675,JRI
