,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2001-11-16T00:00:00,11/16/2001,2001-11-16,4.6,14.34,JRS,XJRSX
1,15.07,2001-11-23T00:00:00,11/23/2001,2001-11-23,4.94,14.36,JRS,XJRSX
2,15.09,2001-11-30T00:00:00,11/30/2001,2001-11-30,5.01,14.37,JRS,XJRSX
3,15.14,2001-12-07T00:00:00,12/7/2001,2001-12-07,4.27,14.52,JRS,XJRSX
4,15.01,2001-12-14T00:00:00,12/14/2001,2001-12-14,3.37,14.52,JRS,XJRSX
5,15.05,2001-12-21T00:00:00,12/21/2001,2001-12-21,3.51,14.54,JRS,XJRSX
6,15.13,2001-12-28T00:00:00,12/28/2001,2001-12-28,2.72,14.73,JRS,XJRSX
7,15.06,2002-01-04T00:00:00,1/4/2002,2002-01-04,2.03,14.76,JRS,XJRSX
8,15.16,2002-01-11T00:00:00,1/11/2002,2002-01-11,4.41,14.52,JRS,XJRSX
9,15.13,2002-01-18T00:00:00,1/18/2002,2002-01-18,3.56,14.61,JRS,XJRSX
10,15.06,2002-01-25T00:00:00,1/25/2002,2002-01-25,3.29,14.58,JRS,XJRSX
11,15.12,2002-02-01T00:00:00,2/1/2002,2002-02-01,2.51,14.75,JRS,XJRSX
12,15.34,2002-02-08T00:00:00,2/8/2002,2002-02-08,4.14,14.73,JRS,XJRSX
13,15.1,2002-02-15T00:00:00,2/15/2002,2002-02-15,2.37,14.75,JRS,XJRSX
14,14.92,2002-02-22T00:00:00,2/22/2002,2002-02-22,0.61,14.83,JRS,XJRSX
15,15.2,2002-03-01T00:00:00,3/1/2002,2002-03-01,1.6,14.96,JRS,XJRSX
16,15.4,2002-03-08T00:00:00,3/8/2002,2002-03-08,0.13,15.38,JRS,XJRSX
17,15.47,2002-03-15T00:00:00,3/15/2002,2002-03-15,0.52,15.39,JRS,XJRSX
18,15.34,2002-03-22T00:00:00,3/22/2002,2002-03-22,-1.41,15.56,JRS,XJRSX
19,15.66,2002-03-29T00:00:00,3/29/2002,2002-03-29,-0.19,15.69,JRS,XJRSX
20,15.75,2002-04-05T00:00:00,4/5/2002,2002-04-05,-0.69,15.86,JRS,XJRSX
21,15.8,2002-04-12T00:00:00,4/12/2002,2002-04-12,-3.54,16.38,JRS,XJRSX
22,15.99,2002-04-19T00:00:00,4/19/2002,2002-04-19,1.14,15.81,JRS,XJRSX
23,15.98,2002-04-26T00:00:00,4/26/2002,2002-04-26,3.83,15.39,JRS,XJRSX
24,15.96,2002-05-03T00:00:00,5/3/2002,2002-05-03,1.27,15.76,JRS,XJRSX
25,16.0,2002-05-10T00:00:00,5/10/2002,2002-05-10,4.58,15.3,JRS,XJRSX
26,15.9,2002-05-17T00:00:00,5/17/2002,2002-05-17,3.92,15.3,JRS,XJRSX
27,15.84,2002-05-24T00:00:00,5/24/2002,2002-05-24,3.6,15.29,JRS,XJRSX
28,16.0,2002-05-31T00:00:00,5/31/2002,2002-05-31,3.09,15.52,JRS,XJRSX
29,16.02,2002-06-07T00:00:00,6/7/2002,2002-06-07,2.63,15.61,JRS,XJRSX
30,16.16,2002-06-14T00:00:00,6/14/2002,2002-06-14,4.19,15.51,JRS,XJRSX
31,16.18,2002-06-21T00:00:00,6/21/2002,2002-06-21,2.86,15.73,JRS,XJRSX
