,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.0,2007-06-29T00:00:00,6/29/2007,2007-06-29,4.93,19.06,JTD,XJTDX
1,20.0,2007-07-06T00:00:00,7/6/2007,2007-07-06,4.44,19.15,JTD,XJTDX
2,20.0,2007-07-13T00:00:00,7/13/2007,2007-07-13,3.57,19.31,JTD,XJTDX
3,20.0,2007-07-20T00:00:00,7/20/2007,2007-07-20,4.49,19.14,JTD,XJTDX
4,20.0,2007-07-27T00:00:00,7/27/2007,2007-07-27,7.99,18.52,JTD,XJTDX
5,19.01,2007-08-03T00:00:00,8/3/2007,2007-08-03,2.87,18.48,JTD,XJTDX
6,19.0,2007-08-10T00:00:00,8/10/2007,2007-08-10,1.28,18.76,JTD,XJTDX
7,17.0,2007-08-17T00:00:00,8/17/2007,2007-08-17,-9.09,18.7,JTD,XJTDX
8,18.7,2007-08-24T00:00:00,8/24/2007,2007-08-24,-1.63,19.01,JTD,XJTDX
9,17.4,2007-08-31T00:00:00,8/31/2007,2007-08-31,-8.61,19.04,JTD,XJTDX
10,17.74,2007-09-07T00:00:00,9/7/2007,2007-09-07,-6.09,18.89,JTD,XJTDX
11,16.73,2007-09-14T00:00:00,9/14/2007,2007-09-14,-10.58,18.71,JTD,XJTDX
12,17.05,2007-09-21T00:00:00,9/21/2007,2007-09-21,-10.59,19.07,JTD,XJTDX
13,17.35,2007-09-28T00:00:00,9/28/2007,2007-09-28,-8.78,19.02,JTD,XJTDX
14,17.4,2007-10-05T00:00:00,10/5/2007,2007-10-05,-9.66,19.26,JTD,XJTDX
15,17.33,2007-10-12T00:00:00,10/12/2007,2007-10-12,-10.16,19.29,JTD,XJTDX
16,16.59,2007-10-19T00:00:00,10/19/2007,2007-10-19,-11.85,18.82,JTD,XJTDX
17,16.56,2007-10-26T00:00:00,10/26/2007,2007-10-26,-14.02,19.26,JTD,XJTDX
18,16.56,2007-11-02T00:00:00,11/2/2007,2007-11-02,-12.93,19.02,JTD,XJTDX
19,15.85,2007-11-09T00:00:00,11/9/2007,2007-11-09,-14.23,18.48,JTD,XJTDX
20,15.73,2007-11-16T00:00:00,11/16/2007,2007-11-16,-15.11,18.53,JTD,XJTDX
