,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/7/2017,7/13/2017,0.0575,7/31/2017,,0.0575,KSM
1,,,6/9/2017,6/15/2017,0.0575,6/30/2017,,0.0575,KSM
2,,,5/9/2017,5/17/2017,0.0575,5/31/2017,,0.0575,KSM
3,,,4/7/2017,4/13/2017,0.0575,4/28/2017,,0.0575,KSM
4,,,3/10/2017,3/16/2017,0.0575,3/31/2017,,0.0575,KSM
5,,,2/9/2017,2/16/2017,0.0575,2/28/2017,,0.0575,KSM
6,,,1/9/2017,1/17/2017,0.0575,1/31/2017,,0.0575,KSM
7,,,12/9/2016,12/15/2016,0.0575,12/30/2016,,0.0575,KSM
8,,,12/9/2016,12/15/2016,,12/30/2016,S,0.0348,KSM
9,,,11/10/2016,11/17/2016,0.06,11/30/2016,,0.06,KSM
10,,,10/7/2016,10/13/2016,0.06,10/31/2016,,0.06,KSM
11,,,9/9/2016,9/15/2016,0.065,9/30/2016,,0.065,KSM
12,,,8/8/2016,8/16/2016,0.065,8/31/2016,,0.065,KSM
13,,,7/8/2016,7/14/2016,0.065,7/29/2016,,0.065,KSM
14,,,6/10/2016,6/16/2016,0.065,6/30/2016,,0.065,KSM
15,,,5/9/2016,5/17/2016,0.065,5/31/2016,,0.065,KSM
16,,,4/8/2016,4/14/2016,0.065,4/29/2016,,0.065,KSM
17,,,3/10/2016,3/17/2016,0.065,3/31/2016,,0.065,KSM
18,,,2/9/2016,2/17/2016,0.07,2/29/2016,,0.07,KSM
19,,,1/8/2016,1/14/2016,0.07,1/29/2016,,0.07,KSM
20,,,12/10/2015,12/17/2015,0.07,12/31/2015,,0.07,KSM
21,,,11/10/2015,11/18/2015,0.07,11/30/2015,,0.07,KSM
22,,,10/9/2015,10/15/2015,0.07,10/30/2015,,0.07,KSM
23,,,9/10/2015,9/17/2015,0.07,9/30/2015,,0.07,KSM
24,,,8/7/2015,8/13/2015,0.07,8/31/2015,,0.07,KSM
25,,,7/10/2015,7/16/2015,0.077,7/31/2015,,0.077,KSM
26,,,6/10/2015,6/18/2015,0.077,6/30/2015,,0.077,KSM
27,,,5/8/2015,5/14/2015,0.077,5/29/2015,,0.077,KSM
28,,,4/10/2015,4/16/2015,0.077,4/30/2015,,0.077,KSM
29,,,3/10/2015,3/18/2015,0.077,3/31/2015,,0.077,KSM
30,,,2/9/2015,2/17/2015,0.077,2/27/2015,,0.077,KSM
31,,,1/9/2015,1/15/2015,0.077,1/30/2015,,0.077,KSM
32,,,12/8/2014,12/16/2014,0.077,12/31/2014,,0.077,KSM
33,,,12/8/2014,12/16/2014,,12/31/2014,S,0.0101,KSM
34,,,11/10/2014,11/18/2014,0.077,11/28/2014,,0.077,KSM
35,,,10/10/2014,10/16/2014,0.077,10/31/2014,,0.077,KSM
36,,,9/9/2014,9/17/2014,0.077,9/30/2014,,0.077,KSM
