Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.9375,9.9375,9.6875,3.153414,9.75,64600
2000-01-04,9.75,10.0,9.75,3.234269,10.0,58900
2000-01-05,10.0,10.25,10.0,3.294912,10.1875,89000
2000-01-06,10.0625,10.25,10.0625,3.294912,10.1875,62200
2000-01-07,10.1875,10.375,10.1875,3.355555,10.375,49900
2000-01-10,10.375,10.625,10.25,3.436412,10.625,67800
2000-01-11,10.5,10.625,10.375,3.355555,10.375,56300
2000-01-12,10.375,10.4375,10.1875,3.315128,10.25,50800
2000-01-13,10.25,10.4375,10.125,3.398648,10.4375,65700
2000-01-14,10.4375,10.4375,10.3125,3.398648,10.4375,46700
2000-01-18,10.3125,10.375,10.25,3.378296,10.375,44600
2000-01-19,10.4375,10.4375,10.25,3.357945,10.3125,59500
2000-01-20,10.3125,10.4375,10.25,3.398648,10.4375,20800
2000-01-21,10.4375,10.4375,10.3125,3.357945,10.3125,44600
2000-01-24,10.3125,10.375,10.25,3.357945,10.3125,93700
2000-01-25,10.3125,10.5,10.3125,3.418999,10.5,42300
2000-01-26,10.5625,10.5625,10.375,3.398648,10.4375,46500
2000-01-27,10.4375,10.5,10.375,3.398648,10.4375,52900
2000-01-28,10.4375,10.4375,10.375,3.378296,10.375,21900
2000-01-31,10.4375,10.5,10.375,3.398648,10.4375,54200
2000-02-01,10.4375,10.5,10.375,3.378296,10.375,41400
2000-02-02,10.4375,10.5625,10.3125,3.439348,10.5625,85200
2000-02-03,10.5,10.8125,10.5,3.48005,10.6875,86000
2000-02-04,10.6875,10.8125,10.6875,3.48005,10.6875,37200
2000-02-07,10.75,10.75,10.5,3.418999,10.5,61900
2000-02-08,10.625,10.6875,10.5,3.4597,10.625,38500
2000-02-09,10.5625,10.75,10.5625,3.500401,10.75,27500
2000-02-10,10.75,10.75,10.625,3.4597,10.625,40600
2000-02-11,10.5625,10.625,10.5625,3.482316,10.625,27800
2000-02-14,10.625,10.625,10.375,3.420863,10.4375,44200
2000-02-15,10.375,10.4375,10.125,3.359411,10.25,71700
2000-02-16,10.3125,10.375,10.1875,3.400378,10.375,83400
2000-02-17,10.3125,10.375,10.25,3.359411,10.25,27300
2000-02-18,10.25,10.3125,10.25,3.359411,10.25,40500
2000-02-22,10.3125,10.375,10.1875,3.338923,10.1875,48100
2000-02-23,10.3125,10.5625,10.25,3.441346,10.5,66800
2000-02-24,10.625,10.625,10.4375,3.441346,10.5,56900
2000-02-25,10.375,10.5,10.375,3.441346,10.5,32200
2000-02-28,10.5625,10.5625,10.5,3.441346,10.5,37800
2000-02-29,10.5625,10.5625,10.375,3.441346,10.5,30300
2000-03-01,10.5,10.5625,10.4375,3.441346,10.5,33800
2000-03-02,10.5,10.5625,10.4375,3.441346,10.5,36200
2000-03-03,10.5625,10.5625,10.25,3.359411,10.25,39100
2000-03-06,10.25,10.375,10.1875,3.338923,10.1875,69800
2000-03-07,10.1875,10.25,10.125,3.359411,10.25,41800
2000-03-08,10.1875,10.25,10.125,3.338923,10.1875,74800
2000-03-09,10.125,10.25,10.0625,3.359411,10.25,47600
2000-03-10,10.1875,10.375,10.1875,3.359411,10.25,25100
2000-03-13,10.25,10.375,10.1875,3.423087,10.375,43200
