,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,20.01,2005-07-08T00:00:00,7/8/2005,2005-07-08,5.71,18.93,LOR,XLORX
1,20.0,2005-07-15T00:00:00,7/15/2005,2005-07-15,4.06,19.22,LOR,XLORX
2,20.0,2005-07-22T00:00:00,7/22/2005,2005-07-22,3.2,19.38,LOR,XLORX
3,20.0,2005-07-29T00:00:00,7/29/2005,2005-07-29,2.09,19.59,LOR,XLORX
4,20.04,2005-08-05T00:00:00,8/5/2005,2005-08-05,0.91,19.86,LOR,XLORX
5,18.6,2005-08-12T00:00:00,8/12/2005,2005-08-12,-6.77,19.95,LOR,XLORX
6,18.15,2005-08-19T00:00:00,8/19/2005,2005-08-19,-6.97,19.51,LOR,XLORX
7,18.38,2005-08-26T00:00:00,8/26/2005,2005-08-26,-5.79,19.51,LOR,XLORX
8,19.2,2005-09-02T00:00:00,9/2/2005,2005-09-02,-5.04,20.22,LOR,XLORX
9,19.34,2005-09-09T00:00:00,9/9/2005,2005-09-09,-4.82,20.32,LOR,XLORX
10,19.09,2005-09-16T00:00:00,9/16/2005,2005-09-16,-5.77,20.26,LOR,XLORX
11,18.16,2005-09-23T00:00:00,9/23/2005,2005-09-23,-9.15,19.99,LOR,XLORX
12,18.35,2005-09-30T00:00:00,9/30/2005,2005-09-30,-9.43,20.26,LOR,XLORX
13,18.06,2005-10-07T00:00:00,10/7/2005,2005-10-07,-7.67,19.56,LOR,XLORX
14,17.9,2005-10-14T00:00:00,10/14/2005,2005-10-14,-6.82,19.21,LOR,XLORX
15,17.33,2005-10-21T00:00:00,10/21/2005,2005-10-21,-8.5,18.94,LOR,XLORX
16,18.01,2005-10-28T00:00:00,10/28/2005,2005-10-28,-5.81,19.12,LOR,XLORX
17,18.36,2005-11-04T00:00:00,11/4/2005,2005-11-04,-5.65,19.46,LOR,XLORX
18,17.6,2005-11-18T00:00:00,11/18/2005,2005-11-18,-9.84,19.52,LOR,XLORX
19,17.45,2005-11-25T00:00:00,11/25/2005,2005-11-25,-12.09,19.85,LOR,XLORX
20,17.88,2005-12-02T00:00:00,12/2/2005,2005-12-02,-11.04,20.1,LOR,XLORX
21,17.29,2005-12-09T00:00:00,12/9/2005,2005-12-09,-13.85,20.07,LOR,XLORX
22,17.66,2005-12-16T00:00:00,12/16/2005,2005-12-16,-13.18,20.34,LOR,XLORX
23,17.55,2005-12-23T00:00:00,12/23/2005,2005-12-23,-12.51,20.06,LOR,XLORX
24,17.76,2005-12-30T00:00:00,12/30/2005,2005-12-30,-11.2,20.0,LOR,XLORX
25,19.34,2006-01-06T00:00:00,1/6/2006,2006-01-06,-7.82,20.98,LOR,XLORX
26,18.87,2006-01-13T00:00:00,1/13/2006,2006-01-13,-9.41,20.83,LOR,XLORX
27,18.55,2006-01-20T00:00:00,1/20/2006,2006-01-20,-10.08,20.63,LOR,XLORX
28,19.3,2006-01-27T00:00:00,1/27/2006,2006-01-27,-8.62,21.12,LOR,XLORX
29,18.43,2006-02-03T00:00:00,2/3/2006,2006-02-03,-11.73,20.88,LOR,XLORX
30,18.95,2006-02-10T00:00:00,2/10/2006,2006-02-10,-9.2,20.87,LOR,XLORX
31,19.26,2006-02-17T00:00:00,2/17/2006,2006-02-17,-9.36,21.25,LOR,XLORX
32,19.33,2006-02-24T00:00:00,2/24/2006,2006-02-24,-9.16,21.28,LOR,XLORX
33,19.73,2006-03-03T00:00:00,3/3/2006,2006-03-03,-8.23,21.5,LOR,XLORX
34,19.39,2006-03-10T00:00:00,3/10/2006,2006-03-10,-8.23,21.13,LOR,XLORX
35,19.63,2006-03-17T00:00:00,3/17/2006,2006-03-17,-9.41,21.67,LOR,XLORX
36,19.8,2006-03-24T00:00:00,3/24/2006,2006-03-24,-7.82,21.48,LOR,XLORX
37,19.82,2006-03-31T00:00:00,3/31/2006,2006-03-31,-7.73,21.48,LOR,XLORX
38,19.63,2006-04-07T00:00:00,4/7/2006,2006-04-07,-9.91,21.79,LOR,XLORX
39,19.62,2006-04-21T00:00:00,4/21/2006,2006-04-21,-12.84,22.51,LOR,XLORX
40,19.62,2006-04-28T00:00:00,4/28/2006,2006-04-28,-12.84,22.51,LOR,XLORX
41,20.1,2006-05-05T00:00:00,5/5/2006,2006-05-05,-13.29,23.18,LOR,XLORX
42,19.92,2006-05-12T00:00:00,5/12/2006,2006-05-12,-11.58,22.53,LOR,XLORX
43,19.55,2006-05-19T00:00:00,5/19/2006,2006-05-19,-8.82,21.44,LOR,XLORX
44,19.58,2006-05-26T00:00:00,5/26/2006,2006-05-26,-8.93,21.5,LOR,XLORX
45,19.71,2006-06-02T00:00:00,6/2/2006,2006-06-02,-9.34,21.74,LOR,XLORX
46,19.25,2006-06-09T00:00:00,6/9/2006,2006-06-09,-7.63,20.84,LOR,XLORX
47,19.17,2006-06-16T00:00:00,6/16/2006,2006-06-16,-7.08,20.63,LOR,XLORX
48,18.9,2006-06-23T00:00:00,6/23/2006,2006-06-23,-7.31,20.39,LOR,XLORX
49,19.62,2006-06-30T00:00:00,6/30/2006,2006-06-30,-7.71,21.26,LOR,XLORX
50,19.69,2006-07-07T00:00:00,7/7/2006,2006-07-07,-8.8,21.59,LOR,XLORX
51,19.11,2006-07-14T00:00:00,7/14/2006,2006-07-14,-8.35,20.85,LOR,XLORX
52,19.25,2006-07-21T00:00:00,7/21/2006,2006-07-21,-8.9,21.13,LOR,XLORX
53,19.94,2006-07-28T00:00:00,7/28/2006,2006-07-28,-8.49,21.79,LOR,XLORX
54,19.85,2006-08-11T00:00:00,8/11/2006,2006-08-11,-8.4,21.67,LOR,XLORX
55,20.17,2006-08-18T00:00:00,8/18/2006,2006-08-18,-8.4,22.02,LOR,XLORX
56,20.4,2006-08-25T00:00:00,8/25/2006,2006-08-25,-6.64,21.85,LOR,XLORX
57,20.58,2006-09-01T00:00:00,9/1/2006,2006-09-01,-7.8,22.32,LOR,XLORX
58,20.52,2006-09-08T00:00:00,9/8/2006,2006-09-08,-6.39,21.92,LOR,XLORX
59,20.46,2006-09-15T00:00:00,9/15/2006,2006-09-15,-6.58,21.9,LOR,XLORX
60,20.72,2006-09-22T00:00:00,9/22/2006,2006-09-22,-4.87,21.78,LOR,XLORX
61,20.87,2006-09-29T00:00:00,9/29/2006,2006-09-29,-5.27,22.03,LOR,XLORX
62,20.76,2006-10-06T00:00:00,10/6/2006,2006-10-06,-6.65,22.24,LOR,XLORX
63,21.1,2006-10-13T00:00:00,10/13/2006,2006-10-13,-5.93,22.43,LOR,XLORX
64,21.13,2006-10-20T00:00:00,10/20/2006,2006-10-20,-6.63,22.63,LOR,XLORX
65,21.9,2006-10-27T00:00:00,10/27/2006,2006-10-27,-4.66,22.97,LOR,XLORX
66,21.32,2006-11-03T00:00:00,11/3/2006,2006-11-03,-7.47,23.04,LOR,XLORX
67,21.47,2006-11-10T00:00:00,11/10/2006,2006-11-10,-7.5,23.21,LOR,XLORX
68,21.55,2006-11-17T00:00:00,11/17/2006,2006-11-17,-7.43,23.28,LOR,XLORX
69,22.24,2006-11-24T00:00:00,11/24/2006,2006-11-24,-5.72,23.59,LOR,XLORX
70,23.07,2006-12-01T00:00:00,12/1/2006,2006-12-01,-3.11,23.81,LOR,XLORX
71,23.7,2006-12-08T00:00:00,12/8/2006,2006-12-08,-2.27,24.25,LOR,XLORX
72,22.69,2006-12-15T00:00:00,12/15/2006,2006-12-15,0.09,22.67,LOR,XLORX
73,23.59,2006-12-22T00:00:00,12/22/2006,2006-12-22,4.29,22.62,LOR,XLORX
