,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.01,2002-11-29T00:00:00,11/29/2002,2002-11-29,5.04,14.29,MAB,XMABX
1,15.15,2002-12-06T00:00:00,12/6/2002,2002-12-06,5.65,14.34,MAB,XMABX
2,15.3,2002-12-13T00:00:00,12/13/2002,2002-12-13,6.4,14.38,MAB,XMABX
3,15.03,2002-12-20T00:00:00,12/20/2002,2002-12-20,4.16,14.43,MAB,XMABX
4,15.28,2002-12-27T00:00:00,12/27/2002,2002-12-27,5.38,14.5,MAB,XMABX
5,15.3,2003-01-03T00:00:00,1/3/2003,2003-01-03,5.81,14.46,MAB,XMABX
6,15.02,2003-01-10T00:00:00,1/10/2003,2003-01-10,4.45,14.38,MAB,XMABX
7,14.4,2003-01-17T00:00:00,1/17/2003,2003-01-17,0.49,14.33,MAB,XMABX
8,14.3,2003-01-24T00:00:00,1/24/2003,2003-01-24,0.0,14.3,MAB,XMABX
9,14.5,2003-01-31T00:00:00,1/31/2003,2003-01-31,1.75,14.25,MAB,XMABX
10,14.4,2003-02-07T00:00:00,2/7/2003,2003-02-07,0.56,14.32,MAB,XMABX
11,14.68,2003-02-14T00:00:00,2/14/2003,2003-02-14,1.94,14.4,MAB,XMABX
12,14.7,2003-02-21T00:00:00,2/21/2003,2003-02-21,1.94,14.42,MAB,XMABX
13,14.99,2003-02-28T00:00:00,2/28/2003,2003-02-28,2.25,14.66,MAB,XMABX
14,15.04,2003-03-07T00:00:00,3/7/2003,2003-03-07,1.76,14.78,MAB,XMABX
15,14.65,2003-03-14T00:00:00,3/14/2003,2003-03-14,-0.81,14.77,MAB,XMABX
16,14.8,2003-03-21T00:00:00,3/21/2003,2003-03-21,4.3,14.19,MAB,XMABX
17,15.1,2003-03-28T00:00:00,3/28/2003,2003-03-28,3.92,14.53,MAB,XMABX
18,15.11,2003-04-04T00:00:00,4/4/2003,2003-04-04,4.21,14.5,MAB,XMABX
19,15.23,2003-04-11T00:00:00,4/11/2003,2003-04-11,4.67,14.55,MAB,XMABX
