,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.065,8/1/2017,,0.065,MCA
1,,,6/1/2017,6/13/2017,0.065,7/3/2017,,0.065,MCA
2,,,5/1/2017,5/11/2017,0.065,6/1/2017,,0.065,MCA
3,,,4/3/2017,4/11/2017,0.065,5/1/2017,,0.065,MCA
4,,,3/1/2017,3/13/2017,0.065,4/3/2017,,0.065,MCA
5,,,2/1/2017,2/13/2017,0.065,3/1/2017,,0.065,MCA
6,,,1/3/2017,1/11/2017,0.065,2/1/2017,,0.065,MCA
7,,,12/1/2016,12/8/2016,0.065,12/30/2016,,0.065,MCA
8,0.01436,,12/1/2016,12/8/2016,,12/30/2016,S,0.04823,MCA
9,,,11/1/2016,11/10/2016,0.065,12/1/2016,,0.065,MCA
10,,,10/3/2016,10/12/2016,0.065,11/1/2016,,0.065,MCA
11,,,9/1/2016,9/13/2016,0.065,10/3/2016,,0.065,MCA
12,,,8/1/2016,8/11/2016,0.065,9/1/2016,,0.065,MCA
13,,,7/1/2016,7/13/2016,0.065,8/1/2016,,0.065,MCA
14,,,6/1/2016,6/13/2016,0.065,7/1/2016,,0.065,MCA
15,,,5/2/2016,5/12/2016,0.07,6/1/2016,,0.07,MCA
16,,,4/1/2016,4/13/2016,0.07,5/2/2016,,0.07,MCA
17,,,3/1/2016,3/11/2016,0.07,4/1/2016,,0.07,MCA
18,,,2/1/2016,2/11/2016,0.073,3/1/2016,,0.073,MCA
19,,,1/4/2016,1/13/2016,0.073,2/1/2016,,0.073,MCA
20,,,12/1/2015,12/10/2015,0.073,12/31/2015,,0.073,MCA
21,,,11/2/2015,11/12/2015,0.073,12/1/2015,,0.073,MCA
22,,,10/1/2015,10/13/2015,0.073,11/2/2015,,0.073,MCA
23,,,9/1/2015,9/11/2015,0.073,10/1/2015,,0.073,MCA
24,,,8/3/2015,8/12/2015,0.073,9/1/2015,,0.073,MCA
25,,,7/1/2015,7/13/2015,0.073,8/3/2015,,0.073,MCA
26,,,6/1/2015,6/11/2015,0.073,7/1/2015,,0.073,MCA
27,,,5/1/2015,5/13/2015,0.073,6/1/2015,,0.073,MCA
28,,,4/1/2015,4/13/2015,0.073,5/1/2015,,0.073,MCA
29,,,3/2/2015,3/11/2015,0.073,4/1/2015,,0.073,MCA
30,,,2/2/2015,2/11/2015,0.073,3/2/2015,,0.073,MCA
31,,,1/2/2015,1/13/2015,0.073,2/2/2015,,0.073,MCA
32,,,12/1/2014,12/10/2014,0.073,12/31/2014,,0.073,MCA
33,,,11/3/2014,11/12/2014,0.073,12/1/2014,,0.073,MCA
34,,,10/1/2014,10/10/2014,0.073,11/3/2014,,0.073,MCA
35,,,9/2/2014,9/11/2014,0.073,10/1/2014,,0.073,MCA
36,,,8/1/2014,8/13/2014,0.073,9/2/2014,,0.073,MCA
37,,,7/1/2014,7/11/2014,0.073,8/1/2014,,0.073,MCA
38,,,6/2/2014,6/12/2014,0.076,7/1/2014,,0.076,MCA
39,,,5/1/2014,5/13/2014,0.076,6/2/2014,,0.076,MCA
40,,,4/1/2014,4/11/2014,0.076,5/1/2014,,0.076,MCA
41,,,3/3/2014,3/12/2014,0.076,4/1/2014,,0.076,MCA
42,,,2/3/2014,2/12/2014,0.076,3/3/2014,,0.076,MCA
43,,,1/2/2014,1/13/2014,0.076,2/3/2014,,0.076,MCA
44,,,12/2/2013,12/11/2013,0.076,12/31/2013,,0.076,MCA
45,,,11/1/2013,11/13/2013,0.076,12/2/2013,,0.076,MCA
46,,,10/1/2013,10/11/2013,0.076,11/1/2013,,0.076,MCA
47,,,9/3/2013,9/12/2013,0.076,10/1/2013,,0.076,MCA
48,,,8/1/2013,8/13/2013,0.076,9/3/2013,,0.076,MCA
49,,,7/1/2013,7/11/2013,0.076,8/1/2013,,0.076,MCA
50,,,6/3/2013,6/12/2013,0.076,7/1/2013,,0.076,MCA
51,,,5/1/2013,5/13/2013,0.076,6/3/2013,,0.076,MCA
52,,,4/1/2013,4/11/2013,0.076,5/1/2013,,0.076,MCA
53,,,3/1/2013,3/13/2013,0.076,4/1/2013,,0.076,MCA
54,,,2/1/2013,2/13/2013,0.076,3/1/2013,,0.076,MCA
55,,,1/2/2013,1/11/2013,0.076,2/1/2013,,0.076,MCA
56,,,12/4/2012,12/12/2012,0.076,12/31/2012,,0.076,MCA
57,,,11/1/2012,11/13/2012,0.076,12/3/2012,,0.076,MCA
58,,,10/1/2012,10/11/2012,0.076,11/1/2012,,0.076,MCA
59,,,9/4/2012,9/12/2012,0.076,10/1/2012,,0.076,MCA
60,,,8/1/2012,8/13/2012,0.076,9/4/2012,,0.076,MCA
61,,,7/2/2012,7/12/2012,0.076,8/1/2012,,0.076,MCA
62,,,6/1/2012,6/13/2012,0.076,7/2/2012,,0.076,MCA
63,,,5/1/2012,5/11/2012,0.076,6/1/2012,,0.076,MCA
64,,,4/2/2012,4/12/2012,0.076,5/1/2012,,0.076,MCA
65,,,3/1/2012,3/13/2012,0.076,4/2/2012,,0.076,MCA
66,,,2/1/2012,2/13/2012,0.0735,3/1/2012,,0.0735,MCA
67,,,1/3/2012,1/11/2012,0.0735,2/1/2012,,0.0735,MCA
68,,,12/5/2011,12/13/2011,0.0735,12/30/2011,,0.0735,MCA
69,,,11/1/2011,11/10/2011,0.0735,12/1/2011,,0.0735,MCA
70,,,10/3/2011,10/12/2011,0.0735,11/1/2011,,0.0735,MCA
71,,,9/1/2011,9/13/2011,0.0735,10/3/2011,,0.0735,MCA
72,,,8/1/2011,8/11/2011,0.0735,9/1/2011,,0.0735,MCA
73,,,7/1/2011,7/13/2011,0.0735,8/1/2011,,0.0735,MCA
74,,,6/1/2011,6/13/2011,0.0735,7/1/2011,,0.0735,MCA
75,,,5/2/2011,5/12/2011,0.0735,6/1/2011,,0.0735,MCA
76,,,4/1/2011,4/13/2011,0.0735,5/2/2011,,0.0735,MCA
77,,,3/1/2011,3/11/2011,0.0735,4/1/2011,,0.0735,MCA
78,,,2/1/2011,2/11/2011,0.0735,3/1/2011,,0.0735,MCA
79,,,1/3/2011,1/12/2011,0.0735,2/1/2011,,0.0735,MCA
80,,,12/6/2010,12/13/2010,0.0735,12/31/2010,,0.0735,MCA
81,,,11/1/2010,11/10/2010,0.0705,12/1/2010,,0.0705,MCA
82,,,10/1/2010,10/13/2010,0.0705,11/1/2010,,0.0705,MCA
83,,,9/1/2010,9/13/2010,0.0705,10/1/2010,,0.0705,MCA
84,,,8/2/2010,8/12/2010,0.068,9/1/2010,,0.068,MCA
85,,,7/1/2010,7/13/2010,0.068,8/2/2010,,0.068,MCA
86,,,6/1/2010,6/11/2010,0.068,7/1/2010,,0.068,MCA
87,,,5/3/2010,5/12/2010,0.066,6/1/2010,,0.066,MCA
88,,,4/1/2010,4/13/2010,0.066,5/3/2010,,0.066,MCA
89,,,3/1/2010,3/11/2010,0.066,4/1/2010,,0.066,MCA
90,,,2/1/2010,2/10/2010,0.061,3/1/2010,,0.061,MCA
91,,,1/4/2010,1/13/2010,0.061,2/1/2010,,0.061,MCA
92,,,12/7/2009,12/11/2009,0.061,12/31/2009,,0.061,MCA
93,,,11/2/2009,11/10/2009,0.061,12/1/2009,,0.061,MCA
94,,,10/1/2009,10/13/2009,0.061,11/2/2009,,0.061,MCA
95,,,9/1/2009,9/11/2009,0.061,10/1/2009,,0.061,MCA
96,,,8/3/2009,8/12/2009,0.061,9/1/2009,,0.061,MCA
97,,,7/1/2009,7/13/2009,0.061,8/3/2009,,0.061,MCA
98,,,6/1/2009,6/11/2009,0.061,7/1/2009,,0.061,MCA
99,,,5/1/2009,5/13/2009,0.0535,6/1/2009,,0.0535,MCA
100,,,4/1/2009,4/13/2009,0.0535,5/1/2009,,0.0535,MCA
101,,,3/2/2009,3/12/2009,,4/1/2009,,0.0535,MCA
102,,,2/2/2009,2/11/2009,0.0535,3/2/2009,,0.0535,MCA
103,,,1/2/2009,1/13/2009,0.0535,2/2/2009,,0.0535,MCA
104,,,12/5/2008,12/11/2008,0.0535,12/31/2008,,0.0535,MCA
105,,,11/3/2008,11/12/2008,0.0535,12/1/2008,,0.0535,MCA
106,,,10/1/2008,10/10/2008,0.0535,11/3/2008,,0.0535,MCA
107,,,9/2/2008,9/11/2008,,10/1/2008,,0.0535,MCA
108,,,8/1/2008,8/13/2008,,9/2/2008,,0.0535,MCA
109,,,7/1/2008,7/11/2008,,8/1/2008,,0.0535,MCA
110,,,6/2/2008,6/12/2008,,7/1/2008,,0.0535,MCA
111,,,5/1/2008,5/13/2008,,6/2/2008,,0.056,MCA
112,,,4/1/2008,4/11/2008,,5/1/2008,,0.056,MCA
113,,,3/3/2008,3/12/2008,,4/1/2008,,0.056,MCA
114,,,2/1/2008,2/13/2008,,3/3/2008,,0.056,MCA
115,,,1/2/2008,1/17/2008,,2/1/2008,,0.056,MCA
116,,,12/5/2007,12/12/2007,,12/31/2007,,0.056,MCA
117,,,11/1/2007,11/13/2007,,12/3/2007,,0.056,MCA
118,,,10/1/2007,10/11/2007,,11/1/2007,,0.056,MCA
119,,,9/4/2007,9/12/2007,,10/1/2007,,0.056,MCA
120,,,8/1/2007,8/13/2007,,9/4/2007,,0.056,MCA
121,,,7/2/2007,7/12/2007,,8/1/2007,,0.056,MCA
122,,,6/1/2007,6/13/2007,,7/2/2007,,0.056,MCA
123,,,5/1/2007,5/11/2007,,6/1/2007,,0.056,MCA
124,,,4/2/2007,4/12/2007,,5/1/2007,,0.056,MCA
125,,,3/1/2007,3/13/2007,,4/2/2007,,0.056,MCA
126,,,2/1/2007,2/13/2007,,3/1/2007,,0.056,MCA
127,,,1/3/2007,1/11/2007,,2/1/2007,,0.056,MCA
128,,,12/5/2006,12/13/2006,,12/28/2006,,0.056,MCA
129,,,11/2/2006,11/10/2006,,11/29/2006,,0.06,MCA
130,,,10/3/2006,10/12/2006,,10/30/2006,,0.06,MCA
131,,,9/5/2006,9/13/2006,,9/28/2006,,0.06,MCA
132,,,8/3/2006,8/10/2006,,8/30/2006,,0.06,MCA
133,,,7/5/2006,7/13/2006,,7/28/2006,,0.06,MCA
134,,,6/2/2006,6/9/2006,,6/29/2006,,0.06,MCA
135,,,5/5/2006,5/11/2006,,5/30/2006,,0.07,MCA
136,,,4/5/2006,4/12/2006,,4/27/2006,,0.07,MCA
137,,,3/6/2006,3/10/2006,,3/30/2006,,0.07,MCA
138,,,2/3/2006,2/10/2006,,2/27/2006,,0.07,MCA
