,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,5/17/2017,6/21/2017,0.0255,7/3/2017,,0.0255,MHF
1,,,5/17/2017,7/19/2017,0.0255,8/1/2017,,0.0255,MHF
2,,,5/17/2017,8/23/2017,0.0255,9/1/2017,,0.0255,MHF
3,,,2/14/2017,3/22/2017,0.0255,4/3/2017,,0.0255,MHF
4,,,2/14/2017,4/19/2017,0.0255,5/1/2017,,0.0255,MHF
5,,,2/14/2017,5/17/2017,0.0255,6/1/2017,,0.0255,MHF
6,,,11/15/2016,12/21/2016,0.0255,12/30/2016,,0.0255,MHF
7,,,11/15/2016,1/18/2017,0.0255,1/27/2017,,0.0255,MHF
8,,,11/15/2016,2/15/2017,0.0255,2/24/2017,,0.0255,MHF
9,,,8/15/2016,9/21/2016,0.0265,9/30/2016,,0.0265,MHF
10,,,8/15/2016,10/19/2016,0.0265,11/1/2016,,0.0265,MHF
11,,,8/15/2016,11/16/2016,0.0265,11/25/2016,,0.0265,MHF
12,,,5/17/2016,6/15/2016,0.0265,6/24/2016,,0.0265,MHF
13,,,5/17/2016,7/20/2016,0.0265,7/29/2016,,0.0265,MHF
14,,,5/17/2016,8/17/2016,0.0265,8/26/2016,,0.0265,MHF
15,,,2/18/2016,3/16/2016,0.028,3/24/2016,,0.028,MHF
16,,,2/18/2016,4/20/2016,0.028,4/29/2016,,0.028,MHF
17,,,2/18/2016,5/18/2016,0.028,5/27/2016,,0.028,MHF
18,,,11/16/2015,12/16/2015,0.028,12/24/2015,,0.028,MHF
19,,,11/16/2015,1/20/2016,0.028,1/29/2016,,0.028,MHF
20,,,11/16/2015,2/17/2016,0.028,2/26/2016,,0.028,MHF
21,,,8/17/2015,9/16/2015,0.029,9/25/2015,,0.029,MHF
22,,,8/17/2015,10/21/2015,0.029,10/30/2015,,0.029,MHF
23,,,8/17/2015,11/18/2015,0.029,11/27/2015,,0.029,MHF
24,,,5/20/2015,6/17/2015,0.029,6/26/2015,,0.029,MHF
25,,,5/20/2015,7/22/2015,0.029,7/31/2015,,0.029,MHF
26,,,5/20/2015,8/19/2015,0.029,8/28/2015,,0.029,MHF
27,,,2/18/2015,3/18/2015,0.029,3/27/2015,,0.029,MHF
28,,,2/18/2015,4/15/2015,0.029,4/24/2015,,0.029,MHF
29,,,2/18/2015,5/20/2015,0.029,5/29/2015,,0.029,MHF
30,,,11/18/2014,12/17/2014,0.029,12/26/2014,,0.029,MHF
31,,,11/18/2014,1/21/2015,0.029,1/30/2015,,0.029,MHF
32,,,11/18/2014,2/18/2015,0.029,2/27/2015,,0.029,MHF
33,,,8/18/2014,9/17/2014,0.029,9/26/2014,,0.029,MHF
