,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,1997-09-19T00:00:00,9/19/1997,1997-09-19,0.0,15.0,MHN,XMHNX
1,15.06,1997-09-26T00:00:00,9/26/1997,1997-09-26,0.33,15.01,MHN,XMHNX
2,15.31,1997-10-03T00:00:00,10/3/1997,1997-10-03,1.66,15.06,MHN,XMHNX
3,15.38,1997-10-10T00:00:00,10/10/1997,1997-10-10,4.34,14.74,MHN,XMHNX
4,15.44,1997-10-17T00:00:00,10/17/1997,1997-10-17,4.68,14.75,MHN,XMHNX
5,15.63,1997-10-24T00:00:00,10/24/1997,1997-10-24,4.69,14.93,MHN,XMHNX
6,15.5,1997-10-31T00:00:00,10/31/1997,1997-10-31,2.04,15.19,MHN,XMHNX
7,15.5,1997-11-07T00:00:00,11/7/1997,1997-11-07,2.85,15.07,MHN,XMHNX
8,15.63,1997-11-14T00:00:00,11/14/1997,1997-11-14,3.72,15.07,MHN,XMHNX
9,15.5,1997-11-21T00:00:00,11/21/1997,1997-11-21,1.84,15.22,MHN,XMHNX
10,15.75,1997-11-28T00:00:00,11/28/1997,1997-11-28,3.21,15.26,MHN,XMHNX
11,15.75,1997-12-05T00:00:00,12/5/1997,1997-12-05,2.34,15.39,MHN,XMHNX
12,16.0,1997-12-12T00:00:00,12/12/1997,1997-12-12,2.5,15.61,MHN,XMHNX
13,15.88,1997-12-19T00:00:00,12/19/1997,1997-12-19,1.34,15.67,MHN,XMHNX
14,15.75,1997-12-26T00:00:00,12/26/1997,1997-12-26,0.51,15.67,MHN,XMHNX
15,15.81,1998-01-02T00:00:00,1/2/1998,1998-01-02,0.64,15.71,MHN,XMHNX
16,16.0,1998-01-09T00:00:00,1/9/1998,1998-01-09,-0.68,16.11,MHN,XMHNX
17,15.75,1998-01-16T00:00:00,1/16/1998,1998-01-16,-2.11,16.09,MHN,XMHNX
18,15.81,1998-01-23T00:00:00,1/23/1998,1998-01-23,0.51,15.73,MHN,XMHNX
19,15.75,1998-01-30T00:00:00,1/30/1998,1998-01-30,-0.63,15.85,MHN,XMHNX
20,15.75,1998-02-06T00:00:00,2/6/1998,1998-02-06,-0.51,15.83,MHN,XMHNX
21,15.69,1998-02-13T00:00:00,2/13/1998,1998-02-13,-1.57,15.94,MHN,XMHNX
22,15.69,1998-02-20T00:00:00,2/20/1998,1998-02-20,-1.2,15.88,MHN,XMHNX
23,15.5,1998-02-27T00:00:00,2/27/1998,1998-02-27,-1.65,15.76,MHN,XMHNX
24,15.31,1998-03-06T00:00:00,3/6/1998,1998-03-06,-1.29,15.51,MHN,XMHNX
25,15.25,1998-03-13T00:00:00,3/13/1998,1998-03-13,-2.74,15.68,MHN,XMHNX
