,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,7/3/2017,7/12/2017,0.064,8/1/2017,,0.064,MIY
1,,,6/1/2017,6/13/2017,0.064,7/3/2017,,0.064,MIY
2,,,5/1/2017,5/11/2017,0.064,6/1/2017,,0.064,MIY
3,,,4/3/2017,4/11/2017,0.064,5/1/2017,,0.064,MIY
4,,,3/1/2017,3/13/2017,0.064,4/3/2017,,0.064,MIY
5,,,2/1/2017,2/13/2017,0.064,3/1/2017,,0.064,MIY
6,,,1/3/2017,1/11/2017,0.064,2/1/2017,,0.064,MIY
7,,,12/1/2016,12/8/2016,0.064,12/30/2016,,0.064,MIY
8,,,12/1/2016,12/8/2016,0.00138,12/30/2016,S,0.00138,MIY
9,,,11/1/2016,11/10/2016,0.064,12/1/2016,,0.064,MIY
10,,,10/3/2016,10/12/2016,0.064,11/1/2016,,0.064,MIY
11,,,9/1/2016,9/13/2016,0.064,10/3/2016,,0.064,MIY
12,,,8/1/2016,8/11/2016,0.064,9/1/2016,,0.064,MIY
13,,,7/1/2016,7/13/2016,0.064,8/1/2016,,0.064,MIY
14,,,6/1/2016,6/13/2016,0.064,7/1/2016,,0.064,MIY
15,,,5/2/2016,5/12/2016,0.069,6/1/2016,,0.069,MIY
16,,,4/1/2016,4/13/2016,0.069,5/2/2016,,0.069,MIY
17,,,3/1/2016,3/11/2016,0.069,4/1/2016,,0.069,MIY
18,,,2/1/2016,2/11/2016,0.069,3/1/2016,,0.069,MIY
19,,,1/4/2016,1/13/2016,0.069,2/1/2016,,0.069,MIY
20,,,12/1/2015,12/10/2015,0.069,12/31/2015,,0.069,MIY
21,,,9/15/2015,10/13/2015,0.02718,11/2/2015,S,0.02718,MIY
22,,,9/15/2015,11/12/2015,0.069,12/1/2015,,0.069,MIY
23,,,9/1/2015,9/9/2015,0.069,10/1/2015,,0.069,MIY
24,,,9/1/2015,9/9/2015,0.05565,11/2/2015,S,0.05565,MIY
25,,,8/3/2015,8/12/2015,0.069,9/1/2015,,0.069,MIY
26,,,7/1/2015,7/13/2015,0.069,8/3/2015,,0.069,MIY
27,,,6/1/2015,6/11/2015,0.072,7/1/2015,,0.072,MIY
28,,,5/1/2015,5/13/2015,0.072,6/1/2015,,0.072,MIY
29,,,4/1/2015,4/13/2015,0.072,5/1/2015,,0.072,MIY
30,,,3/2/2015,3/11/2015,0.072,4/1/2015,,0.072,MIY
31,,,2/2/2015,2/11/2015,0.072,3/2/2015,,0.072,MIY
32,,,1/2/2015,1/13/2015,0.072,2/2/2015,,0.072,MIY
33,,,12/1/2014,12/10/2014,0.072,12/31/2014,,0.072,MIY
34,,,11/3/2014,11/12/2014,0.072,12/1/2014,,0.072,MIY
35,,,10/1/2014,10/10/2014,0.072,11/3/2014,,0.072,MIY
36,,,9/2/2014,9/11/2014,0.072,10/1/2014,,0.072,MIY
37,,,8/1/2014,8/13/2014,0.072,9/2/2014,,0.072,MIY
38,,,7/1/2014,7/11/2014,0.072,8/1/2014,,0.072,MIY
39,,,6/2/2014,6/12/2014,0.074,7/1/2014,,0.074,MIY
40,,,5/1/2014,5/13/2014,0.074,6/2/2014,,0.074,MIY
41,,,4/1/2014,4/11/2014,0.074,5/1/2014,,0.074,MIY
42,,,3/3/2014,3/12/2014,0.074,4/1/2014,,0.074,MIY
43,,,2/3/2014,2/12/2014,0.074,3/3/2014,,0.074,MIY
44,,,1/2/2014,1/13/2014,0.074,2/3/2014,,0.074,MIY
45,,,12/2/2013,12/11/2013,0.0751,12/31/2013,,0.0751,MIY
46,,,11/1/2013,11/13/2013,0.0765,12/2/2013,,0.0765,MIY
47,,,10/1/2013,10/11/2013,0.0765,11/1/2013,,0.0765,MIY
48,,,9/3/2013,9/12/2013,0.0765,10/1/2013,,0.0765,MIY
49,,,8/1/2013,8/13/2013,0.0765,9/3/2013,,0.0765,MIY
50,,,7/1/2013,7/11/2013,0.0765,8/1/2013,,0.0765,MIY
51,,,6/3/2013,6/12/2013,0.0765,7/1/2013,,0.0765,MIY
52,,,5/1/2013,5/13/2013,0.0765,6/3/2013,,0.0765,MIY
53,,,4/1/2013,4/11/2013,0.0765,5/1/2013,,0.0765,MIY
54,,,3/1/2013,3/13/2013,0.0765,4/1/2013,,0.0765,MIY
55,,,2/1/2013,2/13/2013,0.0765,3/1/2013,,0.0765,MIY
56,,,1/2/2013,1/11/2013,0.0765,2/1/2013,,0.0765,MIY
57,,,12/4/2012,12/12/2012,0.0765,12/31/2012,,0.0765,MIY
58,,,11/1/2012,11/13/2012,0.0765,12/3/2012,,0.0765,MIY
59,,,10/1/2012,10/11/2012,0.0765,11/1/2012,,0.0765,MIY
60,,,9/4/2012,9/12/2012,0.0765,10/1/2012,,0.0765,MIY
61,,,8/1/2012,8/13/2012,0.0765,9/4/2012,,0.0765,MIY
62,,,7/2/2012,7/12/2012,0.0765,8/1/2012,,0.0765,MIY
63,,,6/1/2012,6/13/2012,0.0765,7/2/2012,,0.0765,MIY
64,,,5/1/2012,5/11/2012,0.0765,6/1/2012,,0.0765,MIY
65,,,4/2/2012,4/12/2012,0.0765,5/1/2012,,0.0765,MIY
66,,,3/1/2012,3/13/2012,0.0765,4/2/2012,,0.0765,MIY
67,,,2/1/2012,2/13/2012,0.0765,3/1/2012,,0.0765,MIY
68,,,1/3/2012,1/11/2012,0.0765,2/1/2012,,0.0765,MIY
69,,,12/5/2011,12/13/2011,0.0916,12/30/2011,,0.0916,MIY
70,,,11/1/2011,11/10/2011,0.0765,12/1/2011,,0.0765,MIY
71,,,10/3/2011,10/12/2011,0.0765,11/1/2011,,0.0765,MIY
72,,,9/1/2011,9/13/2011,0.0765,10/3/2011,,0.0765,MIY
73,,,8/1/2011,8/11/2011,0.0765,9/1/2011,,0.0765,MIY
74,,,7/1/2011,7/13/2011,0.0765,8/1/2011,,0.0765,MIY
75,,,6/1/2011,6/13/2011,0.0765,7/1/2011,,0.0765,MIY
76,,,5/2/2011,5/12/2011,0.0765,6/1/2011,,0.0765,MIY
77,,,4/1/2011,4/13/2011,0.0765,5/2/2011,,0.0765,MIY
78,,,3/1/2011,3/11/2011,0.0765,4/1/2011,,0.0765,MIY
79,,,2/1/2011,2/11/2011,0.0765,3/1/2011,,0.0765,MIY
80,,,1/3/2011,1/12/2011,0.0765,2/1/2011,,0.0765,MIY
81,,,12/6/2010,12/13/2010,0.0765,12/31/2010,,0.0765,MIY
82,,,11/1/2010,11/10/2010,0.0765,12/1/2010,,0.0765,MIY
83,,,10/1/2010,10/13/2010,0.0765,11/1/2010,,0.0765,MIY
84,,,9/1/2010,9/13/2010,0.0765,10/1/2010,,0.0765,MIY
85,,,8/2/2010,8/12/2010,0.075,9/1/2010,,0.075,MIY
86,,,7/1/2010,7/13/2010,0.075,8/2/2010,,0.075,MIY
87,,,6/1/2010,6/11/2010,0.075,7/1/2010,,0.075,MIY
88,,,5/3/2010,5/12/2010,0.075,6/1/2010,,0.075,MIY
89,,,4/1/2010,4/13/2010,0.075,5/3/2010,,0.075,MIY
90,,,3/1/2010,3/11/2010,0.075,4/1/2010,,0.075,MIY
91,,,2/1/2010,2/10/2010,0.075,3/1/2010,,0.075,MIY
92,,,1/4/2010,1/13/2010,0.075,2/1/2010,,0.075,MIY
93,,,12/7/2009,12/11/2009,0.075,12/31/2009,,0.075,MIY
94,,,11/2/2009,11/10/2009,0.0725,12/1/2009,,0.0725,MIY
95,,,10/1/2009,10/13/2009,0.0725,11/2/2009,,0.0725,MIY
96,,,9/1/2009,9/11/2009,0.0725,10/1/2009,,0.0725,MIY
97,,,8/3/2009,8/12/2009,0.0665,9/1/2009,,0.0665,MIY
98,,,7/1/2009,7/13/2009,0.0665,8/3/2009,,0.0665,MIY
99,,,6/1/2009,6/11/2009,0.0665,7/1/2009,,0.0665,MIY
100,,,5/1/2009,5/13/2009,0.054,6/1/2009,,0.054,MIY
101,,,4/1/2009,4/13/2009,0.054,5/1/2009,,0.054,MIY
102,,,3/2/2009,3/12/2009,,4/1/2009,,0.054,MIY
103,,,2/2/2009,2/11/2009,0.054,3/2/2009,,0.054,MIY
104,,,1/2/2009,1/13/2009,0.054,2/2/2009,,0.054,MIY
105,,,12/5/2008,12/11/2008,0.054,12/31/2008,,0.054,MIY
106,,,11/3/2008,11/12/2008,0.054,12/1/2008,,0.054,MIY
107,,,10/1/2008,10/10/2008,0.054,11/3/2008,,0.054,MIY
108,,,9/2/2008,9/11/2008,,10/1/2008,,0.054,MIY
109,,,8/1/2008,8/13/2008,,9/2/2008,,0.054,MIY
110,,,7/1/2008,7/11/2008,,8/1/2008,,0.054,MIY
111,,,6/2/2008,6/12/2008,,7/1/2008,,0.054,MIY
112,,,5/1/2008,5/13/2008,,6/2/2008,,0.059,MIY
113,,,4/1/2008,4/11/2008,,5/1/2008,,0.059,MIY
114,,,3/3/2008,3/12/2008,,4/1/2008,,0.059,MIY
115,,,2/1/2008,2/13/2008,,3/3/2008,,0.059,MIY
116,,,1/2/2008,1/17/2008,,2/1/2008,,0.059,MIY
117,,,12/5/2007,12/12/2007,,12/31/2007,,0.059,MIY
118,,,11/1/2007,11/13/2007,,12/3/2007,,0.059,MIY
119,,,10/1/2007,10/11/2007,,11/1/2007,,0.059,MIY
120,,,9/4/2007,9/12/2007,,10/1/2007,,0.059,MIY
121,,,8/1/2007,8/13/2007,,9/4/2007,,0.059,MIY
122,,,7/2/2007,7/12/2007,,8/1/2007,,0.059,MIY
123,,,6/1/2007,6/13/2007,,7/2/2007,,0.059,MIY
124,,,5/1/2007,5/11/2007,,6/1/2007,,0.059,MIY
125,,,4/2/2007,4/12/2007,,5/1/2007,,0.059,MIY
126,,,3/1/2007,3/13/2007,,4/2/2007,,0.059,MIY
127,,,2/1/2007,2/13/2007,,3/1/2007,,0.059,MIY
128,,,1/3/2007,1/11/2007,,2/1/2007,,0.059,MIY
129,,,12/5/2006,12/13/2006,,12/28/2006,,0.059,MIY
130,,,11/2/2006,11/10/2006,,11/29/2006,,0.063,MIY
131,,,10/3/2006,10/12/2006,,10/30/2006,,0.063,MIY
132,,,9/5/2006,9/13/2006,,9/28/2006,,0.063,MIY
133,,,8/3/2006,8/10/2006,,8/30/2006,,0.063,MIY
134,,,7/5/2006,7/13/2006,,7/28/2006,,0.063,MIY
135,,,6/2/2006,6/9/2006,,6/29/2006,,0.063,MIY
136,,,5/5/2006,5/11/2006,,5/30/2006,,0.072,MIY
137,,,4/5/2006,4/12/2006,,4/27/2006,,0.072,MIY
138,,,3/3/2006,3/10/2006,,3/30/2006,,0.072,MIY
139,,,2/3/2006,2/10/2006,,2/27/2006,,0.072,MIY
140,,,12/23/2005,1/13/2006,,1/30/2006,,0.072,MIY
141,,,12/6/2005,12/13/2005,,12/29/2005,,0.081,MIY
142,,,11/4/2005,11/10/2005,,11/29/2005,,0.081,MIY
143,,,10/6/2005,10/13/2005,,10/28/2005,,0.081,MIY
144,,,9/2/2005,9/12/2005,,9/29/2005,,0.081,MIY
145,,,8/5/2005,8/11/2005,,8/30/2005,,0.081,MIY
146,,,7/5/2005,7/12/2005,,7/28/2005,,0.081,MIY
147,,,6/6/2005,6/10/2005,,6/29/2005,,0.081,MIY
148,,,5/5/2005,5/11/2005,,5/27/2005,,0.081,MIY
149,,,4/7/2005,4/13/2005,,4/28/2005,,0.081,MIY
150,,,3/7/2005,3/11/2005,,3/30/2005,,0.081,MIY
151,,,2/7/2005,2/11/2005,,2/25/2005,,0.081,MIY
152,,,1/7/2005,1/14/2005,,1/28/2005,,0.081,MIY
153,,,12/7/2004,12/13/2004,,12/29/2004,,0.084,MIY
154,,,11/4/2004,11/9/2004,,11/29/2004,,0.084,MIY
155,,,10/6/2004,10/13/2004,,10/28/2004,,0.084,MIY
156,,,9/3/2004,9/10/2004,,9/29/2004,,0.084,MIY
157,,,8/5/2004,8/12/2004,,8/30/2004,,0.084,MIY
158,,,7/7/2004,7/13/2004,,7/29/2004,,0.084,MIY
159,,,6/3/2004,6/10/2004,,6/29/2004,,0.084,MIY
160,,,5/5/2004,5/12/2004,,5/27/2004,,0.084,MIY
161,,,4/6/2004,4/14/2004,,4/29/2004,,0.084,MIY
162,,,3/5/2004,3/11/2004,,3/30/2004,,0.084,MIY
163,,,1/22/2004,2/11/2004,,2/26/2004,,0.084,MIY
164,,,1/7/2004,1/14/2004,,1/29/2004,,0.082,MIY
165,,,12/8/2003,12/15/2003,,12/30/2003,,0.082,MIY
166,,,11/10/2003,11/12/2003,,11/26/2003,,0.082,MIY
167,,,10/9/2003,10/15/2003,,10/30/2003,,0.082,MIY
168,,,9/5/2003,9/12/2003,,9/29/2003,,0.082,MIY
169,,,8/8/2003,8/13/2003,,8/28/2003,,0.082,MIY
170,,,7/9/2003,7/15/2003,,7/30/2003,,0.082,MIY
171,,,6/5/2003,6/12/2003,,6/27/2003,,0.082,MIY
172,,,5/6/2003,5/14/2003,,5/29/2003,,0.082,MIY
173,,,4/9/2003,4/14/2003,,4/29/2003,,0.082,MIY
174,,,3/6/2003,3/13/2003,,3/28/2003,,0.082,MIY
175,,,2/6/2003,2/12/2003,,2/27/2003,,0.082,MIY
176,,,1/7/2003,1/14/2003,,1/30/2003,,0.0795,MIY
177,,,12/3/2002,12/11/2002,,12/30/2002,,0.0795,MIY
178,,,11/7/2002,11/12/2002,,11/27/2002,,0.0795,MIY
179,,,10/8/2002,10/16/2002,,10/30/2002,,0.0795,MIY
180,,,9/5/2002,9/13/2002,,9/27/2002,,0.0795,MIY
181,,,8/8/2002,8/15/2002,,8/29/2002,,0.0795,MIY
