,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,14.38,1994-01-07T00:00:00,1/7/1994,1994-01-07,-1.78,14.64,MNP,XMNPX
1,14.25,1994-01-14T00:00:00,1/14/1994,1994-01-14,-2.2,14.57,MNP,XMNPX
2,14.0,1994-01-21T00:00:00,1/21/1994,1994-01-21,-4.04,14.59,MNP,XMNPX
3,14.5,1994-02-04T00:00:00,2/4/1994,1994-02-04,-0.96,14.64,MNP,XMNPX
4,14.38,1994-02-11T00:00:00,2/11/1994,1994-02-11,-0.76,14.49,MNP,XMNPX
5,14.25,1994-02-18T00:00:00,2/18/1994,1994-02-18,-0.42,14.31,MNP,XMNPX
6,14.0,1994-02-25T00:00:00,2/25/1994,1994-02-25,-0.71,14.1,MNP,XMNPX
7,13.75,1994-03-04T00:00:00,3/4/1994,1994-03-04,0.29,13.71,MNP,XMNPX
8,12.75,1994-03-18T00:00:00,3/18/1994,1994-03-18,-6.25,13.6,MNP,XMNPX
9,12.75,1994-03-25T00:00:00,3/25/1994,1994-03-25,-4.49,13.35,MNP,XMNPX
10,12.75,1994-04-01T00:00:00,4/1/1994,1994-04-01,-0.55,12.82,MNP,XMNPX
11,12.75,1994-04-08T00:00:00,4/8/1994,1994-04-08,0.0,12.75,MNP,XMNPX
12,12.5,1994-04-15T00:00:00,4/15/1994,1994-04-15,-1.5,12.69,MNP,XMNPX
13,12.13,1994-04-22T00:00:00,4/22/1994,1994-04-22,-5.68,12.86,MNP,XMNPX
14,12.25,1994-04-29T00:00:00,4/29/1994,1994-04-29,-3.92,12.75,MNP,XMNPX
15,12.38,1994-05-06T00:00:00,5/6/1994,1994-05-06,-0.88,12.49,MNP,XMNPX
16,12.0,1994-05-13T00:00:00,5/13/1994,1994-05-13,-4.15,12.52,MNP,XMNPX
17,12.13,1994-05-20T00:00:00,5/20/1994,1994-05-20,-5.46,12.83,MNP,XMNPX
18,12.0,1994-05-27T00:00:00,5/27/1994,1994-05-27,-6.9,12.89,MNP,XMNPX
19,11.88,1994-06-03T00:00:00,6/3/1994,1994-06-03,-9.66,13.15,MNP,XMNPX
20,12.0,1994-06-10T00:00:00,6/10/1994,1994-06-10,-8.95,13.18,MNP,XMNPX
21,12.13,1994-06-17T00:00:00,6/17/1994,1994-06-17,-6.55,12.98,MNP,XMNPX
22,12.0,1994-06-24T00:00:00,6/24/1994,1994-06-24,-6.03,12.77,MNP,XMNPX
23,11.63,1994-07-15T00:00:00,7/15/1994,1994-07-15,-8.86,12.76,MNP,XMNPX
24,11.63,1994-07-22T00:00:00,7/22/1994,1994-07-22,-9.14,12.8,MNP,XMNPX
25,11.63,1994-07-29T00:00:00,7/29/1994,1994-07-29,-10.54,13.0,MNP,XMNPX
26,11.5,1994-08-05T00:00:00,8/5/1994,1994-08-05,-9.52,12.71,MNP,XMNPX
27,11.25,1994-08-12T00:00:00,8/12/1994,1994-08-12,-11.0,12.64,MNP,XMNPX
28,11.25,1994-08-19T00:00:00,8/19/1994,1994-08-19,-11.63,12.73,MNP,XMNPX
29,11.25,1994-08-26T00:00:00,8/26/1994,1994-08-26,-12.18,12.81,MNP,XMNPX
30,11.25,1994-09-02T00:00:00,9/2/1994,1994-09-02,-12.79,12.9,MNP,XMNPX
31,11.13,1994-09-09T00:00:00,9/9/1994,1994-09-09,-11.17,12.53,MNP,XMNPX
32,10.63,1994-09-23T00:00:00,9/23/1994,1994-09-23,-13.79,12.33,MNP,XMNPX
33,10.75,1994-09-30T00:00:00,9/30/1994,1994-09-30,-12.46,12.28,MNP,XMNPX
34,10.5,1994-10-07T00:00:00,10/7/1994,1994-10-07,-12.5,12.0,MNP,XMNPX
35,10.5,1994-10-14T00:00:00,10/14/1994,1994-10-14,-14.15,12.23,MNP,XMNPX
36,10.25,1994-10-21T00:00:00,10/21/1994,1994-10-21,-14.73,12.02,MNP,XMNPX
37,10.0,1994-10-28T00:00:00,10/28/1994,1994-10-28,-14.31,11.67,MNP,XMNPX
38,9.63,1994-11-04T00:00:00,11/4/1994,1994-11-04,-14.02,11.2,MNP,XMNPX
39,9.63,1994-11-18T00:00:00,11/18/1994,1994-11-18,-9.32,10.62,MNP,XMNPX
40,10.13,1994-11-25T00:00:00,11/25/1994,1994-11-25,-6.46,10.83,MNP,XMNPX
41,10.5,1994-12-02T00:00:00,12/2/1994,1994-12-02,-7.08,11.3,MNP,XMNPX
42,10.0,1994-12-09T00:00:00,12/9/1994,1994-12-09,-11.11,11.25,MNP,XMNPX
43,10.13,1994-12-16T00:00:00,12/16/1994,1994-12-16,-11.14,11.4,MNP,XMNPX
44,9.88,1994-12-23T00:00:00,12/23/1994,1994-12-23,-13.56,11.43,MNP,XMNPX
45,9.88,1994-12-30T00:00:00,12/30/1994,1994-12-30,-14.46,11.55,MNP,XMNPX
46,10.38,1995-01-06T00:00:00,1/6/1995,1995-01-06,-10.21,11.56,MNP,XMNPX
47,10.63,1995-01-13T00:00:00,1/13/1995,1995-01-13,-9.99,11.81,MNP,XMNPX
48,10.5,1995-01-20T00:00:00,1/20/1995,1995-01-20,-11.24,11.83,MNP,XMNPX
49,10.88,1995-01-27T00:00:00,1/27/1995,1995-01-27,-9.48,12.02,MNP,XMNPX
50,11.63,1995-02-03T00:00:00,2/3/1995,1995-02-03,-6.06,12.38,MNP,XMNPX
51,11.25,1995-02-10T00:00:00,2/10/1995,1995-02-10,-9.2,12.39,MNP,XMNPX
52,11.25,1995-02-17T00:00:00,2/17/1995,1995-02-17,-10.0,12.5,MNP,XMNPX
53,11.5,1995-02-24T00:00:00,2/24/1995,1995-02-24,-9.23,12.67,MNP,XMNPX
54,11.75,1995-03-03T00:00:00,3/3/1995,1995-03-03,-7.33,12.68,MNP,XMNPX
55,11.25,1995-03-10T00:00:00,3/10/1995,1995-03-10,-10.86,12.62,MNP,XMNPX
56,11.25,1995-03-17T00:00:00,3/17/1995,1995-03-17,-12.31,12.83,MNP,XMNPX
57,11.63,1995-03-24T00:00:00,3/24/1995,1995-03-24,-9.35,12.83,MNP,XMNPX
58,11.63,1995-03-31T00:00:00,3/31/1995,1995-03-31,-9.49,12.85,MNP,XMNPX
59,10.88,1995-04-07T00:00:00,4/7/1995,1995-04-07,-16.37,13.01,MNP,XMNPX
60,11.0,1995-04-14T00:00:00,4/14/1995,1995-04-14,-15.45,13.01,MNP,XMNPX
