Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,11.5,11.5,11.375,3.609017,11.375,26200
2000-01-04,11.375,11.4375,11.3125,3.609017,11.375,19700
2000-01-05,11.375,11.4375,11.3125,3.609017,11.375,9200
2000-01-06,11.375,11.5,11.3125,3.609017,11.375,71000
2000-01-07,11.375,11.375,11.3125,3.589189,11.3125,19600
2000-01-10,11.3125,11.375,11.3125,3.609017,11.375,43900
2000-01-11,11.25,11.375,11.25,3.569359,11.25,31100
2000-01-12,11.3125,11.3125,11.1875,3.589189,11.3125,23800
2000-01-13,11.25,11.25,11.1875,3.572263,11.1875,5400
2000-01-14,11.1875,11.25,11.0625,3.53235,11.0625,22200
2000-01-18,11.125,11.25,11.0,3.512393,11.0,33000
2000-01-19,11.1875,11.1875,11.0625,3.552306,11.125,49800
2000-01-20,11.1875,11.25,11.1875,3.592221,11.25,11000
2000-01-21,11.25,11.3125,11.25,3.592221,11.25,9700
2000-01-24,11.25,11.3125,11.25,3.612178,11.3125,13300
2000-01-25,11.25,11.375,11.25,3.592221,11.25,13000
2000-01-26,11.25,11.3125,11.1875,3.612178,11.3125,26900
2000-01-27,11.3125,11.3125,11.25,3.612178,11.3125,10700
2000-01-28,11.1875,11.375,11.1875,3.612178,11.3125,22500
2000-01-31,11.3125,11.5625,11.25,3.692006,11.5625,48500
2000-02-01,11.5,11.5625,11.4375,3.692006,11.5625,12100
2000-02-02,11.5,11.5625,11.5,3.692006,11.5625,11200
2000-02-03,11.5625,11.625,11.5,3.692006,11.5625,6800
2000-02-04,11.5625,11.5625,11.5,3.692006,11.5625,59400
2000-02-07,11.625,11.6875,11.4375,3.652094,11.4375,36300
2000-02-08,11.4375,11.4375,11.25,3.612178,11.3125,22400
2000-02-09,11.3125,11.3125,11.25,3.612178,11.3125,13800
2000-02-10,11.3125,11.3125,11.1875,3.572263,11.1875,19200
2000-02-11,11.1875,11.1875,11.0,3.512393,11.0,20800
2000-02-14,10.9375,10.9375,10.4375,3.472479,10.875,37400
2000-02-15,10.6875,10.8125,10.6875,3.453206,10.75,9600
2000-02-16,10.6875,10.75,10.6875,3.43313,10.6875,14300
2000-02-17,10.75,10.8125,10.75,3.453206,10.75,33600
2000-02-18,10.875,10.875,10.75,3.473286,10.8125,6500
2000-02-22,10.8125,10.875,10.8125,3.493361,10.875,13900
2000-02-23,10.875,10.9375,10.8125,3.513436,10.9375,41800
2000-02-24,10.875,10.875,10.75,3.473286,10.8125,19600
2000-02-25,10.6875,10.75,10.625,3.43313,10.6875,58800
2000-02-28,10.75,10.8125,10.6875,3.473286,10.8125,29600
2000-02-29,10.875,10.875,10.875,3.493361,10.875,1100
2000-03-01,10.875,10.875,10.75,3.493361,10.875,16100
2000-03-02,10.8125,10.875,10.8125,3.493361,10.875,12700
2000-03-03,10.8125,10.875,10.8125,3.493361,10.875,2200
2000-03-06,10.8125,10.8125,10.5,3.43313,10.6875,42900
2000-03-07,10.625,10.6875,10.5,3.392974,10.5625,5300
2000-03-08,10.5,10.6875,10.5,3.43313,10.6875,24000
2000-03-09,10.625,10.625,10.5,3.372899,10.5,21800
2000-03-10,10.5625,10.625,10.5625,3.413052,10.625,8600
2000-03-13,10.5625,10.5625,10.5,3.392974,10.5625,5300
2000-03-14,10.5,10.5625,10.5,3.392974,10.5625,17800
2000-03-15,10.4375,10.4375,10.3125,3.353383,10.375,22700
2000-03-16,10.3125,10.375,10.3125,3.353383,10.375,16600
2000-03-17,10.3125,10.375,10.25,3.353383,10.375,14900
2000-03-20,10.3125,10.4375,10.25,3.373583,10.4375,16000
2000-03-21,10.4375,10.5625,10.4375,3.413986,10.5625,18300
2000-03-22,10.5625,10.5625,10.5,3.413986,10.5625,15100
2000-03-23,10.5,10.625,10.5,3.413986,10.5625,37000
