,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,13.88,1994-07-15T00:00:00,7/15/1994,1994-07-15,-5.83,14.74,MYI,XMYIX
1,13.25,1994-07-22T00:00:00,7/22/1994,1994-07-22,-10.41,14.79,MYI,XMYIX
2,13.63,1994-07-29T00:00:00,7/29/1994,1994-07-29,-8.95,14.97,MYI,XMYIX
3,13.5,1994-08-05T00:00:00,8/5/1994,1994-08-05,-9.03,14.84,MYI,XMYIX
4,13.38,1994-08-12T00:00:00,8/12/1994,1994-08-12,-9.23,14.74,MYI,XMYIX
5,13.25,1994-08-19T00:00:00,8/19/1994,1994-08-19,-10.11,14.74,MYI,XMYIX
6,13.0,1994-08-26T00:00:00,8/26/1994,1994-08-26,-12.28,14.82,MYI,XMYIX
7,13.25,1994-09-02T00:00:00,9/2/1994,1994-09-02,-9.49,14.64,MYI,XMYIX
8,12.88,1994-09-09T00:00:00,9/9/1994,1994-09-09,-12.14,14.66,MYI,XMYIX
9,12.25,1994-09-16T00:00:00,9/16/1994,1994-09-16,-15.69,14.53,MYI,XMYIX
10,12.13,1994-09-23T00:00:00,9/23/1994,1994-09-23,-15.82,14.41,MYI,XMYIX
11,12.38,1994-09-30T00:00:00,9/30/1994,1994-09-30,-13.91,14.38,MYI,XMYIX
12,12.13,1994-10-07T00:00:00,10/7/1994,1994-10-07,-12.17,13.81,MYI,XMYIX
13,12.13,1994-10-14T00:00:00,10/14/1994,1994-10-14,-15.35,14.33,MYI,XMYIX
14,12.0,1994-10-21T00:00:00,10/21/1994,1994-10-21,-15.25,14.16,MYI,XMYIX
15,11.63,1994-10-28T00:00:00,10/28/1994,1994-10-28,-16.03,13.85,MYI,XMYIX
16,11.63,1994-11-18T00:00:00,11/18/1994,1994-11-18,-9.7,12.88,MYI,XMYIX
17,12.38,1994-11-25T00:00:00,11/25/1994,1994-11-25,-4.99,13.03,MYI,XMYIX
18,12.5,1994-12-02T00:00:00,12/2/1994,1994-12-02,-7.61,13.53,MYI,XMYIX
19,12.25,1994-12-09T00:00:00,12/9/1994,1994-12-09,-9.59,13.55,MYI,XMYIX
20,12.25,1994-12-16T00:00:00,12/16/1994,1994-12-16,-9.59,13.55,MYI,XMYIX
21,11.75,1994-12-23T00:00:00,12/23/1994,1994-12-23,-13.79,13.63,MYI,XMYIX
22,11.88,1994-12-30T00:00:00,12/30/1994,1994-12-30,-13.47,13.73,MYI,XMYIX
23,12.5,1995-01-06T00:00:00,1/6/1995,1995-01-06,-9.49,13.81,MYI,XMYIX
24,12.75,1995-01-13T00:00:00,1/13/1995,1995-01-13,-9.06,14.02,MYI,XMYIX
25,12.63,1995-01-20T00:00:00,1/20/1995,1995-01-20,-9.98,14.03,MYI,XMYIX
26,12.75,1995-01-27T00:00:00,1/27/1995,1995-01-27,-10.08,14.18,MYI,XMYIX
27,13.38,1995-02-03T00:00:00,2/3/1995,1995-02-03,-7.72,14.5,MYI,XMYIX
28,13.25,1995-02-10T00:00:00,2/10/1995,1995-02-10,-9.18,14.59,MYI,XMYIX
29,12.88,1995-02-17T00:00:00,2/17/1995,1995-02-17,-11.84,14.61,MYI,XMYIX
30,13.13,1995-02-24T00:00:00,2/24/1995,1995-02-24,-10.98,14.75,MYI,XMYIX
31,13.13,1995-03-03T00:00:00,3/3/1995,1995-03-03,-11.16,14.78,MYI,XMYIX
32,13.0,1995-03-10T00:00:00,3/10/1995,1995-03-10,-11.74,14.73,MYI,XMYIX
33,13.25,1995-03-17T00:00:00,3/17/1995,1995-03-17,-11.07,14.9,MYI,XMYIX
34,13.13,1995-03-24T00:00:00,3/24/1995,1995-03-24,-11.22,14.79,MYI,XMYIX
35,13.13,1995-03-31T00:00:00,3/31/1995,1995-03-31,-11.28,14.8,MYI,XMYIX
36,13.25,1995-04-07T00:00:00,4/7/1995,1995-04-07,-11.49,14.97,MYI,XMYIX
37,13.25,1995-04-14T00:00:00,4/14/1995,1995-04-14,-12.08,15.07,MYI,XMYIX
38,13.13,1995-04-21T00:00:00,4/21/1995,1995-04-21,-12.58,15.02,MYI,XMYIX
39,13.13,1995-04-28T00:00:00,4/28/1995,1995-04-28,-10.74,14.71,MYI,XMYIX
40,12.88,1995-05-05T00:00:00,5/5/1995,1995-05-05,-14.13,15.0,MYI,XMYIX
41,13.0,1995-05-12T00:00:00,5/12/1995,1995-05-12,-14.02,15.12,MYI,XMYIX
42,13.0,1995-05-19T00:00:00,5/19/1995,1995-05-19,-14.13,15.14,MYI,XMYIX
43,13.0,1995-05-26T00:00:00,5/26/1995,1995-05-26,-15.14,15.32,MYI,XMYIX
44,13.63,1995-06-02T00:00:00,6/2/1995,1995-06-02,-12.35,15.55,MYI,XMYIX
45,13.5,1995-06-09T00:00:00,6/9/1995,1995-06-09,-12.28,15.39,MYI,XMYIX
46,13.13,1995-06-16T00:00:00,6/16/1995,1995-06-16,-13.22,15.13,MYI,XMYIX
47,13.38,1995-06-23T00:00:00,6/23/1995,1995-06-23,-12.55,15.3,MYI,XMYIX
48,13.38,1995-06-30T00:00:00,6/30/1995,1995-06-30,-10.68,14.98,MYI,XMYIX
49,13.63,1995-07-07T00:00:00,7/7/1995,1995-07-07,-10.74,15.27,MYI,XMYIX
50,13.5,1995-07-14T00:00:00,7/14/1995,1995-07-14,-11.99,15.34,MYI,XMYIX
51,13.13,1995-07-21T00:00:00,7/21/1995,1995-07-21,-11.76,14.88,MYI,XMYIX
52,13.13,1995-07-28T00:00:00,7/28/1995,1995-07-28,-12.23,14.96,MYI,XMYIX
53,13.38,1995-08-04T00:00:00,8/4/1995,1995-08-04,-9.96,14.86,MYI,XMYIX
54,13.25,1995-08-11T00:00:00,8/11/1995,1995-08-11,-9.8,14.69,MYI,XMYIX
55,13.38,1995-08-18T00:00:00,8/18/1995,1995-08-18,-9.23,14.74,MYI,XMYIX
56,13.38,1995-08-25T00:00:00,8/25/1995,1995-08-25,-10.08,14.88,MYI,XMYIX
57,13.5,1995-09-01T00:00:00,9/1/1995,1995-09-01,-11.01,15.17,MYI,XMYIX
58,13.38,1995-09-08T00:00:00,9/8/1995,1995-09-08,-12.15,15.23,MYI,XMYIX
59,13.38,1995-09-15T00:00:00,9/15/1995,1995-09-15,-13.12,15.4,MYI,XMYIX
60,13.38,1995-09-22T00:00:00,9/22/1995,1995-09-22,-11.21,15.07,MYI,XMYIX
61,13.38,1995-09-29T00:00:00,9/29/1995,1995-09-29,-11.8,15.17,MYI,XMYIX
62,13.38,1995-10-06T00:00:00,10/6/1995,1995-10-06,-12.61,15.31,MYI,XMYIX
63,13.75,1995-10-13T00:00:00,10/13/1995,1995-10-13,-11.52,15.54,MYI,XMYIX
64,13.69,1995-10-20T00:00:00,10/20/1995,1995-10-20,-11.16,15.41,MYI,XMYIX
65,13.63,1995-10-27T00:00:00,10/27/1995,1995-10-27,-11.67,15.43,MYI,XMYIX
66,13.75,1995-11-03T00:00:00,11/3/1995,1995-11-03,-11.75,15.58,MYI,XMYIX
67,13.75,1995-11-10T00:00:00,11/10/1995,1995-11-10,-11.75,15.58,MYI,XMYIX
68,13.75,1995-11-17T00:00:00,11/17/1995,1995-11-17,-12.42,15.7,MYI,XMYIX
69,13.63,1995-11-24T00:00:00,11/24/1995,1995-11-24,-12.8,15.63,MYI,XMYIX
70,14.13,1995-12-01T00:00:00,12/1/1995,1995-12-01,-10.96,15.87,MYI,XMYIX
71,14.13,1995-12-08T00:00:00,12/8/1995,1995-12-08,-11.58,15.98,MYI,XMYIX
72,13.88,1995-12-15T00:00:00,12/15/1995,1995-12-15,-12.43,15.85,MYI,XMYIX
73,13.63,1995-12-22T00:00:00,12/22/1995,1995-12-22,-13.79,15.81,MYI,XMYIX
74,13.75,1995-12-29T00:00:00,12/29/1995,1995-12-29,-13.85,15.96,MYI,XMYIX
75,14.0,1996-01-05T00:00:00,1/5/1996,1996-01-05,-11.73,15.86,MYI,XMYIX
76,14.0,1996-01-12T00:00:00,1/12/1996,1996-01-12,-11.28,15.78,MYI,XMYIX
77,14.13,1996-01-19T00:00:00,1/19/1996,1996-01-19,-11.02,15.88,MYI,XMYIX
78,14.5,1996-01-26T00:00:00,1/26/1996,1996-01-26,-8.46,15.84,MYI,XMYIX
79,14.63,1996-02-02T00:00:00,2/2/1996,1996-02-02,-8.16,15.93,MYI,XMYIX
80,14.63,1996-02-09T00:00:00,2/9/1996,1996-02-09,-9.24,16.12,MYI,XMYIX
81,14.63,1996-02-16T00:00:00,2/16/1996,1996-02-16,-8.51,15.99,MYI,XMYIX
82,14.75,1996-02-23T00:00:00,2/23/1996,1996-02-23,-6.76,15.82,MYI,XMYIX
83,14.75,1996-03-01T00:00:00,3/1/1996,1996-03-01,-6.7,15.81,MYI,XMYIX
84,13.88,1996-03-08T00:00:00,3/8/1996,1996-03-08,-10.1,15.44,MYI,XMYIX
85,13.75,1996-03-15T00:00:00,3/15/1996,1996-03-15,-8.33,15.0,MYI,XMYIX
86,14.13,1996-03-22T00:00:00,3/22/1996,1996-03-22,-7.16,15.22,MYI,XMYIX
87,14.25,1996-03-29T00:00:00,3/29/1996,1996-03-29,-6.31,15.21,MYI,XMYIX
88,13.63,1996-04-12T00:00:00,4/12/1996,1996-04-12,-9.37,15.04,MYI,XMYIX
89,13.88,1996-04-19T00:00:00,4/19/1996,1996-04-19,-7.59,15.02,MYI,XMYIX
90,13.88,1996-04-26T00:00:00,4/26/1996,1996-04-26,-8.32,15.14,MYI,XMYIX
91,13.63,1996-05-03T00:00:00,5/3/1996,1996-05-03,-7.91,14.8,MYI,XMYIX
92,13.75,1996-05-10T00:00:00,5/10/1996,1996-05-10,-8.46,15.02,MYI,XMYIX
93,13.5,1996-05-17T00:00:00,5/17/1996,1996-05-17,-10.77,15.13,MYI,XMYIX
94,13.38,1996-05-24T00:00:00,5/24/1996,1996-05-24,-12.09,15.22,MYI,XMYIX
95,13.63,1996-05-31T00:00:00,5/31/1996,1996-05-31,-9.07,14.99,MYI,XMYIX
96,13.5,1996-06-07T00:00:00,6/7/1996,1996-06-07,-8.97,14.83,MYI,XMYIX
97,13.63,1996-06-14T00:00:00,6/14/1996,1996-06-14,-8.09,14.83,MYI,XMYIX
98,13.5,1996-06-21T00:00:00,6/21/1996,1996-06-21,-9.52,14.92,MYI,XMYIX
99,13.63,1996-06-28T00:00:00,6/28/1996,1996-06-28,-9.79,15.11,MYI,XMYIX
100,13.5,1996-07-05T00:00:00,7/5/1996,1996-07-05,-8.78,14.8,MYI,XMYIX
101,13.5,1996-07-12T00:00:00,7/12/1996,1996-07-12,-10.18,15.03,MYI,XMYIX
102,13.63,1996-07-19T00:00:00,7/19/1996,1996-07-19,-9.68,15.09,MYI,XMYIX
103,13.75,1996-07-26T00:00:00,7/26/1996,1996-07-26,-9.48,15.19,MYI,XMYIX
104,14.0,1996-08-02T00:00:00,8/2/1996,1996-08-02,-9.09,15.4,MYI,XMYIX
105,14.0,1996-08-09T00:00:00,8/9/1996,1996-08-09,-10.03,15.56,MYI,XMYIX
106,14.0,1996-08-16T00:00:00,8/16/1996,1996-08-16,-9.15,15.41,MYI,XMYIX
107,13.88,1996-08-23T00:00:00,8/23/1996,1996-08-23,-9.22,15.29,MYI,XMYIX
108,13.75,1996-08-30T00:00:00,8/30/1996,1996-08-30,-9.18,15.14,MYI,XMYIX
109,13.75,1996-09-06T00:00:00,9/6/1996,1996-09-06,-8.7,15.06,MYI,XMYIX
