Date,Open,High,Low,Close,Adj Close,Volume
2010-04-28,20.0,20.01,20.0,12.403103,20.0,440700
2010-04-29,20.1,20.1,20.0,12.40931,20.01,26200
2010-04-30,20.01,20.01,20.0,12.40931,20.01,43400
2010-05-03,20.01,20.01,20.0,12.40931,20.01,43600
2010-05-04,20.01,20.01,20.0,12.403103,20.0,26800
2010-05-05,20.0,20.030001,20.0,12.403103,20.0,42100
2010-05-06,20.0,20.07,20.0,12.415505,20.02,54400
2010-05-07,20.02,20.1,20.0,12.440315,20.059999,59200
2010-05-10,20.139999,20.139999,20.02,12.43411,20.049999,27300
2010-05-11,20.049999,20.08,20.0,12.446514,20.07,20800
2010-05-12,20.049999,20.08,20.02,12.446514,20.07,38900
2010-05-13,20.07,20.190001,20.040001,12.471322,20.110001,53000
2010-05-14,20.110001,20.17,20.040001,12.508526,20.17,15200
2010-05-17,20.18,20.219999,20.049999,12.514731,20.18,49300
2010-05-18,20.200001,20.24,20.129999,12.508526,20.17,34200
2010-05-19,20.25,20.25,20.110001,12.514731,20.18,47500
2010-05-20,20.219999,20.219999,20.120001,12.477525,20.120001,69800
2010-05-21,20.120001,20.25,20.02,12.527132,20.200001,57400
2010-05-24,20.190001,20.309999,20.120001,12.496125,20.15,107200
2010-05-25,20.139999,20.16,20.030001,12.440315,20.059999,66600
2010-05-26,20.0,20.02,20.0,12.403103,20.0,349800
2010-05-27,20.0,20.01,20.0,12.403103,20.0,114700
2010-05-28,20.0,20.02,20.0,12.40931,20.01,49600
2010-06-01,20.0,20.01,20.0,12.403103,20.0,44800
2010-06-02,20.01,20.02,19.98,12.415505,20.02,172800
2010-06-03,20.030001,20.030001,20.0,12.403103,20.0,49200
2010-06-04,20.01,20.01,20.0,12.403103,20.0,52000
2010-06-07,20.01,20.030001,20.0,12.421709,20.030001,78200
2010-06-08,20.049999,20.1,20.0,12.40931,20.01,204600
2010-06-09,20.02,20.1,20.01,12.446514,20.07,14600
2010-06-10,20.1,20.120001,20.059999,12.452712,20.08,12600
2010-06-11,19.99,20.01,19.9,12.457085,19.969999,14200
2010-06-14,20.01,20.01,19.639999,12.332324,19.77,25400
2010-06-15,19.790001,19.9,19.59,12.288664,19.700001,72500
2010-06-16,19.75,19.99,19.4,12.351039,19.799999,46000
2010-06-17,19.799999,19.799999,19.639999,12.288664,19.700001,16000
2010-06-18,19.75,19.889999,19.48,12.15766,19.49,14000
2010-06-21,19.51,19.879999,19.51,12.269942,19.67,102600
2010-06-22,19.68,19.709999,19.51,12.188855,19.540001,14200
2010-06-23,19.6,19.75,19.49,12.301137,19.719999,27200
2010-06-24,19.719999,19.719999,19.5,12.282419,19.690001,17400
2010-06-25,19.690001,19.700001,19.5,12.232517,19.610001,17400
2010-06-28,19.690001,19.700001,19.59,12.288664,19.700001,18000
2010-06-29,19.700001,19.790001,19.52,12.332324,19.77,41400
2010-06-30,19.879999,19.879999,19.77,12.351039,19.799999,97700
2010-07-01,19.809999,19.889999,19.530001,12.188855,19.540001,121900
2010-07-02,19.65,19.780001,19.6,12.326085,19.76,59600
2010-07-06,19.77,19.889999,19.73,12.375992,19.84,24400
2010-07-07,19.879999,19.9,19.77,12.332324,19.77,24400
2010-07-08,19.799999,19.9,19.76,12.382231,19.85,29000
2010-07-09,19.799999,19.9,19.780001,12.369754,19.83,82400
2010-07-12,19.879999,19.98,19.85,12.463318,19.98,63500
2010-07-13,19.950001,19.950001,19.690001,12.467713,19.870001,15600
2010-07-14,19.799999,19.950001,19.700001,12.36732,19.709999,29000
2010-07-15,19.75,19.950001,19.67,12.461448,19.860001,103100
2010-07-16,19.879999,19.879999,19.75,12.41752,19.790001,14000
2010-07-19,19.799999,19.91,19.700001,12.455159,19.85,76100
