,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,14.95,2009-05-01T00:00:00,5/1/2009,2009-05-01,4.47,14.31,NCB,XNCBX
1,15.0,2009-05-08T00:00:00,5/8/2009,2009-05-08,3.16,14.54,NCB,XNCBX
2,14.9,2009-05-15T00:00:00,5/15/2009,2009-05-15,0.88,14.77,NCB,XNCBX
3,15.02,2009-05-22T00:00:00,5/22/2009,2009-05-22,0.4,14.96,NCB,XNCBX
4,14.8,2009-05-29T00:00:00,5/29/2009,2009-05-29,0.2,14.77,NCB,XNCBX
5,14.85,2009-06-05T00:00:00,6/5/2009,2009-06-05,1.3,14.66,NCB,XNCBX
6,14.87,2009-06-12T00:00:00,6/12/2009,2009-06-12,3.26,14.4,NCB,XNCBX
7,14.0,2009-06-19T00:00:00,6/19/2009,2009-06-19,-2.64,14.38,NCB,XNCBX
8,13.25,2009-06-26T00:00:00,6/26/2009,2009-06-26,-8.24,14.44,NCB,XNCBX
9,13.57,2009-07-10T00:00:00,7/10/2009,2009-07-10,-7.05,14.6,NCB,XNCBX
10,14.3,2009-07-17T00:00:00,7/17/2009,2009-07-17,-0.9,14.43,NCB,XNCBX
11,14.08,2009-07-24T00:00:00,7/24/2009,2009-07-24,-2.15,14.39,NCB,XNCBX
12,14.24,2009-07-31T00:00:00,7/31/2009,2009-07-31,-1.79,14.5,NCB,XNCBX
13,14.35,2009-08-07T00:00:00,8/7/2009,2009-08-07,-1.91,14.63,NCB,XNCBX
14,13.94,2009-08-14T00:00:00,8/14/2009,2009-08-14,-5.3,14.72,NCB,XNCBX
15,14.33,2009-08-21T00:00:00,8/21/2009,2009-08-21,-3.95,14.92,NCB,XNCBX
16,14.57,2009-08-28T00:00:00,8/28/2009,2009-08-28,-4.27,15.22,NCB,XNCBX
17,14.66,2009-09-04T00:00:00,9/4/2009,2009-09-04,-5.36,15.49,NCB,XNCBX
18,14.55,2009-09-11T00:00:00,9/11/2009,2009-09-11,-7.27,15.69,NCB,XNCBX
19,14.85,2009-09-18T00:00:00,9/18/2009,2009-09-18,-7.01,15.97,NCB,XNCBX
20,14.72,2009-09-25T00:00:00,9/25/2009,2009-09-25,-8.97,16.17,NCB,XNCBX
21,14.69,2009-10-02T00:00:00,10/2/2009,2009-10-02,-10.43,16.4,NCB,XNCBX
22,14.73,2009-10-09T00:00:00,10/9/2009,2009-10-09,-8.57,16.11,NCB,XNCBX
23,14.55,2009-10-16T00:00:00,10/16/2009,2009-10-16,-7.91,15.8,NCB,XNCBX
24,14.54,2009-10-23T00:00:00,10/23/2009,2009-10-23,-7.74,15.76,NCB,XNCBX
25,14.64,2009-10-30T00:00:00,10/30/2009,2009-10-30,-5.79,15.54,NCB,XNCBX
26,14.56,2009-11-06T00:00:00,11/6/2009,2009-11-06,-6.06,15.5,NCB,XNCBX
27,14.65,2009-11-13T00:00:00,11/13/2009,2009-11-13,-4.99,15.42,NCB,XNCBX
28,14.3,2009-11-20T00:00:00,11/20/2009,2009-11-20,-7.08,15.39,NCB,XNCBX
29,14.5,2009-11-27T00:00:00,11/27/2009,2009-11-27,-6.03,15.43,NCB,XNCBX
30,14.34,2009-12-04T00:00:00,12/4/2009,2009-12-04,-7.66,15.53,NCB,XNCBX
31,14.4,2009-12-11T00:00:00,12/11/2009,2009-12-11,-7.16,15.51,NCB,XNCBX
32,14.48,2009-12-18T00:00:00,12/18/2009,2009-12-18,-6.82,15.54,NCB,XNCBX
33,14.67,2010-01-08T00:00:00,1/8/2010,2010-01-08,-6.02,15.61,NCB,XNCBX
34,14.63,2010-01-15T00:00:00,1/15/2010,2010-01-15,-6.28,15.61,NCB,XNCBX
35,14.59,2010-01-22T00:00:00,1/22/2010,2010-01-22,-7.01,15.69,NCB,XNCBX
36,14.48,2010-01-29T00:00:00,1/29/2010,2010-01-29,-7.0,15.57,NCB,XNCBX
37,14.6,2010-02-05T00:00:00,2/5/2010,2010-02-05,-6.95,15.69,NCB,XNCBX
38,14.56,2010-02-12T00:00:00,2/12/2010,2010-02-12,-6.91,15.64,NCB,XNCBX
39,14.57,2010-02-19T00:00:00,2/19/2010,2010-02-19,-6.78,15.63,NCB,XNCBX
40,14.61,2010-02-26T00:00:00,2/26/2010,2010-02-26,-7.0,15.71,NCB,XNCBX
41,14.65,2010-03-05T00:00:00,3/5/2010,2010-03-05,-6.93,15.74,NCB,XNCBX
42,14.7,2010-03-12T00:00:00,3/12/2010,2010-03-12,-6.37,15.7,NCB,XNCBX
43,14.7,2010-03-19T00:00:00,3/19/2010,2010-03-19,-6.43,15.71,NCB,XNCBX
44,14.65,2010-03-26T00:00:00,3/26/2010,2010-03-26,-6.51,15.67,NCB,XNCBX
45,14.77,2010-04-09T00:00:00,4/9/2010,2010-04-09,-5.98,15.71,NCB,XNCBX
46,14.78,2010-04-16T00:00:00,4/16/2010,2010-04-16,-6.28,15.77,NCB,XNCBX
47,14.83,2010-04-23T00:00:00,4/23/2010,2010-04-23,-6.14,15.8,NCB,XNCBX
48,14.91,2010-04-30T00:00:00,4/30/2010,2010-04-30,-6.05,15.87,NCB,XNCBX
49,14.75,2010-05-07T00:00:00,5/7/2010,2010-05-07,-7.12,15.88,NCB,XNCBX
50,14.7,2010-05-14T00:00:00,5/14/2010,2010-05-14,-7.08,15.82,NCB,XNCBX
51,14.8,2010-05-21T00:00:00,5/21/2010,2010-05-21,-7.04,15.92,NCB,XNCBX
52,14.84,2010-05-28T00:00:00,5/28/2010,2010-05-28,-6.61,15.89,NCB,XNCBX
53,14.79,2010-06-04T00:00:00,6/4/2010,2010-06-04,-6.86,15.88,NCB,XNCBX
54,14.75,2010-06-11T00:00:00,6/11/2010,2010-06-11,-6.47,15.77,NCB,XNCBX
55,14.71,2010-06-18T00:00:00,6/18/2010,2010-06-18,-6.31,15.7,NCB,XNCBX
56,14.77,2010-06-25T00:00:00,6/25/2010,2010-06-25,-6.1,15.73,NCB,XNCBX
57,14.85,2010-07-02T00:00:00,7/2/2010,2010-07-02,-6.01,15.8,NCB,XNCBX
58,14.82,2010-07-09T00:00:00,7/9/2010,2010-07-09,-6.44,15.84,NCB,XNCBX
59,14.86,2010-07-16T00:00:00,7/16/2010,2010-07-16,-6.19,15.84,NCB,XNCBX
60,14.95,2010-07-23T00:00:00,7/23/2010,2010-07-23,-6.03,15.91,NCB,XNCBX
61,15.14,2010-07-30T00:00:00,7/30/2010,2010-07-30,-5.02,15.94,NCB,XNCBX
62,15.5,2010-08-06T00:00:00,8/6/2010,2010-08-06,-3.43,16.05,NCB,XNCBX
63,15.62,2010-08-13T00:00:00,8/13/2010,2010-08-13,-3.22,16.14,NCB,XNCBX
64,15.47,2010-08-20T00:00:00,8/20/2010,2010-08-20,-5.03,16.29,NCB,XNCBX
65,15.65,2010-08-27T00:00:00,8/27/2010,2010-08-27,-4.51,16.39,NCB,XNCBX
