,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2002-11-22T00:00:00,11/22/2002,2002-11-22,4.68,14.33,NEA,XNEAX
1,15.0,2002-12-13T00:00:00,12/13/2002,2002-12-13,3.52,14.49,NEA,XNEAX
2,15.01,2002-12-20T00:00:00,12/20/2002,2002-12-20,3.3,14.53,NEA,XNEAX
3,15.0,2002-12-27T00:00:00,12/27/2002,2002-12-27,2.81,14.59,NEA,XNEAX
4,14.66,2003-01-03T00:00:00,1/3/2003,2003-01-03,0.62,14.57,NEA,XNEAX
5,14.8,2003-01-10T00:00:00,1/10/2003,2003-01-10,2.28,14.47,NEA,XNEAX
6,14.94,2003-01-17T00:00:00,1/17/2003,2003-01-17,4.7,14.27,NEA,XNEAX
7,14.94,2003-01-24T00:00:00,1/24/2003,2003-01-24,4.18,14.34,NEA,XNEAX
8,14.94,2003-01-31T00:00:00,1/31/2003,2003-01-31,4.55,14.29,NEA,XNEAX
9,14.8,2003-02-07T00:00:00,2/7/2003,2003-02-07,2.99,14.37,NEA,XNEAX
10,15.0,2003-02-14T00:00:00,2/14/2003,2003-02-14,4.17,14.4,NEA,XNEAX
11,14.99,2003-02-21T00:00:00,2/21/2003,2003-02-21,3.67,14.46,NEA,XNEAX
12,14.93,2003-02-28T00:00:00,2/28/2003,2003-02-28,1.77,14.67,NEA,XNEAX
13,14.97,2003-03-07T00:00:00,3/7/2003,2003-03-07,1.08,14.81,NEA,XNEAX
14,14.66,2003-03-14T00:00:00,3/14/2003,2003-03-14,-0.48,14.73,NEA,XNEAX
15,14.83,2003-03-21T00:00:00,3/21/2003,2003-03-21,3.85,14.28,NEA,XNEAX
16,14.96,2003-03-28T00:00:00,3/28/2003,2003-03-28,2.68,14.57,NEA,XNEAX
17,15.17,2003-04-04T00:00:00,4/4/2003,2003-04-04,4.26,14.55,NEA,XNEAX
18,15.0,2003-04-11T00:00:00,4/11/2003,2003-04-11,3.23,14.53,NEA,XNEAX
19,14.97,2003-04-25T00:00:00,4/25/2003,2003-04-25,0.88,14.84,NEA,XNEAX
20,15.05,2003-05-02T00:00:00,5/2/2003,2003-05-02,0.94,14.91,NEA,XNEAX
21,15.18,2003-05-09T00:00:00,5/9/2003,2003-05-09,0.33,15.13,NEA,XNEAX
22,15.37,2003-05-16T00:00:00,5/16/2003,2003-05-16,-0.26,15.41,NEA,XNEAX
23,15.3,2003-05-23T00:00:00,5/23/2003,2003-05-23,-1.54,15.54,NEA,XNEAX
24,15.57,2003-05-30T00:00:00,5/30/2003,2003-05-30,0.78,15.45,NEA,XNEAX
25,15.63,2003-06-06T00:00:00,6/6/2003,2003-06-06,0.64,15.53,NEA,XNEAX
26,15.56,2003-06-13T00:00:00,6/13/2003,2003-06-13,-1.14,15.74,NEA,XNEAX
27,15.36,2003-06-20T00:00:00,6/20/2003,2003-06-20,0.46,15.29,NEA,XNEAX
28,15.45,2003-06-27T00:00:00,6/27/2003,2003-06-27,2.25,15.11,NEA,XNEAX
29,15.52,2003-07-11T00:00:00,7/11/2003,2003-07-11,3.47,15.0,NEA,XNEAX
30,15.1,2003-07-18T00:00:00,7/18/2003,2003-07-18,3.0,14.66,NEA,XNEAX
31,15.2,2003-07-25T00:00:00,7/25/2003,2003-07-25,5.41,14.42,NEA,XNEAX
32,14.24,2003-08-01T00:00:00,8/1/2003,2003-08-01,2.96,13.83,NEA,XNEAX
33,14.74,2003-08-08T00:00:00,8/8/2003,2003-08-08,3.51,14.24,NEA,XNEAX
34,14.07,2003-08-15T00:00:00,8/15/2003,2003-08-15,1.74,13.83,NEA,XNEAX
35,14.09,2003-08-22T00:00:00,8/22/2003,2003-08-22,1.0,13.95,NEA,XNEAX
36,14.07,2003-08-29T00:00:00,8/29/2003,2003-08-29,-0.07,14.08,NEA,XNEAX
37,14.08,2003-09-05T00:00:00,9/5/2003,2003-09-05,-0.71,14.18,NEA,XNEAX
38,14.13,2003-09-12T00:00:00,9/12/2003,2003-09-12,-1.81,14.39,NEA,XNEAX
39,14.06,2003-09-19T00:00:00,9/19/2003,2003-09-19,-2.9,14.48,NEA,XNEAX
40,14.41,2003-09-26T00:00:00,9/26/2003,2003-09-26,-1.1,14.57,NEA,XNEAX
41,14.62,2003-10-03T00:00:00,10/3/2003,2003-10-03,1.04,14.47,NEA,XNEAX
42,14.56,2003-10-10T00:00:00,10/10/2003,2003-10-10,1.61,14.33,NEA,XNEAX
43,14.42,2003-10-17T00:00:00,10/17/2003,2003-10-17,1.34,14.23,NEA,XNEAX
44,14.67,2003-10-24T00:00:00,10/24/2003,2003-10-24,1.17,14.5,NEA,XNEAX
45,14.79,2003-10-31T00:00:00,10/31/2003,2003-10-31,1.72,14.54,NEA,XNEAX
46,14.96,2003-11-07T00:00:00,11/7/2003,2003-11-07,3.31,14.48,NEA,XNEAX
47,14.68,2003-11-14T00:00:00,11/14/2003,2003-11-14,-0.14,14.7,NEA,XNEAX
48,14.71,2003-11-21T00:00:00,11/21/2003,2003-11-21,-0.88,14.84,NEA,XNEAX
49,14.89,2003-11-28T00:00:00,11/28/2003,2003-11-28,0.61,14.8,NEA,XNEAX
50,14.92,2003-12-05T00:00:00,12/5/2003,2003-12-05,0.88,14.79,NEA,XNEAX
51,14.98,2003-12-12T00:00:00,12/12/2003,2003-12-12,1.42,14.77,NEA,XNEAX
52,14.95,2003-12-19T00:00:00,12/19/2003,2003-12-19,-0.27,14.99,NEA,XNEAX
53,14.9,2003-12-26T00:00:00,12/26/2003,2003-12-26,-0.67,15.0,NEA,XNEAX
54,15.22,2004-01-02T00:00:00,1/2/2004,2004-01-02,2.28,14.88,NEA,XNEAX
55,15.21,2004-01-09T00:00:00,1/9/2004,2004-01-09,-0.13,15.23,NEA,XNEAX
56,15.38,2004-01-16T00:00:00,1/16/2004,2004-01-16,0.92,15.24,NEA,XNEAX
57,15.4,2004-01-23T00:00:00,1/23/2004,2004-01-23,1.65,15.15,NEA,XNEAX
58,15.22,2004-01-30T00:00:00,1/30/2004,2004-01-30,1.4,15.01,NEA,XNEAX
59,15.52,2004-02-06T00:00:00,2/6/2004,2004-02-06,2.17,15.19,NEA,XNEAX
