,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2009-09-25T00:00:00,9/25/2009,2009-09-25,4.9,14.3,NEV,XNEVX
1,15.0,2009-10-02T00:00:00,10/2/2009,2009-10-02,3.95,14.43,NEV,XNEVX
2,15.0,2009-10-09T00:00:00,10/9/2009,2009-10-09,5.86,14.17,NEV,XNEVX
3,15.01,2009-10-16T00:00:00,10/16/2009,2009-10-16,7.75,13.93,NEV,XNEVX
4,15.01,2009-10-23T00:00:00,10/23/2009,2009-10-23,7.83,13.92,NEV,XNEVX
5,15.0,2009-10-30T00:00:00,10/30/2009,2009-10-30,9.25,13.73,NEV,XNEVX
6,14.67,2009-11-06T00:00:00,11/6/2009,2009-11-06,7.16,13.69,NEV,XNEVX
7,14.7,2009-11-13T00:00:00,11/13/2009,2009-11-13,8.41,13.56,NEV,XNEVX
8,14.63,2009-11-20T00:00:00,11/20/2009,2009-11-20,8.13,13.53,NEV,XNEVX
9,14.45,2009-11-27T00:00:00,11/27/2009,2009-11-27,6.25,13.6,NEV,XNEVX
10,14.15,2009-12-04T00:00:00,12/4/2009,2009-12-04,2.76,13.77,NEV,XNEVX
11,14.0,2009-12-11T00:00:00,12/11/2009,2009-12-11,1.38,13.81,NEV,XNEVX
12,13.91,2009-12-18T00:00:00,12/18/2009,2009-12-18,0.0,13.91,NEV,XNEVX
13,13.89,2010-01-08T00:00:00,1/8/2010,2010-01-08,-0.93,14.02,NEV,XNEVX
14,13.78,2010-01-15T00:00:00,1/15/2010,2010-01-15,-1.78,14.03,NEV,XNEVX
15,13.77,2010-01-22T00:00:00,1/22/2010,2010-01-22,-2.41,14.11,NEV,XNEVX
16,13.66,2010-01-29T00:00:00,1/29/2010,2010-01-29,-2.08,13.95,NEV,XNEVX
17,13.72,2010-02-05T00:00:00,2/5/2010,2010-02-05,-2.83,14.12,NEV,XNEVX
18,14.12,2010-02-12T00:00:00,2/12/2010,2010-02-12,0.43,14.06,NEV,XNEVX
19,14.14,2010-02-19T00:00:00,2/19/2010,2010-02-19,0.71,14.04,NEV,XNEVX
20,14.17,2010-02-26T00:00:00,2/26/2010,2010-02-26,0.64,14.08,NEV,XNEVX
21,14.04,2010-03-05T00:00:00,3/5/2010,2010-03-05,-0.64,14.13,NEV,XNEVX
22,14.03,2010-03-12T00:00:00,3/12/2010,2010-03-12,-0.57,14.11,NEV,XNEVX
23,13.94,2010-03-19T00:00:00,3/19/2010,2010-03-19,-1.41,14.14,NEV,XNEVX
24,13.93,2010-03-26T00:00:00,3/26/2010,2010-03-26,-1.14,14.09,NEV,XNEVX
