,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,10.02,2016-01-29T00:00:00,1/29/2016,2016-01-29,1.93,9.83,NHA,XNHAX
1,10.0,2016-02-05T00:00:00,2/5/2016,2016-02-05,1.63,9.84,NHA,XNHAX
2,10.05,2016-02-12T00:00:00,2/12/2016,2016-02-12,2.03,9.85,NHA,XNHAX
3,10.04,2016-02-19T00:00:00,2/19/2016,2016-02-19,2.03,9.84,NHA,XNHAX
4,10.0,2016-02-26T00:00:00,2/26/2016,2016-02-26,1.83,9.82,NHA,XNHAX
5,10.05,2016-03-04T00:00:00,3/4/2016,2016-03-04,2.24,9.83,NHA,XNHAX
6,10.0799,2016-03-11T00:00:00,3/11/2016,2016-03-11,2.65,9.82,NHA,XNHAX
7,9.91,2016-03-18T00:00:00,3/18/2016,2016-03-18,0.81,9.83,NHA,XNHAX
8,10.01,2016-04-01T00:00:00,4/1/2016,2016-04-01,1.42,9.87,NHA,XNHAX
9,10.07,2016-04-08T00:00:00,4/8/2016,2016-04-08,1.61,9.91,NHA,XNHAX
10,10.04,2016-04-15T00:00:00,4/15/2016,2016-04-15,1.52,9.89,NHA,XNHAX
11,10.0688,2016-04-22T00:00:00,4/22/2016,2016-04-22,1.81,9.89,NHA,XNHAX
12,9.84,2016-04-29T00:00:00,4/29/2016,2016-04-29,-0.81,9.92,NHA,XNHAX
13,10.0064,2016-05-06T00:00:00,5/6/2016,2016-05-06,0.67,9.94,NHA,XNHAX
14,9.91,2016-05-13T00:00:00,5/13/2016,2016-05-13,-0.3,9.94,NHA,XNHAX
15,9.86,2016-05-20T00:00:00,5/20/2016,2016-05-20,-0.7,9.93,NHA,XNHAX
16,9.9399,2016-05-27T00:00:00,5/27/2016,2016-05-27,0.2,9.92,NHA,XNHAX
17,9.99,2016-06-03T00:00:00,6/3/2016,2016-06-03,0.6,9.93,NHA,XNHAX
18,10.0,2016-06-10T00:00:00,6/10/2016,2016-06-10,0.3,9.97,NHA,XNHAX
19,10.02,2016-06-17T00:00:00,6/17/2016,2016-06-17,0.4,9.98,NHA,XNHAX
20,10.04,2016-06-24T00:00:00,6/24/2016,2016-06-24,0.2,10.02,NHA,XNHAX
21,10.14,2016-07-01T00:00:00,7/1/2016,2016-07-01,1.1,10.03,NHA,XNHAX
22,10.2,2016-07-08T00:00:00,7/8/2016,2016-07-08,1.49,10.05,NHA,XNHAX
23,10.07,2016-07-15T00:00:00,7/15/2016,2016-07-15,0.5,10.02,NHA,XNHAX
24,10.3,2016-07-22T00:00:00,7/22/2016,2016-07-22,2.79,10.02,NHA,XNHAX
25,10.1,2016-07-29T00:00:00,7/29/2016,2016-07-29,0.6,10.04,NHA,XNHAX
26,10.09,2016-08-05T00:00:00,8/5/2016,2016-08-05,0.7,10.02,NHA,XNHAX
27,10.11,2016-08-12T00:00:00,8/12/2016,2016-08-12,0.9,10.02,NHA,XNHAX
28,10.0799,2016-08-19T00:00:00,8/19/2016,2016-08-19,0.4,10.04,NHA,XNHAX
29,10.1111,2016-08-26T00:00:00,8/26/2016,2016-08-26,0.71,10.04,NHA,XNHAX
30,10.05,2016-09-02T00:00:00,9/2/2016,2016-09-02,0.2,10.03,NHA,XNHAX
31,10.11,2016-09-09T00:00:00,9/9/2016,2016-09-09,1.0,10.01,NHA,XNHAX
32,10.31,2016-09-16T00:00:00,9/16/2016,2016-09-16,3.41,9.97,NHA,XNHAX
33,10.1673,2016-09-23T00:00:00,9/23/2016,2016-09-23,1.88,9.98,NHA,XNHAX
34,10.04,2016-09-30T00:00:00,9/30/2016,2016-09-30,0.6,9.98,NHA,XNHAX
35,10.09,2016-10-07T00:00:00,10/7/2016,2016-10-07,1.41,9.95,NHA,XNHAX
36,10.1,2016-10-14T00:00:00,10/14/2016,2016-10-14,1.81,9.92,NHA,XNHAX
37,10.2434,2016-10-21T00:00:00,10/21/2016,2016-10-21,3.36,9.91,NHA,XNHAX
38,10.09,2016-10-28T00:00:00,10/28/2016,2016-10-28,2.02,9.89,NHA,XNHAX
39,10.16,2016-11-04T00:00:00,11/4/2016,2016-11-04,3.25,9.84,NHA,XNHAX
40,10.05,2016-11-11T00:00:00,11/11/2016,2016-11-11,3.5,9.71,NHA,XNHAX
41,9.99,2016-11-18T00:00:00,11/18/2016,2016-11-18,4.83,9.53,NHA,XNHAX
42,9.9,2016-11-25T00:00:00,11/25/2016,2016-11-25,4.54,9.47,NHA,XNHAX
43,9.88,2016-12-02T00:00:00,12/2/2016,2016-12-02,5.44,9.37,NHA,XNHAX
44,9.92,2016-12-09T00:00:00,12/9/2016,2016-12-09,5.2,9.43,NHA,XNHAX
45,9.92,2016-12-16T00:00:00,12/16/2016,2016-12-16,5.64,9.39,NHA,XNHAX
46,9.864,2016-12-23T00:00:00,12/23/2016,2016-12-23,4.82,9.41,NHA,XNHAX
47,9.92,2016-12-30T00:00:00,12/30/2016,2016-12-30,5.42,9.41,NHA,XNHAX
48,9.9361,2017-01-06T00:00:00,1/6/2017,2017-01-06,5.37,9.43,NHA,XNHAX
49,9.89,2017-01-13T00:00:00,1/13/2017,2017-01-13,4.44,9.47,NHA,XNHAX
50,9.82,2017-01-20T00:00:00,1/20/2017,2017-01-20,3.81,9.46,NHA,XNHAX
51,9.76,2017-01-27T00:00:00,1/27/2017,2017-01-27,3.17,9.46,NHA,XNHAX
52,9.86,2017-02-03T00:00:00,2/3/2017,2017-02-03,4.01,9.48,NHA,XNHAX
53,9.81,2017-02-10T00:00:00,2/10/2017,2017-02-10,3.05,9.52,NHA,XNHAX
54,9.69,2017-02-17T00:00:00,2/17/2017,2017-02-17,2.11,9.49,NHA,XNHAX
55,9.7,2017-02-24T00:00:00,2/24/2017,2017-02-24,2.11,9.5,NHA,XNHAX
56,9.52,2017-03-03T00:00:00,3/3/2017,2017-03-03,0.32,9.49,NHA,XNHAX
57,9.623,2017-03-10T00:00:00,3/10/2017,2017-03-10,1.51,9.48,NHA,XNHAX
58,9.86,2017-03-17T00:00:00,3/17/2017,2017-03-17,4.01,9.48,NHA,XNHAX
59,9.7797,2017-03-24T00:00:00,3/24/2017,2017-03-24,2.94,9.5,NHA,XNHAX
60,9.75,2017-03-31T00:00:00,3/31/2017,2017-03-31,2.52,9.51,NHA,XNHAX
61,9.72,2017-04-07T00:00:00,4/7/2017,2017-04-07,1.57,9.57,NHA,XNHAX
62,9.9,2017-04-21T00:00:00,4/21/2017,2017-04-21,3.23,9.59,NHA,XNHAX
63,9.99,2017-04-28T00:00:00,4/28/2017,2017-04-28,4.06,9.6,NHA,XNHAX
64,9.94,2017-05-05T00:00:00,5/5/2017,2017-05-05,3.33,9.62,NHA,XNHAX
65,9.98,2017-05-12T00:00:00,5/12/2017,2017-05-12,3.63,9.63,NHA,XNHAX
66,9.81,2017-05-19T00:00:00,5/19/2017,2017-05-19,1.45,9.67,NHA,XNHAX
67,9.85,2017-05-26T00:00:00,5/26/2017,2017-05-26,1.55,9.7,NHA,XNHAX
68,9.83,2017-06-02T00:00:00,6/2/2017,2017-06-02,1.24,9.71,NHA,XNHAX
69,9.8106,2017-06-09T00:00:00,6/9/2017,2017-06-09,1.35,9.68,NHA,XNHAX
70,9.83,2017-06-16T00:00:00,6/16/2017,2017-06-16,1.87,9.65,NHA,XNHAX
71,9.88,2017-06-23T00:00:00,6/23/2017,2017-06-23,2.28,9.66,NHA,XNHAX
72,10.0,2017-06-30T00:00:00,6/30/2017,2017-06-30,3.63,9.65,NHA,XNHAX
73,10.08,2017-07-07T00:00:00,7/7/2017,2017-07-07,4.24,9.67,NHA,XNHAX
