,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,,6/2/2017,6/8/2017,0.1748,6/23/2017,,0.38,NIE
1,,,3/3/2017,3/9/2017,,3/24/2017,,0.38,NIE
2,,,12/16/2016,12/22/2016,0.285,1/6/2017,,0.38,NIE
3,,,9/2/2016,9/8/2016,0.0266,9/23/2016,,0.38,NIE
4,,,6/3/2016,6/9/2016,0.0266,6/24/2016,,0.38,NIE
5,,,3/4/2016,3/10/2016,0.0266,3/24/2016,,0.38,NIE
6,,,12/18/2015,12/23/2015,0.0266,1/5/2016,,0.38,NIE
7,,,9/4/2015,9/10/2015,0.0266,9/25/2015,,0.38,NIE
8,,,6/5/2015,6/11/2015,0.0342,6/26/2015,,0.38,NIE
9,,,3/6/2015,3/12/2015,,3/27/2015,,0.38,NIE
10,,,12/19/2014,12/24/2014,0.38,1/6/2015,,0.38,NIE
11,,,9/5/2014,9/11/2014,0.38,9/26/2014,,0.38,NIE
12,,,6/6/2014,6/12/2014,0.28,6/27/2014,,0.28,NIE
13,,,3/7/2014,3/13/2014,,3/28/2014,,0.28,NIE
14,,,12/17/2013,12/24/2013,0.52,1/6/2014,,0.52,NIE
15,,,9/6/2013,9/12/2013,0.28,9/26/2013,,0.28,NIE
16,,,6/7/2013,6/13/2013,,6/27/2013,,0.28,NIE
17,,,3/8/2013,3/14/2013,,3/28/2013,,0.28,NIE
18,,,12/18/2012,12/26/2012,,1/7/2013,,0.28,NIE
19,,,9/7/2012,9/13/2012,,9/27/2012,,0.28,NIE
20,,,6/8/2012,6/14/2012,,6/28/2012,,0.28,NIE
21,,,3/9/2012,3/15/2012,,3/29/2012,,0.28,NIE
