,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.08,2003-11-21T00:00:00,11/21/2003,2003-11-21,5.23,14.33,NMZ,XNMZX
1,14.95,2003-11-28T00:00:00,11/28/2003,2003-11-28,4.47,14.31,NMZ,XNMZX
2,15.27,2003-12-05T00:00:00,12/5/2003,2003-12-05,6.41,14.35,NMZ,XNMZX
3,15.25,2003-12-12T00:00:00,12/12/2003,2003-12-12,5.83,14.41,NMZ,XNMZX
4,15.01,2003-12-19T00:00:00,12/19/2003,2003-12-19,3.02,14.57,NMZ,XNMZX
5,15.0,2003-12-26T00:00:00,12/26/2003,2003-12-26,2.95,14.57,NMZ,XNMZX
6,15.02,2004-01-02T00:00:00,1/2/2004,2004-01-02,3.44,14.52,NMZ,XNMZX
7,15.09,2004-01-09T00:00:00,1/9/2004,2004-01-09,2.44,14.73,NMZ,XNMZX
8,15.2,2004-01-16T00:00:00,1/16/2004,2004-01-16,3.19,14.73,NMZ,XNMZX
9,15.3,2004-01-23T00:00:00,1/23/2004,2004-01-23,5.23,14.54,NMZ,XNMZX
10,15.34,2004-01-30T00:00:00,1/30/2004,2004-01-30,6.16,14.45,NMZ,XNMZX
11,15.34,2004-02-06T00:00:00,2/6/2004,2004-02-06,5.14,14.59,NMZ,XNMZX
12,15.31,2004-02-13T00:00:00,2/13/2004,2004-02-13,4.43,14.66,NMZ,XNMZX
13,15.26,2004-02-20T00:00:00,2/20/2004,2004-02-20,4.09,14.66,NMZ,XNMZX
14,15.25,2004-02-27T00:00:00,2/27/2004,2004-02-27,3.46,14.74,NMZ,XNMZX
15,15.39,2004-03-05T00:00:00,3/5/2004,2004-03-05,3.64,14.85,NMZ,XNMZX
16,15.59,2004-03-12T00:00:00,3/12/2004,2004-03-12,4.84,14.87,NMZ,XNMZX
17,15.46,2004-03-19T00:00:00,3/19/2004,2004-03-19,4.53,14.79,NMZ,XNMZX
18,15.45,2004-03-26T00:00:00,3/26/2004,2004-03-26,5.68,14.62,NMZ,XNMZX
19,15.35,2004-04-02T00:00:00,4/2/2004,2004-04-02,7.34,14.3,NMZ,XNMZX
20,14.5,2004-04-16T00:00:00,4/16/2004,2004-04-16,2.62,14.13,NMZ,XNMZX
21,14.24,2004-04-23T00:00:00,4/23/2004,2004-04-23,1.28,14.06,NMZ,XNMZX
22,14.1,2004-04-30T00:00:00,4/30/2004,2004-04-30,0.79,13.99,NMZ,XNMZX
23,14.25,2004-05-07T00:00:00,5/7/2004,2004-05-07,3.34,13.79,NMZ,XNMZX
24,13.65,2004-05-14T00:00:00,5/14/2004,2004-05-14,0.15,13.63,NMZ,XNMZX
25,13.65,2004-05-21T00:00:00,5/21/2004,2004-05-21,-0.66,13.74,NMZ,XNMZX
26,13.84,2004-05-28T00:00:00,5/28/2004,2004-05-28,-0.14,13.86,NMZ,XNMZX
27,14.22,2004-06-04T00:00:00,6/4/2004,2004-06-04,2.97,13.81,NMZ,XNMZX
28,13.75,2004-06-18T00:00:00,6/18/2004,2004-06-18,-0.07,13.76,NMZ,XNMZX
29,13.45,2004-06-25T00:00:00,6/25/2004,2004-06-25,-3.03,13.87,NMZ,XNMZX
30,14.3,2004-07-02T00:00:00,7/2/2004,2004-07-02,1.42,14.1,NMZ,XNMZX
