,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,11.63,1994-01-07T00:00:00,1/7/1994,1994-01-07,5.73,11.0,NNY,XNNYX
1,11.88,1994-01-14T00:00:00,1/14/1994,1994-01-14,8.3,10.97,NNY,XNNYX
2,11.75,1994-01-21T00:00:00,1/21/1994,1994-01-21,6.72,11.01,NNY,XNNYX
3,12.0,1994-01-28T00:00:00,1/28/1994,1994-01-28,8.7,11.04,NNY,XNNYX
4,11.88,1994-02-04T00:00:00,2/4/1994,1994-02-04,7.8,11.02,NNY,XNNYX
5,11.63,1994-02-11T00:00:00,2/11/1994,1994-02-11,6.4,10.93,NNY,XNNYX
6,11.75,1994-02-18T00:00:00,2/18/1994,1994-02-18,7.7,10.91,NNY,XNNYX
7,11.63,1994-02-25T00:00:00,2/25/1994,1994-02-25,7.19,10.85,NNY,XNNYX
8,11.38,1994-03-04T00:00:00,3/4/1994,1994-03-04,5.76,10.76,NNY,XNNYX
9,11.38,1994-03-18T00:00:00,3/18/1994,1994-03-18,6.36,10.7,NNY,XNNYX
10,10.38,1994-03-25T00:00:00,3/25/1994,1994-03-25,-2.81,10.68,NNY,XNNYX
11,10.13,1994-04-01T00:00:00,4/1/1994,1994-04-01,-3.98,10.55,NNY,XNNYX
12,10.13,1994-04-08T00:00:00,4/8/1994,1994-04-08,-3.71,10.52,NNY,XNNYX
13,10.38,1994-04-15T00:00:00,4/15/1994,1994-04-15,-1.05,10.49,NNY,XNNYX
14,10.5,1994-04-29T00:00:00,4/29/1994,1994-04-29,0.1,10.49,NNY,XNNYX
15,11.0,1994-05-06T00:00:00,5/6/1994,1994-05-06,4.96,10.48,NNY,XNNYX
16,10.88,1994-05-13T00:00:00,5/13/1994,1994-05-13,4.31,10.43,NNY,XNNYX
17,11.25,1994-05-20T00:00:00,5/20/1994,1994-05-20,6.94,10.52,NNY,XNNYX
18,11.25,1994-05-27T00:00:00,5/27/1994,1994-05-27,6.74,10.54,NNY,XNNYX
19,11.25,1994-06-03T00:00:00,6/3/1994,1994-06-03,6.33,10.58,NNY,XNNYX
20,11.13,1994-06-10T00:00:00,6/10/1994,1994-06-10,5.3,10.57,NNY,XNNYX
21,11.13,1994-06-17T00:00:00,6/17/1994,1994-06-17,5.5,10.55,NNY,XNNYX
22,11.38,1994-06-24T00:00:00,6/24/1994,1994-06-24,8.38,10.5,NNY,XNNYX
23,11.25,1994-07-01T00:00:00,7/1/1994,1994-07-01,7.35,10.48,NNY,XNNYX
24,11.25,1994-07-08T00:00:00,7/8/1994,1994-07-08,7.35,10.48,NNY,XNNYX
25,11.0,1994-07-22T00:00:00,7/22/1994,1994-07-22,4.86,10.49,NNY,XNNYX
26,11.13,1994-07-29T00:00:00,7/29/1994,1994-07-29,5.9,10.51,NNY,XNNYX
27,11.13,1994-08-05T00:00:00,8/5/1994,1994-08-05,5.9,10.51,NNY,XNNYX
28,11.0,1994-08-12T00:00:00,8/12/1994,1994-08-12,5.36,10.44,NNY,XNNYX
29,10.75,1994-08-19T00:00:00,8/19/1994,1994-08-19,2.67,10.47,NNY,XNNYX
30,10.75,1994-08-26T00:00:00,8/26/1994,1994-08-26,2.48,10.49,NNY,XNNYX
31,10.38,1994-09-02T00:00:00,9/2/1994,1994-09-02,-1.42,10.53,NNY,XNNYX
32,10.63,1994-09-09T00:00:00,9/9/1994,1994-09-09,1.92,10.43,NNY,XNNYX
33,10.75,1994-09-16T00:00:00,9/16/1994,1994-09-16,3.27,10.41,NNY,XNNYX
34,10.38,1994-09-23T00:00:00,9/23/1994,1994-09-23,-0.19,10.4,NNY,XNNYX
35,10.5,1994-09-30T00:00:00,9/30/1994,1994-09-30,1.06,10.39,NNY,XNNYX
36,10.13,1994-10-07T00:00:00,10/7/1994,1994-10-07,-1.65,10.3,NNY,XNNYX
37,10.38,1994-10-14T00:00:00,10/14/1994,1994-10-14,0.39,10.34,NNY,XNNYX
38,10.38,1994-10-21T00:00:00,10/21/1994,1994-10-21,0.58,10.32,NNY,XNNYX
39,10.75,1994-10-28T00:00:00,10/28/1994,1994-10-28,4.67,10.27,NNY,XNNYX
40,10.13,1994-11-04T00:00:00,11/4/1994,1994-11-04,-0.59,10.19,NNY,XNNYX
41,10.25,1994-11-18T00:00:00,11/18/1994,1994-11-18,2.3,10.02,NNY,XNNYX
