Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,9.375,9.5625,9.3125,2.456918,9.5,36500
2000-01-04,9.625,9.625,9.1875,2.376097,9.1875,72000
2000-01-05,9.375,9.4375,9.0625,2.440754,9.4375,54900
2000-01-06,9.375,9.4375,9.3125,2.408425,9.3125,54100
2000-01-07,9.3125,9.625,9.3125,2.489243,9.625,55100
2000-01-10,9.625,9.875,9.4375,2.489243,9.625,98000
2000-01-11,9.5,9.625,9.5,2.456918,9.5,30200
2000-01-12,9.5,9.75,9.4375,2.509319,9.625,71000
2000-01-13,9.5625,9.6875,9.4375,2.460438,9.4375,61700
2000-01-14,9.5,9.625,9.4375,2.509319,9.625,57700
2000-01-18,9.5625,9.75,9.4375,2.493026,9.5625,88400
2000-01-19,9.5625,9.75,9.5625,2.509319,9.625,84400
2000-01-20,9.6875,9.8125,9.625,2.558203,9.8125,54300
2000-01-21,9.875,9.875,9.6875,2.541908,9.75,81400
2000-01-24,9.6875,9.75,9.5625,2.509319,9.625,79300
2000-01-25,9.5,9.5625,9.375,2.493026,9.5625,64900
2000-01-26,9.5625,9.5625,9.1875,2.427848,9.3125,160500
2000-01-27,9.375,9.4375,9.25,2.444144,9.375,68300
2000-01-28,9.3125,9.4375,9.3125,2.460438,9.4375,51500
2000-01-31,9.375,9.5625,9.3125,2.493026,9.5625,115300
2000-02-01,9.5625,9.625,9.3125,2.427848,9.3125,119600
2000-02-02,9.4375,9.5,9.375,2.460438,9.4375,92900
2000-02-03,9.5,9.5625,9.4375,2.476732,9.5,72900
2000-02-04,9.4375,9.6875,9.4375,2.525614,9.6875,50300
2000-02-07,9.5625,9.6875,9.5625,2.509319,9.625,55200
2000-02-08,9.625,9.6875,9.5625,2.525614,9.6875,46800
2000-02-09,9.6875,9.6875,9.5625,2.509319,9.625,70600
2000-02-10,9.6875,9.6875,9.5,2.476732,9.5,96700
2000-02-11,9.375,9.5,9.375,2.481069,9.4375,70500
2000-02-14,9.4375,9.5,9.375,2.481069,9.4375,76500
2000-02-15,9.5,9.5,9.25,2.464637,9.375,84200
2000-02-16,9.25,9.375,9.25,2.448208,9.3125,65500
2000-02-17,9.3125,9.375,9.25,2.448208,9.3125,102800
2000-02-18,9.3125,9.375,9.25,2.431775,9.25,77000
2000-02-22,9.3125,9.375,9.1875,2.448208,9.3125,61800
2000-02-23,9.3125,9.3125,9.1875,2.415345,9.1875,77700
2000-02-24,9.25,9.375,9.1875,2.431775,9.25,112100
2000-02-25,9.1875,9.3125,9.1875,2.415345,9.1875,54500
2000-02-28,9.1875,9.25,8.875,2.333192,8.875,76100
2000-02-29,9.0,9.0625,8.9375,2.349622,8.9375,74500
2000-03-01,9.25,9.25,9.0,2.382483,9.0625,138200
2000-03-02,9.125,9.1875,9.125,2.398914,9.125,98400
2000-03-03,9.1875,9.3125,9.125,2.398914,9.125,144100
2000-03-06,9.0625,9.1875,8.875,2.333192,8.875,117100
2000-03-07,8.9375,9.0625,8.875,2.382483,9.0625,97900
2000-03-08,9.0625,9.0625,8.9375,2.349622,8.9375,121500
2000-03-09,9.0,9.0,8.9375,2.349622,8.9375,112600
2000-03-10,8.9375,9.0625,8.9375,2.349622,8.9375,123700
2000-03-13,8.9375,8.9375,8.8125,2.354796,8.875,82100
2000-03-14,8.875,9.0,8.875,2.371379,8.9375,57000
2000-03-15,9.0,9.0,8.8125,2.338212,8.8125,135200
2000-03-16,8.875,8.9375,8.75,2.338212,8.8125,82100
2000-03-17,8.8125,8.9375,8.75,2.338212,8.8125,99600
2000-03-20,8.8125,9.0,8.75,2.371379,8.9375,105000
2000-03-21,8.875,9.0,8.875,2.387962,9.0,111300
2000-03-22,9.0,9.0,8.8125,2.354796,8.875,126500
2000-03-23,8.875,8.875,8.8125,2.338212,8.8125,120400
2000-03-24,8.875,8.9375,8.8125,2.371379,8.9375,113400
2000-03-27,8.9375,9.0,8.875,2.371379,8.9375,92500
2000-03-28,8.875,8.9375,8.875,2.371379,8.9375,66300
2000-03-29,8.875,9.0,8.8125,2.338212,8.8125,111200
2000-03-30,8.8125,8.9375,8.8125,2.338212,8.8125,138200
2000-03-31,8.875,8.875,8.75,2.338212,8.8125,141100
2000-04-03,8.875,8.875,8.75,2.338212,8.8125,126400
2000-04-04,8.875,8.875,8.75,2.32163,8.75,129700
2000-04-05,8.75,8.9375,8.6875,2.305047,8.6875,140100
2000-04-06,8.6875,8.75,8.6875,2.305047,8.6875,94500
2000-04-07,8.75,8.8125,8.6875,2.32163,8.75,110300
2000-04-10,8.75,8.8125,8.75,2.32163,8.75,178800
2000-04-11,8.8125,8.8125,8.75,2.32163,8.75,112000
2000-04-12,8.625,8.6875,8.625,2.310645,8.625,135200
2000-04-13,8.625,8.6875,8.625,2.327389,8.6875,100400
2000-04-14,8.6875,8.6875,8.4375,2.277157,8.5,185900
2000-04-17,8.5,8.625,8.4375,2.277157,8.5,151500
2000-04-18,8.5,8.5625,8.4375,2.293901,8.5625,92900
2000-04-19,8.5625,8.6875,8.5,2.327389,8.6875,88400
2000-04-20,8.6875,8.75,8.625,2.327389,8.6875,89600
2000-04-24,8.625,8.75,8.625,2.344132,8.75,45200
2000-04-25,8.6875,8.875,8.6875,2.344132,8.75,181000
2000-04-26,8.8125,8.875,8.75,2.360877,8.8125,113100
2000-04-27,8.875,8.9375,8.8125,2.394365,8.9375,60900
2000-04-28,8.9375,9.0,8.875,2.411109,9.0,116400
2000-05-01,9.0,9.0,8.875,2.411109,9.0,131900
2000-05-02,9.375,9.375,9.125,2.478083,9.25,136800
2000-05-03,9.25,9.25,9.125,2.444597,9.125,98000
2000-05-04,9.125,9.1875,9.0625,2.444597,9.125,86400
2000-05-05,9.0625,9.125,9.0,2.427851,9.0625,66200
2000-05-08,9.0625,9.1875,9.0625,2.427851,9.0625,73400
2000-05-09,9.0625,9.1875,9.0625,2.444597,9.125,135400
2000-05-10,9.125,9.3125,9.125,2.478083,9.25,103600
2000-05-11,9.1875,9.1875,9.125,2.483896,9.1875,64500
2000-05-12,9.125,9.1875,9.125,2.483896,9.1875,46700
2000-05-15,9.1875,9.1875,9.0625,2.483896,9.1875,60600
2000-05-16,9.1875,9.1875,9.0,2.433203,9.0,116300
2000-05-17,9.0625,9.1875,9.0,2.483896,9.1875,76800
2000-05-18,9.1875,9.3125,9.125,2.483896,9.1875,92600
2000-05-19,9.125,9.1875,9.125,2.467,9.125,52100
2000-05-22,9.125,9.25,9.125,2.500792,9.25,68200
2000-05-23,9.25,9.25,9.1875,2.500792,9.25,76100
2000-05-24,9.1875,9.25,9.125,2.467,9.125,102300
2000-05-25,9.125,9.25,9.125,2.483896,9.1875,59000
2000-05-26,9.25,9.25,9.125,2.500792,9.25,47100
2000-05-30,9.25,9.375,9.125,2.534585,9.375,97900
2000-05-31,9.4375,9.5625,9.375,2.568381,9.5,107400
2000-06-01,9.5625,9.75,9.5625,2.602178,9.625,111100
2000-06-02,9.75,9.75,9.375,2.568381,9.5,154100
2000-06-05,9.5,9.5,9.375,2.551486,9.4375,101700
2000-06-06,9.5,9.5,9.3125,2.51769,9.3125,159000
2000-06-07,9.3125,9.375,9.25,2.51769,9.3125,108500
2000-06-08,9.375,9.4375,9.25,2.51769,9.3125,81000
2000-06-09,9.25,9.625,9.25,2.602178,9.625,87500
2000-06-12,9.625,9.6875,9.5,2.58528,9.5625,99800
2000-06-13,9.4375,9.625,9.375,2.575184,9.4375,110500
2000-06-14,9.5,9.625,9.5,2.592239,9.5,54200
2000-06-15,9.5625,9.5625,9.5,2.592239,9.5,81600
2000-06-16,9.5625,9.5625,9.5,2.609294,9.5625,52200
2000-06-19,9.5,9.5625,9.5,2.609294,9.5625,92900
2000-06-20,9.5625,9.5625,9.4375,2.592239,9.5,121900
2000-06-21,9.5625,9.5625,9.375,2.558129,9.375,103400
2000-06-22,9.4375,9.5,9.375,2.558129,9.375,88500
2000-06-23,9.3125,9.3125,9.0625,2.541075,9.3125,134900
2000-06-26,9.3125,9.4375,9.25,2.558129,9.375,47500
2000-06-27,9.4375,9.4375,9.3125,2.575184,9.4375,72200
2000-06-28,9.5,9.5,9.375,2.575184,9.4375,66700
2000-06-29,9.4375,9.5,9.375,2.592239,9.5,49300
2000-06-30,9.5,9.5625,9.5,2.592239,9.5,63500
2000-07-03,9.625,9.75,9.5625,2.643401,9.6875,61900
2000-07-05,9.75,9.75,9.5625,2.609294,9.5625,62600
2000-07-06,9.5625,9.625,9.5,2.609294,9.5625,59600
2000-07-07,9.5625,9.75,9.5625,2.643401,9.6875,118500
2000-07-10,9.75,9.75,9.5625,2.643401,9.6875,119100
2000-07-11,9.625,9.6875,9.5,2.592239,9.5,126300
2000-07-12,9.5,9.6875,9.4375,2.668115,9.6875,104200
2000-07-13,9.6875,9.75,9.5625,2.633689,9.5625,126200
2000-07-14,9.6875,9.75,9.625,2.650901,9.625,53700
2000-07-17,9.625,9.75,9.5625,2.633689,9.5625,94300
2000-07-18,9.625,9.75,9.5625,2.633689,9.5625,86800
2000-07-19,9.625,9.6875,9.5,2.650901,9.625,75400
2000-07-20,9.625,9.6875,9.5,2.650901,9.625,83800
2000-07-21,9.625,9.6875,9.5625,2.668115,9.6875,51000
2000-07-24,9.6875,9.6875,9.5625,2.650901,9.625,86500
2000-07-25,9.625,9.6875,9.5625,2.668115,9.6875,122200
2000-07-26,9.6875,9.6875,9.5625,2.633689,9.5625,48500
2000-07-27,9.625,9.6875,9.625,2.668115,9.6875,57300
2000-07-28,9.625,9.6875,9.625,2.650901,9.625,56500
2000-07-31,9.6875,9.6875,9.625,2.650901,9.625,136600
2000-08-01,9.6875,9.75,9.625,2.685329,9.75,98200
2000-08-02,9.75,9.875,9.6875,2.719756,9.875,262000
2000-08-03,9.75,9.9375,9.75,2.719756,9.875,164600
2000-08-04,9.8125,10.0,9.75,2.736969,9.9375,124800
2000-08-07,9.9375,10.0,9.8125,2.719756,9.875,169400
2000-08-08,9.875,10.0,9.8125,2.719756,9.875,154300
2000-08-09,9.875,9.9375,9.8125,2.719756,9.875,108800
2000-08-10,9.875,9.9375,9.8125,2.719756,9.875,91900
2000-08-11,9.8125,9.9375,9.75,2.709475,9.75,77500
2000-08-14,9.75,9.875,9.75,2.726844,9.8125,130800
2000-08-15,9.8125,9.9375,9.8125,2.74421,9.875,56300
2000-08-16,9.875,10.0,9.8125,2.74421,9.875,73000
2000-08-17,9.875,10.0,9.875,2.761579,9.9375,94700
2000-08-18,10.0,10.0,9.8125,2.74421,9.875,126300
2000-08-21,9.875,9.875,9.8125,2.726844,9.8125,99800
2000-08-22,9.875,9.875,9.8125,2.726844,9.8125,98800
2000-08-23,9.875,9.875,9.75,2.709475,9.75,64600
2000-08-24,9.8125,9.9375,9.8125,2.74421,9.875,87000
2000-08-25,9.9375,9.9375,9.8125,2.726844,9.8125,58800
2000-08-28,9.875,9.9375,9.8125,2.761579,9.9375,96800
2000-08-29,9.875,10.0,9.875,2.761579,9.9375,85300
2000-08-30,9.875,9.9375,9.875,2.761579,9.9375,52400
2000-08-31,9.9375,9.9375,9.875,2.74421,9.875,65300
2000-09-01,9.9375,10.0,9.875,2.761579,9.9375,87600
2000-09-05,9.9375,10.0,9.875,2.778947,10.0,138900
2000-09-06,10.0,10.0,9.875,2.778947,10.0,127800
2000-09-07,9.9375,10.0,9.875,2.778947,10.0,102300
2000-09-08,10.0,10.0,9.9375,2.778947,10.0,120800
2000-09-11,9.9375,10.0,9.875,2.761579,9.9375,102300
2000-09-12,10.0,10.0,9.875,2.761579,9.9375,89000
2000-09-13,9.9375,10.0,9.875,2.804345,10.0,100700
2000-09-14,9.9375,10.0,9.875,2.769292,9.875,72100
2000-09-15,9.9375,9.9375,9.875,2.769292,9.875,64300
2000-09-18,9.9375,10.0,9.875,2.786818,9.9375,30100
2000-09-19,9.9375,10.0,9.9375,2.804345,10.0,81200
2000-09-20,10.0,10.0,9.875,2.804345,10.0,55400
2000-09-21,9.9375,10.0,9.875,2.804345,10.0,110900
2000-09-22,9.9375,10.0,9.875,2.786818,9.9375,48600
2000-09-25,9.9375,10.0,9.875,2.786818,9.9375,81400
2000-09-26,9.875,10.0,9.875,2.786818,9.9375,153500
