Date,Open,High,Low,Close,Adj Close,Volume
2002-09-12,15.09,15.18,15.0,6.192401,15.07,77700
2002-09-13,15.2,15.4,15.1,6.328002,15.4,16600
2002-09-16,15.35,15.45,15.31,6.307457,15.35,22100
2002-09-17,15.36,15.6,15.28,6.299239,15.33,57500
2002-09-18,15.32,15.42,15.25,6.291024,15.31,33400
2002-09-19,15.33,15.59,15.33,6.311567,15.36,64800
2002-09-20,15.35,15.5,15.31,6.352661,15.46,44300
2002-09-23,15.5,15.5,15.26,6.32389,15.39,44900
2002-09-24,15.43,15.5,15.28,6.369095,15.5,55100
2002-09-25,15.5,15.57,15.33,6.307457,15.35,52200
2002-09-26,15.43,15.6,15.36,6.381421,15.53,45900
2002-09-27,15.53,15.6,15.45,6.389639,15.55,31400
2002-09-30,15.62,15.62,15.46,6.414295,15.61,29800
2002-10-01,15.63,15.64,15.4,6.328002,15.4,75600
2002-10-02,15.45,15.5,15.25,6.32389,15.39,90800
2002-10-03,15.4,15.47,15.4,6.352661,15.46,20300
2002-10-04,15.39,15.47,15.39,6.34444,15.44,36500
2002-10-07,15.44,15.62,15.4,6.418403,15.62,45600
2002-10-08,15.44,16.0,15.44,6.410183,15.6,66600
2002-10-09,15.52,15.62,15.21,6.315676,15.37,78400
2002-10-10,15.39,15.39,15.09,6.269423,15.18,41600
2002-10-11,15.19,15.35,15.15,6.339629,15.35,44200
2002-10-14,15.5,15.5,15.37,6.347887,15.37,22200
2002-10-15,15.42,15.42,15.01,6.236377,15.1,32400
2002-10-16,15.01,15.14,14.9,6.186818,14.98,61500
2002-10-17,14.9,14.95,14.7,6.083568,14.73,42600
2002-10-18,14.7,14.83,14.59,6.124867,14.83,62900
2002-10-21,14.83,14.83,14.66,6.062917,14.68,27500
2002-10-22,14.7,14.74,14.58,6.046397,14.64,39600
2002-10-23,14.56,14.56,14.08,5.868806,14.21,86000
2002-10-24,14.2,14.5,14.2,5.988578,14.5,41800
2002-10-25,14.41,14.53,14.41,5.988578,14.5,12600
2002-10-28,14.49,14.8,14.46,6.071179,14.7,35600
2002-10-29,14.73,14.75,14.61,6.087699,14.74,37600
2002-10-30,14.7,14.85,14.7,6.11661,14.81,9000
2002-10-31,14.89,14.98,14.87,6.178559,14.96,7000
2002-11-01,14.99,15.1,14.97,6.190947,14.99,22300
2002-11-04,15.0,15.0,14.83,6.149649,14.89,15800
2002-11-05,14.94,14.99,14.91,6.182691,14.97,18000
2002-11-06,14.95,15.0,14.9,6.174427,14.95,29800
2002-11-07,14.99,15.0,14.86,6.166163,14.93,47300
2002-11-08,14.87,14.96,14.85,6.178559,14.96,36700
2002-11-11,14.96,14.96,14.8,6.137259,14.86,12800
2002-11-12,14.87,14.88,14.84,6.137259,14.86,26900
2002-11-13,14.81,14.82,14.69,6.123973,14.75,25200
2002-11-14,14.7,14.86,14.63,6.140577,14.79,27500
2002-11-15,14.79,14.86,14.79,6.169644,14.86,12300
2002-11-18,14.85,14.97,14.79,6.15719,14.83,19800
2002-11-19,14.8,14.86,14.8,6.148882,14.81,14700
2002-11-20,14.81,14.88,14.8,6.177946,14.88,19200
2002-11-21,14.83,14.85,14.8,6.165491,14.85,22700
2002-11-22,14.87,14.87,14.44,6.061696,14.6,43100
2002-11-25,14.5,14.63,14.35,5.978658,14.4,36800
2002-11-26,14.48,14.48,14.37,5.982811,14.41,43500
2002-11-27,14.41,14.49,14.4,5.991115,14.43,20100
2002-11-29,14.55,14.59,14.55,6.05754,14.59,9600
2002-12-02,14.59,14.6,14.46,6.049235,14.57,24700
2002-12-03,14.65,14.8,14.6,6.144731,14.8,22200
2002-12-04,14.75,14.79,14.66,6.103211,14.7,77400
2002-12-05,14.74,14.77,14.68,6.123973,14.75,23500
