Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,12.75,12.875,12.75,5.221838,12.875,2800
2000-01-04,12.75,12.8125,12.6875,5.171138,12.75,10900
2000-01-05,12.8125,12.875,12.6875,5.145792,12.6875,10500
2000-01-06,12.75,12.75,12.6875,5.171138,12.75,9000
2000-01-07,12.75,12.75,12.75,5.171138,12.75,30000
2000-01-10,12.75,12.8125,12.6875,5.171138,12.75,5100
2000-01-11,12.875,12.875,12.75,5.196486,12.8125,13500
2000-01-12,12.75,12.8125,12.5625,5.121472,12.5625,11300
2000-01-13,12.5625,12.8125,12.5625,5.146955,12.625,17800
2000-01-14,12.625,12.6875,12.5,5.146955,12.625,12800
2000-01-18,12.5625,12.6875,12.5625,5.172434,12.6875,3200
2000-01-19,12.625,12.75,12.625,5.197915,12.75,9500
2000-01-20,12.625,12.75,12.625,5.172434,12.6875,4100
2000-01-21,12.625,12.8125,12.625,5.197915,12.75,10600
2000-01-24,12.75,12.875,12.75,5.248875,12.875,1800
2000-01-25,12.8125,12.875,12.75,5.248875,12.875,8000
2000-01-26,12.875,12.9375,12.8125,5.274354,12.9375,3600
2000-01-27,12.9375,13.0625,12.9375,5.325312,13.0625,8200
2000-01-28,13.0,13.0,13.0,5.299833,13.0,6200
2000-01-31,13.0625,13.0625,12.9375,5.299833,13.0,4700
2000-02-01,13.0625,13.0625,13.0,5.325312,13.0625,3200
2000-02-02,13.125,13.25,13.125,5.376273,13.1875,16100
2000-02-03,13.25,13.25,13.25,5.401756,13.25,2000
2000-02-04,13.5,13.5625,13.375,5.529151,13.5625,9400
2000-02-07,13.5,13.625,13.5,5.554633,13.625,7500
2000-02-08,13.4375,13.625,13.4375,5.554633,13.625,5400
2000-02-09,13.625,13.625,13.5,5.503674,13.5,7700
2000-02-10,13.625,13.6875,13.625,5.554633,13.625,7200
2000-02-11,13.5625,13.625,13.5,5.530463,13.5,2200
2000-02-14,13.5625,13.6875,13.5625,5.581671,13.625,9700
2000-02-15,13.5625,13.625,13.5625,5.581671,13.625,3700
2000-02-16,13.6875,13.75,13.625,5.632881,13.75,8900
2000-02-17,13.625,13.6875,13.5625,5.581671,13.625,8000
2000-02-18,13.625,13.6875,13.625,5.607276,13.6875,10800
2000-02-22,13.75,13.75,13.4375,5.50486,13.4375,22200
2000-02-23,13.5,13.5625,13.4375,5.50486,13.4375,3400
2000-02-24,13.375,13.375,13.375,5.479253,13.375,600
2000-02-25,13.375,13.4375,13.375,5.50486,13.4375,1100
2000-02-28,13.4375,13.5,13.375,5.50486,13.4375,6400
2000-02-29,13.5625,13.5625,13.4375,5.50486,13.4375,9300
2000-03-01,13.5625,13.5625,13.375,5.530463,13.5,12600
2000-03-02,13.4375,13.5,13.4375,5.530463,13.5,1300
2000-03-03,13.5,13.5,13.4375,5.530463,13.5,7300
