Date,Open,High,Low,Close,Adj Close,Volume
2002-09-12,14.52,14.85,14.52,6.266187,14.85,16100
2002-09-13,14.83,14.83,14.66,6.186013,14.66,3400
2002-09-16,14.78,14.78,14.78,6.236653,14.78,700
2002-09-17,14.75,14.75,14.67,6.19023,14.67,2000
2002-09-18,14.77,14.77,14.44,6.093182,14.44,11200
2002-09-19,14.54,14.88,14.54,6.181795,14.65,7400
2002-09-20,14.71,14.75,14.71,6.223992,14.75,3000
2002-09-23,14.61,14.67,14.5,6.19023,14.67,12100
2002-09-24,14.65,14.65,14.6,6.160699,14.6,9100
2002-09-25,14.6,14.6,14.5,6.118501,14.5,4200
2002-09-26,14.75,14.76,14.75,6.223992,14.75,6100
2002-09-27,14.57,14.82,14.57,6.253529,14.82,13900
2002-09-30,14.82,14.9,14.61,6.211334,14.72,12400
2002-10-01,14.74,14.87,14.5,6.194454,14.68,22800
2002-10-02,14.69,14.74,14.5,6.173357,14.63,24600
2002-10-03,14.64,14.71,14.57,6.207113,14.71,6200
2002-10-04,14.7,14.75,14.63,6.173357,14.63,4300
2002-10-07,14.73,14.75,14.63,6.173357,14.63,9600
2002-10-08,14.65,14.8,14.62,6.23243,14.77,5500
2002-10-09,14.62,14.62,14.41,6.139596,14.55,18600
2002-10-10,14.57,14.6,14.27,6.084898,14.35,12100
2002-10-11,14.42,14.5,14.35,6.148508,14.5,9300
2002-10-14,14.54,14.58,14.44,6.123061,14.44,5400
2002-10-15,14.4,14.4,14.22,6.063695,14.3,16000
2002-10-16,14.33,14.34,14.33,6.080656,14.34,1100
2002-10-17,14.21,14.3,13.85,5.936487,14.0,20300
2002-10-18,14.0,14.0,13.9,5.898322,13.91,8200
2002-10-21,13.99,13.99,13.75,5.834713,13.76,20200
2002-10-22,13.7,13.7,13.52,5.732949,13.52,14300
2002-10-23,13.64,13.65,13.5,5.724468,13.5,15200
2002-10-24,13.5,13.6,13.5,5.76687,13.6,10100
2002-10-25,13.6,13.6,13.6,5.76687,13.6,3600
2002-10-28,13.59,13.6,13.5,5.724468,13.5,5000
2002-10-29,13.6,13.75,13.6,5.830478,13.75,4700
2002-10-30,13.79,13.8,13.52,5.737187,13.53,12400
2002-10-31,13.65,13.9,13.65,5.788074,13.65,10700
2002-11-01,13.82,13.94,13.68,5.911043,13.94,12900
2002-11-04,13.79,14.0,13.72,5.898322,13.91,16600
2002-11-05,13.8,13.95,13.8,5.855915,13.81,5000
2002-11-06,13.8,13.9,13.6,5.783834,13.64,22200
2002-11-07,13.66,13.72,13.66,5.817752,13.72,2600
2002-11-08,13.79,13.83,13.66,5.796555,13.67,10400
2002-11-11,13.74,13.9,13.71,5.894083,13.9,17400
2002-11-12,13.91,14.15,13.91,5.983131,14.11,15200
2002-11-13,14.0,14.12,13.86,6.017647,14.12,11000
2002-11-14,14.09,14.09,13.86,6.000604,14.08,16400
2002-11-15,13.86,13.86,13.86,5.906846,13.86,2600
2002-11-18,13.82,13.82,13.78,5.872752,13.78,4900
2002-11-19,13.8,13.8,13.76,5.881273,13.8,3500
2002-11-20,13.72,13.72,13.52,5.761944,13.52,19700
2002-11-21,13.5,13.59,13.35,5.689493,13.35,13500
2002-11-22,13.47,13.47,13.25,5.663923,13.29,15500
2002-11-25,13.27,13.37,13.15,5.608518,13.16,24200
2002-11-26,13.26,13.39,13.25,5.706538,13.39,7200
