,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,14.75,2009-05-01T00:00:00,5/1/2009,2009-05-01,3.22,14.29,NYV,XNYVX
1,13.85,2009-05-15T00:00:00,5/15/2009,2009-05-15,-3.69,14.38,NYV,XNYVX
2,13.8,2009-05-29T00:00:00,5/29/2009,2009-05-29,-4.5,14.45,NYV,XNYVX
3,13.8,2009-06-05T00:00:00,6/5/2009,2009-06-05,-4.37,14.43,NYV,XNYVX
4,13.26,2009-06-12T00:00:00,6/12/2009,2009-06-12,-6.95,14.25,NYV,XNYVX
5,13.12,2009-06-19T00:00:00,6/19/2009,2009-06-19,-7.93,14.25,NYV,XNYVX
6,13.28,2009-06-26T00:00:00,6/26/2009,2009-06-26,-7.2,14.31,NYV,XNYVX
7,13.72,2009-07-10T00:00:00,7/10/2009,2009-07-10,-5.38,14.5,NYV,XNYVX
8,13.73,2009-07-17T00:00:00,7/17/2009,2009-07-17,-4.32,14.35,NYV,XNYVX
9,13.85,2009-07-24T00:00:00,7/24/2009,2009-07-24,-3.28,14.32,NYV,XNYVX
10,14.1,2009-07-31T00:00:00,7/31/2009,2009-07-31,-2.42,14.45,NYV,XNYVX
11,14.11,2009-08-07T00:00:00,8/7/2009,2009-08-07,-2.42,14.46,NYV,XNYVX
12,14.0,2009-08-14T00:00:00,8/14/2009,2009-08-14,-3.65,14.53,NYV,XNYVX
13,14.01,2009-08-21T00:00:00,8/21/2009,2009-08-21,-4.56,14.68,NYV,XNYVX
14,14.05,2009-08-28T00:00:00,8/28/2009,2009-08-28,-5.83,14.92,NYV,XNYVX
15,14.22,2009-09-04T00:00:00,9/4/2009,2009-09-04,-6.14,15.15,NYV,XNYVX
16,14.42,2009-09-11T00:00:00,9/11/2009,2009-09-11,-5.69,15.29,NYV,XNYVX
17,14.7,2009-09-18T00:00:00,9/18/2009,2009-09-18,-5.71,15.59,NYV,XNYVX
18,14.9,2009-09-25T00:00:00,9/25/2009,2009-09-25,-5.52,15.77,NYV,XNYVX
19,15.0,2009-10-02T00:00:00,10/2/2009,2009-10-02,-6.19,15.99,NYV,XNYVX
20,14.99,2009-10-09T00:00:00,10/9/2009,2009-10-09,-4.83,15.75,NYV,XNYVX
21,14.85,2009-10-16T00:00:00,10/16/2009,2009-10-16,-4.19,15.5,NYV,XNYVX
22,14.8,2009-10-23T00:00:00,10/23/2009,2009-10-23,-4.45,15.49,NYV,XNYVX
23,14.76,2009-10-30T00:00:00,10/30/2009,2009-10-30,-3.66,15.32,NYV,XNYVX
24,14.7,2009-11-06T00:00:00,11/6/2009,2009-11-06,-3.98,15.31,NYV,XNYVX
25,14.63,2009-11-13T00:00:00,11/13/2009,2009-11-13,-3.75,15.2,NYV,XNYVX
26,14.55,2009-11-20T00:00:00,11/20/2009,2009-11-20,-4.21,15.19,NYV,XNYVX
27,14.4,2009-11-27T00:00:00,11/27/2009,2009-11-27,-5.39,15.22,NYV,XNYVX
28,14.5,2009-12-04T00:00:00,12/4/2009,2009-12-04,-5.6,15.36,NYV,XNYVX
29,14.6,2009-12-11T00:00:00,12/11/2009,2009-12-11,-5.01,15.37,NYV,XNYVX
30,14.35,2009-12-18T00:00:00,12/18/2009,2009-12-18,-6.94,15.42,NYV,XNYVX
31,14.59,2010-01-08T00:00:00,1/8/2010,2010-01-08,-5.75,15.48,NYV,XNYVX
32,14.49,2010-01-15T00:00:00,1/15/2010,2010-01-15,-6.46,15.49,NYV,XNYVX
33,14.51,2010-01-22T00:00:00,1/22/2010,2010-01-22,-6.69,15.55,NYV,XNYVX
34,14.53,2010-01-29T00:00:00,1/29/2010,2010-01-29,-5.89,15.44,NYV,XNYVX
35,14.63,2010-02-05T00:00:00,2/5/2010,2010-02-05,-5.92,15.55,NYV,XNYVX
36,14.5,2010-02-12T00:00:00,2/12/2010,2010-02-12,-6.51,15.51,NYV,XNYVX
37,14.4,2010-02-19T00:00:00,2/19/2010,2010-02-19,-7.16,15.51,NYV,XNYVX
38,14.48,2010-02-26T00:00:00,2/26/2010,2010-02-26,-7.0,15.57,NYV,XNYVX
39,14.52,2010-03-05T00:00:00,3/5/2010,2010-03-05,-7.1,15.63,NYV,XNYVX
40,14.59,2010-03-12T00:00:00,3/12/2010,2010-03-12,-6.53,15.61,NYV,XNYVX
41,14.57,2010-03-19T00:00:00,3/19/2010,2010-03-19,-6.78,15.63,NYV,XNYVX
42,14.99,2010-03-26T00:00:00,3/26/2010,2010-03-26,-3.91,15.6,NYV,XNYVX
43,14.76,2010-04-09T00:00:00,4/9/2010,2010-04-09,-5.51,15.62,NYV,XNYVX
44,14.95,2010-04-16T00:00:00,4/16/2010,2010-04-16,-4.35,15.63,NYV,XNYVX
45,14.84,2010-04-23T00:00:00,4/23/2010,2010-04-23,-5.78,15.75,NYV,XNYVX
46,15.14,2010-04-30T00:00:00,4/30/2010,2010-04-30,-4.24,15.81,NYV,XNYVX
47,14.9,2010-05-07T00:00:00,5/7/2010,2010-05-07,-6.05,15.86,NYV,XNYVX
48,14.95,2010-05-14T00:00:00,5/14/2010,2010-05-14,-5.38,15.8,NYV,XNYVX
49,14.79,2010-05-21T00:00:00,5/21/2010,2010-05-21,-6.86,15.88,NYV,XNYVX
50,14.96,2010-05-28T00:00:00,5/28/2010,2010-05-28,-5.73,15.87,NYV,XNYVX
51,14.8,2010-06-04T00:00:00,6/4/2010,2010-06-04,-6.8,15.88,NYV,XNYVX
52,14.75,2010-06-11T00:00:00,6/11/2010,2010-06-11,-6.59,15.79,NYV,XNYVX
53,14.8,2010-06-18T00:00:00,6/18/2010,2010-06-18,-5.97,15.74,NYV,XNYVX
54,14.82,2010-06-25T00:00:00,6/25/2010,2010-06-25,-5.96,15.76,NYV,XNYVX
55,15.0,2010-07-02T00:00:00,7/2/2010,2010-07-02,-5.18,15.82,NYV,XNYVX
56,14.87,2010-07-09T00:00:00,7/9/2010,2010-07-09,-6.12,15.84,NYV,XNYVX
57,14.8,2010-07-16T00:00:00,7/16/2010,2010-07-16,-6.27,15.79,NYV,XNYVX
58,14.99,2010-07-23T00:00:00,7/23/2010,2010-07-23,-5.37,15.84,NYV,XNYVX
59,15.1,2010-07-30T00:00:00,7/30/2010,2010-07-30,-4.85,15.87,NYV,XNYVX
60,15.34,2010-08-06T00:00:00,8/6/2010,2010-08-06,-3.94,15.97,NYV,XNYVX
61,15.59,2010-08-13T00:00:00,8/13/2010,2010-08-13,-2.68,16.02,NYV,XNYVX
62,15.55,2010-08-20T00:00:00,8/20/2010,2010-08-20,-3.48,16.11,NYV,XNYVX
63,15.8,2010-08-27T00:00:00,8/27/2010,2010-08-27,-2.65,16.23,NYV,XNYVX
64,15.7,2010-09-03T00:00:00,9/3/2010,2010-09-03,-2.42,16.09,NYV,XNYVX
65,15.73,2010-09-10T00:00:00,9/10/2010,2010-09-10,-1.87,16.03,NYV,XNYVX
66,15.48,2010-09-17T00:00:00,9/17/2010,2010-09-17,-3.25,16.0,NYV,XNYVX
67,15.54,2010-09-24T00:00:00,9/24/2010,2010-09-24,-3.48,16.1,NYV,XNYVX
68,15.46,2010-10-01T00:00:00,10/1/2010,2010-10-01,-3.92,16.09,NYV,XNYVX
69,15.32,2010-10-08T00:00:00,10/8/2010,2010-10-08,-5.08,16.14,NYV,XNYVX
70,15.34,2010-10-15T00:00:00,10/15/2010,2010-10-15,-4.42,16.05,NYV,XNYVX
71,15.4,2010-10-22T00:00:00,10/22/2010,2010-10-22,-4.29,16.09,NYV,XNYVX
72,15.4,2010-10-29T00:00:00,10/29/2010,2010-10-29,-3.87,16.02,NYV,XNYVX
