,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.19,2003-05-02T00:00:00,5/2/2003,2003-05-02,5.78,14.36,PHK,XPHKX
1,15.13,2003-05-09T00:00:00,5/9/2003,2003-05-09,5.36,14.36,PHK,XPHKX
2,15.15,2003-05-16T00:00:00,5/16/2003,2003-05-16,5.21,14.4,PHK,XPHKX
3,15.17,2003-05-23T00:00:00,5/23/2003,2003-05-23,5.64,14.36,PHK,XPHKX
4,15.01,2003-05-30T00:00:00,5/30/2003,2003-05-30,4.02,14.43,PHK,XPHKX
5,15.02,2003-06-06T00:00:00,6/6/2003,2003-06-06,2.11,14.71,PHK,XPHKX
6,14.95,2003-06-20T00:00:00,6/20/2003,2003-06-20,1.15,14.78,PHK,XPHKX
7,14.83,2003-06-27T00:00:00,6/27/2003,2003-06-27,1.71,14.58,PHK,XPHKX
8,14.94,2003-07-11T00:00:00,7/11/2003,2003-07-11,3.03,14.5,PHK,XPHKX
9,14.65,2003-07-18T00:00:00,7/18/2003,2003-07-18,1.24,14.47,PHK,XPHKX
10,14.08,2003-07-25T00:00:00,7/25/2003,2003-07-25,-1.88,14.35,PHK,XPHKX
11,13.84,2003-08-01T00:00:00,8/1/2003,2003-08-01,0.58,13.76,PHK,XPHKX
12,13.83,2003-08-08T00:00:00,8/8/2003,2003-08-08,0.66,13.74,PHK,XPHKX
13,13.44,2003-08-15T00:00:00,8/15/2003,2003-08-15,0.07,13.43,PHK,XPHKX
14,13.67,2003-08-22T00:00:00,8/22/2003,2003-08-22,-2.57,14.03,PHK,XPHKX
15,13.77,2003-08-29T00:00:00,8/29/2003,2003-08-29,-3.91,14.33,PHK,XPHKX
16,14.17,2003-09-05T00:00:00,9/5/2003,2003-09-05,-2.14,14.48,PHK,XPHKX
17,14.02,2003-09-12T00:00:00,9/12/2003,2003-09-12,-3.18,14.48,PHK,XPHKX
18,14.03,2003-09-19T00:00:00,9/19/2003,2003-09-19,-4.43,14.68,PHK,XPHKX
19,13.99,2003-09-26T00:00:00,9/26/2003,2003-09-26,-4.64,14.67,PHK,XPHKX
20,14.37,2003-10-03T00:00:00,10/3/2003,2003-10-03,-2.91,14.8,PHK,XPHKX
21,14.26,2003-10-10T00:00:00,10/10/2003,2003-10-10,-3.97,14.85,PHK,XPHKX
22,14.18,2003-10-17T00:00:00,10/17/2003,2003-10-17,-5.21,14.96,PHK,XPHKX
23,14.34,2003-10-24T00:00:00,10/24/2003,2003-10-24,-3.95,14.93,PHK,XPHKX
24,14.49,2003-10-31T00:00:00,10/31/2003,2003-10-31,-3.91,15.08,PHK,XPHKX
25,14.63,2003-11-07T00:00:00,11/7/2003,2003-11-07,-2.92,15.07,PHK,XPHKX
26,14.44,2003-11-14T00:00:00,11/14/2003,2003-11-14,-4.69,15.15,PHK,XPHKX
27,14.39,2003-11-21T00:00:00,11/21/2003,2003-11-21,-5.2,15.18,PHK,XPHKX
28,14.48,2003-11-28T00:00:00,11/28/2003,2003-11-28,-4.74,15.2,PHK,XPHKX
29,14.72,2003-12-05T00:00:00,12/5/2003,2003-12-05,-4.85,15.47,PHK,XPHKX
30,14.71,2003-12-12T00:00:00,12/12/2003,2003-12-12,-4.79,15.45,PHK,XPHKX
31,14.75,2003-12-19T00:00:00,12/19/2003,2003-12-19,-5.21,15.56,PHK,XPHKX
32,14.95,2003-12-26T00:00:00,12/26/2003,2003-12-26,-4.47,15.65,PHK,XPHKX
33,15.03,2004-01-02T00:00:00,1/2/2004,2004-01-02,-4.57,15.75,PHK,XPHKX
34,15.24,2004-01-09T00:00:00,1/9/2004,2004-01-09,-5.63,16.15,PHK,XPHKX
35,15.28,2004-01-16T00:00:00,1/16/2004,2004-01-16,-4.92,16.07,PHK,XPHKX
36,15.21,2004-01-23T00:00:00,1/23/2004,2004-01-23,-5.88,16.16,PHK,XPHKX
37,15.03,2004-01-30T00:00:00,1/30/2004,2004-01-30,-4.87,15.8,PHK,XPHKX
38,15.03,2004-02-06T00:00:00,2/6/2004,2004-02-06,-3.59,15.59,PHK,XPHKX
39,14.88,2004-02-13T00:00:00,2/13/2004,2004-02-13,-4.86,15.64,PHK,XPHKX
40,14.58,2004-02-20T00:00:00,2/20/2004,2004-02-20,-6.18,15.54,PHK,XPHKX
41,14.73,2004-02-27T00:00:00,2/27/2004,2004-02-27,-5.09,15.52,PHK,XPHKX
42,14.84,2004-03-05T00:00:00,3/5/2004,2004-03-05,-6.14,15.81,PHK,XPHKX
43,14.7,2004-03-12T00:00:00,3/12/2004,2004-03-12,-4.61,15.41,PHK,XPHKX
44,14.63,2004-03-19T00:00:00,3/19/2004,2004-03-19,-5.12,15.42,PHK,XPHKX
45,14.72,2004-03-26T00:00:00,3/26/2004,2004-03-26,-4.29,15.38,PHK,XPHKX
46,14.72,2004-04-02T00:00:00,4/2/2004,2004-04-02,-4.66,15.44,PHK,XPHKX
47,14.18,2004-04-16T00:00:00,4/16/2004,2004-04-16,-7.2,15.28,PHK,XPHKX
48,13.94,2004-04-23T00:00:00,4/23/2004,2004-04-23,-8.59,15.25,PHK,XPHKX
49,13.73,2004-04-30T00:00:00,4/30/2004,2004-04-30,-8.95,15.08,PHK,XPHKX
50,13.34,2004-05-07T00:00:00,5/7/2004,2004-05-07,-9.25,14.7,PHK,XPHKX
51,13.15,2004-05-14T00:00:00,5/14/2004,2004-05-14,-7.52,14.22,PHK,XPHKX
52,13.32,2004-05-21T00:00:00,5/21/2004,2004-05-21,-7.69,14.43,PHK,XPHKX
53,13.8,2004-05-28T00:00:00,5/28/2004,2004-05-28,-5.61,14.62,PHK,XPHKX
54,13.74,2004-06-04T00:00:00,6/4/2004,2004-06-04,-5.89,14.6,PHK,XPHKX
55,13.35,2004-06-18T00:00:00,6/18/2004,2004-06-18,-9.0,14.67,PHK,XPHKX
56,13.66,2004-06-25T00:00:00,6/25/2004,2004-06-25,-7.64,14.79,PHK,XPHKX
57,13.99,2004-07-02T00:00:00,7/2/2004,2004-07-02,-6.48,14.96,PHK,XPHKX
58,14.08,2004-07-09T00:00:00,7/9/2004,2004-07-09,-6.38,15.04,PHK,XPHKX
59,14.12,2004-07-16T00:00:00,7/16/2004,2004-07-16,-6.43,15.09,PHK,XPHKX
60,14.01,2004-07-23T00:00:00,7/23/2004,2004-07-23,-6.85,15.04,PHK,XPHKX
61,14.15,2004-07-30T00:00:00,7/30/2004,2004-07-30,-5.67,15.0,PHK,XPHKX
62,14.37,2004-08-06T00:00:00,8/6/2004,2004-08-06,-5.15,15.15,PHK,XPHKX
63,14.27,2004-08-13T00:00:00,8/13/2004,2004-08-13,-5.12,15.04,PHK,XPHKX
64,14.3,2004-08-20T00:00:00,8/20/2004,2004-08-20,-5.8,15.18,PHK,XPHKX
65,14.45,2004-08-27T00:00:00,8/27/2004,2004-08-27,-5.49,15.29,PHK,XPHKX
66,14.71,2004-09-03T00:00:00,9/3/2004,2004-09-03,-4.17,15.35,PHK,XPHKX
67,14.75,2004-09-10T00:00:00,9/10/2004,2004-09-10,-4.1,15.38,PHK,XPHKX
68,14.69,2004-09-17T00:00:00,9/17/2004,2004-09-17,-5.29,15.51,PHK,XPHKX
69,14.79,2004-09-24T00:00:00,9/24/2004,2004-09-24,-4.83,15.54,PHK,XPHKX
70,14.77,2004-10-01T00:00:00,10/1/2004,2004-10-01,-5.26,15.59,PHK,XPHKX
71,14.94,2004-10-08T00:00:00,10/8/2004,2004-10-08,-5.26,15.77,PHK,XPHKX
72,14.94,2004-10-15T00:00:00,10/15/2004,2004-10-15,-4.9,15.71,PHK,XPHKX
73,14.9,2004-10-22T00:00:00,10/22/2004,2004-10-22,-5.28,15.73,PHK,XPHKX
74,15.03,2004-10-29T00:00:00,10/29/2004,2004-10-29,-5.77,15.95,PHK,XPHKX
75,14.89,2004-11-05T00:00:00,11/5/2004,2004-11-05,-7.86,16.16,PHK,XPHKX
76,14.98,2004-11-12T00:00:00,11/12/2004,2004-11-12,-6.43,16.01,PHK,XPHKX
77,14.97,2004-11-19T00:00:00,11/19/2004,2004-11-19,-6.9,16.08,PHK,XPHKX
78,15.08,2004-11-26T00:00:00,11/26/2004,2004-11-26,-6.39,16.11,PHK,XPHKX
79,15.03,2004-12-03T00:00:00,12/3/2004,2004-12-03,-6.47,16.07,PHK,XPHKX
80,15.15,2004-12-10T00:00:00,12/10/2004,2004-12-10,-6.42,16.19,PHK,XPHKX
81,15.04,2004-12-17T00:00:00,12/17/2004,2004-12-17,-6.76,16.13,PHK,XPHKX
82,14.98,2005-01-07T00:00:00,1/7/2005,2005-01-07,-4.46,15.68,PHK,XPHKX
83,14.74,2005-01-14T00:00:00,1/14/2005,2005-01-14,-4.84,15.49,PHK,XPHKX
84,14.64,2005-01-21T00:00:00,1/21/2005,2005-01-21,-5.37,15.47,PHK,XPHKX
85,14.72,2005-01-28T00:00:00,1/28/2005,2005-01-28,-5.64,15.6,PHK,XPHKX
86,15.05,2005-02-04T00:00:00,2/4/2005,2005-02-04,-4.75,15.8,PHK,XPHKX
87,14.96,2005-02-11T00:00:00,2/11/2005,2005-02-11,-4.96,15.74,PHK,XPHKX
88,14.57,2005-02-18T00:00:00,2/18/2005,2005-02-18,-7.73,15.79,PHK,XPHKX
89,14.79,2005-02-25T00:00:00,2/25/2005,2005-02-25,-6.45,15.81,PHK,XPHKX
90,14.88,2005-03-04T00:00:00,3/4/2005,2005-03-04,-5.94,15.82,PHK,XPHKX
91,14.44,2005-03-11T00:00:00,3/11/2005,2005-03-11,-7.55,15.62,PHK,XPHKX
92,13.97,2005-03-18T00:00:00,3/18/2005,2005-03-18,-9.46,15.43,PHK,XPHKX
93,14.09,2005-04-01T00:00:00,4/1/2005,2005-04-01,-6.32,15.04,PHK,XPHKX
94,14.12,2005-04-08T00:00:00,4/8/2005,2005-04-08,-6.98,15.18,PHK,XPHKX
95,13.58,2005-04-15T00:00:00,4/15/2005,2005-04-15,-8.37,14.82,PHK,XPHKX
96,13.82,2005-04-22T00:00:00,4/22/2005,2005-04-22,-7.43,14.93,PHK,XPHKX
97,13.73,2005-04-29T00:00:00,4/29/2005,2005-04-29,-6.47,14.68,PHK,XPHKX
98,13.86,2005-05-06T00:00:00,5/6/2005,2005-05-06,-6.41,14.81,PHK,XPHKX
99,13.85,2005-05-13T00:00:00,5/13/2005,2005-05-13,-4.88,14.56,PHK,XPHKX
100,13.96,2005-05-20T00:00:00,5/20/2005,2005-05-20,-4.77,14.66,PHK,XPHKX
101,14.22,2005-05-27T00:00:00,5/27/2005,2005-05-27,-5.39,15.03,PHK,XPHKX
102,14.67,2005-06-03T00:00:00,6/3/2005,2005-06-03,-4.43,15.35,PHK,XPHKX
103,14.49,2005-06-10T00:00:00,6/10/2005,2005-06-10,-4.1,15.11,PHK,XPHKX
104,14.64,2005-06-17T00:00:00,6/17/2005,2005-06-17,-3.56,15.18,PHK,XPHKX
105,14.68,2005-06-24T00:00:00,6/24/2005,2005-06-24,-3.61,15.23,PHK,XPHKX
106,14.85,2005-07-01T00:00:00,7/1/2005,2005-07-01,-3.19,15.34,PHK,XPHKX
107,14.94,2005-07-08T00:00:00,7/8/2005,2005-07-08,-2.73,15.36,PHK,XPHKX
108,14.95,2005-07-15T00:00:00,7/15/2005,2005-07-15,-2.99,15.41,PHK,XPHKX
109,15.0,2005-07-22T00:00:00,7/22/2005,2005-07-22,-2.59,15.4,PHK,XPHKX
110,14.94,2005-07-29T00:00:00,7/29/2005,2005-07-29,-3.44,15.47,PHK,XPHKX
111,14.98,2005-08-05T00:00:00,8/5/2005,2005-08-05,-2.61,15.38,PHK,XPHKX
112,14.89,2005-08-12T00:00:00,8/12/2005,2005-08-12,-2.71,15.3,PHK,XPHKX
113,15.0,2005-08-19T00:00:00,8/19/2005,2005-08-19,-2.34,15.36,PHK,XPHKX
114,14.97,2005-08-26T00:00:00,8/26/2005,2005-08-26,-3.03,15.44,PHK,XPHKX
115,15.11,2005-09-02T00:00:00,9/2/2005,2005-09-02,-1.88,15.4,PHK,XPHKX
116,15.2,2005-09-09T00:00:00,9/9/2005,2005-09-09,-1.51,15.43,PHK,XPHKX
117,14.96,2005-09-16T00:00:00,9/16/2005,2005-09-16,-1.77,15.23,PHK,XPHKX
