,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,8.13,1994-01-07T00:00:00,1/7/1994,1994-01-07,-10.17,9.05,PIM,XPIMX
1,8.38,1994-01-14T00:00:00,1/14/1994,1994-01-14,-6.89,9.0,PIM,XPIMX
2,8.25,1994-01-21T00:00:00,1/21/1994,1994-01-21,-8.74,9.04,PIM,XPIMX
3,8.25,1994-01-28T00:00:00,1/28/1994,1994-01-28,-9.04,9.07,PIM,XPIMX
4,8.25,1994-02-04T00:00:00,2/4/1994,1994-02-04,-8.74,9.04,PIM,XPIMX
5,8.25,1994-02-11T00:00:00,2/11/1994,1994-02-11,-8.74,9.04,PIM,XPIMX
6,8.13,1994-02-18T00:00:00,2/18/1994,1994-02-18,-9.26,8.96,PIM,XPIMX
7,8.0,1994-02-25T00:00:00,2/25/1994,1994-02-25,-10.21,8.91,PIM,XPIMX
8,8.0,1994-03-04T00:00:00,3/4/1994,1994-03-04,-9.3,8.82,PIM,XPIMX
9,8.0,1994-03-11T00:00:00,3/11/1994,1994-03-11,-9.4,8.83,PIM,XPIMX
10,7.88,1994-03-18T00:00:00,3/18/1994,1994-03-18,-10.15,8.77,PIM,XPIMX
11,7.88,1994-03-25T00:00:00,3/25/1994,1994-03-25,-9.84,8.74,PIM,XPIMX
12,7.75,1994-04-01T00:00:00,4/1/1994,1994-04-01,-10.4,8.65,PIM,XPIMX
13,7.75,1994-04-08T00:00:00,4/8/1994,1994-04-08,-9.36,8.55,PIM,XPIMX
14,7.75,1994-04-15T00:00:00,4/15/1994,1994-04-15,-8.82,8.5,PIM,XPIMX
15,7.63,1994-04-22T00:00:00,4/22/1994,1994-04-22,-9.7,8.45,PIM,XPIMX
16,7.88,1994-04-29T00:00:00,4/29/1994,1994-04-29,-7.08,8.48,PIM,XPIMX
17,7.75,1994-05-06T00:00:00,5/6/1994,1994-05-06,-8.61,8.48,PIM,XPIMX
18,7.63,1994-05-13T00:00:00,5/13/1994,1994-05-13,-9.6,8.44,PIM,XPIMX
19,7.63,1994-05-20T00:00:00,5/20/1994,1994-05-20,-9.49,8.43,PIM,XPIMX
20,7.63,1994-05-27T00:00:00,5/27/1994,1994-05-27,-9.06,8.39,PIM,XPIMX
