,Data,DataDate,DataDateDisplay,DataDateJs,DiscountData,NAVData,TICKER,NAVTicker
0,15.0,2001-06-29T00:00:00,6/29/2001,2001-06-29,4.71,14.33,PMF,XPMFX
1,15.0,2001-07-06T00:00:00,7/6/2001,2001-07-06,4.75,14.32,PMF,XPMFX
2,15.04,2001-07-13T00:00:00,7/13/2001,2001-07-13,4.3,14.42,PMF,XPMFX
3,15.01,2001-07-20T00:00:00,7/20/2001,2001-07-20,3.02,14.57,PMF,XPMFX
4,15.05,2001-07-27T00:00:00,7/27/2001,2001-07-27,3.15,14.59,PMF,XPMFX
5,15.15,2001-08-03T00:00:00,8/3/2001,2001-08-03,3.13,14.69,PMF,XPMFX
6,15.16,2001-08-10T00:00:00,8/10/2001,2001-08-10,2.29,14.82,PMF,XPMFX
7,15.58,2001-08-17T00:00:00,8/17/2001,2001-08-17,4.07,14.97,PMF,XPMFX
8,15.34,2001-08-24T00:00:00,8/24/2001,2001-08-24,3.37,14.84,PMF,XPMFX
9,15.08,2001-08-31T00:00:00,8/31/2001,2001-08-31,0.6,14.99,PMF,XPMFX
10,14.4,2001-09-21T00:00:00,9/21/2001,2001-09-21,-0.55,14.48,PMF,XPMFX
11,14.98,2001-09-28T00:00:00,9/28/2001,2001-09-28,2.81,14.57,PMF,XPMFX
12,15.05,2001-10-05T00:00:00,10/5/2001,2001-10-05,1.21,14.87,PMF,XPMFX
13,14.96,2001-10-12T00:00:00,10/12/2001,2001-10-12,2.12,14.65,PMF,XPMFX
14,14.88,2001-10-19T00:00:00,10/19/2001,2001-10-19,1.29,14.69,PMF,XPMFX
15,14.84,2001-10-26T00:00:00,10/26/2001,2001-10-26,1.37,14.64,PMF,XPMFX
16,14.95,2001-11-02T00:00:00,11/2/2001,2001-11-02,0.2,14.92,PMF,XPMFX
17,14.93,2001-11-09T00:00:00,11/9/2001,2001-11-09,-0.99,15.08,PMF,XPMFX
18,14.93,2001-11-16T00:00:00,11/16/2001,2001-11-16,2.68,14.54,PMF,XPMFX
19,14.9,2001-11-23T00:00:00,11/23/2001,2001-11-23,3.69,14.37,PMF,XPMFX
20,15.0,2001-11-30T00:00:00,11/30/2001,2001-11-30,3.81,14.45,PMF,XPMFX
21,14.75,2001-12-07T00:00:00,12/7/2001,2001-12-07,5.51,13.98,PMF,XPMFX
22,14.99,2001-12-14T00:00:00,12/14/2001,2001-12-14,7.69,13.92,PMF,XPMFX
23,14.2,2001-12-21T00:00:00,12/21/2001,2001-12-21,1.72,13.96,PMF,XPMFX
24,13.87,2001-12-28T00:00:00,12/28/2001,2001-12-28,-0.72,13.97,PMF,XPMFX
25,14.6,2002-01-04T00:00:00,1/4/2002,2002-01-04,3.91,14.05,PMF,XPMFX
26,14.48,2002-01-11T00:00:00,1/11/2002,2002-01-11,0.7,14.38,PMF,XPMFX
27,14.72,2002-01-18T00:00:00,1/18/2002,2002-01-18,1.94,14.44,PMF,XPMFX
28,14.67,2002-01-25T00:00:00,1/25/2002,2002-01-25,3.09,14.23,PMF,XPMFX
29,14.86,2002-02-01T00:00:00,2/1/2002,2002-02-01,3.77,14.32,PMF,XPMFX
30,14.95,2002-02-08T00:00:00,2/8/2002,2002-02-08,3.75,14.41,PMF,XPMFX
31,14.96,2002-02-15T00:00:00,2/15/2002,2002-02-15,4.25,14.35,PMF,XPMFX
32,14.83,2002-02-22T00:00:00,2/22/2002,2002-02-22,2.06,14.53,PMF,XPMFX
33,14.92,2002-03-01T00:00:00,3/1/2002,2002-03-01,3.04,14.48,PMF,XPMFX
34,14.7,2002-03-08T00:00:00,3/8/2002,2002-03-08,4.33,14.09,PMF,XPMFX
35,14.76,2002-03-15T00:00:00,3/15/2002,2002-03-15,5.65,13.97,PMF,XPMFX
36,14.44,2002-03-22T00:00:00,3/22/2002,2002-03-22,3.96,13.89,PMF,XPMFX
37,14.3,2002-03-29T00:00:00,3/29/2002,2002-03-29,2.8,13.91,PMF,XPMFX
38,14.47,2002-04-05T00:00:00,4/5/2002,2002-04-05,2.62,14.1,PMF,XPMFX
39,14.45,2002-04-12T00:00:00,4/12/2002,2002-04-12,1.76,14.2,PMF,XPMFX
40,14.28,2002-04-19T00:00:00,4/19/2002,2002-04-19,1.56,14.06,PMF,XPMFX
41,14.6,2002-04-26T00:00:00,4/26/2002,2002-04-26,2.67,14.22,PMF,XPMFX
42,14.6,2002-05-03T00:00:00,5/3/2002,2002-05-03,2.17,14.29,PMF,XPMFX
43,14.63,2002-05-10T00:00:00,5/10/2002,2002-05-10,3.54,14.13,PMF,XPMFX
44,14.64,2002-05-17T00:00:00,5/17/2002,2002-05-17,4.8,13.97,PMF,XPMFX
45,14.65,2002-05-24T00:00:00,5/24/2002,2002-05-24,3.39,14.17,PMF,XPMFX
46,14.79,2002-05-31T00:00:00,5/31/2002,2002-05-31,3.5,14.29,PMF,XPMFX
47,14.88,2002-06-07T00:00:00,6/7/2002,2002-06-07,3.62,14.36,PMF,XPMFX
48,14.85,2002-06-14T00:00:00,6/14/2002,2002-06-14,2.84,14.44,PMF,XPMFX
49,14.8,2002-06-21T00:00:00,6/21/2002,2002-06-21,2.42,14.45,PMF,XPMFX
50,14.75,2002-06-28T00:00:00,6/28/2002,2002-06-28,2.29,14.42,PMF,XPMFX
51,14.95,2002-07-05T00:00:00,7/5/2002,2002-07-05,3.17,14.49,PMF,XPMFX
52,14.98,2002-07-12T00:00:00,7/12/2002,2002-07-12,3.45,14.48,PMF,XPMFX
53,15.1,2002-07-19T00:00:00,7/19/2002,2002-07-19,3.64,14.57,PMF,XPMFX
54,14.94,2002-07-26T00:00:00,7/26/2002,2002-07-26,1.91,14.66,PMF,XPMFX
55,15.02,2002-08-02T00:00:00,8/2/2002,2002-08-02,3.3,14.54,PMF,XPMFX
56,15.06,2002-08-09T00:00:00,8/9/2002,2002-08-09,3.58,14.54,PMF,XPMFX
57,15.05,2002-08-16T00:00:00,8/16/2002,2002-08-16,3.79,14.5,PMF,XPMFX
58,14.92,2002-08-23T00:00:00,8/23/2002,2002-08-23,3.4,14.43,PMF,XPMFX
59,14.96,2002-08-30T00:00:00,8/30/2002,2002-08-30,3.1,14.51,PMF,XPMFX
60,15.04,2002-09-06T00:00:00,9/6/2002,2002-09-06,2.04,14.74,PMF,XPMFX
61,15.0,2002-09-13T00:00:00,9/13/2002,2002-09-13,2.18,14.68,PMF,XPMFX
62,15.0,2002-09-20T00:00:00,9/20/2002,2002-09-20,1.15,14.83,PMF,XPMFX
63,15.11,2002-09-27T00:00:00,9/27/2002,2002-09-27,1.89,14.83,PMF,XPMFX
64,15.11,2002-10-04T00:00:00,10/4/2002,2002-10-04,1.34,14.91,PMF,XPMFX
65,14.99,2002-10-11T00:00:00,10/11/2002,2002-10-11,1.63,14.75,PMF,XPMFX
66,14.69,2002-10-18T00:00:00,10/18/2002,2002-10-18,3.6,14.18,PMF,XPMFX
67,14.14,2002-10-25T00:00:00,10/25/2002,2002-10-25,0.28,14.1,PMF,XPMFX
68,14.79,2002-11-01T00:00:00,11/1/2002,2002-11-01,3.79,14.25,PMF,XPMFX
69,14.72,2002-11-08T00:00:00,11/8/2002,2002-11-08,1.87,14.45,PMF,XPMFX
70,14.5,2002-11-15T00:00:00,11/15/2002,2002-11-15,1.47,14.29,PMF,XPMFX
71,14.22,2002-11-22T00:00:00,11/22/2002,2002-11-22,0.42,14.16,PMF,XPMFX
72,14.18,2002-11-29T00:00:00,11/29/2002,2002-11-29,0.35,14.13,PMF,XPMFX
73,14.21,2002-12-06T00:00:00,12/6/2002,2002-12-06,-0.56,14.29,PMF,XPMFX
74,14.25,2002-12-13T00:00:00,12/13/2002,2002-12-13,-0.14,14.27,PMF,XPMFX
75,14.33,2002-12-20T00:00:00,12/20/2002,2002-12-20,-0.14,14.35,PMF,XPMFX
76,14.23,2002-12-27T00:00:00,12/27/2002,2002-12-27,-0.84,14.35,PMF,XPMFX
77,14.45,2003-01-03T00:00:00,1/3/2003,2003-01-03,0.49,14.38,PMF,XPMFX
78,14.28,2003-01-10T00:00:00,1/10/2003,2003-01-10,-0.08,14.29,PMF,XPMFX
79,14.4,2003-01-17T00:00:00,1/17/2003,2003-01-17,1.52,14.18,PMF,XPMFX
80,14.22,2003-01-24T00:00:00,1/24/2003,2003-01-24,-0.27,14.26,PMF,XPMFX
81,14.25,2003-01-31T00:00:00,1/31/2003,2003-01-31,0.08,14.24,PMF,XPMFX
82,14.49,2003-02-07T00:00:00,2/7/2003,2003-02-07,1.71,14.25,PMF,XPMFX
83,14.25,2003-02-14T00:00:00,2/14/2003,2003-02-14,-0.27,14.29,PMF,XPMFX
84,14.35,2003-02-21T00:00:00,2/21/2003,2003-02-21,0.17,14.33,PMF,XPMFX
85,14.3,2003-02-28T00:00:00,2/28/2003,2003-02-28,-0.36,14.35,PMF,XPMFX
86,14.48,2003-03-07T00:00:00,3/7/2003,2003-03-07,0.22,14.45,PMF,XPMFX
87,14.56,2003-03-14T00:00:00,3/14/2003,2003-03-14,0.96,14.42,PMF,XPMFX
88,14.13,2003-03-21T00:00:00,3/21/2003,2003-03-21,-0.26,14.17,PMF,XPMFX
89,14.45,2003-03-28T00:00:00,3/28/2003,2003-03-28,1.62,14.22,PMF,XPMFX
90,14.33,2003-04-04T00:00:00,4/4/2003,2003-04-04,4.07,13.77,PMF,XPMFX
91,14.18,2003-04-11T00:00:00,4/11/2003,2003-04-11,3.06,13.76,PMF,XPMFX
92,14.21,2003-04-25T00:00:00,4/25/2003,2003-04-25,1.39,14.02,PMF,XPMFX
93,14.28,2003-05-02T00:00:00,5/2/2003,2003-05-02,1.46,14.08,PMF,XPMFX
94,14.42,2003-05-09T00:00:00,5/9/2003,2003-05-09,1.39,14.22,PMF,XPMFX
95,14.57,2003-05-16T00:00:00,5/16/2003,2003-05-16,2.15,14.26,PMF,XPMFX
96,14.73,2003-05-23T00:00:00,5/23/2003,2003-05-23,1.85,14.46,PMF,XPMFX
97,14.75,2003-05-30T00:00:00,5/30/2003,2003-05-30,2.22,14.43,PMF,XPMFX
98,14.81,2003-06-06T00:00:00,6/6/2003,2003-06-06,2.45,14.46,PMF,XPMFX
99,14.9,2003-06-13T00:00:00,6/13/2003,2003-06-13,2.57,14.53,PMF,XPMFX
100,14.74,2003-06-20T00:00:00,6/20/2003,2003-06-20,3.0,14.31,PMF,XPMFX
101,14.89,2003-06-27T00:00:00,6/27/2003,2003-06-27,4.51,14.25,PMF,XPMFX
102,14.8,2003-07-11T00:00:00,7/11/2003,2003-07-11,4.89,14.11,PMF,XPMFX
103,14.32,2003-07-18T00:00:00,7/18/2003,2003-07-18,2.99,13.9,PMF,XPMFX
104,14.06,2003-07-25T00:00:00,7/25/2003,2003-07-25,2.33,13.74,PMF,XPMFX
