,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,,0.0003,6/23/2017,7/20/2017,0.0334,8/1/2017,,0.0337,PMM
1,,,5/19/2017,6/21/2017,0.0337,7/3/2017,,0.0337,PMM
2,,,5/10/2017,5/22/2017,0.0337,6/1/2017,,0.0337,PMM
3,,0.0003,4/12/2017,4/20/2017,0.0334,5/1/2017,,0.0337,PMM
4,,,1/27/2017,2/21/2017,0.0337,3/1/2017,,0.0337,PMM
5,,,1/27/2017,3/22/2017,0.0337,4/3/2017,,0.0337,PMM
6,,,11/18/2016,12/21/2016,0.0337,1/3/2017,,0.0337,PMM
7,,,11/18/2016,1/20/2017,0.0337,2/1/2017,,0.0337,PMM
8,,,10/21/2016,11/21/2016,0.0337,12/1/2016,,0.0337,PMM
9,,,9/16/2016,10/20/2016,0.0363,11/1/2016,,0.0363,PMM
10,,,8/8/2016,8/22/2016,0.0363,9/1/2016,,0.0363,PMM
11,,,8/8/2016,9/21/2016,0.0363,10/3/2016,,0.0363,PMM
12,,,6/24/2016,7/20/2016,0.0363,8/1/2016,,0.0363,PMM
13,,,5/20/2016,6/22/2016,0.0363,7/1/2016,,0.0363,PMM
14,,,3/18/2016,4/20/2016,0.0363,5/2/2016,,0.0363,PMM
15,,,3/18/2016,5/20/2016,0.0363,6/1/2016,,0.0363,PMM
16,,,1/29/2016,2/22/2016,0.0363,3/1/2016,,0.0363,PMM
17,,,1/29/2016,3/22/2016,0.0363,4/1/2016,,0.0363,PMM
18,,,11/20/2015,12/22/2015,0.0363,1/4/2016,,0.0363,PMM
19,,,11/20/2015,1/20/2016,0.0363,2/1/2016,,0.0363,PMM
20,,,10/16/2015,11/20/2015,0.0363,12/1/2015,,0.0363,PMM
21,,,9/18/2015,10/21/2015,0.0363,11/2/2015,,0.0363,PMM
22,,,9/9/2015,9/22/2015,0.0363,10/1/2015,,0.0363,PMM
23,,,8/6/2015,8/20/2015,0.0363,9/1/2015,,0.0363,PMM
24,,,6/19/2015,7/22/2015,0.0363,8/3/2015,,0.0363,PMM
25,,,5/22/2015,6/22/2015,0.0363,7/1/2015,,0.0363,PMM
26,,,3/20/2015,4/22/2015,0.0363,5/1/2015,,0.0363,PMM
27,,,3/20/2015,5/20/2015,0.0363,6/1/2015,,0.0363,PMM
28,,,1/23/2015,2/20/2015,0.0363,3/2/2015,,0.0363,PMM
29,,,1/23/2015,3/20/2015,0.0363,4/1/2015,,0.0363,PMM
30,,,11/14/2014,1/21/2015,0.0363,2/2/2015,,0.0363,PMM
31,,,11/14/2014,12/19/2014,0.0363,1/2/2015,,0.0363,PMM
32,,,10/17/2014,11/20/2014,0.0363,12/1/2014,,0.0363,PMM
33,,,9/19/2014,10/22/2014,0.0363,11/3/2014,,0.0363,PMM
34,,,8/5/2014,8/20/2014,0.0363,9/2/2014,,0.0363,PMM
35,,,8/5/2014,9/22/2014,0.0363,10/1/2014,,0.0363,PMM
36,,,6/20/2014,7/22/2014,0.0363,8/1/2014,,0.0363,PMM
37,,,5/16/2014,6/20/2014,0.0389,7/1/2014,,0.0389,PMM
38,,,3/21/2014,4/22/2014,0.0389,5/1/2014,,0.0389,PMM
39,,,3/21/2014,5/21/2014,0.0389,6/2/2014,,0.0389,PMM
40,,,1/24/2014,2/20/2014,0.0389,3/3/2014,,0.0389,PMM
41,,,1/24/2014,3/20/2014,0.0389,4/1/2014,,0.0389,PMM
42,,,11/22/2013,12/19/2013,0.0389,1/2/2014,,0.0389,PMM
43,,,11/22/2013,1/22/2014,0.0389,2/3/2014,,0.0389,PMM
44,,,9/20/2013,11/20/2013,0.0389,12/2/2013,,0.0389,PMM
45,,,9/20/2013,10/22/2013,0.0389,11/1/2013,,0.0389,PMM
46,,,8/9/2013,9/20/2013,0.0389,10/1/2013,,0.0389,PMM
47,,,8/9/2013,8/21/2013,0.0389,9/3/2013,,0.0389,PMM
48,,0.0006,6/21/2013,7/22/2013,0.0383,8/1/2013,,0.0389,PMM
49,,0.0006,5/17/2013,6/20/2013,0.0383,7/1/2013,,0.0389,PMM
50,,0.0006,3/22/2013,4/22/2013,0.0383,5/1/2013,,0.0389,PMM
51,,0.0006,3/22/2013,5/22/2013,0.0383,6/3/2013,,0.0389,PMM
52,,0.0006,2/22/2013,3/20/2013,0.0383,4/1/2013,,0.0389,PMM
53,,0.0006,2/6/2013,2/20/2013,0.0383,3/1/2013,,0.0389,PMM
54,,,1/9/2013,1/22/2013,0.0389,2/1/2013,,0.0389,PMM
55,,,12/14/2012,12/20/2012,0.0389,1/2/2013,,0.0389,PMM
56,,,11/9/2012,11/20/2012,0.0389,12/3/2012,,0.0389,PMM
57,,,9/14/2012,9/20/2012,0.0389,10/1/2012,,0.0389,PMM
58,,,9/14/2012,10/22/2012,0.0389,11/1/2012,,0.0389,PMM
59,,,8/7/2012,8/22/2012,0.0389,9/4/2012,,0.0389,PMM
60,,,7/11/2012,7/20/2012,0.0389,8/1/2012,,0.0389,PMM
61,,,6/13/2012,6/20/2012,0.0389,7/2/2012,,0.0389,PMM
62,,,5/11/2012,5/22/2012,0.0389,6/1/2012,,0.0389,PMM
63,,,4/13/2012,4/20/2012,0.0389,5/1/2012,,0.0389,PMM
64,,,3/13/2012,3/21/2012,0.0389,4/2/2012,,0.0389,PMM
65,,,2/10/2012,2/21/2012,0.0389,3/1/2012,,0.0389,PMM
66,,,12/9/2011,12/21/2011,0.0389,1/3/2012,,0.0389,PMM
67,,,12/9/2011,1/20/2012,0.0389,2/1/2012,,0.0389,PMM
68,,,11/11/2011,11/21/2011,0.044,12/1/2011,,0.044,PMM
69,,,9/9/2011,9/21/2011,0.044,10/3/2011,,0.044,PMM
70,,,9/9/2011,10/20/2011,0.044,11/1/2011,,0.044,PMM
71,,,8/3/2011,8/22/2011,0.044,9/1/2011,,0.044,PMM
72,,,6/13/2011,6/22/2011,0.044,7/1/2011,,0.044,PMM
73,,,6/13/2011,7/20/2011,0.044,8/1/2011,,0.044,PMM
74,,,5/13/2011,5/20/2011,0.044,6/1/2011,,0.044,PMM
75,,,4/15/2011,4/20/2011,0.044,5/2/2011,,0.044,PMM
76,,,3/4/2011,3/22/2011,0.044,4/1/2011,,0.044,PMM
77,,,2/4/2011,2/17/2011,0.044,3/1/2011,,0.044,PMM
78,,,12/10/2010,12/21/2010,0.044,1/3/2011,,0.044,PMM
79,,,12/10/2010,1/20/2011,0.044,2/1/2011,,0.044,PMM
80,,,11/12/2010,11/19/2010,0.044,12/1/2010,,0.044,PMM
81,,,9/17/2010,9/22/2010,0.044,10/1/2010,,0.044,PMM
82,,,9/17/2010,10/20/2010,0.044,11/1/2010,,0.044,PMM
83,,,8/9/2010,8/20/2010,0.044,9/1/2010,,0.044,PMM
84,,,6/10/2010,6/22/2010,0.044,7/1/2010,,0.044,PMM
85,,,6/10/2010,7/21/2010,0.044,8/2/2010,,0.044,PMM
86,,,5/14/2010,5/20/2010,0.044,6/1/2010,,0.044,PMM
87,,,4/9/2010,4/21/2010,0.044,5/3/2010,,0.044,PMM
88,,,3/12/2010,3/22/2010,0.044,4/1/2010,,0.044,PMM
89,,,2/11/2010,2/18/2010,0.044,3/1/2010,,0.044,PMM
90,,,1/14/2010,1/20/2010,0.0402,2/1/2010,,0.0402,PMM
91,,,12/10/2009,12/22/2009,0.0402,1/4/2010,,0.0402,PMM
92,,,11/12/2009,11/19/2009,0.0402,12/1/2009,,0.0402,PMM
93,,,10/8/2009,10/21/2009,0.0402,11/2/2009,,0.0402,PMM
94,,,9/11/2009,9/22/2009,0.0402,10/1/2009,,0.0402,PMM
95,,,7/9/2009,7/22/2009,0.0402,8/3/2009,,0.0402,PMM
96,,,7/9/2009,8/20/2009,0.0402,9/1/2009,,0.0402,PMM
97,,,6/11/2009,6/22/2009,0.0402,7/1/2009,,0.0402,PMM
98,,,5/14/2009,5/20/2009,0.038,6/1/2009,,0.038,PMM
99,,,4/16/2009,4/22/2009,0.038,5/1/2009,,0.038,PMM
100,,,3/5/2009,3/20/2009,,4/1/2009,,0.038,PMM
101,,,2/12/2009,2/20/2009,0.038,3/2/2009,,0.038,PMM
102,,,1/8/2009,1/21/2009,0.0354,2/2/2009,,0.0354,PMM
103,,,12/11/2008,12/19/2008,0.0354,1/2/2009,,0.0354,PMM
104,,,11/13/2008,11/20/2008,0.0354,12/1/2008,,0.0354,PMM
105,,,10/16/2008,10/22/2008,0.0354,11/3/2008,,0.0354,PMM
106,,,9/11/2008,9/22/2008,,10/1/2008,,0.0354,PMM
107,,,7/10/2008,8/20/2008,,9/2/2008,,0.0354,PMM
108,,,7/10/2008,7/22/2008,,8/1/2008,,0.0354,PMM
109,,,6/12/2008,6/20/2008,,7/1/2008,,0.0354,PMM
110,,,5/9/2008,5/21/2008,,6/2/2008,,0.0354,PMM
111,,,4/10/2008,4/22/2008,,5/1/2008,,0.0341,PMM
112,,,3/13/2008,3/19/2008,,4/1/2008,,0.0341,PMM
113,,,1/10/2008,2/11/2008,,3/3/2008,,0.0341,PMM
114,,,1/10/2008,1/22/2008,,2/1/2008,,0.0341,PMM
115,,,12/14/2007,12/19/2007,,1/2/2008,,0.0341,PMM
116,,,11/9/2007,11/20/2007,,12/3/2007,,0.0341,PMM
117,,,10/17/2007,10/22/2007,,11/1/2007,,0.0341,PMM
118,,,9/6/2007,9/20/2007,,10/1/2007,,0.0341,PMM
119,,,7/12/2007,8/22/2007,,9/1/2007,,0.0341,PMM
120,,,7/12/2007,7/20/2007,,8/1/2007,,0.0341,PMM
121,,,6/14/2007,6/20/2007,,7/2/2007,,0.0341,PMM
122,,,5/11/2007,5/22/2007,,6/1/2007,,0.0341,PMM
123,,,4/12/2007,4/20/2007,,5/1/2007,,0.0341,PMM
124,,,3/8/2007,3/21/2007,,4/2/2007,,0.0341,PMM
125,,,2/8/2007,2/16/2007,,3/1/2007,,0.0341,PMM
126,,,1/11/2007,1/22/2007,,2/1/2007,,0.0341,PMM
127,,,12/14/2006,12/20/2006,,1/2/2007,,0.0341,PMM
128,,,11/10/2006,11/21/2006,,12/1/2006,,0.0341,PMM
129,,,10/12/2006,10/20/2006,,11/1/2006,,0.0341,PMM
130,,,9/14/2006,9/20/2006,,10/2/2006,,0.0341,PMM
131,,,7/13/2006,8/21/2006,,9/1/2006,,0.0341,PMM
132,,,7/13/2006,7/20/2006,,8/1/2006,,0.0341,PMM
133,,,6/9/2006,6/21/2006,,7/3/2006,,0.0341,PMM
134,,,5/12/2006,5/22/2006,,6/1/2006,,0.0341,PMM
135,,,4/7/2006,4/20/2006,,5/1/2006,,0.0341,PMM
136,,,3/10/2006,3/22/2006,,4/3/2006,,0.0341,PMM
137,,,1/13/2006,2/16/2006,,3/1/2006,,0.0341,PMM
138,,,1/13/2006,1/20/2006,,2/1/2006,,0.0341,PMM
139,,,12/9/2005,12/20/2005,,3/1/2006,S,0.0012,PMM
140,,,12/9/2005,12/20/2005,,3/1/2006,,0.0341,PMM
141,,,11/11/2005,11/21/2005,,12/1/2005,,0.0341,PMM
142,,,10/6/2005,10/20/2005,,11/1/2005,,0.0341,PMM
143,,,9/8/2005,9/21/2005,,10/3/2005,,0.0341,PMM
144,,,7/15/2005,8/22/2005,,9/1/2005,,0.0341,PMM
145,,,7/15/2005,7/22/2005,,8/1/2005,,0.0341,PMM
146,,,6/10/2005,6/22/2005,,7/1/2005,,0.0341,PMM
147,,,5/13/2005,5/20/2005,,6/1/2005,,0.0341,PMM
148,,,4/15/2005,4/20/2005,,5/2/2005,,0.0341,PMM
149,,,3/12/2005,3/22/2005,,4/1/2005,,0.0417,PMM
150,,,2/11/2005,2/18/2005,,3/1/2005,,0.0417,PMM
151,,,1/14/2005,1/20/2005,,2/1/2005,,0.0417,PMM
152,,,12/10/2004,12/21/2004,,1/3/2005,S,0.0075,PMM
153,,,12/10/2004,12/21/2004,,1/3/2005,,0.0417,PMM
154,,,11/12/2004,11/22/2004,,12/1/2004,,0.0417,PMM
155,,,10/15/2004,10/20/2004,,11/1/2004,,0.0417,PMM
156,,,9/10/2004,9/22/2004,,10/1/2004,,0.0417,PMM
157,,,7/9/2004,8/20/2004,,9/1/2004,,0.0417,PMM
158,,,7/9/2004,7/21/2004,,8/2/2004,,0.0417,PMM
159,,,6/14/2004,6/22/2004,,7/1/2004,,0.0417,PMM
160,,,5/14/2004,5/20/2004,,6/1/2004,,0.0417,PMM
161,,,4/16/2004,4/21/2004,,5/3/2004,,0.0417,PMM
162,,,3/12/2004,3/22/2004,,4/1/2004,,0.0417,PMM
