,CapitalLT,CapitalReturn,DeclaredDateDisplay,ExDivDateDisplay,Income,PayDateDisplay,Special,TotDiv,TICKER
0,0.0045,,6/28/2017,7/18/2017,0.1675,7/31/2017,,0.172,PSF
1,0.0045,,6/28/2017,8/15/2017,0.1675,8/31/2017,,0.172,PSF
2,0.0045,,6/28/2017,9/19/2017,0.1675,9/29/2017,,0.172,PSF
3,0.0676,,3/28/2017,4/18/2017,0.1044,4/28/2017,,0.172,PSF
4,,,3/28/2017,5/16/2017,0.172,5/31/2017,,0.172,PSF
5,0.0045,,3/28/2017,6/20/2017,0.1675,6/30/2017,,0.172,PSF
6,0.0361,0.0353,12/21/2016,1/17/2017,0.1006,1/31/2017,,0.172,PSF
7,0.0281,,12/21/2016,2/14/2017,0.1439,2/28/2017,,0.172,PSF
8,0.0233,,12/21/2016,3/21/2017,0.1487,3/31/2017,,0.172,PSF
9,0.382,,12/19/2016,12/28/2016,,1/17/2017,S,0.382,PSF
10,,,10/3/2016,10/18/2016,0.172,10/31/2016,,0.172,PSF
11,,,10/3/2016,11/16/2016,0.172,11/30/2016,,0.172,PSF
12,,,10/3/2016,12/9/2016,0.172,12/30/2016,,0.172,PSF
13,,,7/1/2016,8/18/2016,0.172,8/31/2016,,0.172,PSF
14,,,7/1/2016,9/20/2016,0.172,9/30/2016,,0.172,PSF
15,,,7/1/2016,7/14/2016,0.172,7/29/2016,,0.172,PSF
16,,,6/1/2016,6/20/2016,0.172,6/30/2016,,0.172,PSF
17,,,5/2/2016,5/12/2016,0.172,5/31/2016,,0.172,PSF
18,,,4/1/2016,4/14/2016,0.172,4/29/2016,,0.172,PSF
19,,,3/1/2016,3/18/2016,0.172,3/31/2016,,0.172,PSF
20,,,2/1/2016,2/17/2016,0.172,2/29/2016,,0.172,PSF
21,,,1/4/2016,1/19/2016,0.172,1/29/2016,,0.172,PSF
22,0.13,,12/17/2015,12/28/2015,,1/15/2016,S,0.13,PSF
23,,,12/1/2015,12/17/2015,0.172,12/31/2015,,0.172,PSF
24,,,11/2/2015,11/17/2015,0.172,11/30/2015,,0.172,PSF
25,,,10/1/2015,10/16/2015,0.172,10/30/2015,,0.172,PSF
26,,,9/1/2015,9/18/2015,0.172,9/30/2015,,0.172,PSF
27,,,8/3/2015,8/18/2015,0.172,8/31/2015,,0.172,PSF
28,,,7/1/2015,7/15/2015,0.172,7/31/2015,,0.172,PSF
29,,,6/1/2015,6/18/2015,0.172,6/30/2015,,0.172,PSF
30,,,5/1/2015,5/13/2015,0.172,5/29/2015,,0.172,PSF
31,,,4/1/2015,4/15/2015,0.172,4/30/2015,,0.172,PSF
32,,,3/2/2015,3/18/2015,0.172,3/31/2015,,0.172,PSF
33,,,2/2/2015,2/18/2015,0.172,2/27/2015,,0.172,PSF
34,,0.0616,1/2/2015,1/14/2015,0.1104,1/30/2015,,0.172,PSF
35,0.39621,,12/19/2014,12/26/2014,0.10379,1/15/2015,S,0.5,PSF
36,,,12/1/2014,12/19/2014,0.09632,12/31/2014,,0.172,PSF
37,,,11/3/2014,11/17/2014,0.172,11/28/2014,,0.172,PSF
38,,,10/1/2014,10/16/2014,0.172,10/31/2014,,0.172,PSF
39,,,9/2/2014,9/17/2014,0.172,9/30/2014,,0.172,PSF
40,,,8/1/2014,8/18/2014,0.172,8/29/2014,,0.172,PSF
41,,,7/1/2014,7/16/2014,0.172,7/31/2014,,0.172,PSF
42,,,6/2/2014,6/18/2014,0.172,6/30/2014,,0.172,PSF
43,,,5/1/2014,5/14/2014,0.172,5/30/2014,,0.172,PSF
44,,0.0431,4/1/2014,4/15/2014,0.1289,4/30/2014,,0.172,PSF
45,,,3/3/2014,3/19/2014,0.172,3/31/2014,,0.172,PSF
46,,0.0007,2/3/2014,2/18/2014,0.1713,2/28/2014,,0.172,PSF
47,,0.0566,1/2/2014,1/15/2014,0.1154,1/31/2014,,0.172,PSF
48,0.22,,12/20/2013,12/26/2013,,1/15/2014,S,0.22,PSF
49,0.06527,,12/2/2013,12/18/2013,,12/31/2013,,0.172,PSF
50,,,11/1/2013,11/15/2013,0.17166,11/29/2013,,0.172,PSF
51,,,10/1/2013,10/17/2013,0.172,10/31/2013,,0.172,PSF
52,,,9/3/2013,9/18/2013,0.172,9/30/2013,,0.172,PSF
53,,,8/1/2013,8/16/2013,0.172,8/30/2013,,0.172,PSF
54,,0.0524,7/1/2013,7/17/2013,0.1196,7/31/2013,,0.172,PSF
55,,0.0022,6/3/2013,6/18/2013,0.1698,6/28/2013,,0.172,PSF
56,,,5/1/2013,5/15/2013,0.172,5/31/2013,,0.172,PSF
57,,,4/1/2013,4/17/2013,0.172,4/30/2013,,0.172,PSF
58,,,3/1/2013,3/15/2013,0.172,3/28/2013,,0.172,PSF
59,,,2/1/2013,2/13/2013,0.172,2/28/2013,,0.172,PSF
60,,0.06,1/2/2013,1/16/2013,0.112,1/31/2013,,0.172,PSF
61,,,12/18/2012,12/26/2012,0.134,1/15/2013,S,0.237,PSF
62,,,12/3/2012,12/19/2012,0.172,12/31/2012,,0.172,PSF
63,,,11/1/2012,11/16/2012,0.172,11/30/2012,,0.172,PSF
